Gene	final_five_prime_utr	final_three_prime_utr
YDL111C	68	161
YDL112W	63	113
YDL113C	62	120
YDL114W	0	0
YDL114W-A	763	221
YDL115C	77	91
YDL116W	61	80
YDL117W	309	150
YDL118W	0	0
YDL119C	190	159
YDL120W	92	247
YDL121C	73	186
YDL122W	722	70
YDL123W	690	492
YDL124W	134	74
YDL125C	239	142
YDL126C	64	97
YDL127W	59	254
YDL128W	131	191
YDL129W	112	439
YDL130W	101	311
YDL130W-A	75	185
YDL131W	94	302
YDL132W	292	163
YDL133C-A	150	244
YDL133W	483	108
YDL134C	750	168
YDL135C	157	328
YDL136W	55	323
YDL137W	142	248
YDL138W	163	114
YDL139C	50	116
YDL140C	410	122
YDL141W	296	264
YDL142C	91	126
YDL143W	35	259
YDL144C	32	186
YDL145C	304	185
YDL146W	195	258
YDL147W	47	382
YDL148C	60	285
YDL149W	24	99
YDL150W	171	99
YDL151C	0	0
YDL152W	0	0
YDL153C	82	140
YDL154W	77	102
YDL155W	1173	136
YDL156W	93	299
YDL157C	43	360
YDL158C	454	16
YDL159C-B	0	0
YDL159W	45	198
YDL159W-A	0	0
YDL160C	186	638
YDL160C-A	27	1092
YDL161W	25	242
YDL162C	0	0
YDL163W	0	0
YDL164C	60	164
YDL165W	55	191
YDL166C	80	140
YDL167C	49	241
YDL168W	86	212
YDL169C	39	164
YDL170W	19	172
YDL171C	258	128
YDL172C	450	0
YDL173W	31	111
YDL174C	94	97
YDL175C	47	221
YDL176W	136	251
YDL177C	94	107
YDL178W	16	140
YDL179W	104	263
YDL180W	177	62
YDL181W	59	308
YDL182W	89	94
YDL183C	2893	359
YDL184C	21	421
YDL185C-A	0	0
YDL185W	107	165
YDL186W	0	0
YDL187C	628	150
YDL188C	181	153
YDL189W	95	153
YDL190C	180	211
YDL191W	686	112
YDL192W	76	747
YDL193W	106	199
YDL194W	201	71
YDL195W	113	164
YDL196W	0	0
YDL197C	378	172
YDL198C	270	142
YDL199C	50	90
YDL200C	53	82
YDL201W	289	86
YDL202W	52	427
YDL203C	198	195
YDL204W	497	195
YDL205C	331	293
YDL206W	230	26
YDL207W	37	81
YDL208W	34	239
YDL209C	32	258
YDL210W	868	91
YDL211C	110	157
YDL212W	91	205
YDL213C	26	540
YDL214C	61	137
YDL215C	390	154
YDL216C	18	133
YDL217C	163	471
YDL218W	398	193
YDL219W	189	282
YDL220C	144	382
YDL221W	0	0
YDL222C	886	360
YDL223C	48	321
YDL224C	362	146
YDL225W	40	231
YDL226C	30	317
YDL227C	345	67
YDL228C	0	0
YDL229W	99	111
YDL230W	40	124
YDL231C	100	67
YDL232W	132	257
YDL233W	21	179
YDL234C	142	163
YDL235C	122	163
YDL236W	50	204
YDL237W	31	295
YDL238C	40	70
YDL239C	137	49
YDL240C-A	0	0
YDL240W	184	244
YDL241W	899	436
YDL242W	0	0
YDL243C	721	188
YDL244W	9	123
YDL245C	219	199
YDL246C	360	133
YDL247W	395	145
YDL247W-A	200	660
YDL248W	4	608
YDR001C	226	113
YDR002W	88	199
YDR003W	0	0
YDR003W-A	599	347
YDR004W	136	165
YDR005C	131	290
YDR006C	163	91
YDR007W	188	405
YDR008C	0	697
YDR009W	177	86
YDR010C	354	445
YDR011W	787	182
YDR012W	81	304
YDR013W	15	166
YDR014W	130	398
YDR014W-A	13	159
YDR015C	0	0
YDR016C	22	261
YDR017C	32	175
YDR018C	124	135
YDR019C	959	314
YDR020C	128	429
YDR021W	282	59
YDR022C	43	178
YDR023W	51	172
YDR024W	951	57
YDR025W	41	306
YDR026C	136	242
YDR027C	216	110
YDR028C	489	297
YDR029W	0	0
YDR030C	51	116
YDR031W	129	147
YDR032C	112	234
YDR033W	642	480
YDR034C	151	292
YDR034C-A	0	0
YDR034C-D	219	315
YDR034W-B	55	284
YDR035W	132	229
YDR036C	72	141
YDR037W	88	226
YDR038C	95	185
YDR039C	128	138
YDR040C	231	129
YDR041W	34	285
YDR042C	600	111
YDR043C	203	114
YDR044W	251	154
YDR045C	158	316
YDR046C	678	163
YDR047W	468	151
YDR048C	0	0
YDR049W	91	116
YDR050C	30	318
YDR051C	40	105
YDR052C	154	243
YDR053W	0	0
YDR054C	189	486
YDR055W	293	158
YDR056C	111	162
YDR057W	63	153
YDR058C	74	178
YDR059C	562	130
YDR060W	217	91
YDR061W	346	129
YDR062W	394	289
YDR063W	1143	71
YDR064W	86	258
YDR065W	150	1879
YDR066C	254	103
YDR067C	68	97
YDR068W	45	196
YDR069C	57	309
YDR070C	177	154
YDR071C	141	110
YDR072C	231	95
YDR073W	281	253
YDR074W	98	282
YDR075W	187	159
YDR076W	43	0
YDR077W	1382	331
YDR078C	40	188
YDR079C-A	163	211
YDR079W	30	303
YDR080W	326	194
YDR081C	86	35
YDR082W	115	146
YDR083W	762	121
YDR084C	63	1410
YDR085C	101	98
YDR086C	41	714
YDR087C	552	152
YDR088C	183	191
YDR089W	496	95
YDR090C	119	374
YDR091C	106	342
YDR092W	412	99
YDR093W	286	63
YDR094W	3220	6
YDR095C	0	0
YDR096W	403	161
YDR097C	94	66
YDR098C	44	298
YDR098C-A	41	683
YDR098C-B	547	321
YDR099W	227	348
YDR100W	912	250
YDR101C	71	118
YDR102C	0	0
YDR103W	39	49
YDR104C	307	133
YDR105C	252	76
YDR106W	21	50
YDR107C	314	206
YDR108W	59	98
YDR109C	258	147
YDR110W	54	207
YDR111C	231	458
YDR112W	0	0
YDR113C	330	78
YDR114C	0	0
YDR115W	55	339
YDR116C	63	125
YDR117C	46	266
YDR118W	22	112
YDR118W-A	1413	120
YDR119W	104	78
YDR119W-A	43	322
YDR120C	0	211
YDR121W	152	113
YDR122W	304	169
YDR123C	155	737
YDR124W	541	380
YDR125C	13	998
YDR126W	186	284
YDR127W	668	103
YDR128W	29	134
YDR129C	636	147
YDR130C	27	308
YDR131C	92	87
YDR132C	202	116
YDR133C	532	120
YDR134C	690	288
YDR135C	77	105
YDR136C	0	0
YDR137W	94	139
YDR138W	172	634
YDR139C	330	179
YDR140W	517	199
YDR141C	191	262
YDR142C	216	125
YDR143C	172	193
YDR144C	149	389
YDR145W	88	199
YDR146C	160	168
YDR147W	449	35
YDR148C	252	283
YDR149C	0	0
YDR150W	0	72
YDR151C	173	317
YDR152W	223	69
YDR153C	132	244
YDR154C	327	56
YDR155C	139	109
YDR156W	866	95
YDR157W	451	971
YDR158W	61	224
YDR159W	185	68
YDR160W	167	74
YDR161W	47	221
YDR162C	306	210
YDR163W	62	104
YDR164C	44	176
YDR165W	40	651
YDR166C	54	102
YDR167W	91	99
YDR168W	53	257
YDR169C	365	245
YDR169C-A	0	0
YDR170C	641	219
YDR170W-A	0	735
YDR171W	85	83
YDR172W	64	178
YDR173C	62	139
YDR174W	22	374
YDR175C	472	120
YDR176W	37	327
YDR177W	113	155
YDR178W	185	204
YDR179C	34	148
YDR179W-A	89	163
YDR180W	344	58
YDR181C	38	205
YDR182W	39	154
YDR182W-A	1381	89
YDR183C-A	906	5
YDR183W	420	48
YDR184C	69	221
YDR185C	102	222
YDR186C	36	119
YDR187C	0	0
YDR188W	488	169
YDR189W	47	120
YDR190C	49	299
YDR191W	43	108
YDR192C	78	91
YDR193W	0	0
YDR194C	25	154
YDR194W-A	0	0
YDR195W	253	78
YDR196C	31	237
YDR197W	32	370
YDR198C	53	146
YDR199W	0	0
YDR200C	66	137
YDR201W	46	388
YDR202C	30	155
YDR203W	0	0
YDR204W	21	271
YDR205W	25	98
YDR206W	326	218
YDR207C	58	187
YDR208W	189	133
YDR209C	0	0
YDR210C-C	41	735
YDR210C-D	42	321
YDR210W	260	405
YDR210W-A	357	564
YDR210W-B	291	325
YDR211W	87	339
YDR212W	74	739
YDR213W	251	282
YDR214W	140	95
YDR215C	0	0
YDR216W	497	314
YDR217C	193	77
YDR218C	144	111
YDR219C	255	203
YDR220C	0	0
YDR221W	20	530
YDR222W	272	152
YDR223W	342	353
YDR224C	115	141
YDR225W	696	154
YDR226W	288	116
YDR227W	126	165
YDR228C	90	73
YDR229W	140	63
YDR230W	0	0
YDR231C	27	292
YDR232W	250	427
YDR233C	288	148
YDR234W	509	165
YDR235W	22	84
YDR236C	453	96
YDR237W	141	287
YDR238C	48	350
YDR239C	194	81
YDR240C	52	59
YDR241W	205	397
YDR242W	114	97
YDR243C	31	62
YDR244W	28	193
YDR245W	121	162
YDR246W	34	203
YDR246W-A	15	330
YDR247W	754	371
YDR248C	162	272
YDR249C	241	117
YDR250C	165	127
YDR251W	305	178
YDR252W	110	888
YDR253C	238	79
YDR254W	86	582
YDR255C	48	303
YDR256C	680	141
YDR257C	22	327
YDR258C	28	114
YDR259C	454	138
YDR260C	49	639
YDR261C	119	139
YDR261C-C	283	735
YDR261C-D	41	349
YDR261W-B	39	319
YDR262W	288	517
YDR263C	231	160
YDR264C	77	464
YDR265W	229	214
YDR266C	215	127
YDR267C	292	155
YDR268W	242	109
YDR269C	0	0
YDR270W	854	80
YDR271C	26	416
YDR272W	56	1023
YDR273W	520	32
YDR274C	0	0
YDR275W	678	300
YDR276C	235	485
YDR277C	160	278
YDR278C	0	0
YDR279W	266	34
YDR280W	847	110
YDR281C	114	339
YDR282C	127	290
YDR283C	243	186
YDR284C	288	172
YDR285W	146	163
YDR286C	718	120
YDR287W	777	90
YDR288W	237	181
