Gene	final_five_prime_utr	final_three_prime_utr
YDL111C	68	161
YDL112W	63	110
YDL113C	62	120
YDL114W	0	0
YDL114W-A	763	221
YDL115C	77	93
YDL116W	61	69
YDL117W	309	150
YDL118W	741	91
YDL119C	171	159
YDL120W	92	247
YDL121C	73	186
YDL122W	247	70
YDL123W	690	492
YDL124W	134	74
YDL125C	239	116
YDL126C	64	90
YDL127W	131	254
YDL128W	341	191
YDL129W	156	439
YDL130W	28	311
YDL130W-A	75	185
YDL131W	81	302
YDL132W	250	163
YDL133C-A	150	244
YDL133W	483	97
YDL134C	750	168
YDL135C	161	328
YDL136W	32	323
YDL137W	142	248
YDL138W	172	106
YDL139C	66	116
YDL140C	64	118
YDL141W	296	264
YDL142C	91	126
YDL143W	34	259
YDL144C	33	186
YDL145C	304	164
YDL146W	195	258
YDL147W	47	382
YDL148C	60	285
YDL149W	372	98
YDL150W	171	99
YDL151C	833	57
YDL152W	0	0
YDL153C	82	140
YDL154W	327	81
YDL155W	1173	131
YDL156W	93	299
YDL157C	43	360
YDL158C	442	651
YDL159C-B	968	621
YDL159W	45	198
YDL159W-A	0	0
YDL160C	186	465
YDL160C-A	27	1092
YDL161W	25	242
YDL162C	0	0
YDL163W	0	0
YDL164C	160	164
YDL165W	55	191
YDL166C	80	140
YDL167C	44	241
YDL168W	86	212
YDL169C	30	164
YDL170W	19	172
YDL171C	0	128
YDL172C	119	424
YDL173W	37	111
YDL174C	314	96
YDL175C	47	215
YDL176W	136	251
YDL177C	94	107
YDL178W	16	140
YDL179W	103	263
YDL180W	248	62
YDL181W	59	308
YDL182W	89	87
YDL183C	2893	359
YDL184C	21	421
YDL185C-A	0	0
YDL185W	107	165
YDL186W	0	0
YDL187C	628	150
YDL188C	181	153
YDL189W	95	153
YDL190C	181	210
YDL191W	686	103
YDL192W	76	747
YDL193W	106	199
YDL194W	192	76
YDL195W	113	164
YDL196W	0	0
YDL197C	378	172
YDL198C	163	142
YDL199C	247	91
YDL200C	204	82
YDL201W	289	85
YDL202W	52	427
YDL203C	198	195
YDL204W	497	195
YDL205C	234	293
YDL206W	153	25
YDL207W	37	79
YDL208W	34	239
YDL209C	32	258
YDL210W	112	91
YDL211C	298	160
YDL212W	91	205
YDL213C	60	540
YDL214C	751	118
YDL215C	481	154
YDL216C	18	133
YDL217C	164	471
YDL218W	528	190
YDL219W	189	282
YDL220C	8	382
YDL221W	321	715
YDL222C	536	322
YDL223C	182	321
YDL224C	352	146
YDL225W	47	231
YDL226C	30	317
YDL227C	32	67
YDL228C	121	46
YDL229W	99	104
YDL230W	42	124
YDL231C	108	67
YDL232W	132	257
YDL233W	28	179
YDL234C	142	163
YDL235C	122	163
YDL236W	50	204
YDL237W	31	295
YDL238C	40	69
YDL239C	503	52
YDL240C-A	0	0
YDL240W	184	244
YDL241W	139	436
YDL242W	0	0
YDL243C	721	188
YDL244W	15	123
YDL245C	532	199
YDL246C	0	0
YDL247W	0	86
YDL247W-A	996	193
YDL248W	4	607
YDR001C	215	74
YDR002W	88	199
YDR003W	61	292
YDR003W-A	599	347
YDR004W	206	170
YDR005C	128	290
YDR006C	163	89
YDR007W	188	405
YDR008C	55	219
YDR009W	698	265
YDR010C	354	445
YDR011W	325	182
YDR012W	59	304
YDR013W	592	166
YDR014W	29	389
YDR014W-A	0	0
YDR015C	0	0
YDR016C	24	261
YDR017C	126	175
YDR018C	31	124
YDR019C	379	314
YDR020C	128	429
YDR021W	282	59
YDR022C	27	178
YDR023W	51	172
YDR024W	0	0
YDR025W	9	306
YDR026C	136	242
YDR027C	112	110
YDR028C	491	279
YDR029W	0	0
YDR030C	51	116
YDR031W	129	149
YDR032C	112	234
YDR033W	523	480
YDR034C	418	292
YDR034C-A	0	0
YDR034C-D	40	315
YDR034W-B	55	284
YDR035W	132	229
YDR036C	72	141
YDR037W	87	226
YDR038C	557	141
YDR039C	91	91
YDR040C	123	90
YDR041W	192	285
YDR042C	496	111
YDR043C	203	114
YDR044W	251	146
YDR045C	158	316
YDR046C	89	163
YDR047W	468	151
YDR048C	0	0
YDR049W	91	116
YDR050C	47	318
YDR051C	40	105
YDR052C	153	243
YDR053W	0	0
YDR054C	188	486
YDR055W	293	158
YDR056C	111	162
YDR057W	225	153
YDR058C	74	178
YDR059C	562	130
YDR060W	81	91
YDR061W	54	129
YDR062W	394	292
YDR063W	1143	71
YDR064W	20	258
YDR065W	150	1879
YDR066C	342	109
YDR067C	68	97
YDR068W	45	196
YDR069C	52	309
YDR070C	177	154
YDR071C	141	110
YDR072C	248	93
YDR073W	281	267
YDR074W	99	244
YDR075W	187	158
YDR076W	52	580
YDR077W	1382	327
YDR078C	46	188
YDR079C-A	163	211
YDR079W	30	303
YDR080W	42	179
YDR081C	86	32
YDR082W	115	146
YDR083W	21	121
YDR084C	63	1410
YDR085C	118	91
YDR086C	93	714
YDR087C	108	152
YDR088C	198	188
YDR089W	114	95
YDR090C	119	374
YDR091C	106	342
YDR092W	412	99
YDR093W	286	64
YDR094W	3220	8
YDR095C	0	302
YDR096W	116	161
YDR097C	204	66
YDR098C	44	298
YDR098C-A	166	735
YDR098C-B	43	321
YDR099W	229	348
YDR100W	912	250
YDR101C	71	118
YDR102C	0	0
YDR103W	34	49
YDR104C	48	37
YDR105C	252	76
YDR106W	21	46
YDR107C	14	206
YDR108W	59	98
YDR109C	353	147
YDR110W	54	207
YDR111C	232	458
YDR112W	0	0
YDR113C	330	78
YDR114C	458	0
YDR115W	55	339
YDR116C	63	118
YDR117C	75	266
YDR118W	17	112
YDR118W-A	1413	120
YDR119W	104	78
YDR119W-A	52	322
YDR120C	0	209
YDR121W	152	113
YDR122W	291	169
YDR123C	413	737
YDR124W	541	849
YDR125C	0	997
YDR126W	68	284
YDR127W	154	58
YDR128W	28	134
YDR129C	636	147
YDR130C	27	308
YDR131C	88	73
YDR132C	202	116
YDR133C	532	120
YDR134C	57	288
YDR135C	77	105
YDR136C	0	0
YDR137W	94	139
YDR138W	22	634
YDR139C	255	179
YDR140W	13	199
YDR141C	290	77
YDR142C	216	125
YDR143C	172	193
YDR144C	139	389
YDR145W	88	199
YDR146C	153	168
YDR147W	449	35
YDR148C	252	283
YDR149C	0	0
YDR150W	57	62
YDR151C	173	317
YDR152W	223	72
YDR153C	132	244
YDR154C	322	56
YDR155C	139	109
YDR156W	866	95
YDR157W	451	0
YDR158W	61	224
YDR159W	61	39
YDR160W	166	68
YDR161W	47	221
YDR162C	306	210
YDR163W	62	104
YDR164C	44	176
YDR165W	29	651
YDR166C	54	98
YDR167W	91	99
YDR168W	53	257
YDR169C	365	231
YDR169C-A	0	0
YDR170C	90	203
YDR170W-A	329	735
YDR171W	85	83
YDR172W	64	178
YDR173C	62	139
YDR174W	22	374
YDR175C	472	122
YDR176W	37	327
YDR177W	107	155
YDR178W	185	196
YDR179C	34	148
YDR179W-A	89	163
YDR180W	149	50
YDR181C	22	205
YDR182W	41	154
YDR182W-A	1381	64
YDR183C-A	893	5
YDR183W	420	41
YDR184C	91	221
YDR185C	248	222
YDR186C	44	119
YDR187C	0	0
YDR188W	488	166
YDR189W	47	120
YDR190C	45	299
YDR191W	43	108
YDR192C	78	91
YDR193W	553	3
YDR194C	25	154
YDR194W-A	0	0
YDR195W	253	78
YDR196C	18	237
YDR197W	34	370
YDR198C	53	146
YDR199W	42	908
YDR200C	66	134
YDR201W	46	388
YDR202C	30	155
YDR203W	912	315
YDR204W	25	271
YDR205W	18	56
YDR206W	290	216
YDR207C	58	187
YDR208W	189	133
YDR209C	280	43
YDR210C-C	269	784
YDR210C-D	48	321
YDR210W	260	405
YDR210W-B	151	319
YDR211W	87	339
YDR212W	73	739
YDR213W	241	213
YDR214W	140	95
YDR215C	0	0
YDR216W	500	313
YDR217C	36	77
YDR218C	0	0
YDR219C	255	203
YDR220C	0	0
YDR221W	20	533
YDR222W	272	160
YDR223W	708	353
YDR224C	115	141
YDR225W	696	162
YDR226W	288	129
YDR227W	235	170
YDR228C	90	73
YDR229W	140	63
YDR230W	137	278
YDR231C	24	292
YDR232W	250	427
YDR233C	288	145
YDR234W	143	165
YDR235W	22	82
YDR236C	460	110
YDR237W	141	287
YDR238C	48	350
YDR239C	59	78
YDR240C	52	58
YDR241W	97	403
YDR242W	160	103
YDR243C	31	62
YDR244W	28	193
YDR245W	121	150
YDR246W	34	203
YDR246W-A	868	176
YDR247W	540	371
YDR248C	320	272
YDR249C	262	117
YDR250C	165	127
YDR251W	305	178
YDR252W	27	888
YDR253C	240	509
YDR254W	151	582
YDR255C	48	303
YDR256C	116	122
YDR257C	22	327
YDR258C	28	113
YDR259C	454	138
YDR260C	107	639
YDR261C	119	139
YDR261C-C	161	735
YDR261C-D	41	344
YDR261W-B	39	319
YDR262W	296	517
YDR263C	672	113
YDR264C	62	464
YDR265W	276	214
YDR266C	215	127
YDR267C	292	155
YDR268W	200	109
YDR269C	0	0
YDR270W	95	80
YDR271C	26	416
YDR272W	56	1023
YDR273W	974	32
YDR274C	0	0
YDR275W	678	300
YDR276C	235	485
YDR277C	300	278
YDR278C	0	0
YDR279W	266	37
YDR280W	847	106
YDR281C	114	339
YDR282C	120	290
YDR283C	153	151
YDR284C	288	172
YDR285W	146	163
YDR286C	217	120
YDR287W	777	90
YDR288W	580	181
YDR289C	66	424
