Gene,five_prime_utr,three_prime_utr,mtif_support
YBR038W,37.0,186.0,9
YBR039W,36.0,178.0,39
YBR040W,46.0,183.0,0
YBR041W,53.0,142.0,42
YBR042C,36.0,67.0,47
YBR043C,149.0,128.0,11
YBR044C,31.0,76.0,31
YBR045C,108.0,138.0,2
YBR046C,31.0,271.0,24
YBR047W,20.0,101.0,5
YBR048W,15.0,225.0,17498
YBR049C,149.0,245.0,39
YBR050C,109.0,38.0,23
YBR051W,,,0
YBR052C,64.0,57.0,152
YBR053C,12.0,69.0,135
YBR054W,320.0,361.0,3
YBR055C,7.0,93.0,15
YBR056C-B,302.0,115.0,1
YBR056W,12.0,44.0,36
YBR056W-A,27.0,438.0,7
YBR057C,32.0,104.0,42
YBR058C,22.0,18.0,5
YBR058C-A,59.0,171.0,1171
YBR059C,150.0,79.0,5
YBR060C,87.0,57.0,13
YBR061C,7.0,153.0,46
YBR062C,146.0,102.0,29
YBR063C,1536.0,57.0,10
YBR064W,,,0
YBR065C,42.0,1671.0,10
YBR066C,83.0,99.0,11
YBR067C,51.0,138.0,957
YBR068C,39.0,219.0,4165
YBR069C,105.0,145.0,29
YBR070C,21.0,43.0,40
YBR071W,72.0,275.0,103
YBR072C-A,,,0
YBR072W,74.0,164.0,80
YBR073W,22.0,79.0,1
YBR074W,5.0,62.0,61
YBR076C-A,240.0,57.0,27
YBR076W,66.0,553.0,1
YBR077C,40.0,217.0,28
YBR078W,176.0,300.0,872
YBR079C,25.0,89.0,300
YBR080C,26.0,128.0,88
YBR081C,153.0,116.0,1
YBR082C,86.0,167.0,4238
YBR083W,255.0,125.0,4
YBR084C-A,22.0,54.0,1246
YBR084W,14.0,92.0,158
YBR085C-A,29.0,373.0,27
YBR085W,109.0,166.0,31
YBR086C,291.0,132.0,15
YBR087W,11.0,55.0,57
YBR088C,43.0,41.0,184
YBR089C-A,26.0,157.0,257
YBR089W,155.0,255.0,1
YBR090C,2070.0,300.0,1
YBR091C,41.0,90.0,130
YBR092C,14.0,51.0,372
YBR093C,35.0,67.0,936
YBR094W,66.0,3.0,150
YBR095C,24.0,84.0,51
YBR096W,61.0,68.0,8309
YBR097W,40.0,72.0,1
YBR098W,19.0,109.0,5
YBR099C,44.0,5.0,64
YBR101C,50.0,36.0,114
YBR102C,64.0,105.0,14
YBR103C-A,427.0,70.0,1
YBR103W,131.0,48.0,21
YBR104W,88.0,60.0,274
YBR105C,23.0,122.0,32
YBR106W,33.0,140.0,423
YBR107C,49.0,304.0,7
YBR108W,15.0,187.0,5
YBR109C,39.0,198.0,395
YBR109W-A,7.0,1497.0,3
YBR110W,81.0,108.0,136
YBR111C,8.0,71.0,137
YBR111W-A,41.0,167.0,42
YBR112C,175.0,228.0,4
YBR113W,,,0
YBR114W,88.0,99.0,4
YBR115C,19.0,137.0,1
YBR116C,,,0
YBR117C,31.0,134.0,1
YBR118W,22.0,90.0,14117
YBR119W,48.0,120.0,37
YBR120C,70.0,60.0,51
YBR121C,64.0,136.0,1705
YBR121C-A,947.0,1098.0,1705
YBR122C,33.0,165.0,316
YBR123C,63.0,38.0,63
YBR124W,466.0,51.0,0
YBR125C,196.0,138.0,1
YBR126C,107.0,131.0,177
YBR126W-A,23.0,143.0,3592
YBR126W-B,100.0,129.0,3592
YBR127C,31.0,166.0,13355
YBR128C,46.0,78.0,2
YBR129C,45.0,81.0,12
YBR130C,60.0,113.0,58
YBR131C-A,,,0
YBR131W,44.0,75.0,27
YBR132C,164.0,303.0,409
YBR133C,159.0,59.0,15
YBR134W,,,0
YBR135W,94.0,106.0,291
YBR136W,,,0
YBR137W,38.0,118.0,121
YBR138C,30.0,149.0,13
YBR139W,5.0,170.0,131
YBR140C,,,0
YBR141C,39.0,81.0,8
YBR141W-A,17.0,480.0,8
YBR142W,67.0,123.0,14
YBR143C,28.0,139.0,233
YBR144C,,,0
YBR145W,41.0,101.0,51
YBR146W,63.0,222.0,91
YBR147W,113.0,16.0,11
YBR148W,1364.0,101.0,1
YBR149W,38.0,102.0,21
YBR150C,24.0,90.0,1
YBR151W,146.0,130.0,287
YBR152W,68.0,1100.0,27
YBR153W,1152.0,157.0,27
YBR154C,91.0,96.0,496
YBR155W,76.0,78.0,60
YBR156C,37.0,177.0,21
YBR157C,835.0,145.0,4
YBR158W,263.0,150.0,132
YBR159W,53.0,166.0,2
YBR160W,78.0,94.0,64
YBR161W,227.0,175.0,4
YBR162C,136.0,150.0,546
YBR162W-A,17.0,85.0,393
YBR163W,102.0,53.0,25
YBR164C,119.0,102.0,63
YBR165W,87.0,138.0,13
YBR166C,43.0,101.0,52
YBR167C,200.0,63.0,12
YBR168W,127.0,156.0,5
YBR169C,19.0,178.0,5
YBR170C,50.0,130.0,244
YBR171W,26.0,137.0,1964
YBR172C,111.0,99.0,33
YBR173C,28.0,181.0,446
YBR174C,758.0,161.0,4
YBR175W,13.0,103.0,28
YBR176W,97.0,29.0,13
YBR177C,69.0,127.0,528
YBR178W,91.0,128.0,2
YBR179C,65.0,76.0,9
YBR180W,,,0
YBR181C,29.0,89.0,2227
YBR182C,172.0,281.0,2
YBR182C-A,51.0,157.0,4
YBR183W,97.0,105.0,19
YBR184W,0.0,158.0,2
YBR185C,19.0,119.0,181
YBR186W,6.0,162.0,1
YBR187W,129.0,160.0,207
YBR188C,75.0,183.0,29
YBR189W,26.0,65.0,4494
YBR190W,1481.0,1006.0,4
YBR191W,22.0,109.0,3930
YBR191W-A,901.0,26.0,3930
YBR192W,163.0,278.0,27
YBR193C,17.0,332.0,10
YBR194W,69.0,156.0,13
YBR195C,46.0,124.0,25
YBR196C,42.0,164.0,1307
YBR196C-A,408.0,89.0,59
YBR196C-B,1266.0,616.0,4
YBR197C,10.0,457.0,13
YBR198C,78.0,84.0,165
YBR199W,99.0,128.0,1917
YBR200W,63.0,222.0,473
YBR200W-A,,,0
YBR201C-A,64.0,231.0,7
YBR201W,136.0,124.0,52
YBR202W,65.0,177.0,49
YBR203W,212.0,212.0,3
YBR204C,41.0,233.0,17
YBR205W,47.0,178.0,68
YBR206W,1026.0,90.0,68
YBR207W,52.0,117.0,137
YBR208C,,,0
YBR209W,29.0,93.0,1
YBR210W,89.0,13.0,19
YBR211C,,,0
YBR212W,448.0,206.0,38
YBR213W,70.0,196.0,95
YBR214W,79.0,193.0,77
YBR215W,22.0,108.0,11
YBR216C,20.0,293.0,24
YBR217W,64.0,291.0,6
YBR218C,62.0,130.0,20
YBR219C,1415.0,44.0,2
YBR220C,67.0,236.0,213
YBR221C,203.0,240.0,785
YBR221W-A,1632.0,81.0,1
YBR222C,27.0,114.0,338
YBR223C,23.0,239.0,5
YBR223W-A,,,0
YBR224W,,,0
YBR225W,135.0,263.0,1
YBR226C,,,0
YBR227C,58.0,58.0,68
YBR228W,0.0,128.0,13
YBR229C,9.0,131.0,24
YBR230C,26.0,35.0,95
YBR230W-A,48.0,132.0,91
YBR231C,57.0,39.0,115
YBR232C,310.0,1233.0,1
YBR233W,79.0,150.0,31
YBR233W-A,39.0,195.0,70
YBR234C,46.0,78.0,166
YBR235W,81.0,95.0,10
YBR236C,38.0,151.0,102
YBR237W,41.0,93.0,3
YBR238C,82.0,379.0,3
YBR239C,149.0,111.0,14
YBR240C,11.0,229.0,1
YBR241C,29.0,56.0,36
YBR242W,38.0,48.0,35
YBR243C,44.0,82.0,52
YBR244W,36.0,187.0,43
YBR245C,,,0
YBR246W,43.0,140.0,29
YBR247C,21.0,117.0,1327
YBR248C,88.0,80.0,547
YBR249C,90.0,117.0,1080
YBR250W,356.0,138.0,1
YBR251W,36.0,81.0,111
YBR252W,18.0,63.0,151
YBR253W,61.0,28.0,545
YBR254C,13.0,122.0,9
YBR255C-A,37.0,99.0,22
YBR255W,36.0,143.0,51
YBR256C,8.0,64.0,4591
YBR257W,54.0,21.0,49
YBR258C,33.0,72.0,12
YBR259W,46.0,63.0,20
YBR260C,9.0,132.0,21
YBR261C,37.0,128.0,237
YBR262C,44.0,99.0,49
YBR263W,40.0,53.0,74
YBR264C,25.0,37.0,28
YBR265W,23.0,133.0,526
YBR266C,,,0
YBR267W,17.0,120.0,240
YBR268W,4.0,97.0,1580
YBR269C,21.0,156.0,431
YBR270C,272.0,38.0,6
YBR271W,26.0,98.0,74
YBR272C,7.0,189.0,55
YBR273C,31.0,98.0,10
YBR274W,50.0,39.0,293
YBR275C,,,0
YBR276C,95.0,70.0,180
YBR277C,,,0
YBR278W,18.0,84.0,13
YBR279W,28.0,147.0,87
YBR280C,23.0,183.0,19
YBR281C,49.0,130.0,9
YBR282W,38.0,88.0,255
YBR283C,144.0,145.0,3792
YBR284W,12.0,168.0,1
YBR285W,20.0,141.0,5
YBR286W,30.0,66.0,45
YBR287W,33.0,111.0,39
YBR288C,28.0,90.0,85
YBR289W,14.0,52.0,4
YBR290W,7.0,103.0,32
YBR291C,37.0,46.0,27
YBR292C,,,0
YBR293W,353.0,52.0,2
YBR294W,,,0
YBR295W,16.0,21.0,2
YBR296C,66.0,240.0,1617
YBR296C-A,,,0
YBR297W,39.0,242.0,187
YBR298C,426.0,93.0,36
YBR298C-A,,,0
YBR299W,28.0,129.0,20
YBR300C,270.0,284.0,1
YBR301W,413.0,49.0,1
YBR302C,,,0
YCL001W,26.0,81.0,91
YCL001W-A,287.0,737.0,2
YCL001W-B,977.0,254.0,2
YCL002C,25.0,153.0,291
YCL004W,78.0,77.0,15
YCL005W,46.0,131.0,5
YCL005W-A,25.0,102.0,913
YCL007C,346.0,81.0,0
YCL008C,4.0,132.0,30
YCL009C,15.0,148.0,337
YCL010C,20.0,1606.0,77
YCL011C,44.0,110.0,439
YCL012C,34.0,127.0,92
YCL014W,,,0
YCL016C,29.0,137.0,9
YCL017C,94.0,141.0,236
YCL018W,28.0,76.0,174
YCL021W-A,90.0,100.0,2
YCL022C,,,0
YCL023C,,,0
YCL024W,82.0,106.0,1
YCL025C,31.0,82.0,288
YCL026C-A,77.0,214.0,2
YCL026C-B,35.0,62.0,109
YCL027W,145.0,105.0,2
YCL028W,32.0,129.0,147
YCL029C,50.0,246.0,68
YCL030C,60.0,135.0,189
YCL031C,33.0,102.0,257
YCL032W,30.0,100.0,4
YCL033C,11.0,71.0,12
YCL034W,56.0,72.0,10
YCL035C,64.0,94.0,660
YCL036W,0.0,96.0,358
YCL037C,67.0,577.0,93
YCL038C,56.0,78.0,77
YCL039W,20.0,42.0,71
YCL040W,29.0,178.0,1483
YCL041C,,,0
YCL042W,189.0,1575.0,23
YCL043C,37.0,96.0,6481
YCL044C,77.0,169.0,28
YCL045C,40.0,61.0,159
YCL046W,1.0,67.0,0
YCL047C,3.0,70.0,16
YCL048W,55.0,93.0,1
YCL048W-A,,,0
YCL049C,55.0,115.0,15
YCL050C,62.0,114.0,120
YCL051W,280.0,112.0,19
YCL052C,33.0,170.0,13
YCL054W,17.0,104.0,150
YCL054W-A,194.0,226.0,0
YCL055W,9.0,83.0,5
YCL056C,2.0,11.0,23
YCL057C-A,47.0,134.0,504
YCL057W,3.0,106.0,68
YCL058C,,,0
YCL058W-A,22.0,65.0,42
YCL059C,25.0,106.0,578
YCL061C,66.0,167.0,3
YCL063W,40.0,153.0,20
YCL064C,19.0,94.0,136
YCL065W,,,0
YCL066W,,,0
YCL067C,,,0
YCL068C,,,0
YCL069W,,,0
YCL073C,,,0
YCL076W,,,0
YCR001W,,,0
YCR002C,55.0,65.0,49
YCR003W,22.0,105.0,135
YCR004C,182.0,185.0,355
YCR005C,57.0,152.0,19
YCR006C,389.0,1689.0,5
YCR007C,494.0,80.0,10
YCR008W,443.0,269.0,3
YCR009C,56.0,102.0,103
YCR010C,112.0,182.0,3
YCR011C,151.0,57.0,46
YCR012W,40.0,158.0,2422
YCR013C,3497.0,684.0,1
YCR014C,1613.0,1467.0,1
YCR015C,24.0,81.0,8
YCR016W,26.0,169.0,149
YCR017C,29.0,190.0,113
YCR018C,,,0
YCR018C-A,,,0
YCR019W,148.0,114.0,67
YCR020C,455.0,77.0,8
YCR020C-A,18.0,163.0,277
YCR020W-B,32.0,486.0,18
YCR021C,113.0,179.0,35
YCR022C,264.0,280.0,2
YCR023C,77.0,241.0,394
YCR024C,19.0,142.0,64
YCR024C-A,149.0,536.0,237
YCR024C-B,351.0,190.0,237
YCR025C,622.0,24.0,2
YCR026C,74.0,215.0,20
YCR027C,175.0,638.0,13
YCR028C,118.0,258.0,70
YCR028C-A,61.0,192.0,1622
YCR030C,85.0,173.0,65
YCR031C,21.0,101.0,32058
YCR032W,,,0
YCR033W,,,0
YCR034W,26.0,168.0,245
YCR035C,18.0,145.0,26
YCR036W,4.0,83.0,94
YCR037C,34.0,97.0,2
YCR038C,1698.0,271.0,1
YCR038W-A,,,0
YCR039C,1069.0,2196.0,1
YCR040W,,,0
YCR041W,,,0
YCR042C,,,0
YCR043C,33.0,166.0,31
YCR044C,7.0,87.0,21
YCR045C,162.0,62.0,2
YCR045W-A,617.0,687.0,67
YCR046C,6.0,104.0,679
YCR047C,66.0,201.0,68
YCR047W-A,,,0
YCR048W,25.0,195.0,5
YCR049C,,,0
YCR050C,100.0,77.0,0
YCR051W,24.0,132.0,2993
YCR052W,33.0,210.0,210
YCR053W,41.0,77.0,1009
YCR054C,50.0,180.0,10
YCR057C,62.0,113.0,206
YCR059C,14.0,181.0,180
YCR060W,25.0,123.0,1
YCR061W,25.0,358.0,213
YCR063W,22.0,481.0,210
YCR064C,4.0,4.0,3
YCR065W,183.0,326.0,27
YCR066W,50.0,165.0,18
YCR067C,119.0,76.0,20
YCR068W,122.0,1356.0,18
YCR069W,147.0,121.0,230
YCR071C,45.0,79.0,76
YCR072C,34.0,104.0,121
YCR073C,65.0,72.0,6
YCR073W-A,18.0,114.0,9
YCR075C,10.0,144.0,2
YCR075W-A,9.0,80.0,42
YCR076C,17.0,105.0,79
YCR077C,42.0,138.0,35
YCR079W,27.0,126.0,74
YCR081C-A,7.0,130.0,0
YCR081W,,,0
YCR082W,30.0,107.0,86
YCR083W,35.0,123.0,20
YCR084C,227.0,76.0,14
YCR085W,,,0
YCR086W,63.0,53.0,100
YCR087C-A,36.0,63.0,322
YCR087W,634.0,530.0,1
YCR088W,46.0,133.0,1020
YCR089W,,,0
YCR090C,37.0,70.0,555
YCR091W,63.0,458.0,4
YCR092C,36.0,155.0,3
YCR093W,,,0
YCR094W,63.0,274.0,352
YCR095C,38.0,56.0,34
YCR095W-A,161.0,1407.0,13
YCR096C,,,0
YCR097W,12.0,25.0,10
YCR097W-A,,,0
YCR098C,59.0,258.0,169
YCR099C,505.0,263.0,29
YCR100C,796.0,705.0,4
YCR101C,4.0,1916.0,3
YCR102C,70.0,271.0,9
YCR102W-A,779.0,1379.0,1
YCR104W,1845.0,136.0,1
YCR105W,,,0
YCR106W,30.0,1850.0,2
YCR107W,864.0,258.0,3
YCR108C,,,0
YDL001W,78.0,116.0,14
YDL002C,85.0,285.0,73
YDL003W,127.0,115.0,4
YDL004W,43.0,198.0,1459
YDL005C,24.0,209.0,7
YDL006W,140.0,116.0,22
YDL007C-A,,,0
YDL007W,33.0,73.0,224
YDL008W,30.0,114.0,31
YDL009C,91.0,28.0,1
YDL010W,28.0,258.0,26
YDL011C,,,0
YDL012C,17.0,151.0,249
YDL013W,135.0,114.0,38
YDL014W,143.0,165.0,2749
YDL015C,53.0,244.0,79
YDL016C,,,0
YDL017W,34.0,128.0,5
YDL018C,60.0,89.0,223
YDL019C,213.0,90.0,3
YDL020C,244.0,143.0,15
YDL021W,24.0,75.0,35
YDL022C-A,,,0
YDL022W,65.0,156.0,86
YDL023C,1038.0,70.0,1
YDL024C,11.0,252.0,3
YDL025C,196.0,107.0,52
YDL025W-A,120.0,1892.0,2
YDL026W,252.0,177.0,1
YDL027C,46.0,93.0,49
YDL028C,176.0,154.0,16
YDL029W,20.0,127.0,194
YDL030W,79.0,91.0,52
YDL031W,52.0,76.0,107
YDL032W,91.0,260.0,0
YDL033C,39.0,253.0,10
YDL034W,,,0
YDL035C,284.0,131.0,2
YDL036C,9.0,145.0,15
YDL037C,187.0,2730.0,1
YDL039C,1693.0,114.0,1
YDL040C,30.0,112.0,94
YDL041W,34.0,420.0,4
YDL042C,56.0,120.0,21
YDL043C,38.0,310.0,30
YDL044C,25.0,76.0,38
YDL045C,110.0,127.0,48
YDL045W-A,24.0,121.0,207
YDL046W,40.0,277.0,253
YDL047W,143.0,64.0,1
YDL048C,50.0,86.0,97
YDL049C,99.0,266.0,14
YDL050C,,,0
YDL051W,23.0,97.0,97
YDL052C,52.0,77.0,590
YDL053C,198.0,190.0,72
YDL054C,89.0,79.0,32
YDL055C,149.0,147.0,642
YDL056W,71.0,61.0,1
YDL057W,35.0,41.0,12
YDL058W,,,0
YDL059C,108.0,260.0,1
YDL060W,,,0
YDL061C,32.0,167.0,4173
YDL062W,,,0
YDL063C,87.0,144.0,34
YDL064W,40.0,100.0,181
YDL065C,19.0,24.0,53
YDL066W,17.0,141.0,436
YDL067C,46.0,234.0,542
YDL068W,13.0,240.0,1
YDL069C,133.0,123.0,30
YDL070W,23.0,157.0,194
YDL071C,3402.0,918.0,2
YDL072C,63.0,88.0,506
YDL073W,186.0,56.0,5
YDL074C,72.0,109.0,57
YDL075W,31.0,67.0,10869
YDL076C,147.0,227.0,15
YDL077C,148.0,65.0,1
YDL078C,72.0,84.0,304
YDL079C,36.0,128.0,102
YDL080C,185.0,168.0,12
YDL081C,66.0,108.0,4813
YDL082W,29.0,136.0,1352
YDL083C,18.0,130.0,30410
YDL084W,168.0,87.0,1118
YDL085C-A,59.0,245.0,257
YDL085W,89.0,83.0,3
YDL086C-A,129.0,256.0,6
YDL086W,5.0,59.0,709
YDL087C,13.0,160.0,10
YDL088C,128.0,154.0,18
YDL089W,293.0,72.0,60
YDL090C,7.0,131.0,18
YDL091C,88.0,102.0,152
YDL092W,23.0,146.0,269
YDL093W,48.0,268.0,26
YDL094C,2112.0,114.0,2
YDL095W,30.0,77.0,218
YDL096C,34.0,1698.0,1
YDL097C,32.0,98.0,127
YDL098C,10.0,138.0,15
YDL099W,54.0,81.0,33
YDL100C,36.0,81.0,514
YDL101C,13.0,128.0,55
YDL102W,81.0,109.0,6
YDL103C,73.0,93.0,115
YDL104C,19.0,84.0,11
YDL105W,44.0,159.0,14
YDL106C,12.0,267.0,3
YDL107W,27.0,152.0,4
YDL108W,32.0,86.0,30
YDL109C,352.0,287.0,1
YDL110C,57.0,184.0,95
YDL111C,67.0,63.0,60
YDL112W,41.0,111.0,1
YDL113C,63.0,120.0,67
YDL114W,183.0,108.0,1
YDL114W-A,764.0,222.0,1
YDL115C,42.0,92.0,29
YDL116W,41.0,66.0,17
YDL117W,12.0,151.0,28
YDL118W,,,0
YDL119C,52.0,156.0,9
YDL120W,76.0,154.0,112
YDL121C,19.0,200.0,86
YDL122W,215.0,81.0,8
YDL123W,44.0,488.0,11
YDL124W,45.0,72.0,29
YDL125C,210.0,117.0,41
YDL126C,44.0,91.0,206
YDL127W,35.0,167.0,8
YDL128W,61.0,173.0,36
YDL129W,150.0,440.0,5
YDL130W,17.0,93.0,5311
YDL130W-A,19.0,162.0,422
