gene	max_five_prime_utr	max_three_prime_utr
YBL093C	113	148
YBL094C	0	0
YBL095W	157	120
YBL096C	783	50
YBL098W	20	63
YBL099W	309	205
YBL100W-B	123	314
YBL101C	156	142
YBL102W	44	146
YBL103C	252	264
YBL104C	9	27
YBL105C	258	139
YBL106C	477	70
YBL107C	14	129
YBL113C	470	784
YBL113W-A	122	889
YBR001C	44	38
YBR002C	23	120
YBR003W	21	132
YBR004C	11	94
YBR005W	77	152
YBR006W	118	138
YBR007C	67	146
YBR008C	672	45
YBR009C	31	167
YBR010W	17	134
YBR011C	48	114
YBR012C	771	137
YBR012W-A	913	737
YBR012W-B	42	315
YBR013C	313	156
YBR014C	57	112
YBR015C	84	140
YBR016W	34	111
YBR017C	41	106
YBR018C	30	96
YBR019C	683	105
YBR020W	859	45
YBR021W	251	92
YBR022W	75	109
YBR023C	137	131
YBR024W	105	123
YBR025C	119	213
YBR026C	57	117
YBR027C	985	0
YBR028C	88	178
YBR029C	74	44
YBR030W	71	34
YBR031W	48	75
YBR033W	684	85
YBR034C	35	191
YBR035C	19	100
YBR036C	38	197
YBR037C	38	72
YBR038W	37	187
YBR039W	80	182
YBR041W	46	148
YBR042C	56	65
YBR043C	138	109
YBR044C	72	51
YBR045C	975	141
YBR046C	30	45
YBR047W	71	96
YBR048W	0	216
YBR049C	83	238
YBR050C	65	39
YBR051W	844	15
YBR052C	59	59
YBR053C	14	69
YBR054W	308	363
YBR055C	86	101
YBR056W	54	44
YBR056W-A	91	437
YBR057C	99	113
YBR058C	11	31
YBR058C-A	213	137
YBR059C	122	84
YBR060C	78	58
YBR061C	18	159
YBR062C	576	112
YBR063C	837	61
YBR064W	984	493
YBR065C	55	294
YBR066C	165	97
YBR067C	67	124
YBR068C	50	222
YBR069C	97	147
YBR070C	67	45
YBR071W	148	269
YBR072W	150	167
YBR073W	15	64
YBR074W	13	46
YBR076C-A	727	180
YBR076W	121	201
YBR077C	212	220
YBR078W	0	159
YBR079C	13	89
YBR080C	13	147
YBR081C	135	76
YBR082C	107	169
YBR083W	41	91
YBR084C-A	0	69
YBR084W	38	97
YBR085C-A	88	361
YBR085W	131	84
YBR086C	159	124
YBR087W	11	57
YBR088C	49	70
YBR089C-A	27	108
YBR089W	306	13
YBR090C	451	327
YBR091C	37	92
YBR092C	18	52
YBR093C	853	59
YBR094W	42	3
YBR095C	27	92
YBR096W	79	45
YBR097W	45	82
YBR098W	102	161
YBR099C	586	170
YBR101C	691	37
YBR102C	67	105
YBR103C-A	99	401
YBR103W	153	49
YBR104W	79	83
YBR105C	58	153
YBR106W	56	141
YBR107C	241	305
YBR108W	119	184
YBR109C	42	196
YBR110W	196	102
YBR111C	66	76
YBR111W-A	33	168
YBR112C	84	232
YBR114W	80	66
YBR115C	80	142
YBR116C	929	0
YBR117C	643	152
YBR118W	108	91
YBR119W	309	147
YBR120C	86	67
YBR121C	127	104
YBR121C-A	435	997
YBR122C	106	198
YBR123C	50	62
YBR125C	177	139
YBR126C	85	132
YBR127C	53	175
YBR128C	56	105
YBR129C	35	91
YBR130C	57	95
YBR131W	28	79
YBR132C	213	94
YBR133C	118	58
YBR135W	85	106
YBR136W	9	200
YBR137W	109	91
YBR138C	73	151
YBR139W	3	121
YBR140C	289	102
YBR141C	20	115
YBR142W	51	171
YBR143C	64	139
YBR145W	78	85
YBR146W	61	184
YBR147W	132	18
YBR148W	83	87
YBR149W	62	103
YBR150C	20	77
YBR151W	135	134
YBR153W	914	165
YBR154C	113	100
YBR155W	65	83
YBR156C	42	178
YBR157C	808	112
YBR158W	252	155
YBR159W	49	32
YBR160W	111	96
YBR161W	338	133
YBR162C	224	150
YBR163W	341	55
YBR164C	125	128
YBR165W	81	141
YBR166C	40	34
YBR168W	288	156
YBR169C	15	171
YBR170C	38	136
YBR171W	28	128
YBR172C	104	107
YBR173C	27	161
YBR174C	841	154
YBR175W	233	108
YBR176W	106	86
YBR177C	61	124
YBR179C	59	57
YBR181C	0	84
YBR182C	221	287
YBR183W	76	49
YBR184W	14	92
YBR185C	44	120
YBR186W	0	168
YBR187W	121	125
YBR188C	64	73
YBR189W	13	59
YBR191W	0	110
YBR192W	193	198
YBR193C	44	226
YBR194W	125	158
YBR195C	79	127
YBR196C	66	166
YBR197C	323	429
YBR198C	72	92
YBR199W	88	130
YBR200W	52	225
YBR201W	143	126
YBR202W	49	166
YBR203W	184	135
YBR204C	53	217
YBR205W	36	104
YBR207W	78	113
YBR208C	0	141
YBR210W	207	127
YBR211C	101	128
YBR212W	271	209
YBR213W	88	198
YBR214W	94	153
YBR215W	73	116
YBR216C	23	271
YBR217W	51	105
YBR218C	51	133
YBR219C	955	127
YBR220C	183	145
YBR221C	220	160
YBR221W-A	0	367
YBR222C	32	116
YBR223C	16	242
YBR223W-A	319	918
YBR225W	104	251
YBR226C	651	945
YBR227C	48	64
YBR228W	306	114
YBR229C	14	99
YBR230C	0	20
YBR230W-A	22	2
YBR231C	45	42
YBR233W	97	163
YBR234C	35	67
YBR235W	91	98
YBR236C	40	119
YBR237W	43	103
YBR238C	61	491
YBR239C	211	100
YBR240C	185	178
YBR241C	28	57
YBR242W	196	69
YBR243C	110	71
YBR244W	40	127
YBR245C	0	129
YBR246W	32	101
YBR247C	19	127
YBR248C	88	79
YBR249C	125	120
YBR251W	65	83
YBR252W	12	64
YBR253W	48	28
YBR254C	12	57
YBR255C-A	31	111
YBR255W	23	89
YBR256C	38	48
YBR257W	50	22
YBR258C	28	446
YBR259W	39	70
YBR260C	83	131
YBR261C	28	77
YBR263W	48	64
YBR264C	25	43
YBR265W	37	134
YBR266C	769	101
YBR267W	6	123
YBR268W	18	88
YBR269C	11	102
YBR270C	291	39
YBR271W	27	101
YBR272C	15	188
YBR273C	19	110
YBR274W	41	39
YBR275C	146	134
YBR276C	84	78
YBR277C	490	15
YBR278W	24	93
YBR279W	33	120
YBR280C	17	167
YBR281C	40	112
YBR282W	36	92
YBR283C	157	165
YBR284W	242	176
YBR285W	83	133
YBR286W	18	63
YBR287W	58	52
YBR288C	44	75
YBR289W	25	60
YBR290W	30	104
YBR291C	75	50
YBR292C	756	0
YBR293W	94	201
YBR294W	723	332
YBR295W	98	29
YBR296C	210	164
YBR297W	39	221
YBR298C	411	75
YBR299W	196	50
YBR302C	4	44
YCL001W	66	86
YCL002C	893	171
YCL004W	69	81
YCL005W	117	103
YCL005W-A	1	105
YCL007C	179	97
YCL008C	7	134
YCL009C	34	142
YCL011C	618	91
YCL012C	47	134
YCL014W	108	110
YCL016C	64	142
YCL017C	94	86
YCL019W	39	315
YCL021W-A	920	311
YCL022C	307	774
YCL024W	55	97
YCL025C	21	83
YCL026C-B	25	63
YCL027W	184	89
YCL028W	58	70
YCL029C	77	255
YCL030C	50	91
YCL031C	38	104
YCL032W	41	103
YCL033C	4	72
YCL034W	39	26
YCL035C	62	117
YCL036W	36	102
YCL037C	56	289
YCL038C	83	79
YCL039W	16	72
YCL040W	47	48
YCL042W	0	427
YCL043C	46	72
YCL044C	101	170
YCL045C	16	59
YCL047C	23	78
YCL049C	178	139
YCL050C	57	117
YCL051W	275	113
YCL052C	32	112
YCL054W	15	110
YCL055W	6	84
YCL056C	172	181
YCL057W	3	109
YCL058C	0	0
YCL058W-A	11	66
YCL059C	29	32
YCL061C	54	174
YCL063W	40	148
YCL064C	28	95
YCR002C	44	69
YCR003W	12	107
YCR004C	188	113
YCR005C	546	104
YCR007C	799	82
YCR008W	431	267
YCR009C	72	101
YCR010C	354	132
YCR011C	157	59
YCR012W	58	164
YCR013C	130	96
YCR014C	870	21
YCR015C	24	80
YCR016W	31	160
YCR017C	21	188
YCR018C	0	151
YCR018C-A	37	0
YCR019W	136	116
YCR020C-A	22	158
YCR021C	105	121
YCR023C	87	243
YCR024C	65	116
YCR026C	257	218
YCR027C	176	77
YCR028C	103	193
YCR028C-A	77	189
YCR030C	87	173
YCR031C	0	112
YCR032W	116	82
YCR033W	214	171
YCR034W	39	162
YCR035C	20	151
YCR036W	32	88
YCR037C	32	103
YCR038C	18	108
YCR039C	0	41
YCR041W	2	224
YCR042C	77	84
YCR043C	48	168
YCR044C	11	48
YCR045C	362	162
YCR045W-A	608	621
YCR046C	51	110
YCR047C	79	184
YCR047W-A	782	93
YCR048W	40	183
YCR050C	196	752
YCR051W	111	136
YCR052W	23	186
YCR053W	93	81
YCR054C	98	143
YCR057C	59	115
YCR059C	26	168
YCR060W	44	39
YCR061W	526	198
YCR065W	32	1
YCR066W	39	102
YCR067C	114	79
YCR068W	134	50
YCR069W	715	81
YCR071C	37	72
YCR072C	19	73
YCR073C	55	74
YCR073W-A	13	14
YCR075C	19	146
YCR075W-A	23	83
YCR076C	13	106
YCR077C	32	126
YCR079W	36	109
YCR081C-A	769	526
YCR081W	11	719
YCR082W	841	94
YCR083W	24	25
YCR084C	225	311
YCR086W	98	52
YCR087C-A	392	61
YCR087W	49	2
YCR088W	28	81
YCR089W	284	65
YCR090C	35	74
YCR091W	47	139
YCR092C	31	157
YCR093W	17	117
YCR094W	51	265
YCR095C	44	54
YCR097W	25	28
YCR099C	948	242
YCR100C	766	675
YCR102C	185	63
YCR105W	829	54
YCR107W	408	127
YDL001W	68	120
YDL002C	97	287
YDL003W	112	131
YDL004W	49	229
YDL005C	40	182
YDL006W	373	114
YDL007W	31	74
YDL008W	19	100
YDL009C	53	332
YDL010W	32	162
YDL012C	257	174
YDL013W	149	102
YDL014W	138	169
YDL015C	42	232
YDL016C	965	878
YDL017W	95	117
YDL018C	60	48
YDL019C	200	91
YDL020C	213	127
YDL021W	63	77
YDL022W	62	190
YDL023C	964	26
YDL024C	279	267
YDL025C	199	131
YDL025W-A	206	278
YDL027C	42	102
YDL028C	98	157
YDL029W	0	134
YDL030W	66	83
YDL031W	42	92
YDL033C	35	198
YDL035C	225	143
YDL036C	200	132
YDL039C	991	101
YDL040C	15	113
YDL042C	48	115
YDL043C	42	311
YDL044C	179	74
YDL045C	136	128
YDL045W-A	43	127
YDL046W	84	273
YDL047W	230	278
YDL048C	39	89
YDL050C	89	318
YDL051W	33	109
YDL052C	52	82
YDL053C	187	178
YDL054C	75	78
YDL055C	151	147
YDL056W	86	77
YDL057W	23	42
YDL058W	404	137
YDL059C	132	229
YDL060W	9	19
YDL063C	221	69
YDL064W	0	122
YDL065C	12	24
YDL066W	165	91
YDL068W	498	94
YDL069C	122	125
YDL070W	21	167
YDL072C	223	88
YDL073W	152	56
YDL074C	62	107
YDL075W	0	71
YDL076C	134	98
YDL077C	169	69
YDL078C	61	92
YDL079C	259	120
YDL080C	125	172
YDL081C	64	98
YDL082W	0	138
YDL083C	0	134
YDL084W	168	76
YDL085W	36	77
YDL086C-A	342	231
YDL086W	9	70
YDL087C	242	160
YDL088C	381	155
YDL089W	282	76
YDL090C	22	55
YDL091C	94	95
YDL092W	12	139
YDL093W	37	271
YDL094C	19	266
YDL095W	19	103
YDL097C	34	80
YDL098C	22	135
YDL099W	58	71
YDL100C	44	80
YDL101C	29	111
YDL102W	73	126
YDL103C	52	98
YDL104C	288	5
YDL105W	36	32
YDL106C	54	14
YDL107W	43	149
YDL108W	29	52
YDL109C	342	910
YDL110C	603	164
YDL111C	58	67
YDL112W	63	94
YDL113C	60	81
YDL114W-A	122	100
YDL115C	31	93
YDL116W	52	69
YDL117W	289	138
YDL118W	741	91
YDL119C	171	60
YDL120W	33	73
YDL122W	162	65
YDL123W	284	492
YDL124W	82	73
YDL125C	172	114
YDL126C	38	73
YDL127W	131	172
YDL128W	341	117
YDL129W	156	266
YDL130W	16	98
YDL130W-A	64	159
YDL131W	81	104
YDL132W	250	163
YDL133W	132	97
YDL134C	491	87
YDL135C	161	94
YDL136W	0	89
YDL137W	39	138
YDL138W	172	106
YDL139C	66	114
YDL140C	64	118
YDL141W	179	264
YDL142C	72	40
YDL143W	29	102
YDL144C	33	94
YDL145C	249	164
YDL146W	172	127
YDL147W	47	144
YDL148C	39	200
YDL149W	372	98
YDL150W	123	99
YDL151C	833	57
YDL153C	24	110
YDL154W	327	81
YDL155W	439	131
YDL157C	34	184
YDL158C	442	651
YDL159C-B	968	621
YDL159W	36	124
YDL160C	186	465
YDL160C-A	18	74
YDL161W	6	105
YDL164C	160	164
YDL165W	44	41
YDL166C	63	76
YDL167C	44	139
YDL168W	71	56
YDL169C	30	65
YDL170W	15	74
YDL171C	0	128
YDL172C	119	424
YDL173W	37	111
YDL174C	314	96
YDL175C	19	108
YDL176W	126	114
YDL178W	13	72
YDL179W	103	113
YDL180W	248	49
YDL182W	27	23
YDL183C	883	71
YDL185W	101	112
YDL188C	165	56
YDL189W	35	92
YDL190C	181	210
YDL191W	0	103
YDL192W	76	64
YDL193W	104	158
YDL194W	192	76
YDL195W	113	144
YDL197C	52	96
YDL198C	129	105
YDL199C	247	91
YDL200C	204	73
YDL201W	83	85
YDL202W	51	103
YDL203C	177	181
YDL204W	483	128
YDL205C	208	53
YDL206W	148	25
YDL207W	26	75
YDL208W	34	128
YDL209C	29	200
YDL210W	112	91
YDL211C	298	160
YDL212W	54	151
YDL213C	60	77
YDL214C	751	118
YDL215C	481	154
YDL216C	8	133
YDL217C	164	106
YDL218W	528	190
YDL219W	36	281
YDL220C	8	382
YDL221W	321	715
YDL222C	536	322
YDL223C	182	321
YDL224C	352	146
YDL225W	47	93
YDL226C	12	213
YDL227C	22	67
YDL228C	121	46
YDL229W	22	104
YDL230W	42	41
YDL231C	108	67
YDL233W	28	179
YDL234C	125	64
YDL235C	111	131
YDL236W	47	99
YDL237W	27	81
YDL238C	40	69
YDL239C	503	52
YDL240W	184	244
YDL241W	139	252
YDL243C	689	95
YDL244W	15	123
YDL245C	532	199
YDL247W	0	86
YDL247W-A	996	193
YDL248W	4	607
YDR001C	215	74
YDR002W	46	186
YDR003W	61	292
YDR004W	206	170
YDR005C	128	157
YDR006C	91	89
YDR007W	186	47
YDR008C	55	219
YDR009W	698	265
YDR010C	250	195
YDR011W	325	182
YDR012W	59	80
YDR013W	592	90
YDR014W	29	389
YDR016C	24	106
YDR017C	126	175
YDR018C	31	124
YDR019C	379	178
YDR020C	116	418
YDR021W	71	59
YDR022C	18	102
YDR023W	41	135
YDR025W	0	90
YDR026C	136	96
YDR027C	112	76
YDR028C	491	279
YDR030C	18	54
YDR031W	22	149
YDR032C	75	154
YDR033W	332	450
YDR034C	418	77
YDR034C-D	40	315
YDR034W-B	32	122
YDR035W	66	97
YDR036C	64	137
YDR037W	87	83
YDR038C	557	141
YDR039C	91	91
YDR040C	123	90
YDR041W	192	163
YDR042C	486	93
YDR043C	191	109
YDR044W	171	138
YDR045C	142	206
YDR046C	81	79
YDR047W	40	80
YDR049W	49	113
YDR050C	47	80
YDR051C	34	62
YDR052C	143	243
YDR054C	178	380
YDR055W	52	147
YDR056C	60	105
YDR057W	225	85
YDR058C	23	38
YDR059C	73	111
YDR060W	81	91
YDR061W	43	114
YDR062W	350	292
YDR063W	150	67
YDR064W	7	81
YDR065W	69	350
YDR066C	342	109
YDR067C	67	86
YDR068W	41	94
YDR069C	52	309
YDR070C	54	62
YDR071C	107	89
YDR072C	248	61
YDR073W	250	267
YDR074W	99	244
YDR075W	184	154
YDR076W	52	580
YDR077W	51	327
YDR078C	46	104
YDR079W	21	116
YDR080W	42	179
YDR081C	78	32
YDR082W	80	146
YDR083W	12	91
YDR084C	63	138
YDR085C	118	91
YDR086C	93	178
YDR087C	108	94
YDR088C	198	59
YDR089W	114	95
YDR090C	103	341
YDR091C	44	342
YDR092W	0	99
YDR093W	286	64
YDR094W	933	8
YDR095C	0	302
YDR096W	116	161
YDR097C	204	66
YDR098C	40	51
YDR098C-A	166	735
YDR098C-B	43	321
YDR099W	229	223
YDR100W	29	133
YDR101C	15	100
YDR103W	34	49
YDR104C	8	37
YDR105C	61	76
YDR107C	14	44
YDR108W	53	91
YDR109C	353	108
YDR110W	45	207
YDR111C	232	192
YDR113C	121	78
YDR114C	458	0
YDR115W	43	115
YDR116C	35	61
YDR117C	75	48
YDR118W	17	112
YDR119W	92	47
YDR119W-A	52	173
YDR120C	0	208
YDR121W	124	109
YDR122W	291	169
YDR123C	413	539
YDR124W	541	849
YDR125C	0	997
YDR126W	68	251
YDR127W	154	58
YDR128W	28	134
YDR129C	491	147
YDR130C	21	99
YDR131C	88	69
YDR132C	126	116
YDR134C	57	288
YDR135C	77	99
YDR137W	94	139
YDR138W	22	634
YDR139C	211	179
YDR140W	3	108
YDR141C	290	77
YDR142C	215	67
YDR143C	135	178
YDR144C	138	93
YDR145W	76	122
YDR146C	153	168
YDR147W	423	28
YDR148C	166	133
YDR150W	57	62
YDR151C	158	187
YDR152W	55	72
YDR153C	124	125
YDR154C	322	0
YDR155C	78	109
YDR156W	119	95
YDR157W	451	0
YDR158W	31	115
YDR159W	61	39
YDR160W	166	68
YDR161W	47	84
YDR162C	128	195
YDR163W	62	102
YDR164C	31	124
YDR165W	29	89
YDR166C	54	98
YDR167W	24	81
YDR168W	29	118
YDR169C	354	139
YDR170C	90	203
YDR170W-A	329	735
YDR171W	76	68
YDR172W	41	91
YDR173C	57	70
YDR174W	21	170
YDR175C	38	122
YDR176W	37	71
YDR177W	103	66
YDR178W	108	196
YDR179C	21	112
YDR179W-A	89	49
YDR180W	132	50
YDR181C	15	142
YDR182W	41	75
YDR183C-A	893	1
YDR183W	59	41
YDR184C	91	159
YDR185C	248	157
YDR186C	44	119
YDR188W	51	166
YDR189W	40	120
YDR190C	45	81
YDR191W	37	66
YDR192C	66	87
YDR193W	553	3
YDR194C	12	146
YDR195W	230	77
YDR196C	18	88
YDR197W	34	55
YDR198C	42	38
YDR199W	42	908
YDR200C	66	133
YDR201W	46	120
YDR202C	23	39
YDR203W	912	315
YDR204W	25	93
YDR205W	18	56
YDR206W	290	216
YDR207C	58	187
YDR208W	111	118
YDR209C	280	43
YDR210C-C	269	784
YDR210C-D	48	321
YDR210W-B	151	319
YDR211W	67	150
YDR212W	73	84
YDR213W	131	213
YDR214W	125	94
YDR216W	500	313
YDR217C	36	77
YDR219C	213	203
YDR221W	5	533
YDR222W	109	160
YDR223W	708	250
YDR224C	113	111
YDR225W	88	162
YDR226W	57	129
YDR227W	235	170
YDR228C	78	73
YDR229W	88	56
YDR230W	137	278
YDR231C	24	102
YDR232W	248	174
YDR233C	50	94
YDR234W	73	118
YDR235W	20	69
YDR236C	460	110
YDR237W	131	128
YDR238C	48	197
YDR239C	59	78
YDR240C	36	58
YDR241W	97	403
YDR242W	160	103
YDR243C	20	19
YDR244W	14	111
YDR245W	86	146
YDR246W	24	157
YDR246W-A	868	176
YDR247W	540	347
YDR248C	320	106
YDR249C	262	117
YDR251W	291	178
YDR252W	7	600
YDR253C	240	509
YDR254W	151	31
YDR255C	34	18
YDR256C	116	122
YDR257C	11	296
YDR258C	22	113
YDR259C	201	138
YDR260C	107	340
YDR261C	44	122
YDR261C-C	161	735
YDR261C-D	41	344
YDR261W-B	39	319
YDR262W	296	198
YDR263C	672	113
YDR264C	57	263
YDR265W	276	185
YDR266C	204	125
YDR267C	60	155
YDR268W	200	105
YDR270W	95	80
YDR272W	46	48
YDR273W	974	24
YDR275W	152	290
YDR277C	300	193
YDR279W	110	37
YDR280W	130	105
YDR282C	120	185
YDR283C	153	151
YDR284C	276	59
YDR285W	146	163
YDR286C	13	88
YDR287W	196	83
YDR288W	580	153
YDR289C	56	83
YDR291W	27	138
YDR292C	123	64
YDR293C	351	326
YDR294C	45	55
YDR295C	102	86
YDR296W	55	90
YDR297W	103	165
YDR298C	168	165
YDR299W	43	96
YDR300C	50	112
YDR301W	61	135
YDR303C	275	124
YDR304C	43	73
YDR305C	569	59
YDR306C	44	98
YDR307W	49	115
YDR308C	45	113
YDR309C	66	365
YDR310C	278	197
YDR311W	21	99
YDR312W	55	96
YDR313C	763	131
YDR314C	53	1
YDR315C	36	87
YDR316W	23	83
YDR316W-A	177	735
YDR316W-B	41	325
YDR317W	133	103
YDR318W	60	140
YDR319C	256	77
YDR320C	15	96
YDR321W	33	95
YDR322C-A	34	211
YDR322W	14	99
YDR323C	438	95
YDR324C	319	183
YDR325W	279	67
YDR326C	201	145
YDR327W	87	445
YDR328C	63	194
YDR329C	18	67
YDR330W	61	73
YDR331W	43	57
YDR332W	12	58
YDR333C	21	214
YDR334W	153	112
YDR335W	360	97
YDR336W	38	65
YDR337W	52	59
YDR338C	271	125
YDR339C	32	93
YDR341C	42	89
YDR342C	77	150
YDR343C	82	153
YDR345C	14	147
YDR346C	150	282
YDR347W	105	118
YDR348C	189	170
YDR349C	102	104
YDR350C	39	78
YDR351W	210	150
YDR352W	489	223
YDR353W	79	71
YDR354W	114	74
YDR356W	15	274
YDR357C	112	98
YDR358W	31	169
YDR359C	41	126
YDR361C	30	248
YDR362C	96	61
YDR363W	166	287
YDR363W-A	25	170
YDR364C	21	375
YDR365C	61	94
YDR365W-A	184	787
YDR365W-B	41	321
YDR366C	0	433
YDR367W	110	35
YDR368W	232	166
YDR369C	12	107
YDR370C	3	57
YDR371W	67	99
YDR372C	275	146
YDR373W	88	108
YDR375C	30	60
YDR376W	244	38
YDR377W	83	286
YDR378C	27	170
YDR379W	111	85
YDR380W	200	126
YDR381C-A	184	108
YDR381W	67	115
YDR382W	84	139
YDR383C	295	64
YDR384C	338	164
YDR385W	48	153
YDR386W	8	99
YDR387C	92	131
YDR388W	40	114
YDR389W	438	197
YDR390C	18	54
YDR391C	384	66
YDR392W	59	131
YDR393W	140	170
YDR394W	93	94
YDR395W	111	97
YDR396W	116	59
YDR397C	65	98
YDR398W	63	125
YDR399W	51	114
YDR400W	63	156
YDR403W	3	62
YDR404C	196	157
YDR405W	62	142
YDR406W	99	121
YDR406W-A	770	918
YDR407C	68	72
YDR408C	263	93
YDR409W	32	245
YDR410C	59	25
YDR411C	38	65
YDR412W	53	59
YDR413C	167	167
YDR414C	187	122
YDR415C	37	45
YDR416W	70	35
YDR417C	297	8
YDR418W	60	72
YDR419W	151	270
YDR420W	0	184
YDR421W	68	32
YDR422C	40	37
YDR423C	11	73
YDR424C	35	46
YDR425W	78	41
YDR426C	48	916
YDR427W	26	91
YDR428C	201	105
YDR429C	25	108
YDR430C	163	40
YDR432W	16	238
YDR433W	840	225
YDR434W	89	118
YDR435C	18	133
YDR436W	248	162
YDR438W	634	10
YDR439W	111	109
YDR440W	84	102
YDR441C	197	167
YDR442W	537	958
YDR443C	97	336
YDR444W	76	53
YDR445C	0	157
YDR447C	0	122
YDR448W	95	105
YDR449C	38	75
YDR450W	0	119
YDR451C	173	182
YDR452W	621	42
YDR453C	71	90
YDR454C	51	105
YDR456W	288	62
YDR457W	105	93
YDR458C	49	99
YDR459C	101	64
YDR460W	130	108
YDR461C-A	25	26
YDR462W	42	124
YDR463W	33	172
YDR464C-A	686	813
YDR464W	119	160
YDR465C	56	150
YDR466W	97	167
YDR467C	180	127
YDR468C	134	124
YDR469W	26	67
YDR470C	80	179
YDR471W	0	120
YDR472W	114	125
YDR473C	56	100
YDR475C	87	113
YDR476C	54	204
YDR477W	139	139
YDR479C	215	81
YDR480W	221	99
YDR481C	39	79
YDR482C	99	103
YDR483W	36	114
YDR484W	26	74
YDR485C	32	171
YDR486C	32	115
YDR487C	474	102
YDR488C	91	930
YDR489W	5	81
YDR490C	74	86
YDR491C	974	267
YDR492W	219	86
YDR493W	98	103
YDR494W	51	74
YDR495C	234	111
YDR496C	21	77
YDR497C	64	90
YDR498C	36	43
YDR499W	7	97
YDR500C	0	93
YDR501W	89	188
YDR502C	37	295
YDR503C	60	169
YDR504C	908	184
YDR505C	159	558
YDR506C	52	426
YDR507C	8	183
YDR508C	33	17
YDR511W	39	79
YDR512C	487	10
YDR513W	10	86
YDR514C	65	68
YDR515W	216	12
YDR516C	51	119
YDR517W	159	107
YDR518W	573	51
YDR519W	51	214
YDR520C	71	143
YDR522C	109	60
YDR523C	354	133
YDR524C	68	272
YDR525W-A	101	69
YDR526C	990	67
YDR527W	71	82
