Gene,five_prime_utr,three_prime_utr
YBR017C,68,186
YBR018C,NA,NA
YBR019C,NA,NA
YBR020W,NA,NA
YBR021W,135,186
YBR022W,247,128
YBR023C,128,201
YBR024W,338,104
YBR025C,30,749
YBR026C,82,129
YBR027C,NA,NA
YBR028C,59,175
YBR029C,110,141
YBR030W,271,120
YBR031W,20,196
YBR032W,NA,NA
YBR033W,NA,NA
YBR034C,60,546
YBR035C,378,132
YBR036C,41,335
YBR037C,59,72
YBR038W,40,189
YBR039W,90,438
YBR040W,NA,NA
YBR041W,108,141
YBR042C,46,136
YBR043C,148,154
YBR044C,82,75
YBR045C,NA,NA
YBR046C,40,433
YBR047W,544,133
YBR048W,14,425
YBR049C,148,245
YBR050C,260,37
YBR051W,NA,NA
YBR052C,70,187
YBR053C,11,342
YBR054W,319,448
YBR055C,20,112
YBR056C-B,NA,NA
YBR056W,69,48
YBR056W-A,159,425
YBR057C,111,137
YBR058C,73,15
YBR058C-A,58,244
YBR059C,46,98
YBR060C,123,62
YBR061C,6,611
YBR062C,72,79
YBR063C,1372,56
YBR064W,NA,NA
YBR065C,34,584
YBR066C,304,104
YBR067C,384,137
YBR068C,76,218
YBR069C,168,159
YBR070C,45,119
YBR071W,215,275
YBR072C-A,NA,NA
YBR072W,181,163
YBR073W,NA,NA
YBR074W,4,114
YBR076C-A,52,1221
YBR076W,NA,NA
YBR077C,540,216
YBR078W,175,641
YBR079C,24,151
YBR080C,35,149
YBR081C,NA,NA
YBR082C,38,526
YBR083W,221,78
YBR084C-A,200,122
YBR084W,61,198
YBR085C-A,573,376
YBR085W,554,161
YBR086C,318,124
YBR087W,162,49
YBR088C,42,199
YBR089C-A,47,243
YBR089W,154,254
YBR090C,NA,NA
YBR091C,40,185
YBR092C,1742,50
YBR093C,465,55
YBR094W,65,121
YBR095C,73,91
YBR096W,60,162
YBR097W,NA,NA
YBR098W,19,151
YBR099C,NA,NA
YBR101C,49,840
YBR102C,34,133
YBR103C-A,NA,NA
YBR103W,212,61
YBR104W,109,468
YBR105C,135,159
YBR106W,5,600
YBR107C,48,565
YBR108W,78,196
YBR109C,44,339
YBR109W-A,109,322
YBR110W,257,125
YBR111C,272,70
YBR111W-A,33,177
YBR112C,174,253
YBR113W,NA,NA
YBR114W,87,171
YBR115C,18,136
YBR116C,NA,NA
YBR117C,NA,NA
YBR118W,206,100
YBR119W,64,264
YBR120C,147,243
YBR121C,198,113
YBR121C-A,870,1075
YBR122C,557,201
YBR123C,62,71
YBR124W,NA,NA
YBR125C,195,137
YBR126C,159,134
YBR126W-A,NA,NA
YBR126W-B,13,223
YBR127C,163,165
YBR128C,52,73
YBR129C,44,159
YBR130C,68,112
YBR131C-A,NA,NA
YBR131W,29,225
YBR132C,407,302
YBR133C,158,305
YBR134W,NA,NA
YBR135W,102,273
YBR136W,NA,NA
YBR137W,77,217
YBR138C,NA,NA
YBR139W,5,209
YBR140C,NA,NA
YBR141C,44,167
YBR141W-A,218,460
YBR142W,82,204
YBR143C,102,203
YBR144C,NA,NA
YBR145W,40,304
YBR146W,62,466
YBR147W,147,417
YBR148W,NA,NA
YBR149W,30,280
YBR150C,NA,NA
YBR151W,148,227
YBR152W,NA,NA
YBR153W,608,221
YBR154C,140,95
YBR155W,511,89
YBR156C,77,178
YBR157C,849,128
YBR158W,262,154
YBR159W,52,165
YBR160W,146,602
YBR161W,228,238
YBR162C,237,371
YBR162W-A,370,84
YBR163W,111,57
YBR164C,121,444
YBR165W,110,151
YBR166C,78,109
YBR167C,611,20
YBR168W,NA,NA
YBR169C,127,164
YBR170C,25,286
YBR171W,33,192
YBR172C,128,137
YBR173C,30,225
YBR174C,772,163
YBR175W,671,106
YBR176W,115,162
YBR177C,45,243
YBR178W,NA,NA
YBR179C,64,75
YBR180W,NA,NA
YBR181C,38,235
YBR182C,NA,NA
YBR182C-A,293,414
YBR183W,98,125
YBR184W,NA,NA
YBR185C,57,184
YBR186W,NA,NA
YBR187W,974,121
YBR188C,79,1163
YBR189W,25,406
YBR190W,NA,NA
YBR191W,21,50
YBR191W-A,848,56
YBR192W,213,277
YBR193C,184,472
YBR194W,121,238
YBR195C,67,143
YBR196C,93,192
YBR196C-A,413,108
YBR196C-B,NA,NA
YBR197C,1495,431
YBR198C,85,95
YBR199W,98,303
YBR200W,62,248
YBR200W-A,NA,NA
YBR201C-A,721,187
YBR201W,142,709
YBR202W,95,176
YBR203W,NA,NA
YBR204C,67,254
YBR205W,NA,NA
YBR206W,963,101
YBR207W,84,194
YBR208C,NA,NA
YBR209W,NA,NA
YBR210W,219,11
YBR211C,NA,NA
YBR212W,447,205
YBR213W,117,195
YBR214W,109,192
YBR215W,40,464
YBR216C,46,293
YBR217W,63,327
YBR218C,149,115
YBR219C,NA,NA
YBR220C,66,260
YBR221C,217,308
YBR221W-A,NA,NA
YBR222C,51,113
YBR223C,22,259
YBR223W-A,NA,NA
YBR224W,NA,NA
YBR225W,NA,NA
YBR226C,NA,NA
YBR227C,91,128
YBR228W,NA,152
YBR229C,28,130
YBR230C,220,34
YBR230W-A,410,131
YBR231C,54,281
YBR232C,NA,NA
YBR233W,142,149
YBR233W-A,42,351
YBR234C,61,156
YBR235W,67,70
YBR236C,46,224
YBR237W,52,89
YBR238C,72,499
YBR239C,161,110
YBR240C,NA,NA
YBR241C,118,156
YBR242W,148,260
YBR243C,52,592
YBR244W,579,85
YBR245C,NA,NA
YBR246W,57,142
YBR247C,32,279
YBR248C,104,183
YBR249C,112,284
YBR250W,NA,NA
YBR251W,79,148
YBR252W,17,298
YBR253W,69,98
YBR254C,12,194
YBR255C-A,59,133
YBR255W,35,146
YBR256C,11,467
YBR257W,302,145
YBR258C,74,353
YBR259W,59,134
YBR260C,40,131
YBR261C,36,180
YBR262C,43,127
YBR263W,39,182
YBR264C,441,41
YBR265W,471,132
YBR266C,NA,NA
YBR267W,166,119
YBR268W,29,190
YBR269C,70,275
YBR270C,NA,NA
YBR271W,257,92
YBR272C,29,245
YBR273C,30,108
YBR274W,39,247
YBR275C,NA,NA
YBR276C,125,88
YBR277C,NA,NA
YBR278W,24,196
YBR279W,40,157
YBR280C,2,182
YBR281C,17,129
YBR282W,802,82
YBR283C,189,242
YBR284W,NA,NA
YBR285W,150,141
YBR286W,27,141
YBR287W,90,228
YBR288C,455,65
YBR289W,13,51
YBR290W,6,176
YBR291C,31,268
YBR292C,NA,NA
YBR293W,NA,NA
YBR294W,NA,NA
YBR295W,NA,NA
YBR296C,NA,NA
YBR296C-A,NA,NA
YBR297W,52,229
YBR298C,238,92
YBR298C-A,NA,NA
YBR299W,31,130
YBR300C,297,282
YBR301W,NA,NA
YBR302C,NA,NA
YCL001W,107,101
YCL001W-A,NA,NA
YCL001W-B,NA,NA
YCL002C,24,545
YCL004W,148,69
YCL005W,281,142
YCL005W-A,81,122
YCL007C,NA,NA
YCL008C,52,152
YCL009C,66,147
YCL010C,17,1471
YCL011C,970,109
YCL012C,136,154
YCL014W,NA,NA
YCL016C,147,146
YCL017C,114,363
YCL018W,144,175
YCL021W-A,89,99
YCL022C,NA,NA
YCL023C,NA,NA
YCL024W,NA,NA
YCL025C,103,76
YCL026C-A,126,211
YCL026C-B,98,74
YCL027W,NA,NA
YCL028W,23,381
YCL029C,98,245
YCL030C,59,154
YCL031C,68,118
YCL032W,373,99
YCL033C,184,70
YCL034W,49,119
YCL035C,114,190
YCL036W,51,138
YCL037C,66,675
YCL038C,100,129
YCL039W,33,70
YCL040W,50,315
YCL041C,NA,NA
YCL042W,NA,NA
YCL043C,102,99
YCL044C,82,173
YCL045C,63,56
YCL046W,NA,NA
YCL047C,2,239
YCL048W,NA,NA
YCL048W-A,NA,NA
YCL049C,54,261
YCL050C,650,113
YCL051W,308,116
YCL052C,368,189
YCL054W,42,117
YCL054W-A,NA,NA
YCL055W,35,178
YCL056C,23,453
YCL057C-A,274,142
YCL057W,7,186
YCL058C,NA,NA
YCL058W-A,50,116
YCL059C,245,110
YCL061C,NA,NA
YCL063W,63,149
YCL064C,18,517
YCL065W,NA,NA
YCL066W,NA,NA
YCL067C,NA,NA
YCL068C,NA,NA
YCL069W,NA,NA
YCL073C,NA,NA
YCL076W,NA,NA
YCR001W,NA,NA
YCR002C,54,420
YCR003W,21,179
YCR004C,199,399
YCR005C,54,279
YCR006C,NA,NA
YCR007C,659,164
YCR008W,481,257
YCR009C,55,681
YCR010C,319,181
YCR011C,150,56
YCR012W,121,163
YCR013C,NA,NA
YCR014C,NA,NA
YCR015C,314,73
YCR016W,25,289
YCR017C,68,189
YCR018C,NA,NA
YCR018C-A,NA,NA
YCR019W,278,113
YCR020C,397,94
YCR020C-A,17,416
YCR020W-B,57,515
YCR021C,112,178
YCR022C,263,279
YCR023C,76,343
YCR024C,155,117
YCR024C-A,207,314
YCR024C-B,197,198
YCR025C,621,23
YCR026C,73,239
YCR027C,190,634
YCR028C,117,800
YCR028C-A,60,291
YCR030C,959,370
YCR031C,27,918
YCR032W,NA,NA
YCR033W,NA,NA
YCR034W,53,322
YCR035C,322,127
YCR036W,43,184
YCR037C,NA,NA
YCR038C,NA,NA
YCR038W-A,NA,NA
YCR039C,NA,NA
YCR040W,NA,NA
YCR041W,NA,NA
YCR042C,NA,NA
YCR043C,32,239
YCR044C,17,161
YCR045C,NA,NA
YCR045W-A,622,813
YCR046C,225,103
YCR047C,126,200
YCR047W-A,NA,NA
YCR048W,53,214
YCR049C,NA,NA
YCR050C,NA,NA
YCR051W,8,258
YCR052W,113,226
YCR053W,126,151
YCR054C,49,228
YCR057C,94,112
YCR059C,19,248
YCR060W,24,122
YCR061W,65,356
YCR063W,118,480
YCR064C,1,29
YCR065W,224,325
YCR066W,49,181
YCR067C,118,90
YCR068W,NA,NA
YCR069W,1197,120
YCR071C,13,252
YCR072C,41,121
YCR073C,NA,NA
YCR073W-A,22,123
YCR075C,21,143
YCR075W-A,240,79
YCR076C,21,222
YCR077C,41,194
YCR079W,57,125
YCR081C-A,NA,NA
YCR081W,NA,NA
YCR082W,1213,106
YCR083W,34,137
YCR084C,226,153
YCR085W,NA,NA
YCR086W,262,46
YCR087C-A,417,62
YCR087W,NA,NA
YCR088W,415,132
YCR089W,NA,NA
YCR090C,418,66
YCR091W,73,163
YCR092C,45,159
YCR093W,NA,NA
YCR094W,33,511
YCR095C,56,94
YCR095W-A,162,1406
YCR096C,NA,NA
YCR097W,43,18
YCR097W-A,NA,NA
YCR098C,237,240
YCR099C,NA,NA
YCR100C,NA,NA
YCR101C,NA,NA
YCR102C,69,270
YCR102W-A,NA,NA
YCR104W,NA,NA
YCR105W,NA,NA
YCR106W,NA,NA
YCR107W,NA,NA
YCR108C,NA,NA
YDL001W,73,133
YDL002C,66,530
YDL003W,126,123
YDL004W,53,388
YDL005C,58,222
YDL006W,339,228
YDL007C-A,NA,NA
YDL007W,46,143
YDL008W,68,141
YDL009C,NA,NA
YDL010W,27,408
YDL011C,NA,NA
YDL012C,554,163
YDL013W,160,113
YDL014W,148,258
YDL015C,65,243
YDL016C,NA,NA
YDL017W,16,113
YDL018C,72,272
YDL019C,106,151
YDL020C,243,159
YDL021W,69,185
YDL022C-A,NA,NA
YDL022W,142,228
YDL023C,NA,NA
YDL024C,10,251
YDL025C,866,181
YDL025W-A,NA,NA
YDL026W,251,176
YDL027C,45,196
YDL028C,175,159
YDL029W,22,343
YDL030W,143,90
YDL031W,55,136
YDL032W,NA,NA
YDL033C,38,254
YDL034W,NA,NA
YDL035C,283,130
YDL036C,17,225
YDL037C,NA,NA
YDL039C,NA,NA
YDL040C,68,111
YDL041W,33,419
YDL042C,82,119
YDL043C,14,443
YDL044C,550,75
YDL045C,184,126
YDL045W-A,219,114
YDL046W,45,377
YDL047W,150,242
YDL048C,49,137
YDL049C,169,258
YDL050C,NA,NA
YDL051W,105,261
YDL052C,51,280
YDL053C,212,189
YDL054C,121,86
YDL055C,148,317
YDL056W,NA,NA
YDL057W,52,212
YDL058W,NA,NA
YDL059C,107,259
YDL060W,NA,NA
YDL061C,55,324
YDL062W,NA,NA
YDL063C,67,244
YDL064W,823,91
YDL065C,96,114
YDL066W,16,499
YDL067C,280,227
YDL068W,12,239
YDL069C,148,122
YDL070W,258,156
YDL071C,NA,NA
YDL072C,452,87
YDL073W,NA,NA
YDL074C,71,134
YDL075W,154,106
YDL076C,146,226
YDL077C,NA,NA
YDL078C,378,65
YDL079C,NA,NA
YDL080C,177,167
YDL081C,66,371
YDL082W,28,386
YDL083C,1693,124
YDL084W,159,307
YDL085C-A,4124,439
YDL085W,NA,NA
YDL086C-A,169,354
YDL086W,193,84
YDL087C,12,965
YDL088C,133,151
YDL089W,322,71
YDL090C,492,52
YDL091C,87,121
YDL092W,41,204
YDL093W,78,267
YDL094C,NA,NA
YDL095W,29,398
YDL096C,NA,NA
YDL097C,57,163
YDL098C,88,137
YDL099W,51,599
YDL100C,35,156
YDL101C,48,297
YDL102W,NA,NA
YDL103C,66,224
YDL104C,35,139
YDL105W,40,536
YDL106C,300,94
YDL107W,70,204
YDL108W,339,37
YDL109C,NA,NA
YDL110C,786,163
YDL111C,68,161
YDL112W,40,110
YDL113C,62,120
YDL114W,NA,NA
YDL114W-A,763,221
YDL115C,77,91
YDL116W,61,57
YDL117W,309,150
YDL118W,NA,NA
YDL119C,171,159
YDL120W,92,247
YDL121C,73,186
YDL122W,247,70
YDL123W,690,400
YDL124W,134,74
YDL125C,239,116
YDL126C,64,90
YDL127W,53,254
YDL128W,131,191
YDL129W,112,439
YDL130W,28,311
YDL130W-A,75,185
YDL131W,35,302
YDL132W,NA,NA
YDL133C-A,150,244
YDL133W,483,92
YDL134C,750,168
YDL135C,157,328
YDL136W,32,323
YDL137W,142,248
YDL138W,123,68
YDL139C,50,116
YDL140C,NA,NA
YDL141W,296,262
YDL142C,91,126
YDL143W,34,259
YDL144C,25,186
YDL145C,304,156
YDL146W,195,258
YDL147W,33,382
YDL148C,60,285
YDL149W,NA,NA
YDL150W,171,94
YDL151C,NA,NA
YDL152W,NA,NA
YDL153C,82,140
YDL154W,NA,NA
YDL155W,1173,119
YDL156W,93,299
YDL157C,43,360
YDL158C,NA,NA
YDL159C-B,NA,NA
YDL159W,45,198
YDL159W-A,NA,NA
YDL160C,NA,NA
YDL160C-A,27,1092
YDL161W,25,242
YDL162C,NA,NA
YDL163W,NA,NA
YDL164C,60,161
YDL165W,55,191
YDL166C,80,140
YDL167C,42,241
YDL168W,86,212
YDL169C,NA,164
YDL170W,19,172
YDL171C,NA,NA
YDL172C,NA,NA
YDL173W,NA,NA
YDL174C,NA,NA
YDL175C,47,215
YDL176W,136,251
YDL177C,94,107
YDL178W,16,140
YDL179W,94,263
YDL180W,177,62
YDL181W,59,308
YDL182W,89,87
YDL183C,2893,359
YDL184C,21,421
YDL185C-A,NA,NA
YDL185W,107,165
YDL186W,NA,NA
YDL187C,628,150
YDL188C,181,153
YDL189W,95,153
YDL190C,NA,NA
YDL191W,686,98
YDL192W,45,747
YDL193W,106,199
YDL194W,NA,NA
YDL195W,112,164
YDL196W,NA,NA
YDL197C,378,172
YDL198C,163,142
YDL199C,50,57
YDL200C,53,82
YDL201W,289,76
YDL202W,52,427
YDL203C,198,195
YDL204W,497,195
YDL205C,234,293
YDL206W,153,13
YDL207W,37,79
YDL208W,29,239
YDL209C,32,258
YDL210W,NA,NA
YDL211C,110,150
YDL212W,91,205
YDL213C,8,540
YDL214C,NA,NA
YDL215C,197,154
YDL216C,18,127
YDL217C,163,471
YDL218W,NA,NA
YDL219W,189,282
YDL220C,NA,NA
YDL221W,NA,NA
YDL222C,NA,NA
YDL223C,NA,NA
YDL224C,NA,NA
YDL225W,40,231
YDL226C,30,317
YDL227C,32,57
YDL228C,NA,NA
YDL229W,99,101
YDL230W,29,124
YDL231C,NA,NA
YDL232W,132,257
YDL233W,21,169
YDL234C,142,163
YDL235C,122,163
YDL236W,50,204
YDL237W,31,295
YDL238C,40,65
YDL239C,NA,NA
YDL240C-A,NA,NA
YDL240W,NA,NA
YDL241W,81,436
YDL242W,NA,NA
YDL243C,721,188
YDL244W,NA,NA
YDL245C,NA,NA
YDL246C,NA,NA
YDL247W,NA,NA
YDL247W-A,NA,NA
YDL248W,NA,NA
YDR001C,NA,NA
YDR002W,88,199
YDR003W,NA,NA
YDR003W-A,599,347
YDR004W,NA,NA
YDR005C,121,290
YDR006C,163,86
YDR007W,188,405
YDR008C,NA,NA
YDR009W,170,86
YDR010C,354,445
YDR011W,248,174
YDR012W,31,304
YDR013W,15,166
YDR014W,NA,NA
YDR014W-A,NA,NA
YDR015C,NA,NA
YDR016C,19,261
YDR017C,NA,NA
YDR018C,NA,NA
YDR019C,3,314
YDR020C,128,429
YDR021W,282,52
YDR022C,27,178
YDR023W,51,172
YDR024W,NA,NA
YDR025W,9,306
YDR026C,133,242
YDR027C,111,110
YDR028C,451,277
YDR029W,NA,NA
YDR030C,51,116
YDR031W,129,147
YDR032C,112,234
YDR033W,523,480
YDR034C,151,292
YDR034C-A,NA,NA
YDR034W-B,55,284
YDR035W,132,229
YDR036C,72,141
YDR037W,53,226
YDR038C,NA,NA
YDR039C,NA,NA
YDR040C,NA,NA
YDR041W,34,285
YDR042C,496,111
YDR043C,203,114
YDR044W,251,146
YDR045C,158,316
YDR046C,89,163
YDR047W,468,151
YDR048C,NA,NA
YDR049W,91,116
YDR050C,29,318
YDR051C,40,105
YDR052C,153,240
YDR053W,NA,NA
YDR054C,188,486
YDR055W,293,158
YDR056C,111,162
YDR057W,63,153
YDR058C,74,178
YDR059C,562,130
YDR060W,49,87
YDR061W,54,129
YDR062W,394,286
YDR063W,1143,71
YDR064W,20,258
YDR065W,150,1879
YDR066C,254,103
YDR067C,68,97
YDR068W,45,196
YDR069C,NA,NA
YDR070C,177,154
YDR071C,141,110
YDR072C,231,93
YDR073W,281,253
YDR074W,93,236
YDR075W,187,158
YDR076W,NA,NA
YDR077W,1382,308
YDR078C,30,188
YDR079C-A,163,211
YDR079W,30,303
YDR080W,NA,NA
YDR081C,86,27
YDR082W,115,137
YDR083W,21,121
YDR084C,25,1410
YDR085C,NA,NA
YDR086C,41,714
YDR087C,64,152
YDR088C,182,188
YDR089W,NA,NA
YDR090C,119,374
YDR091C,106,341
YDR092W,412,93
YDR093W,NA,NA
YDR094W,3220,4
YDR095C,NA,NA
YDR096W,NA,NA
YDR097C,92,60
YDR098C,44,298
YDR099W,113,348
YDR100W,912,250
YDR101C,71,118
YDR102C,NA,NA
YDR103W,NA,NA
YDR104C,48,35
YDR105C,252,70
YDR106W,21,46
YDR107C,14,206
YDR108W,59,98
YDR109C,258,147
YDR110W,54,201
YDR111C,220,458
YDR112W,NA,NA
YDR113C,330,73
YDR114C,NA,NA
YDR115W,55,339
YDR116C,63,118
YDR117C,37,266
YDR118W,NA,NA
YDR118W-A,1413,120
YDR119W,104,78
YDR119W-A,43,322
YDR120C,NA,209
YDR121W,152,113
YDR122W,NA,NA
YDR123C,75,737
YDR124W,454,344
YDR125C,NA,NA
YDR126W,7,284
YDR127W,NA,NA
YDR128W,NA,NA
YDR129C,636,141
YDR130C,27,308
YDR131C,79,73
YDR132C,202,116
YDR133C,532,120
YDR135C,42,105
YDR136C,NA,NA
YDR137W,NA,NA
YDR138W,11,634
YDR139C,255,172
YDR140W,13,199
YDR141C,NA,NA
YDR142C,216,125
YDR143C,172,193
YDR144C,139,389
YDR145W,88,199
YDR146C,NA,NA
YDR147W,449,35
YDR148C,252,283
YDR149C,NA,NA
YDR150W,NA,NA
YDR151C,173,317
YDR152W,223,65
YDR153C,132,244
YDR154C,245,56
YDR155C,139,106
YDR156W,866,92
YDR157W,NA,NA
YDR158W,61,224
YDR159W,NA,NA
YDR160W,NA,NA
YDR161W,47,221
YDR162C,306,210
YDR163W,54,104
YDR164C,44,176
YDR165W,11,651
YDR166C,NA,NA
YDR167W,91,99
YDR168W,53,257
YDR169C,365,231
YDR169C-A,NA,NA
YDR170C,NA,NA
YDR171W,85,83
YDR172W,64,178
YDR173C,62,139
YDR174W,22,374
YDR175C,472,94
YDR176W,34,327
YDR177W,107,155
YDR178W,185,195
YDR179C,34,148
YDR179W-A,69,163
YDR180W,149,50
YDR181C,22,205
YDR182W,25,154
YDR182W-A,1381,64
YDR183C-A,578,5
YDR183W,420,20
YDR184C,69,221
YDR185C,102,222
YDR186C,NA,NA
YDR187C,NA,NA
YDR188W,488,162
YDR189W,47,113
YDR190C,45,299
YDR191W,43,108
YDR192C,78,91
YDR193W,NA,NA
YDR194C,25,154
YDR194W-A,NA,NA
YDR195W,253,78
YDR196C,10,237
YDR197W,32,370
YDR198C,53,146
YDR199W,NA,NA
YDR200C,42,134
YDR201W,38,388
YDR202C,30,155
YDR203W,NA,NA
YDR204W,11,271
YDR205W,12,49
YDR206W,NA,NA
YDR207C,NA,NA
YDR208W,189,133
YDR209C,NA,NA
YDR210W,260,405
YDR211W,87,339
YDR212W,67,739
YDR213W,241,39
YDR214W,140,95
YDR215C,NA,NA
YDR216W,NA,NA
YDR217C,NA,NA
YDR218C,NA,NA
YDR219C,255,192
YDR220C,NA,NA
YDR221W,20,530
YDR222W,272,150
YDR223W,115,353
YDR224C,115,141
YDR225W,696,154
YDR226W,288,116
YDR227W,126,165
YDR228C,90,65
YDR229W,140,63
YDR230W,NA,NA
YDR231C,24,292
YDR232W,250,427
YDR233C,288,145
YDR234W,143,165
YDR235W,22,82
YDR236C,453,96
YDR237W,141,287
