Gene,five_prime_utr,three_prime_utr
YBR154C,91.0,96.0
YBR155W,76.0,78.0
YBR156C,37.0,177.0
YBR157C,835.0,145.0
YBR158W,263.0,150.0
YBR159W,53.0,166.0
YBR160W,78.0,94.0
YBR161W,227.0,175.0
YBR162C,136.0,150.0
YBR162W-A,17.0,85.0
YBR163W,102.0,53.0
YBR164C,119.0,102.0
YBR165W,87.0,138.0
YBR166C,43.0,101.0
YBR167C,200.0,63.0
YBR168W,127.0,156.0
YBR169C,19.0,178.0
YBR170C,50.0,130.0
YBR171W,26.0,137.0
YBR172C,111.0,99.0
YBR173C,28.0,181.0
YBR174C,758.0,161.0
YBR175W,13.0,103.0
YBR176W,97.0,29.0
YBR177C,69.0,127.0
YBR178W,91.0,128.0
YBR179C,65.0,76.0
YBR180W,,
YBR181C,29.0,89.0
YBR182C,172.0,281.0
YBR182C-A,51.0,157.0
YBR183W,97.0,105.0
YBR184W,0.0,158.0
YBR185C,19.0,119.0
YBR186W,6.0,162.0
YBR187W,129.0,160.0
YBR188C,75.0,183.0
YBR189W,26.0,65.0
YBR190W,1481.0,1006.0
YBR191W,22.0,109.0
YBR191W-A,901.0,26.0
YBR192W,163.0,278.0
YBR193C,17.0,332.0
YBR194W,69.0,156.0
YBR195C,46.0,124.0
YBR196C,42.0,164.0
YBR196C-A,408.0,89.0
YBR196C-B,1266.0,616.0
YBR197C,10.0,457.0
YBR198C,78.0,84.0
YBR199W,99.0,128.0
YBR200W,63.0,222.0
YBR200W-A,,
YBR201C-A,64.0,231.0
YBR201W,136.0,124.0
YBR202W,65.0,177.0
YBR203W,212.0,212.0
YBR204C,41.0,233.0
YBR205W,47.0,178.0
YBR206W,1026.0,90.0
YBR207W,52.0,117.0
YBR208C,,
YBR209W,29.0,93.0
YBR210W,89.0,13.0
YBR211C,,
YBR212W,448.0,206.0
YBR213W,70.0,196.0
YBR214W,79.0,193.0
YBR215W,22.0,108.0
YBR216C,20.0,293.0
YBR217W,64.0,291.0
YBR218C,62.0,130.0
YBR219C,1415.0,44.0
YBR220C,67.0,236.0
YBR221C,203.0,240.0
YBR221W-A,1632.0,81.0
YBR222C,27.0,114.0
YBR223C,23.0,239.0
YBR223W-A,,
YBR224W,,
YBR225W,135.0,263.0
YBR226C,,
YBR227C,58.0,58.0
YBR228W,0.0,128.0
YBR229C,9.0,131.0
YBR230C,26.0,35.0
YBR230W-A,48.0,132.0
YBR231C,57.0,39.0
YBR232C,310.0,1233.0
YBR233W,79.0,150.0
YBR233W-A,39.0,195.0
YBR234C,46.0,78.0
YBR235W,81.0,95.0
YBR236C,38.0,151.0
YBR237W,41.0,93.0
YBR238C,82.0,379.0
YBR239C,149.0,111.0
YBR240C,11.0,229.0
YBR241C,29.0,56.0
YBR242W,38.0,48.0
YBR243C,44.0,82.0
YBR244W,36.0,187.0
YBR245C,,
YBR246W,43.0,140.0
YBR247C,21.0,117.0
YBR248C,88.0,80.0
YBR249C,90.0,117.0
YBR250W,356.0,138.0
YBR251W,36.0,81.0
YBR252W,18.0,63.0
YBR253W,61.0,28.0
YBR254C,13.0,122.0
YBR255C-A,37.0,99.0
YBR255W,36.0,143.0
YBR256C,8.0,64.0
YBR257W,54.0,21.0
YBR258C,33.0,72.0
YBR259W,46.0,63.0
YBR260C,9.0,132.0
YBR261C,37.0,128.0
YBR262C,44.0,99.0
YBR263W,40.0,53.0
YBR264C,25.0,37.0
YBR265W,23.0,133.0
YBR266C,,
YBR267W,17.0,120.0
YBR268W,4.0,97.0
YBR269C,21.0,156.0
YBR270C,272.0,38.0
YBR271W,26.0,98.0
YBR272C,7.0,189.0
YBR273C,31.0,98.0
YBR274W,50.0,39.0
YBR275C,,
YBR276C,95.0,70.0
YBR277C,,
YBR278W,18.0,84.0
YBR279W,28.0,147.0
YBR280C,23.0,183.0
YBR281C,49.0,130.0
YBR282W,38.0,88.0
YBR283C,144.0,145.0
YBR284W,12.0,168.0
YBR285W,20.0,141.0
YBR286W,30.0,66.0
YBR287W,33.0,111.0
YBR288C,28.0,90.0
YBR289W,14.0,52.0
YBR290W,7.0,103.0
YBR291C,37.0,46.0
YBR292C,,
YBR293W,353.0,52.0
YBR294W,,
YBR295W,16.0,21.0
YBR296C,66.0,240.0
YBR296C-A,,
YBR297W,39.0,242.0
YBR298C,426.0,93.0
YBR298C-A,,
YBR299W,28.0,129.0
YBR300C,270.0,284.0
YBR301W,413.0,49.0
YBR302C,,
YCL001W,26.0,81.0
YCL001W-A,287.0,737.0
YCL001W-B,977.0,254.0
YCL002C,25.0,153.0
YCL004W,78.0,77.0
YCL005W,46.0,131.0
YCL005W-A,25.0,102.0
YCL007C,346.0,81.0
YCL008C,4.0,132.0
YCL009C,15.0,148.0
YCL010C,20.0,1606.0
YCL011C,44.0,110.0
YCL012C,34.0,127.0
YCL014W,,
YCL016C,29.0,137.0
YCL017C,94.0,141.0
YCL018W,28.0,76.0
YCL021W-A,90.0,100.0
YCL022C,,
YCL023C,,
YCL024W,82.0,106.0
YCL025C,31.0,82.0
YCL026C-A,77.0,214.0
YCL026C-B,35.0,62.0
YCL027W,145.0,105.0
YCL028W,32.0,129.0
YCL029C,50.0,246.0
YCL030C,60.0,135.0
YCL031C,33.0,102.0
YCL032W,30.0,100.0
YCL033C,11.0,71.0
YCL034W,56.0,72.0
YCL035C,64.0,94.0
YCL036W,0.0,96.0
YCL037C,67.0,577.0
YCL038C,56.0,78.0
YCL039W,20.0,42.0
YCL040W,29.0,178.0
YCL041C,,
YCL042W,189.0,1575.0
YCL043C,37.0,96.0
YCL044C,77.0,169.0
YCL045C,40.0,61.0
YCL046W,1.0,67.0
YCL047C,3.0,70.0
YCL048W,55.0,93.0
YCL048W-A,,
YCL049C,55.0,115.0
YCL050C,62.0,114.0
YCL051W,280.0,112.0
YCL052C,33.0,170.0
YCL054W,17.0,104.0
YCL054W-A,194.0,226.0
YCL055W,9.0,83.0
YCL056C,2.0,11.0
YCL057C-A,47.0,134.0
YCL057W,3.0,106.0
YCL058C,,
YCL058W-A,22.0,65.0
YCL059C,25.0,106.0
YCL061C,66.0,167.0
YCL063W,40.0,153.0
YCL064C,19.0,94.0
YCL065W,,
YCL066W,,
YCL067C,,
YCL068C,,
YCL069W,,
YCL073C,,
YCL076W,,
YCR001W,,
YCR002C,55.0,65.0
YCR003W,22.0,105.0
YCR004C,182.0,185.0
YCR005C,57.0,152.0
YCR006C,389.0,1689.0
YCR007C,494.0,80.0
YCR008W,443.0,269.0
YCR009C,56.0,102.0
YCR010C,112.0,182.0
YCR011C,151.0,57.0
YCR012W,40.0,158.0
YCR013C,3497.0,684.0
YCR014C,1613.0,1467.0
YCR015C,24.0,81.0
YCR016W,26.0,169.0
YCR017C,29.0,190.0
YCR018C,,
YCR018C-A,,
YCR019W,148.0,114.0
YCR020C,455.0,77.0
YCR020C-A,18.0,163.0
YCR020W-B,32.0,486.0
YCR021C,113.0,179.0
YCR022C,264.0,280.0
YCR023C,77.0,241.0
YCR024C,19.0,142.0
YCR024C-A,149.0,536.0
YCR024C-B,351.0,190.0
YCR025C,622.0,24.0
YCR026C,74.0,215.0
YCR027C,175.0,638.0
YCR028C,118.0,258.0
YCR028C-A,61.0,192.0
YCR030C,85.0,173.0
YCR031C,21.0,101.0
YCR032W,,
YCR033W,,
YCR034W,26.0,168.0
YCR035C,18.0,145.0
YCR036W,4.0,83.0
YCR037C,34.0,97.0
YCR038C,1698.0,271.0
YCR038W-A,,
YCR039C,1069.0,2196.0
YCR040W,,
YCR041W,,
YCR042C,,
YCR043C,33.0,166.0
YCR044C,7.0,87.0
YCR045C,162.0,62.0
YCR045W-A,617.0,687.0
YCR046C,6.0,104.0
YCR047C,66.0,201.0
YCR047W-A,,
YCR048W,25.0,195.0
YCR049C,,
YCR050C,100.0,77.0
YCR051W,24.0,132.0
YCR052W,33.0,210.0
YCR053W,41.0,77.0
YCR054C,50.0,180.0
YCR057C,62.0,113.0
YCR059C,14.0,181.0
YCR060W,25.0,123.0
YCR061W,25.0,358.0
YCR063W,22.0,481.0
YCR064C,4.0,4.0
YCR065W,183.0,326.0
YCR066W,50.0,165.0
YCR067C,119.0,76.0
YCR068W,122.0,1356.0
YCR069W,147.0,121.0
YCR071C,45.0,79.0
YCR072C,34.0,104.0
YCR073C,65.0,72.0
YCR073W-A,18.0,114.0
YCR075C,10.0,144.0
YCR075W-A,9.0,80.0
YCR076C,17.0,105.0
YCR077C,42.0,138.0
YCR079W,27.0,126.0
YCR081C-A,7.0,130.0
YCR081W,,
YCR082W,30.0,107.0
YCR083W,35.0,123.0
YCR084C,227.0,76.0
YCR085W,,
YCR086W,63.0,53.0
YCR087C-A,36.0,63.0
YCR087W,634.0,530.0
YCR088W,46.0,133.0
YCR089W,,
YCR090C,37.0,70.0
YCR091W,63.0,458.0
YCR092C,36.0,155.0
YCR093W,,
YCR094W,63.0,274.0
YCR095C,38.0,56.0
YCR095W-A,161.0,1407.0
YCR096C,,
YCR097W,12.0,25.0
YCR097W-A,,
YCR098C,59.0,258.0
YCR099C,505.0,263.0
YCR100C,796.0,705.0
YCR101C,4.0,1916.0
YCR102C,70.0,271.0
YCR102W-A,779.0,1379.0
YCR104W,1845.0,136.0
YCR105W,,
YCR106W,30.0,1850.0
YCR107W,864.0,258.0
YCR108C,,
YDL001W,78.0,116.0
YDL002C,85.0,285.0
YDL003W,127.0,115.0
YDL004W,43.0,198.0
YDL005C,24.0,209.0
YDL006W,140.0,116.0
YDL007C-A,,
YDL007W,33.0,73.0
YDL008W,30.0,114.0
YDL009C,91.0,28.0
YDL010W,28.0,258.0
YDL011C,,
YDL012C,17.0,151.0
YDL013W,135.0,114.0
YDL014W,143.0,165.0
YDL015C,53.0,244.0
YDL016C,,
YDL017W,34.0,128.0
YDL018C,60.0,89.0
YDL019C,213.0,90.0
YDL020C,244.0,143.0
YDL021W,24.0,75.0
YDL022C-A,,
YDL022W,65.0,156.0
YDL023C,1038.0,70.0
YDL024C,11.0,252.0
YDL025C,196.0,107.0
YDL025W-A,120.0,1892.0
YDL026W,252.0,177.0
YDL027C,46.0,93.0
YDL028C,176.0,154.0
YDL029W,20.0,127.0
YDL030W,79.0,91.0
YDL031W,52.0,76.0
YDL032W,91.0,260.0
YDL033C,39.0,253.0
YDL034W,,
YDL035C,284.0,131.0
YDL036C,9.0,145.0
YDL037C,187.0,2730.0
YDL039C,1693.0,114.0
YDL040C,30.0,112.0
YDL041W,34.0,420.0
YDL042C,56.0,120.0
YDL043C,38.0,310.0
YDL044C,25.0,76.0
YDL045C,110.0,127.0
YDL045W-A,24.0,121.0
YDL046W,40.0,277.0
YDL047W,143.0,64.0
YDL048C,50.0,86.0
YDL049C,99.0,266.0
YDL050C,,
YDL051W,23.0,97.0
YDL052C,52.0,77.0
YDL053C,198.0,190.0
YDL054C,89.0,79.0
YDL055C,149.0,147.0
YDL056W,71.0,61.0
YDL057W,35.0,41.0
YDL058W,,
YDL059C,108.0,260.0
YDL060W,,
YDL061C,32.0,167.0
YDL062W,,
YDL063C,87.0,144.0
YDL064W,40.0,100.0
YDL065C,19.0,24.0
YDL066W,17.0,141.0
YDL067C,46.0,234.0
YDL068W,13.0,240.0
YDL069C,133.0,123.0
YDL070W,23.0,157.0
YDL071C,3402.0,918.0
YDL072C,63.0,88.0
YDL073W,186.0,56.0
YDL074C,72.0,109.0
YDL075W,31.0,67.0
YDL076C,147.0,227.0
YDL077C,148.0,65.0
YDL078C,72.0,84.0
YDL079C,36.0,128.0
YDL080C,185.0,168.0
YDL081C,66.0,108.0
YDL082W,29.0,136.0
YDL083C,18.0,130.0
YDL084W,168.0,87.0
YDL085C-A,59.0,245.0
YDL085W,89.0,83.0
YDL086C-A,129.0,256.0
YDL086W,5.0,59.0
YDL087C,13.0,160.0
YDL088C,128.0,154.0
YDL089W,293.0,72.0
YDL090C,7.0,131.0
YDL091C,88.0,102.0
YDL092W,23.0,146.0
YDL093W,48.0,268.0
YDL094C,2112.0,114.0
YDL095W,30.0,77.0
YDL096C,34.0,1698.0
YDL097C,32.0,98.0
YDL098C,10.0,138.0
YDL099W,54.0,81.0
YDL100C,36.0,81.0
YDL101C,13.0,128.0
YDL102W,81.0,109.0
YDL103C,73.0,93.0
YDL104C,19.0,84.0
YDL105W,44.0,159.0
YDL106C,12.0,267.0
YDL107W,27.0,152.0
YDL108W,32.0,86.0
YDL109C,352.0,287.0
YDL110C,57.0,184.0
YDL111C,67.0,63.0
YDL112W,41.0,111.0
YDL113C,63.0,120.0
YDL114W,183.0,108.0
YDL114W-A,764.0,222.0
YDL115C,42.0,92.0
YDL116W,41.0,66.0
YDL117W,12.0,151.0
YDL118W,,
YDL119C,52.0,156.0
YDL120W,76.0,154.0
YDL121C,19.0,200.0
YDL122W,215.0,81.0
YDL123W,44.0,488.0
YDL124W,45.0,72.0
YDL125C,210.0,117.0
YDL126C,44.0,91.0
YDL127W,35.0,167.0
YDL128W,61.0,173.0
YDL129W,150.0,440.0
YDL130W,17.0,93.0
YDL130W-A,19.0,162.0
YDL131W,36.0,102.0
YDL132W,,
YDL133C-A,18.0,201.0
YDL133W,135.0,99.0
YDL134C,471.0,82.0
YDL135C,45.0,278.0
YDL136W,33.0,75.0
YDL137W,102.0,130.0
YDL138W,234.0,144.0
YDL139C,19.0,103.0
YDL140C,,
YDL141W,187.0,263.0
YDL142C,63.0,127.0
YDL143W,35.0,98.0
YDL144C,17.0,92.0
YDL145C,255.0,182.0
YDL146W,191.0,22.0
YDL147W,59.0,146.0
YDL148C,30.0,281.0
YDL149W,45.0,97.0
YDL150W,136.0,125.0
YDL151C,,
YDL152W,,
YDL153C,26.0,141.0
YDL154W,654.0,97.0
YDL155W,130.0,131.0
YDL156W,94.0,988.0
YDL157C,35.0,205.0
YDL158C,449.0,6.0
YDL159C-B,,
YDL159W,46.0,122.0
YDL159W-A,,
YDL160C,284.0,442.0
YDL160C-A,28.0,197.0
YDL161W,16.0,108.0
YDL162C,,
YDL163W,,
YDL164C,51.0,162.0
YDL165W,49.0,35.0
YDL166C,54.0,75.0
YDL167C,56.0,179.0
YDL168W,42.0,52.0
YDL169C,20.0,73.0
YDL170W,0.0,153.0
YDL171C,,
YDL172C,14.0,2040.0
YDL173W,,
YDL174C,30.0,92.0
YDL175C,27.0,218.0
YDL176W,137.0,115.0
YDL177C,64.0,96.0
YDL178W,25.0,63.0
YDL179W,95.0,152.0
YDL180W,132.0,63.0
YDL181W,80.0,109.0
YDL182W,38.0,88.0
YDL183C,74.0,56.0
YDL184C,22.0,210.0
YDL185C-A,,
YDL185W,98.0,105.0
YDL186W,153.0,69.0
YDL187C,662.0,151.0
YDL188C,182.0,154.0
YDL189W,91.0,106.0
YDL190C,193.0,208.0
YDL191W,22.0,99.0
YDL192W,43.0,59.0
YDL193W,107.0,200.0
YDL194W,,
YDL195W,119.0,127.0
YDL196W,,
YDL197C,14.0,94.0
YDL198C,28.0,122.0
YDL199C,55.0,84.0
YDL200C,4.0,72.0
YDL201W,76.0,83.0
YDL202W,53.0,91.0
YDL203C,177.0,196.0
YDL204W,498.0,179.0
YDL205C,155.0,166.0
YDL206W,149.0,19.0
YDL207W,38.0,80.0
YDL208W,37.0,127.0
YDL209C,22.0,196.0
YDL210W,,
YDL211C,69.0,118.0
YDL212W,22.0,145.0
YDL213C,9.0,73.0
YDL214C,167.0,111.0
YDL215C,46.0,154.0
YDL216C,10.0,404.0
YDL217C,135.0,103.0
YDL218W,345.0,237.0
YDL219W,26.0,277.0
YDL220C,20.0,356.0
YDL221W,875.0,625.0
YDL222C,912.0,410.0
YDL223C,,
YDL224C,364.0,146.0
YDL225W,50.0,88.0
YDL226C,23.0,230.0
YDL227C,33.0,58.0
YDL228C,,
YDL229W,30.0,102.0
YDL230W,26.0,61.0
YDL231C,21.0,71.0
YDL232W,19.0,288.0
YDL233W,22.0,167.0
YDL234C,143.0,58.0
YDL235C,114.0,143.0
YDL236W,15.0,140.0
YDL237W,23.0,79.0
YDL238C,28.0,66.0
YDL239C,693.0,44.0
YDL240C-A,,
YDL240W,166.0,243.0
YDL241W,80.0,329.0
YDL242W,,
YDL243C,722.0,110.0
YDL244W,,
YDL245C,,
YDL246C,,
YDL247W,,
YDL247W-A,,
YDL248W,7.0,616.0
YDR001C,190.0,111.0
YDR002W,29.0,180.0
YDR003W,45.0,307.0
YDR003W-A,705.0,157.0
YDR004W,1127.0,188.0
YDR005C,108.0,167.0
YDR006C,106.0,106.0
YDR007W,10.0,39.0
YDR008C,,
YDR009W,71.0,87.0
YDR010C,355.0,38.0
YDR011W,249.0,175.0
YDR012W,32.0,77.0
YDR013W,16.0,89.0
YDR014W,51.0,220.0
YDR014W-A,20.0,172.0
YDR015C,,
YDR016C,36.0,122.0
