transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
YAL016C-B_mRNA	30	357.7	43.57	38.0	1.0	42.57	1.0	0.1235	-41.57
YAL016W_mRNA	511	844.7	51.56	65.0	2.26	49.3	1.0	0.0862	-47.04
YAL017W_mRNA	103	776.2	50.16	18.0	2.05	48.11	0.9515	0.083	-46.06
YAL018C_mRNA	9	510.8	160.11	174.0	14.44	145.67	1.0	0.368	-131.22
YAL019W-A_mRNA	30	565.6	51.77	73.5	1.13	50.63	1.0	0.1157	-49.5
YAL019W_mRNA	197	701.7	46.81	20.0	3.18	43.63	0.9645	0.0877	-40.45
YAL020C_mRNA	37	646.0	43.62	22.0	2.24	41.38	0.973	0.0888	-39.14
YAL021C_mRNA	73	879.6	50.01	70.0	3.23	46.78	0.9863	0.0781	-43.55
YAL022C_mRNA	80	748.7	54.19	71.0	2.11	52.08	1.0	0.1004	-49.96
YAL023C_mRNA	533	835.4	51.16	65.0	3.1	48.06	0.9944	0.0901	-44.96
YAL024C_mRNA	34	752.7	42.06	13.5	1.06	41.0	1.0	0.0778	-39.94
YAL025C_mRNA	93	417.5	49.37	27.0	1.27	48.1	0.9892	0.1134	-46.83
YAL026C-A_mRNA	69	479.7	39.33	11.0	3.91	35.42	1.0	0.0858	-31.51
YAL026C_mRNA	50	868.0	50.48	11.5	1.42	49.06	0.98	0.078	-47.64
YAL027W_mRNA	88	748.6	62.52	78.5	2.12	60.4	1.0	0.095	-58.27
YAL028W_mRNA	64	488.1	49.33	19.5	1.11	48.22	1.0	0.113	-47.11
YAL029C_mRNA	202	933.1	66.2	77.0	2.93	63.28	0.995	0.0889	-60.35
YAL030W_mRNA	65	390.9	61.17	71.0	10.68	50.49	1.0	0.1567	-39.82
YAL031C_mRNA	37	892.5	53.49	63.0	4.68	48.81	1.0	0.1011	-44.14
YAL032C_mRNA	42	456.6	29.17	10.5	1.71	27.45	0.9286	0.0875	-25.74
YAL033W_mRNA	283	565.0	41.29	16.0	2.09	39.2	0.9823	0.074	-37.11
YAL034C-B_mRNA	141	314.6	45.49	20.0	1.61	43.88	1.0	0.1499	-42.27
YAL034C_mRNA	54	661.1	46.89	26.0	3.78	43.11	0.9815	0.1064	-39.33
YAL034W-A_mRNA	17	438.1	28.65	6.0	1.65	27.0	1.0	0.0703	-25.35
YAL035W_mRNA	451	924.1	58.66	73.0	4.44	54.22	0.9933	0.0882	-49.78
YAL036C_mRNA	116	706.1	41.16	9.0	1.68	39.48	0.8966	0.0758	-37.8
YAL037C-A_mRNA	2250	333.1	45.47	26.0	4.5	40.97	0.9969	0.1331	-36.47
YAL037C-B_mRNA	4925	615.8	49.01	62.0	3.48	45.53	0.9939	0.0949	-42.05
YAL037W_mRNA	188	654.2	50.03	24.5	8.74	41.29	0.9734	0.091	-32.55
YAL038W_mRNA	8061	980.0	49.5	64.0	3.01	46.49	0.9923	0.0718	-43.48
YAL039C_mRNA	137	661.4	45.2	15.0	5.04	40.16	0.9854	0.0839	-35.12
YAL040C_mRNA	125	827.1	84.61	85.0	3.0	81.61	0.992	0.1544	-78.61
YAL041W_mRNA	113	619.2	50.27	20.0	5.49	44.78	0.9912	0.1065	-39.29
YAL042W_mRNA	312	728.1	38.9	12.0	2.43	36.47	0.9808	0.0668	-34.04
YAL043C_mRNA	63	727.3	44.78	20.0	1.63	43.14	0.9841	0.08	-41.51
YAL044C_mRNA	212	477.0	40.36	15.0	2.67	37.69	0.9953	0.0879	-35.01
YAL044W-A_mRNA	40	387.4	40.92	11.0	3.2	37.72	1.0	0.1155	-34.52
YAL045C_mRNA	37	392.1	43.24	11.0	1.89	41.35	1.0	0.1112	-39.46
YAL046C_mRNA	85	447.1	44.01	16.0	2.47	41.54	1.0	0.0977	-39.07
YAL047C_mRNA	49	786.8	50.65	18.0	2.31	48.35	1.0	0.0836	-46.04
YAL048C_mRNA	31	1103.0	120.03	136.0	1.13	118.9	1.0	0.1174	-117.77
YAL049C_mRNA	224	677.2	50.25	69.0	3.01	47.24	0.9911	0.087	-44.22
YAL051W_mRNA	55	556.6	63.02	68.0	2.25	60.76	1.0	0.1542	-58.51
YAL053W_mRNA	257	1057.8	63.11	77.0	5.34	57.77	0.9961	0.0997	-52.43
YAL054C_mRNA	77	513.3	67.44	72.0	14.09	53.35	1.0	0.1318	-39.26
YAL055W_mRNA	29	416.4	37.03	13.0	2.31	34.72	0.9655	0.0838	-32.41
YAL056C-A_mRNA	6	279.7	52.33	71.0	1.67	50.67	1.0	0.1957	-49.0
YAL056W_mRNA	154	648.3	41.79	12.0	1.36	40.43	0.9805	0.0839	-39.07
YAL058W_mRNA	50	757.6	58.4	66.0	2.32	56.08	1.0	0.1052	-53.76
YAL059C-A_mRNA	125	545.4	48.57	61.0	1.7	46.87	0.984	0.0971	-45.18
YAL059W_mRNA	74	604.3	39.65	14.0	1.97	37.68	1.0	0.0703	-35.7
YAL060W_mRNA	183	747.0	47.52	19.0	8.14	39.38	0.9891	0.0847	-31.23
YAL061W_mRNA	63	745.3	62.78	70.0	14.21	48.57	1.0	0.1055	-34.37
YAL062W_mRNA	106	410.5	158.71	152.5	109.58	49.13	0.9906	0.4223	60.44
YAL063C-A_mRNA	62	727.1	79.02	81.0	3.77	75.24	1.0	0.1211	-71.47
YAL063C_mRNA	113	513.5	124.35	87.0	57.95	66.41	0.9912	0.2546	-8.46
YAL066W_mRNA	14	450.6	326.21	336.5	294.14	32.07	1.0	0.6973	262.07
YAL067C_mRNA	10	830.1	255.3	256.5	1.2	254.1	1.0	0.3771	-252.9
YAR002C-A_mRNA	370	602.7	44.08	19.0	2.77	41.31	0.9838	0.0817	-38.55
YAR002W_mRNA	127	510.5	47.06	25.0	1.85	45.21	0.9764	0.1211	-43.36
YAR003W_mRNA	142	642.6	50.78	71.0	2.24	48.54	0.9859	0.0985	-46.3
YAR007C_mRNA	103	1136.7	59.24	72.0	2.81	56.44	1.0	0.0758	-53.63
YAR008W_mRNA	118	695.9	71.01	65.0	28.51	42.5	1.0	0.1442	-13.99
YAR009C_mRNA	827	1111.0	274.81	324.0	3.21	271.6	0.9915	0.2507	-268.38
YAR010C_mRNA	9	465.4	128.44	107.0	21.44	107.0	0.8889	0.2554	-85.56
YAR014C_mRNA	164	566.2	61.09	71.0	8.48	52.62	0.9939	0.1296	-44.14
YAR015W_mRNA	128	732.5	47.99	62.0	2.12	45.87	0.9844	0.0832	-43.74
YAR018C_mRNA	42	496.6	54.79	73.5	1.24	53.55	1.0	0.1312	-52.31
YAR019C_mRNA	82	554.6	107.56	93.0	45.95	61.61	1.0	0.2967	-15.66
YAR020C_mRNA	8	729.2	156.38	124.0	1.5	154.88	1.0	0.2411	-153.38
YAR023C_mRNA	46	554.5	59.0	18.0	8.61	50.39	1.0	0.0998	-41.78
YAR027W_mRNA	460	635.7	48.45	27.0	3.06	45.39	0.9891	0.0878	-42.32
YAR028W_mRNA	130	663.5	43.98	17.0	2.13	41.85	1.0	0.0761	-39.72
YAR029W_mRNA	93	646.3	51.6	53.0	4.97	46.63	0.9785	0.1044	-41.67
YAR031W_mRNA	18	608.7	60.5	59.5	8.0	52.5	1.0	0.1236	-44.5
YAR033W_mRNA	80	535.2	55.9	58.0	2.61	53.29	0.9875	0.1097	-50.68
YAR035C-A_mRNA	11	442.0	46.73	57.0	2.82	43.91	1.0	0.1158	-41.09
YAR035W_mRNA	15	640.1	69.27	81.0	8.4	60.87	1.0	0.1433	-52.47
YAR042W_mRNA	77	766.4	115.73	81.0	2.3	113.43	0.987	0.1793	-111.13
YAR050W_mRNA	30	820.8	212.17	89.5	108.53	103.63	1.0	0.1616	4.9
YAR053W_mRNA	108	464.6	63.82	74.5	3.35	60.47	0.9815	0.1428	-57.12
YAR064W_mRNA	10	688.4	310.2	213.0	253.6	56.6	1.0	0.3464	197.0
YAR070C_mRNA	5	604.6	332.4	345.0	157.6	174.8	1.0	0.4773	-17.2
YAR071W_mRNA	36	1163.1	69.11	63.0	2.08	67.03	0.9444	0.0631	-64.94
YBL001C_mRNA	915	385.7	40.39	13.0	3.54	36.85	0.9814	0.1042	-33.31
YBL002W_mRNA	1092	539.8	65.18	68.0	2.99	62.19	0.9991	0.1236	-59.2
YBL003C_mRNA	3489	554.3	44.66	15.0	2.14	42.52	0.9948	0.0819	-40.39
YBL004W_mRNA	269	945.8	48.73	21.0	3.62	45.11	0.9888	0.0691	-41.49
YBL005W-A_mRNA	8	413.4	70.38	64.0	24.38	46.0	1.0	0.2051	-21.62
YBL005W-B_mRNA	1619	1361.0	308.01	329.0	3.11	304.9	0.9883	0.2637	-301.78
YBL005W_mRNA	189	712.0	163.13	86.0	108.47	54.66	0.9894	0.2051	53.81
YBL006C_mRNA	174	584.3	47.03	19.0	5.55	41.48	1.0	0.0884	-35.93
YBL006W-A_mRNA	7	617.4	61.0	59.0	0.14	60.86	1.0	0.098	-60.71
YBL007C_mRNA	274	767.5	51.22	67.0	4.41	46.81	0.9781	0.0965	-42.4
YBL008W_mRNA	56	584.0	61.21	70.5	1.54	59.68	1.0	0.1235	-58.14
YBL009W_mRNA	87	686.4	53.28	33.0	5.89	47.39	1.0	0.114	-41.51
YBL010C_mRNA	61	405.0	44.31	28.0	2.44	41.87	0.9508	0.1439	-39.43
YBL011W_mRNA	124	580.9	39.64	14.0	2.69	36.94	0.9758	0.0924	-34.25
YBL014C_mRNA	60	744.8	46.55	12.5	5.87	40.68	0.9833	0.0947	-34.82
YBL015W_mRNA	110	737.5	56.85	63.5	9.43	47.42	1.0	0.095	-37.99
YBL016W_mRNA	111	645.6	60.0	71.0	9.85	50.15	1.0	0.1371	-40.31
YBL017C_mRNA	209	755.2	42.97	13.0	4.65	38.32	0.9952	0.0903	-33.67
YBL018C_mRNA	180	471.2	42.74	14.0	4.3	38.44	0.9889	0.0897	-34.14
YBL019W_mRNA	85	623.7	93.64	92.0	6.24	87.4	0.9882	0.2191	-81.16
YBL020W_mRNA	103	814.2	59.97	75.0	5.55	54.42	1.0	0.1124	-48.86
YBL021C_mRNA	53	524.0	40.55	14.0	2.25	38.3	1.0	0.0825	-36.06
YBL022C_mRNA	216	684.2	41.19	14.0	1.42	39.77	0.9769	0.0816	-38.36
YBL023C_mRNA	99	650.7	55.98	69.0	2.68	53.3	0.9899	0.1039	-50.63
YBL024W_mRNA	239	835.8	52.39	68.0	2.85	49.54	0.9958	0.0899	-46.69
YBL025W_mRNA	55	550.0	49.64	67.0	1.49	48.15	1.0	0.104	-46.65
YBL026W_mRNA	972	456.8	51.47	21.0	12.56	38.91	0.9969	0.1045	-26.35
YBL027W_mRNA	5381	501.5	38.14	10.0	2.99	35.16	0.9768	0.0794	-32.17
YBL028C_mRNA	897	505.9	47.92	23.0	4.03	43.89	0.99	0.0964	-39.87
YBL029C-A_mRNA	301	442.6	55.72	72.0	2.93	52.79	0.9867	0.1216	-49.85
YBL029W_mRNA	66	521.2	87.08	87.5	4.44	82.64	1.0	0.1966	-78.2
YBL030C_mRNA	1147	684.4	49.81	67.0	2.76	47.05	0.9651	0.091	-44.29
YBL031W_mRNA	41	426.9	46.93	27.0	2.46	44.46	0.9756	0.1568	-42.0
YBL032W_mRNA	186	650.7	51.1	22.5	3.09	48.02	0.9839	0.0975	-44.93
YBL033C_mRNA	194	674.4	50.13	68.5	1.28	48.85	0.9845	0.0938	-47.57
YBL034C_mRNA	60	863.6	41.07	16.5	2.97	38.1	1.0	0.0715	-35.13
YBL035C_mRNA	40	821.8	32.95	8.0	1.65	31.3	0.975	0.05	-29.65
YBL036C_mRNA	435	687.3	47.51	25.0	2.31	45.19	0.9977	0.0781	-42.88
YBL037W_mRNA	59	920.5	57.1	68.0	5.32	51.78	1.0	0.0796	-46.46
YBL038W_mRNA	93	544.0	53.57	66.0	5.44	48.13	1.0	0.113	-42.69
YBL039C-A_mRNA	214	688.6	50.53	26.0	4.98	45.55	0.9907	0.0918	-40.57
YBL039C_mRNA	429	861.4	52.02	25.0	5.51	46.51	0.9837	0.0862	-41.0
YBL039W-B_mRNA	143	485.0	49.49	65.0	1.83	47.66	1.0	0.1058	-45.84
YBL040C_mRNA	623	639.5	62.0	73.0	3.86	58.14	0.9823	0.1082	-54.29
YBL041W_mRNA	611	508.0	63.17	71.0	2.28	60.88	0.9951	0.1423	-58.6
YBL042C_mRNA	197	713.7	64.04	44.0	8.47	55.57	0.9898	0.1365	-47.1
YBL043W_mRNA	27	622.7	74.7	82.0	19.11	55.59	0.963	0.1703	-36.48
YBL045C_mRNA	376	822.4	88.69	90.0	2.31	86.38	0.9867	0.1443	-84.07
YBL046W_mRNA	75	366.0	73.33	79.0	31.29	42.04	1.0	0.2549	-10.75
YBL047C_mRNA	336	650.8	43.71	17.0	2.43	41.28	0.9821	0.0857	-38.85
YBL048W_mRNA	34	597.3	136.06	85.5	57.35	78.71	1.0	0.1953	-21.35
YBL050W_mRNA	346	680.2	61.88	25.5	14.97	46.91	1.0	0.1121	-31.95
YBL051C_mRNA	110	682.9	50.96	66.0	6.19	44.77	1.0	0.1003	-38.58
YBL052C_mRNA	10	343.7	49.6	8.5	0.4	49.2	1.0	0.1036	-48.8
YBL053W_mRNA	54	425.9	38.46	15.5	2.44	36.02	0.9815	0.0981	-33.57
YBL054W_mRNA	52	874.5	42.67	13.0	2.69	39.98	1.0	0.0635	-37.29
YBL055C_mRNA	250	677.6	59.1	37.5	3.85	55.26	0.996	0.1142	-51.41
YBL056W_mRNA	518	795.2	54.43	61.5	4.44	50.0	0.9865	0.0935	-45.56
YBL057C_mRNA	195	485.6	50.23	66.0	3.56	46.67	0.9949	0.1164	-43.11
YBL058W_mRNA	172	764.8	48.74	20.0	2.35	46.38	0.9942	0.083	-44.03
YBL059C-A_mRNA	161	421.1	43.61	21.0	2.95	40.66	0.9814	0.1033	-37.71
YBL059W_mRNA	42	448.5	63.71	55.5	2.69	61.02	1.0	0.1544	-58.33
YBL060W_mRNA	52	643.7	49.65	24.0	4.6	45.06	0.9808	0.1048	-40.46
YBL061C_mRNA	175	792.8	41.84	13.0	2.14	39.7	0.9886	0.0687	-37.55
YBL062W_mRNA	104	479.7	44.67	15.5	1.81	42.87	0.9808	0.1029	-41.06
YBL063W_mRNA	46	759.4	61.59	53.0	7.85	53.74	0.9783	0.1128	-45.89
YBL064C_mRNA	188	625.5	47.4	23.0	1.93	45.47	1.0	0.0871	-43.54
YBL066C_mRNA	63	757.7	59.24	75.0	8.37	50.87	1.0	0.1113	-42.51
YBL067C_mRNA	133	732.3	49.34	23.0	1.85	47.49	0.9925	0.0836	-45.64
YBL068W-A_mRNA	31	539.9	56.1	60.0	0.84	55.26	1.0	0.1233	-54.42
YBL068W_mRNA	299	642.9	45.52	19.0	2.63	42.89	0.9833	0.0889	-40.26
YBL069W_mRNA	50	881.4	52.62	69.0	1.1	51.52	1.0	0.0777	-50.42
YBL071C_mRNA	31	420.9	35.39	7.0	1.58	33.81	0.9355	0.0869	-32.23
YBL071W-A_mRNA	20	406.2	57.0	71.5	7.55	49.45	1.0	0.1418	-41.9
YBL072C_mRNA	11323	618.1	48.11	23.0	7.84	40.27	0.9981	0.0824	-32.43
YBL074C_mRNA	5	935.6	254.6	333.0	135.2	119.4	1.0	0.2408	15.8
YBL075C_mRNA	39	609.3	39.08	12.0	1.59	37.49	1.0	0.0883	-35.9
YBL076C_mRNA	1076	988.2	47.51	18.0	3.1	44.41	0.9926	0.0721	-41.31
YBL077W_mRNA	807	524.4	43.39	14.0	2.98	40.4	0.9938	0.0984	-37.42
YBL078C_mRNA	283	600.5	45.25	23.0	2.54	42.71	0.9823	0.0804	-40.17
YBL079W_mRNA	332	825.4	51.61	56.5	3.16	48.45	0.994	0.0883	-45.29
YBL080C_mRNA	36	694.8	39.89	14.0	2.64	37.25	0.9722	0.0617	-34.61
YBL081W_mRNA	65	670.1	57.09	72.0	7.8	49.29	1.0	0.1132	-41.49
YBL082C_mRNA	27	1142.0	75.48	71.0	1.63	73.85	1.0	0.0743	-72.22
YBL083C_mRNA	44	710.2	85.48	106.0	2.57	82.91	1.0	0.1384	-80.34
YBL084C_mRNA	56	756.2	70.36	74.5	1.32	69.04	0.9821	0.1141	-67.71
YBL085W_mRNA	110	694.8	52.05	71.5	2.43	49.62	0.9909	0.0933	-47.19
YBL086C_mRNA	40	554.1	42.1	15.0	1.32	40.78	0.975	0.1009	-39.45
YBL087C_mRNA	4055	473.7	43.04	14.0	2.5	40.54	0.9845	0.0919	-38.04
YBL088C_mRNA	79	823.5	55.95	58.0	2.1	53.85	0.9873	0.0998	-51.75
YBL089W_mRNA	108	615.1	50.15	70.5	1.87	48.28	0.9907	0.1017	-46.41
YBL090W_mRNA	180	557.6	45.52	17.0	2.73	42.78	1.0	0.0869	-40.05
YBL091C-A_mRNA	230	285.2	47.54	20.5	7.3	40.25	1.0	0.1734	-32.95
YBL091C_mRNA	121	843.6	53.69	60.0	4.2	49.5	0.9669	0.0819	-45.3
YBL092W_mRNA	8710	474.4	44.09	16.0	3.17	40.92	0.9881	0.0927	-37.76
YBL093C_mRNA	230	584.6	45.15	20.5	2.82	42.33	1.0	0.0854	-39.51
YBL095W_mRNA	62	473.8	45.66	12.5	3.34	42.32	1.0	0.11	-38.98
YBL096C_mRNA	45	642.4	49.38	65.0	3.42	45.96	1.0	0.0948	-42.53
YBL098W_mRNA	100	844.0	99.61	102.5	3.93	95.68	1.0	0.1599	-91.75
YBL099W_mRNA	923	730.4	48.08	47.0	2.72	45.37	0.9772	0.0938	-42.65
YBL100W-A_mRNA	7	325.3	79.57	84.0	2.43	77.14	1.0	0.2412	-74.71
YBL100W-B_mRNA	48	1017.1	187.46	173.5	4.83	182.62	1.0	0.1904	-177.79
YBL101C_mRNA	97	767.2	46.02	33.0	2.0	44.02	1.0	0.0875	-42.02
YBL102W_mRNA	264	576.3	48.36	30.0	3.55	44.81	0.9962	0.0954	-41.25
YBL103C_mRNA	167	675.0	49.86	58.0	4.66	45.19	1.0	0.0926	-40.53
YBL104C_mRNA	82	594.5	53.04	16.0	7.28	45.76	0.9878	0.11	-38.48
YBL105C_mRNA	73	921.6	54.63	12.0	1.52	53.11	0.9726	0.0709	-51.59
YBL106C_mRNA	53	519.2	72.94	64.0	2.68	70.26	1.0	0.161	-67.58
YBL107C_mRNA	170	486.7	42.8	14.5	2.95	39.85	0.9824	0.0947	-36.91
YBL111C_mRNA	7	348.6	27.43	6.0	0.43	27.0	1.0	0.0924	-26.57
YBL113C_mRNA	25	543.4	36.76	11.0	1.6	35.16	0.96	0.1007	-33.56
YBR001C_mRNA	111	595.3	107.85	79.0	63.23	44.61	0.991	0.228	18.62
YBR002C_mRNA	99	576.5	32.51	9.0	1.96	30.55	0.9798	0.0741	-28.59
YBR003W_mRNA	164	603.4	49.03	14.0	5.46	43.57	1.0	0.0995	-38.1
YBR004C_mRNA	223	680.3	48.86	61.0	2.47	46.39	0.9955	0.098	-43.91
YBR005W_mRNA	143	632.8	48.41	48.0	2.43	45.98	1.0	0.0842	-43.55
YBR006W_mRNA	141	806.0	61.62	73.0	9.75	51.87	1.0	0.0922	-42.12
YBR007C_mRNA	105	622.1	56.44	57.0	7.06	49.38	1.0	0.1135	-42.32
YBR008C_mRNA	107	665.7	114.32	84.0	5.13	109.19	1.0	0.2356	-104.06
YBR009C_mRNA	4539	476.2	48.2	24.0	1.95	46.25	0.998	0.1012	-44.31
YBR010W_mRNA	3650	510.6	40.38	13.0	1.88	38.5	0.9912	0.081	-36.62
YBR011C_mRNA	1610	716.4	47.19	24.0	2.56	44.63	0.995	0.0829	-42.07
YBR012C_mRNA	3515	443.9	145.36	133.0	81.15	64.21	0.9974	0.2967	16.94
YBR012W-B_mRNA	617	780.5	288.06	322.0	3.0	285.06	0.9919	0.3716	-282.06
YBR013C_mRNA	69	254.7	133.19	91.0	35.2	97.99	1.0	0.4198	-62.78
YBR014C_mRNA	265	626.4	50.42	21.0	2.33	48.09	0.9962	0.0862	-45.77
YBR015C_mRNA	392	769.6	54.94	65.0	2.75	52.19	0.9898	0.094	-49.44
YBR016W_mRNA	275	550.9	53.29	29.0	3.5	49.79	1.0	0.0993	-46.29
YBR017C_mRNA	203	739.8	51.27	67.0	1.76	49.5	0.9852	0.1049	-47.74
YBR019C_mRNA	24	466.7	51.54	58.0	1.25	50.29	1.0	0.133	-49.04
YBR020W_mRNA	16	524.2	109.69	89.5	52.38	57.31	1.0	0.2336	-4.94
YBR021W_mRNA	49	731.9	55.57	75.0	1.65	53.92	0.9592	0.1078	-52.27
YBR022W_mRNA	171	605.3	62.85	42.0	1.71	61.13	1.0	0.1083	-59.42
YBR023C_mRNA	260	784.3	49.83	27.5	3.07	46.77	0.9885	0.0899	-43.7
YBR024W_mRNA	38	1002.0	90.82	96.5	1.84	88.97	1.0	0.0879	-87.13
YBR025C_mRNA	1365	796.3	45.56	18.0	2.0	43.57	0.9919	0.0796	-41.57
YBR026C_mRNA	190	723.4	52.36	13.5	8.14	44.23	0.9947	0.0922	-36.09
YBR027C_mRNA	26	455.5	48.08	44.5	3.12	44.96	1.0	0.1122	-41.85
YBR028C_mRNA	48	837.1	48.02	16.0	2.44	45.58	0.9792	0.0856	-43.15
YBR029C_mRNA	290	694.7	51.12	68.0	2.39	48.73	0.969	0.101	-46.34
YBR030W_mRNA	47	641.9	57.06	56.0	3.94	53.13	0.9787	0.1128	-49.19
YBR031W_mRNA	4424	749.9	46.6	18.0	2.32	44.28	0.974	0.0804	-41.97
YBR033W_mRNA	45	549.7	58.84	49.0	9.53	49.31	1.0	0.1393	-39.78
YBR034C_mRNA	465	679.7	50.23	54.0	3.55	46.68	1.0	0.1032	-43.13
YBR035C_mRNA	405	619.8	44.68	15.0	6.81	37.87	0.9951	0.0792	-31.05
YBR036C_mRNA	493	705.8	158.48	76.0	111.65	46.83	0.9655	0.2343	64.82
YBR037C_mRNA	37	740.5	35.38	13.0	5.14	30.24	1.0	0.0634	-25.11
YBR038W_mRNA	111	513.5	47.68	26.0	1.33	46.34	0.982	0.1044	-45.01
YBR039W_mRNA	492	720.0	50.19	68.5	2.56	47.63	0.9878	0.0887	-45.07
YBR041W_mRNA	216	764.2	58.21	59.5	2.37	55.84	0.9769	0.0995	-53.47
YBR042C_mRNA	226	731.0	52.7	30.0	4.58	48.13	0.9956	0.0915	-43.55
YBR043C_mRNA	130	579.1	47.0	29.5	2.92	44.08	1.0	0.1075	-41.17
YBR044C_mRNA	75	577.5	51.6	67.0	5.63	45.97	0.9867	0.1197	-40.35
YBR045C_mRNA	73	599.3	88.71	72.0	6.25	82.47	1.0	0.1615	-76.22
YBR046C_mRNA	68	798.5	57.4	76.5	2.28	55.12	1.0	0.0935	-52.84
YBR047W_mRNA	119	547.2	39.88	14.0	3.39	36.49	1.0	0.0755	-33.09
YBR048W_mRNA	4010	575.4	47.09	26.0	4.42	42.67	0.9933	0.0905	-38.25
YBR049C_mRNA	77	647.3	70.81	41.0	2.17	68.64	1.0	0.1259	-66.47
YBR050C_mRNA	7	819.7	117.43	93.0	1.57	115.86	1.0	0.1668	-114.29
YBR051W_mRNA	13	525.4	58.62	82.0	2.85	55.77	1.0	0.1173	-52.92
YBR052C_mRNA	260	587.0	46.81	15.0	5.66	41.15	0.9923	0.0852	-35.48
YBR053C_mRNA	91	750.2	60.25	74.0	2.34	57.91	1.0	0.0966	-55.57
YBR054W_mRNA	572	728.5	61.45	73.5	6.81	54.64	0.9878	0.1227	-47.82
YBR055C_mRNA	68	942.7	47.47	11.5	5.03	42.44	0.9412	0.0788	-37.41
YBR056W-A_mRNA	1176	576.1	68.02	80.0	3.31	64.71	0.994	0.1245	-61.4
YBR056W_mRNA	190	913.8	61.55	43.5	9.85	51.71	1.0	0.0933	-41.86
YBR057C_mRNA	121	601.3	64.79	67.0	1.15	63.64	0.9669	0.1196	-62.49
YBR058C-A_mRNA	680	435.0	39.9	11.0	1.73	38.17	0.9632	0.0891	-36.44
YBR058C_mRNA	71	865.6	148.13	147.0	3.15	144.97	1.0	0.2553	-141.82
YBR059C_mRNA	86	774.5	52.16	32.0	4.06	48.1	0.9884	0.1066	-44.05
YBR060C_mRNA	137	629.1	52.72	58.0	2.31	50.41	1.0	0.1117	-48.1
YBR061C_mRNA	250	699.1	132.08	58.0	90.57	41.51	0.996	0.1458	49.06
YBR062C_mRNA	280	549.1	50.22	38.5	6.92	43.3	0.9857	0.0977	-36.38
YBR063C_mRNA	34	707.7	46.44	11.0	5.76	40.68	0.9706	0.08	-34.91
YBR064W_mRNA	43	662.0	62.53	66.0	6.93	55.6	1.0	0.1013	-48.67
YBR065C_mRNA	12	629.5	52.0	74.5	1.83	50.17	1.0	0.119	-48.33
