transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
YAR002C-A	210	536.1	48.11	62.0	2.55	45.57	0.9857	0.0987	-43.02
YAR002W	222	565.8	48.15	67.0	2.18	45.97	0.9775	0.1066	-43.79
YAR003W	161	705.4	53.23	54.0	1.58	51.65	0.9938	0.0849	-50.06
YAR007C	151	958.1	54.05	70.0	3.11	50.94	1.0	0.084	-47.83
YAR008W	1287	492.8	45.77	24.0	3.06	42.71	0.9907	0.0898	-39.66
YAR009C	2868	781.0	49.75	31.5	3.35	46.4	0.9885	0.0721	-43.04
YAR010C	244	831.2	50.38	62.0	3.91	46.47	0.9836	0.0927	-42.56
YAR014C	138	620.4	52.55	41.0	3.01	49.54	0.9928	0.0944	-46.54
YAR015W	104	751.0	50.16	68.5	1.41	48.75	0.9808	0.096	-47.34
YAR018C	108	468.5	52.67	67.0	4.48	48.19	1.0	0.1217	-43.7
YAR019C	57	646.9	49.46	21.0	5.75	43.7	1.0	0.1062	-37.95
YAR019W-A	33	629.1	58.79	77.0	2.7	56.09	0.9697	0.1053	-53.39
YAR020C	14	532.4	53.5	46.0	1.07	52.43	1.0	0.1232	-51.36
YAR023C	46	554.5	33.24	11.0	2.52	30.72	1.0	0.0714	-28.2
YAR027W	453	639.6	52.04	61.0	6.78	45.25	0.9912	0.1019	-38.47
YAR028W	286	576.7	44.67	19.0	3.72	40.95	0.993	0.091	-37.22
YAR029W	38	593.4	52.42	42.5	10.66	41.76	1.0	0.1078	-31.11
YAR030C	29	522.5	47.21	17.0	7.52	39.69	0.9655	0.1121	-32.17
YAR031W	21	606.5	69.19	72.0	3.62	65.57	1.0	0.1432	-61.95
YAR033W	64	568.5	47.06	52.0	3.08	43.98	0.9844	0.0856	-40.91
YAR035C-A	7	500.1	54.71	77.0	4.86	49.86	1.0	0.1393	-45.0
YAR035W	18	549.8	45.89	60.0	3.72	42.17	1.0	0.1135	-38.44
YAR042W	91	737.4	90.69	73.0	3.05	87.64	0.989	0.145	-84.58
YAR050W	32	833.0	189.44	88.5	111.97	77.47	1.0	0.1518	34.5
YAR053W	28	604.4	67.04	77.5	1.11	65.93	1.0	0.1188	-64.82
YAR060C	10	507.6	110.0	77.0	63.5	46.5	1.0	0.1745	17.0
YAR064W	8	813.1	35.75	19.5	4.25	31.5	1.0	0.0936	-27.25
YAR068W	37	371.8	52.05	69.0	7.11	44.95	1.0	0.1449	-37.84
YAR069C	30	357.4	30.77	11.0	3.47	27.3	0.9667	0.0802	-23.83
YAR070C	5	321.2	59.8	85.0	4.6	55.2	1.0	0.2089	-50.6
YAR071W	39	983.7	63.0	32.0	1.97	61.03	0.9487	0.0817	-59.05
YBL001C	999	473.6	42.14	14.0	2.47	39.68	0.99	0.0924	-37.21
YBL002W	1004	465.0	43.86	16.5	3.2	40.66	0.988	0.0969	-37.46
YBL003C	1896	552.5	44.6	15.0	1.84	42.75	0.9953	0.0821	-40.91
YBL004W	1875	610.7	43.96	14.0	2.14	41.81	0.9941	0.0786	-39.67
YBL005W	196	708.4	49.15	36.0	3.22	45.93	0.9796	0.0796	-42.7
YBL005W-A	86	826.9	55.42	72.5	5.35	50.07	0.9884	0.1013	-44.72
YBL005W-B	2036	1182.1	50.72	63.0	2.36	48.36	0.9843	0.054	-45.99
YBL006C	68	568.4	41.46	13.5	1.75	39.71	1.0	0.0831	-37.96
YBL006W-A	61	583.9	51.61	68.0	1.62	49.98	1.0	0.0969	-48.36
YBL007C	245	847.0	52.03	67.0	6.31	45.72	0.9837	0.0857	-39.41
YBL008W	150	462.8	45.35	23.0	2.94	42.41	0.98	0.1086	-39.47
YBL008W-A	26	409.7	46.65	39.5	1.92	44.73	1.0	0.1149	-42.81
YBL009W	39	1046.8	50.0	57.0	1.44	48.56	1.0	0.088	-47.13
YBL010C	87	426.0	38.41	13.0	3.76	34.66	0.9655	0.11	-30.9
YBL011W	94	601.0	43.65	14.5	2.07	41.57	0.9681	0.1088	-39.5
YBL014C	65	718.2	48.35	12.0	3.49	44.86	0.9692	0.1003	-41.37
YBL015W	143	643.9	55.46	65.0	6.97	48.5	1.0	0.1097	-41.53
YBL016W	88	732.6	48.6	65.5	3.15	45.45	0.9886	0.0915	-42.31
YBL017C	203	810.5	49.03	43.0	8.83	40.21	0.9901	0.0924	-31.38
YBL018C	131	437.8	46.14	14.0	9.29	36.85	1.0	0.106	-27.56
YBL019W	159	526.2	51.72	63.0	10.18	41.53	0.9937	0.1102	-31.35
YBL020W	110	790.5	51.14	64.0	2.94	48.2	1.0	0.0913	-45.26
YBL021C	18	545.9	39.5	6.5	1.0	38.5	0.9444	0.0644	-37.5
YBL022C	146	815.5	39.22	10.5	1.74	37.48	0.9658	0.0676	-35.74
YBL023C	206	516.5	48.47	50.0	2.26	46.21	0.9854	0.1086	-43.95
YBL024W	239	859.8	49.52	51.0	2.58	46.94	0.9958	0.0776	-44.36
YBL025W	496	456.2	97.31	93.0	58.05	39.26	1.0	0.2078	18.79
YBL026W	505	464.8	101.92	97.0	62.55	39.37	0.998	0.2149	23.17
YBL027W	5467	500.4	42.44	19.0	7.04	35.4	0.9857	0.0861	-28.37
YBL028C	475	504.8	45.34	18.0	3.35	41.99	0.9853	0.0916	-38.64
YBL029C-A	159	435.7	46.95	23.0	3.46	43.49	0.9874	0.1064	-40.03
YBL029W	410	522.4	46.22	24.0	2.0	44.23	0.9951	0.0926	-42.23
YBL030C	881	730.0	51.21	69.0	2.66	48.55	0.9716	0.0894	-45.89
YBL031W	520	492.3	47.94	65.0	3.12	44.82	0.9635	0.1074	-41.7
YBL032W	110	781.7	50.78	32.5	3.5	47.28	0.9818	0.0858	-43.78
YBL033C	126	783.1	50.64	69.0	1.34	49.3	0.9921	0.0811	-47.96
YBL034C	114	683.9	47.74	31.0	4.67	43.07	0.9912	0.097	-38.4
YBL035C	82	746.8	77.65	72.5	1.51	76.13	0.9878	0.1109	-74.62
YBL036C	236	663.4	46.52	18.5	2.63	43.89	0.9958	0.0759	-41.27
YBL037W	274	710.5	48.72	22.5	4.29	44.42	1.0	0.0827	-40.13
YBL038W	51	614.9	50.84	49.0	4.35	46.49	1.0	0.0914	-42.14
YBL039C	413	824.6	49.71	19.0	4.81	44.91	0.9903	0.0813	-40.1
YBL039C-A	82	1405.3	120.17	130.5	1.09	119.09	0.9268	0.0949	-118.0
YBL039W-B	239	441.4	47.57	55.0	2.48	45.09	1.0	0.1162	-42.62
YBL040C	649	561.9	55.55	53.0	12.73	42.82	0.9923	0.1025	-30.09
YBL041W	644	576.3	60.09	60.0	13.91	46.18	0.9969	0.1083	-32.27
YBL042C	182	753.5	46.21	17.5	3.22	42.99	0.9725	0.0893	-39.77
YBL043W	48	460.2	46.56	60.5	3.04	43.52	0.9792	0.1294	-40.48
YBL044W	11	357.1	59.91	83.0	2.45	57.45	0.8182	0.1845	-55.0
YBL045C	299	891.2	45.57	17.0	2.66	42.91	0.9766	0.0683	-40.24
YBL046W	156	456.0	43.63	16.5	3.87	39.76	0.9936	0.1009	-35.9
YBL047C	161	816.5	41.06	12.0	1.9	39.16	0.9752	0.0688	-37.25
YBL048W	146	545.0	39.59	14.5	1.79	37.79	0.9932	0.081	-36.0
YBL049W	110	387.8	48.75	63.0	2.4	46.35	0.9818	0.1258	-43.95
YBL050W	302	734.7	69.8	77.0	22.05	47.75	1.0	0.1005	-25.7
YBL051C	98	717.4	40.62	15.5	2.45	38.17	0.9898	0.0728	-35.72
YBL052C	53	410.0	41.0	15.0	1.3	39.7	1.0	0.1166	-38.4
YBL053W	23	411.9	53.61	70.0	2.13	51.48	1.0	0.1329	-49.35
YBL054W	58	822.2	38.52	13.0	2.93	35.59	0.9828	0.0648	-32.66
YBL055C	359	628.7	45.68	17.0	2.5	43.18	0.9916	0.0893	-40.68
YBL056W	421	863.8	50.64	47.0	2.53	48.11	0.9881	0.0877	-45.58
YBL057C	169	520.2	48.69	64.0	1.62	47.08	1.0	0.112	-45.46
YBL058W	202	681.3	51.0	48.0	3.43	47.57	0.9901	0.0962	-44.14
YBL059C-A	75	404.1	36.61	13.0	9.44	27.17	0.9733	0.0849	-17.73
YBL059W	84	422.2	48.11	42.5	13.64	34.46	1.0	0.1177	-20.82
YBL060W	83	569.0	45.14	25.0	7.59	37.55	0.9759	0.0939	-29.96
YBL061C	126	837.0	42.01	12.0	2.32	39.69	0.9921	0.0703	-37.37
YBL062W	91	583.9	42.19	15.0	1.85	40.34	0.978	0.0845	-38.49
YBL063W	106	607.6	46.72	17.5	2.67	44.05	0.9906	0.097	-41.38
YBL064C	64	634.6	47.2	16.5	2.22	44.98	1.0	0.0816	-42.77
YBL065W	89	670.1	48.16	24.0	2.09	46.07	1.0	0.0877	-43.98
YBL066C	84	712.6	51.01	69.5	4.02	46.99	1.0	0.0908	-42.96
YBL067C	192	612.6	46.28	17.0	1.83	44.44	0.9844	0.098	-42.61
YBL068W	286	674.3	46.69	24.5	2.84	43.85	0.9895	0.0843	-41.02
YBL068W-A	15	680.1	63.53	82.0	1.13	62.4	1.0	0.1163	-61.27
YBL069W	44	855.2	45.93	37.0	1.09	44.84	0.9773	0.0658	-43.75
YBL070C	13	467.2	62.31	79.0	0.46	61.85	1.0	0.1566	-61.38
YBL071C	13	415.2	37.0	9.0	1.0	36.0	0.9231	0.0938	-35.0
YBL071C-B	1553	684.9	69.01	62.0	10.31	58.7	0.9955	0.1003	-48.39
YBL071W-A	13	390.8	44.69	11.0	14.23	30.46	1.0	0.1206	-16.23
YBL072C	7395	672.6	53.94	27.0	9.17	44.77	0.9992	0.0803	-35.59
YBL073W	1803	427.8	56.53	35.0	17.25	39.28	0.9989	0.126	-22.03
YBL074C	579	298.6	45.25	19.0	2.05	43.2	0.9948	0.146	-41.15
YBL075C	32	697.5	40.12	9.0	1.81	38.31	0.9375	0.0806	-36.5
YBL076C	878	1083.1	49.39	24.0	2.77	46.62	0.9886	0.0717	-43.85
YBL077W	659	598.1	43.94	15.0	3.96	39.98	0.9939	0.0873	-36.02
YBL078C	611	464.2	41.84	13.0	4.03	37.81	0.9935	0.098	-33.78
YBL079W	363	841.1	44.42	21.0	3.09	41.33	0.9807	0.0683	-38.23
YBL080C	45	694.2	44.73	28.0	3.93	40.8	1.0	0.0802	-36.87
YBL081W	56	666.5	55.95	70.0	8.64	47.3	0.9643	0.1051	-38.66
YBL082C	37	955.5	56.51	74.0	1.05	55.46	1.0	0.078	-54.41
YBL083C	23	898.2	60.17	73.0	2.35	57.83	1.0	0.0817	-55.48
YBL084C	88	650.8	57.25	19.0	3.14	54.11	0.9659	0.0941	-50.98
YBL085W	92	744.1	54.54	75.5	2.1	52.45	1.0	0.1002	-50.35
YBL086C	30	624.5	43.33	15.0	1.7	41.63	0.9667	0.0931	-39.93
YBL087C	2015	477.3	78.82	71.0	38.24	40.58	0.9926	0.1554	-2.35
YBL088C	2146	482.4	75.36	68.0	35.13	40.23	0.9916	0.1517	-5.1
YBL089W	146	614.6	53.42	78.0	1.8	51.62	0.9932	0.1059	-49.82
YBL090W	75	540.0	43.19	16.0	1.77	41.41	0.9867	0.0866	-39.64
YBL091C	170	716.0	44.24	15.5	2.32	41.92	0.9824	0.0841	-39.61
YBL091C-A	4437	470.5	52.0	30.0	12.92	39.08	0.995	0.1093	-26.16
YBL092W	4499	470.5	51.77	30.0	13.24	38.53	0.9958	0.1082	-25.29
YBL093C	92	620.4	50.16	69.0	2.0	48.16	1.0	0.0963	-46.16
YBL094C	100	598.2	47.56	19.5	2.8	44.76	1.0	0.0872	-41.96
YBL095W	104	559.5	41.97	13.0	1.82	40.15	1.0	0.0874	-38.34
YBL096C	41	394.2	34.02	11.0	2.12	31.9	1.0	0.0941	-29.78
YBL097W	35	540.8	65.69	70.0	4.57	61.11	1.0	0.1252	-56.54
YBL098W	388	514.7	50.65	68.0	3.09	47.56	0.9871	0.118	-44.47
YBL099W	588	913.4	49.12	52.0	3.08	46.04	0.9796	0.0779	-42.96
YBL100C	18	359.7	35.22	8.5	1.67	33.56	0.8333	0.1096	-31.89
YBL100W-A	30	403.8	46.8	64.0	1.8	45.0	1.0	0.1302	-43.2
YBL100W-B	303	554.6	53.61	65.0	4.36	49.25	0.9901	0.1145	-44.89
YBL101C	192	707.4	45.55	31.0	2.26	43.3	0.9948	0.0834	-41.04
YBL102W	176	531.3	43.82	15.0	3.8	40.02	0.9659	0.092	-36.23
YBL103C	122	775.0	48.23	33.0	3.09	45.14	1.0	0.078	-42.05
YBL104C	103	568.2	47.5	15.0	2.3	45.19	0.9903	0.0949	-42.89
YBL105C	95	770.3	39.07	12.0	2.17	36.91	0.9789	0.0776	-34.74
YBL106C	86	542.5	40.58	17.0	3.02	37.56	0.9651	0.0944	-34.53
YBL107C	98	507.9	47.2	24.5	2.99	44.21	0.9898	0.1022	-41.22
YBL107W-A	50	387.2	36.12	9.5	2.5	33.62	1.0	0.1049	-31.12
YBL111C	5	964.0	67.4	78.0	5.2	62.2	1.0	0.0762	-57.0
YBL113C	16	535.5	32.62	11.5	2.06	30.56	1.0	0.0752	-28.5
YBL113W-A	12	499.2	39.5	15.0	0.92	38.58	0.9167	0.1128	-37.67
YBR001C	139	543.9	43.44	16.0	2.85	40.59	0.9928	0.0986	-37.74
YBR002C	71	669.2	32.23	9.0	1.73	30.49	0.9859	0.0564	-28.76
YBR003W	137	627.2	43.56	13.0	2.18	41.38	0.9927	0.0948	-39.2
YBR004C	195	692.0	54.5	67.0	2.02	52.48	0.9949	0.1017	-50.46
YBR005W	147	677.0	48.43	48.0	1.94	46.49	1.0	0.0835	-44.55
YBR006W	181	684.9	49.69	46.0	4.7	44.99	1.0	0.0887	-40.29
YBR007C	132	644.1	48.65	48.0	3.99	44.66	1.0	0.0846	-40.67
YBR008C	114	652.5	53.68	68.5	5.14	48.54	1.0	0.1124	-43.4
YBR009C	4571	475.6	42.02	13.0	1.86	40.15	0.9974	0.0886	-38.29
YBR010W	2256	496.5	41.9	14.0	2.2	39.69	0.9911	0.089	-37.49
YBR011C	3011	630.3	42.65	15.0	1.98	40.67	0.993	0.0762	-38.69
YBR012C	7	545.0	66.71	90.0	0.71	66.0	1.0	0.1191	-65.29
YBR012W-A	21	452.8	58.19	80.0	3.52	54.67	1.0	0.1431	-51.14
YBR012W-B	296	714.6	63.92	72.0	5.52	58.4	0.9831	0.1	-52.87
YBR013C	268	657.9	57.76	63.5	14.19	43.57	0.9739	0.0862	-29.39
YBR014C	364	593.7	42.7	14.0	3.09	39.61	0.9918	0.0773	-36.52
YBR015C	283	881.1	51.14	67.0	2.33	48.81	0.9823	0.0794	-46.48
YBR016W	208	506.7	50.32	66.0	3.25	47.08	0.9952	0.1061	-43.83
YBR017C	272	724.1	45.45	22.0	2.72	42.74	0.9926	0.0829	-40.02
YBR018C	8	334.2	33.38	14.0	1.38	32.0	1.0	0.1085	-30.62
YBR019C	17	502.8	44.06	13.0	1.12	42.94	1.0	0.0983	-41.82
YBR020W	19	515.6	54.26	57.0	4.11	50.16	1.0	0.1352	-46.05
YBR021W	72	723.1	61.62	73.0	1.24	60.39	0.9861	0.1093	-59.15
YBR022W	180	534.0	44.76	13.0	1.66	43.11	0.9833	0.0889	-41.45
YBR023C	236	838.5	49.51	20.0	3.52	45.99	0.9873	0.0814	-42.47
YBR024W	427	502.7	44.4	17.0	3.64	40.76	0.993	0.1055	-37.12
YBR025C	996	920.9	46.37	19.5	1.9	44.47	0.991	0.069	-42.57
YBR026C	203	700.8	42.8	14.0	3.06	39.74	0.9951	0.079	-36.68
YBR027C	25	461.3	43.96	10.0	0.64	43.32	1.0	0.0984	-42.68
YBR028C	130	568.4	46.27	38.0	2.05	44.22	0.9538	0.1059	-42.18
YBR029C	196	835.6	50.41	68.0	2.03	48.39	0.9796	0.0827	-46.36
YBR030W	61	718.1	129.03	8.0	1.9	127.13	0.9016	0.1367	-125.23
YBR031W	2884	906.9	47.86	18.0	2.15	45.71	0.9775	0.0644	-43.56
YBR032W	1084	509.7	45.95	21.5	3.4	42.55	0.9723	0.1009	-39.15
YBR033W	629	340.7	46.66	43.0	2.76	43.9	0.9762	0.143	-41.14
YBR034C	482	751.3	45.69	17.5	2.46	43.22	0.9959	0.0779	-40.76
YBR035C	270	616.3	53.52	13.5	9.88	43.64	0.9926	0.0899	-33.76
YBR036C	635	679.7	92.2	71.0	45.88	46.31	0.9717	0.1344	-0.43
YBR037C	32	768.5	26.16	10.0	0.81	25.34	1.0	0.035	-24.53
YBR038W	93	558.2	47.02	50.0	1.02	46.0	0.9892	0.0951	-44.98
YBR039W	374	817.6	51.14	68.0	2.2	48.94	0.984	0.0788	-46.74
YBR040W	143	392.9	47.95	64.0	3.81	44.14	0.993	0.1262	-40.33
YBR041W	210	786.8	48.4	19.5	3.23	45.17	0.9714	0.0805	-41.94
YBR042C	267	664.0	48.39	50.0	2.37	46.02	0.9888	0.0939	-43.64
YBR043C	112	615.1	42.2	13.0	2.4	39.79	1.0	0.0871	-37.39
YBR044C	59	637.2	51.92	68.0	3.56	48.36	0.9831	0.1151	-44.8
YBR045C	97	558.1	53.49	69.0	5.4	48.09	0.9897	0.1251	-42.69
YBR046C	116	696.7	45.91	19.0	2.45	43.46	1.0	0.0752	-41.01
YBR047W	41	578.2	43.24	16.0	2.71	40.54	1.0	0.0703	-37.83
YBR048W	2927	609.5	80.58	71.0	38.07	42.5	0.9986	0.1313	-4.43
YBR049C	1190	492.4	62.09	68.0	19.18	42.91	0.9924	0.13	-23.73
YBR050C	42	462.7	51.83	67.0	1.26	50.57	1.0	0.1246	-49.31
YBR051W	75	512.4	41.6	19.0	10.63	30.97	1.0	0.0845	-20.35
YBR052C	141	608.8	45.41	20.0	2.04	43.37	0.9929	0.0826	-41.33
YBR053C	129	773.4	68.4	75.0	4.73	63.67	0.9922	0.098	-58.94
YBR054W	427	804.5	54.36	69.0	3.02	51.34	0.9859	0.102	-48.32
YBR055C	222	631.6	51.67	64.5	4.0	47.67	0.9775	0.11	-43.67
YBR056C-B	392	546.3	51.9	69.5	3.4	48.51	0.977	0.099	-45.11
YBR056W	198	901.8	51.77	17.0	3.92	47.84	1.0	0.0734	-43.92
YBR056W-A	446	570.0	56.71	74.0	4.57	52.14	0.991	0.104	-47.57
YBR057C	520	588.0	55.91	73.0	2.64	53.27	0.9865	0.1007	-50.64
YBR058C	266	552.5	45.89	17.5	3.1	42.79	0.9699	0.0938	-39.69
YBR058C-A	252	428.0	35.87	9.0	1.41	34.46	0.9802	0.0829	-33.06
YBR059C	354	509.9	40.12	12.0	1.62	38.5	0.9605	0.0881	-36.88
YBR060C	100	755.9	74.45	57.0	2.53	71.92	1.0	0.1096	-69.39
YBR061C	362	648.4	71.71	25.0	29.7	42.01	0.9945	0.101	-12.31
