panel	window_gene	source	feature_gene	feature_class	chrom	start	end	strand	is_window_gene
Fig1B	YBL091C	nagalakshmi	YBL092W	CDS	II	45978	46370	+	0
Fig1B	YBL091C	nagalakshmi	YBL092W	three_prime_UTR	II	46371	46514	+	0
S1A	YFR008W	final	YFR007W	gene	VI	159299	160360	+	0
S1A	YFR008W	final	YFR007W	CDS	VI	159299	160360	+	0
S1A	YFR008W	final	YFR007W	three_prime_UTR	VI	160361	160429	+	0
S1A	YFR008W	final	YFR008W	five_prime_UTR	VI	160197	160534	+	1
S1A	YFR008W	final	YFR008W	gene	VI	160535	161200	+	1
S1A	YFR008W	final	YFR008W	CDS	VI	160535	161200	+	1
S1A	YFR008W	final	YFR008W	three_prime_UTR	VI	161201	161549	+	1
S1A	YFR008W	nagalakshmi	YFR007W	gene	VI	159299	160360	+	0
S1A	YFR008W	nagalakshmi	YFR007W	CDS	VI	159299	160360	+	0
S1A	YFR008W	nagalakshmi	YFR007W	three_prime_UTR	VI	160361	160429	+	0
S1A	YFR008W	nagalakshmi	YFR008W	five_prime_UTR	VI	160197	160534	+	1
S1A	YFR008W	nagalakshmi	YFR008W	gene	VI	160535	161200	+	1
S1A	YFR008W	nagalakshmi	YFR008W	CDS	VI	160535	161200	+	1
S1A	YFR008W	nagalakshmi	YFR008W	three_prime_UTR	VI	161201	161547	+	1
S1B	YOR110W	final	YOR109W	gene	XV	525278	528601	+	0
S1B	YOR110W	final	YOR109W	CDS	XV	525278	528601	+	0
S1B	YOR110W	final	YOR109W	three_prime_UTR	XV	528602	528831	+	0
S1B	YOR110W	final	YOR110W	five_prime_UTR	XV	528787	528940	+	1
S1B	YOR110W	final	YOR110W	gene	XV	528941	530248	+	1
S1B	YOR110W	final	YOR110W	CDS	XV	528941	530248	+	1
S1B	YOR110W	final	YOR110W	three_prime_UTR	XV	530249	530380	+	1
S1B	YOR110W	final	YOR111W	five_prime_UTR	XV	530311	530428	+	0
S1B	YOR110W	final	YOR111W	gene	XV	530429	531127	+	0
S1B	YOR110W	final	YOR111W	CDS	XV	530429	531127	+	0
S1B	YOR110W	final	YOR111W	three_prime_UTR	XV	531128	531451	+	0
S1B	YOR110W	final	YOR112W	five_prime_UTR	XV	530606	531507	+	0
S1B	YOR110W	nagalakshmi	YOR109W	gene	XV	525278	528601	+	0
S1B	YOR110W	nagalakshmi	YOR109W	CDS	XV	525278	528601	+	0
S1B	YOR110W	nagalakshmi	YOR110W	five_prime_UTR	XV	528865	528940	+	1
S1B	YOR110W	nagalakshmi	YOR110W	gene	XV	528941	530248	+	1
S1B	YOR110W	nagalakshmi	YOR110W	CDS	XV	528941	530248	+	1
S1B	YOR110W	nagalakshmi	YOR110W	three_prime_UTR	XV	530249	530380	+	1
S1B	YOR110W	nagalakshmi	YOR111W	five_prime_UTR	XV	530390	530428	+	0
S1B	YOR110W	nagalakshmi	YOR111W	gene	XV	530429	531127	+	0
S1B	YOR110W	nagalakshmi	YOR111W	CDS	XV	530429	531127	+	0
S1B	YOR110W	nagalakshmi	YOR111W	three_prime_UTR	XV	531128	531451	+	0
S1C	YBR084W	final	YBR083W	gene	II	409169	410629	+	0
S1C	YBR084W	final	YBR083W	CDS	II	409169	410629	+	0
S1C	YBR084W	final	YBR083W	three_prime_UTR	II	410630	410720	+	0
S1C	YBR084W	final	YBR084C-A	three_prime_UTR	II	414064	414185	-	0
S1C	YBR084W	final	YBR084C-A	gene	II	414186	415261	-	0
S1C	YBR084W	final	YBR084C-A	CDS	II	414186	414753	-	0
S1C	YBR084W	final	YBR084C-A	intron	II	414754	415259	-	0
S1C	YBR084W	final	YBR084W	five_prime_UTR	II	410993	411053	+	1
S1C	YBR084W	final	YBR084W	gene	II	411054	413981	+	1
S1C	YBR084W	final	YBR084W	CDS	II	411054	413981	+	1
S1C	YBR084W	final	YBR084W	three_prime_UTR	II	413982	414180	+	1
S1C	YBR084W	nagalakshmi	YBR083W	gene	II	409169	410629	+	0
S1C	YBR084W	nagalakshmi	YBR083W	CDS	II	409169	410629	+	0
S1C	YBR084W	nagalakshmi	YBR083W	three_prime_UTR	II	410630	410708	+	0
S1C	YBR084W	nagalakshmi	YBR084C-A	three_prime_UTR	II	414064	414185	-	0
S1C	YBR084W	nagalakshmi	YBR084C-A	gene	II	414186	415261	-	0
S1C	YBR084W	nagalakshmi	YBR084C-A	CDS	II	414186	414753	-	0
S1C	YBR084W	nagalakshmi	YBR084C-A	intron	II	414754	415259	-	0
S1C	YBR084W	nagalakshmi	YBR084W	five_prime_UTR	II	410993	411053	+	1
S1C	YBR084W	nagalakshmi	YBR084W	gene	II	411054	413981	+	1
S1C	YBR084W	nagalakshmi	YBR084W	CDS	II	411054	413981	+	1
S1C	YBR084W	nagalakshmi	YBR084W	three_prime_UTR	II	413982	414180	+	1
S1D	YCL045C	final	YCL044C	three_prime_UTR	III	46938	47110	-	0
S1D	YCL045C	final	YCL044C	gene	III	47111	48364	-	0
S1D	YCL045C	final	YCL044C	CDS	III	47111	48364	-	0
S1D	YCL045C	final	YCL045C	three_prime_UTR	III	44562	44622	-	1
S1D	YCL045C	final	YCL045C	gene	III	44623	46905	-	1
S1D	YCL045C	final	YCL045C	CDS	III	44623	46905	-	1
S1D	YCL045C	final	YCL045C	five_prime_UTR	III	46906	46969	-	1
S1D	YCL045C	final	YCL046W	gene	III	46640	46963	+	0
S1D	YCL045C	final	YCL046W	CDS	III	46640	46963	+	0
S1D	YCL045C	final	YCL047C	three_prime_UTR	III	43422	43660	-	0
S1D	YCL045C	final	YCL047C	gene	III	43661	44437	-	0
S1D	YCL045C	final	YCL047C	CDS	III	43661	44437	-	0
S1D	YCL045C	final	YCL047C	five_prime_UTR	III	44438	44446	-	0
S1D	YCL045C	nagalakshmi	YCL044C	three_prime_UTR	III	46938	47110	-	0
S1D	YCL045C	nagalakshmi	YCL044C	gene	III	47111	48364	-	0
S1D	YCL045C	nagalakshmi	YCL044C	CDS	III	47111	48364	-	0
S1D	YCL045C	nagalakshmi	YCL045C	three_prime_UTR	III	44567	44622	-	1
S1D	YCL045C	nagalakshmi	YCL045C	gene	III	44623	46905	-	1
S1D	YCL045C	nagalakshmi	YCL045C	CDS	III	44623	46905	-	1
S1D	YCL045C	nagalakshmi	YCL045C	five_prime_UTR	III	46906	46969	-	1
S1D	YCL045C	nagalakshmi	YCL046W	gene	III	46640	46963	+	0
S1D	YCL045C	nagalakshmi	YCL046W	CDS	III	46640	46963	+	0
S1D	YCL045C	nagalakshmi	YCL047C	three_prime_UTR	III	43422	43660	-	0
S1D	YCL045C	nagalakshmi	YCL047C	gene	III	43661	44437	-	0
S1D	YCL045C	nagalakshmi	YCL047C	CDS	III	43661	44437	-	0
S1D	YCL045C	nagalakshmi	YCL047C	five_prime_UTR	III	44438	44440	-	0
S1E	YCR015C	final	YCR014C	gene	III	139185	140933	-	0
S1E	YCR015C	final	YCR014C	CDS	III	139185	140933	-	0
S1E	YCR015C	final	YCR014C	five_prime_UTR	III	140934	141138	-	0
S1E	YCR015C	final	YCR015C	three_prime_UTR	III	141136	141216	-	1
S1E	YCR015C	final	YCR015C	gene	III	141217	142170	-	1
S1E	YCR015C	final	YCR015C	CDS	III	141217	142170	-	1
S1E	YCR015C	final	YCR015C	five_prime_UTR	III	142171	142485	-	1
S1E	YCR015C	nagalakshmi	YCR014C	gene	III	139185	140933	-	0
S1E	YCR015C	nagalakshmi	YCR014C	CDS	III	139185	140933	-	0
S1E	YCR015C	nagalakshmi	YCR015C	three_prime_UTR	III	141144	141216	-	1
S1E	YCR015C	nagalakshmi	YCR015C	gene	III	141217	142170	-	1
S1E	YCR015C	nagalakshmi	YCR015C	CDS	III	141217	142170	-	1
S1E	YCR015C	nagalakshmi	YCR015C	five_prime_UTR	III	142171	142485	-	1
S1F	YDL167C	final	YDL166C	three_prime_UTR	IV	163309	163448	-	0
S1F	YDL167C	final	YDL166C	gene	IV	163449	164042	-	0
S1F	YDL167C	final	YDL166C	CDS	IV	163449	164042	-	0
S1F	YDL167C	final	YDL166C	five_prime_UTR	IV	164043	164123	-	0
S1F	YDL167C	final	YDL167C	three_prime_UTR	IV	160754	160994	-	1
S1F	YDL167C	final	YDL167C	gene	IV	160995	163154	-	1
S1F	YDL167C	final	YDL167C	CDS	IV	160995	163154	-	1
S1F	YDL167C	final	YDL167C	five_prime_UTR	IV	163155	163204	-	1
S1F	YDL167C	final	YDL168W	gene	IV	159604	160764	+	0
S1F	YDL167C	final	YDL168W	CDS	IV	159604	160764	+	0
S1F	YDL167C	final	YDL168W	three_prime_UTR	IV	160765	160977	+	0
S1F	YDL167C	nagalakshmi	YDL166C	three_prime_UTR	IV	163309	163448	-	0
S1F	YDL167C	nagalakshmi	YDL166C	gene	IV	163449	164042	-	0
S1F	YDL167C	nagalakshmi	YDL166C	CDS	IV	163449	164042	-	0
S1F	YDL167C	nagalakshmi	YDL166C	five_prime_UTR	IV	164043	164123	-	0
S1F	YDL167C	nagalakshmi	YDL167C	three_prime_UTR	IV	160754	160994	-	1
S1F	YDL167C	nagalakshmi	YDL167C	gene	IV	160995	163154	-	1
S1F	YDL167C	nagalakshmi	YDL167C	CDS	IV	160995	163154	-	1
S1F	YDL167C	nagalakshmi	YDL167C	five_prime_UTR	IV	163155	163197	-	1
S1F	YDL167C	nagalakshmi	YDL168W	gene	IV	159604	160764	+	0
S1F	YDL167C	nagalakshmi	YDL168W	CDS	IV	159604	160764	+	0
S1F	YDL167C	nagalakshmi	YDL168W	three_prime_UTR	IV	160765	160977	+	0
S1G	YDR376W	final	YDR375C	gene	IV	1225166	1226536	-	0
S1G	YDR376W	final	YDR375C	CDS	IV	1225166	1226536	-	0
S1G	YDR376W	final	YDR375C	five_prime_UTR	IV	1226537	1226579	-	0
S1G	YDR376W	final	YDR376W	five_prime_UTR	IV	1226730	1226821	+	1
S1G	YDR376W	final	YDR376W	gene	IV	1226822	1228303	+	1
S1G	YDR376W	final	YDR376W	CDS	IV	1226822	1228303	+	1
S1G	YDR376W	final	YDR376W	three_prime_UTR	IV	1228304	1228469	+	1
S1G	YDR376W	final	YDR377W	five_prime_UTR	IV	1228528	1228610	+	0
S1G	YDR376W	final	YDR377W	gene	IV	1228611	1228916	+	0
S1G	YDR376W	final	YDR377W	CDS	IV	1228611	1228916	+	0
S1G	YDR376W	final	YDR377W	three_prime_UTR	IV	1228917	1229643	+	0
S1G	YDR376W	final	YDR378C	three_prime_UTR	IV	1229141	1229348	-	0
S1G	YDR376W	nagalakshmi	YDR375C	gene	IV	1225166	1226536	-	0
S1G	YDR376W	nagalakshmi	YDR375C	CDS	IV	1225166	1226536	-	0
S1G	YDR376W	nagalakshmi	YDR375C	five_prime_UTR	IV	1226537	1226579	-	0
S1G	YDR376W	nagalakshmi	YDR376W	five_prime_UTR	IV	1226730	1226821	+	1
S1G	YDR376W	nagalakshmi	YDR376W	gene	IV	1226822	1228303	+	1
S1G	YDR376W	nagalakshmi	YDR376W	CDS	IV	1226822	1228303	+	1
S1G	YDR376W	nagalakshmi	YDR376W	three_prime_UTR	IV	1228304	1228469	+	1
S1G	YDR376W	nagalakshmi	YDR377W	five_prime_UTR	IV	1228532	1228610	+	0
S1G	YDR376W	nagalakshmi	YDR377W	gene	IV	1228611	1228916	+	0
S1G	YDR376W	nagalakshmi	YDR377W	CDS	IV	1228611	1228916	+	0
S1G	YDR376W	nagalakshmi	YDR377W	three_prime_UTR	IV	1228917	1229643	+	0
S1G	YDR376W	nagalakshmi	YDR378C	three_prime_UTR	IV	1229141	1229348	-	0
S1H	YGL103W	final	YGL101W	five_prime_UTR	VII	312148	312192	+	0
S1H	YGL103W	final	YGL101W	gene	VII	312193	312840	+	0
S1H	YGL103W	final	YGL101W	CDS	VII	312193	312840	+	0
S1H	YGL103W	final	YGL101W	three_prime_UTR	VII	312841	313116	+	0
S1H	YGL103W	final	YGL102C	gene	VII	311505	311933	-	0
S1H	YGL103W	final	YGL102C	CDS	VII	311505	311933	-	0
S1H	YGL103W	final	YGL103W	five_prime_UTR	VII	308492	310966	+	1
S1H	YGL103W	final	YGL103W	gene	VII	310967	311927	+	1
S1H	YGL103W	final	YGL103W	CDS	VII	310967	311015	+	1
S1H	YGL103W	final	YGL103W	intron	VII	311016	311526	+	1
S1H	YGL103W	final	YGL103W	CDS	VII	311527	311927	+	1
S1H	YGL103W	final	YGL103W	three_prime_UTR	VII	311928	312016	+	1
S1H	YGL103W	final	YGL104C	gene	VII	308713	310173	-	0
S1H	YGL103W	final	YGL104C	CDS	VII	308713	310173	-	0
S1H	YGL103W	final	YGL104C	five_prime_UTR	VII	310174	310215	-	0
S1H	YGL103W	nagalakshmi	YGL101W	five_prime_UTR	VII	312148	312192	+	0
S1H	YGL103W	nagalakshmi	YGL101W	gene	VII	312193	312840	+	0
S1H	YGL103W	nagalakshmi	YGL101W	CDS	VII	312193	312840	+	0
S1H	YGL103W	nagalakshmi	YGL101W	three_prime_UTR	VII	312841	313116	+	0
S1H	YGL103W	nagalakshmi	YGL102C	gene	VII	311505	311933	-	0
S1H	YGL103W	nagalakshmi	YGL102C	CDS	VII	311505	311933	-	0
S1H	YGL103W	nagalakshmi	YGL103W	five_prime_UTR	VII	308492	310966	+	1
S1H	YGL103W	nagalakshmi	YGL103W	gene	VII	310967	311927	+	1
S1H	YGL103W	nagalakshmi	YGL103W	CDS	VII	310967	311015	+	1
S1H	YGL103W	nagalakshmi	YGL103W	intron	VII	311016	311526	+	1
S1H	YGL103W	nagalakshmi	YGL103W	CDS	VII	311527	311927	+	1
S1H	YGL103W	nagalakshmi	YGL103W	three_prime_UTR	VII	311928	311999	+	1
S1H	YGL103W	nagalakshmi	YGL104C	gene	VII	308713	310173	-	0
S1H	YGL103W	nagalakshmi	YGL104C	CDS	VII	308713	310173	-	0
S1H	YGL103W	nagalakshmi	YGL104C	five_prime_UTR	VII	310174	310189	-	0
