transcript	n_reads	mean_read_length	mean_clip_total	median_clip_total	mean_clip_5p	mean_clip_3p	frac_clipped	mean_clip_frac	asymmetry
YAL028W_mRNA	64	488.1	49.33	19.5	1.11	48.22	1.0	0.113	-47.11
YAL029C_mRNA	202	933.1	66.76	78.5	2.93	63.84	0.995	0.0898	-60.91
YAL030W_mRNA	65	390.9	61.17	71.0	10.68	50.49	1.0	0.1567	-39.82
YAL031C_mRNA	52	758.1	48.85	51.5	4.71	44.13	1.0	0.0974	-39.42
YAL032C_mRNA	27	504.6	25.04	10.0	2.3	22.74	0.8889	0.0765	-20.44
YAL033W_mRNA	285	562.4	41.22	15.0	1.99	39.22	0.9825	0.0747	-37.23
YAL034C-B_mRNA	6	366.8	111.5	96.5	37.33	74.17	1.0	0.329	-36.83
YAL034C_mRNA	55	651.1	46.13	22.0	3.75	42.38	0.9818	0.1053	-38.64
YAL034W-A_mRNA	26	481.7	35.65	10.5	1.27	34.38	1.0	0.087	-33.12
YAL035W_mRNA	576	787.8	55.95	70.0	3.85	52.1	0.9948	0.1023	-48.26
YAL036C_mRNA	116	706.1	41.16	9.0	1.68	39.48	0.8966	0.0758	-37.8
YAL037C-B_mRNA	228	896.2	147.25	167.5	3.89	143.36	0.9386	0.1554	-139.47
YAL037W_mRNA	193	646.8	52.66	33.0	10.89	41.77	0.9741	0.0991	-30.88
YAL038W_mRNA	15002	764.9	48.32	59.0	2.88	45.44	0.9943	0.0883	-42.56
YAL039C_mRNA	137	661.4	45.2	15.0	5.04	40.16	0.9854	0.0839	-35.12
YAL040C_mRNA	125	827.1	84.61	85.0	3.0	81.61	0.992	0.1544	-78.61
YAL041W_mRNA	113	619.2	50.27	20.0	5.49	44.78	0.9912	0.1065	-39.29
YAL042W_mRNA	312	728.1	38.9	12.0	2.43	36.47	0.9808	0.0668	-34.04
YAL043C_mRNA	63	727.3	44.65	19.0	1.51	43.14	0.9841	0.0799	-41.63
YAL044C_mRNA	218	470.6	40.82	15.5	3.08	37.74	0.9954	0.0912	-34.66
YAL044W-A_mRNA	71	402.0	46.46	30.0	2.59	43.87	1.0	0.119	-41.28
YAL046C_mRNA	85	447.1	44.01	16.0	2.47	41.54	1.0	0.0977	-39.07
YAL047C_mRNA	49	786.8	50.65	18.0	2.31	48.35	1.0	0.0836	-46.04
YAL048C_mRNA	57	977.3	99.47	94.0	2.91	96.56	1.0	0.1106	-93.65
YAL049C_mRNA	199	652.9	50.41	70.0	2.66	47.75	0.9899	0.0915	-45.09
YAL051W_mRNA	54	563.0	60.3	62.5	2.28	58.02	1.0	0.1436	-55.74
YAL053W_mRNA	257	1057.8	62.72	76.0	5.33	57.39	0.9961	0.099	-52.05
YAL054C_mRNA	74	513.6	63.28	69.5	2.76	60.53	1.0	0.1265	-57.77
YAL055W_mRNA	29	416.4	37.03	13.0	2.31	34.72	0.9655	0.0838	-32.41
YAL056C-A_mRNA	5	271.0	49.8	75.0	1.0	48.8	1.0	0.1882	-47.8
YAL056W_mRNA	154	648.3	41.73	12.0	1.33	40.4	0.9805	0.0838	-39.07
YAL058W_mRNA	51	749.1	58.61	66.0	2.41	56.2	1.0	0.1079	-53.78
YAL059W_mRNA	199	567.3	47.76	29.0	1.8	45.96	0.995	0.0928	-44.17
YAL060W_mRNA	185	742.1	44.12	13.0	4.76	39.36	0.9892	0.08	-34.59
YAL061W_mRNA	53	810.4	177.45	84.0	3.75	173.7	1.0	0.2131	-169.94
YAL062W_mRNA	154	386.9	50.34	24.5	4.8	45.55	0.9935	0.1273	-40.75
YAL063C-A_mRNA	62	727.1	79.02	81.0	3.77	75.24	1.0	0.1211	-71.47
YAL063C_mRNA	83	566.2	126.02	90.0	21.31	104.71	0.988	0.2171	-83.4
YAL064W_mRNA	8	332.9	68.25	51.0	10.38	57.88	1.0	0.2169	-47.5
YAL066W_mRNA	14	450.6	326.21	336.5	294.14	32.07	1.0	0.6973	262.07
YAL067C_mRNA	10	830.1	255.3	256.5	1.2	254.1	1.0	0.3771	-252.9
YAR002C-A_mRNA	372	600.0	44.2	19.5	2.82	41.38	0.9839	0.0837	-38.56
YAR002W_mRNA	125	517.0	47.02	25.0	1.94	45.09	0.976	0.1161	-43.15
YAR003W_mRNA	139	652.9	51.75	72.0	2.27	49.47	0.9856	0.0999	-47.2
YAR007C_mRNA	106	1109.2	55.35	67.5	2.75	52.6	1.0	0.0714	-49.86
YAR008W_mRNA	118	695.9	71.01	65.0	28.51	42.5	1.0	0.1442	-13.99
YAR009C_mRNA	798	1122.6	273.15	325.0	3.3	269.85	0.9912	0.2451	-266.55
YAR010C_mRNA	11	440.9	112.73	107.0	21.55	91.18	0.9091	0.2388	-69.64
YAR014C_mRNA	164	566.2	58.53	70.0	8.2	50.33	0.9939	0.1245	-42.13
YAR015W_mRNA	127	739.8	48.21	63.0	1.43	46.78	0.9843	0.0841	-45.35
YAR018C_mRNA	43	480.5	52.19	72.0	1.51	50.67	1.0	0.126	-49.16
YAR019C_mRNA	84	547.8	108.36	94.5	47.85	60.51	1.0	0.3032	-12.67
YAR019W-A_mRNA	40	592.4	110.72	112.0	4.9	105.82	0.975	0.2123	-100.92
YAR020C_mRNA	9	659.9	51.89	21.0	1.33	50.56	1.0	0.0861	-49.22
YAR023C_mRNA	46	554.5	59.35	18.0	8.61	50.74	1.0	0.1005	-42.13
YAR027W_mRNA	460	635.7	48.45	27.0	3.06	45.39	0.9891	0.0878	-42.32
YAR028W_mRNA	129	669.1	44.08	17.0	2.53	41.55	1.0	0.078	-39.02
YAR029W_mRNA	94	638.7	52.63	55.5	4.96	47.67	0.9787	0.1032	-42.71
YAR030C_mRNA	9	240.1	60.67	69.0	30.67	30.0	1.0	0.2241	0.67
YAR031W_mRNA	15	778.0	112.73	84.0	46.27	66.47	1.0	0.16	-20.2
YAR033W_mRNA	87	553.3	61.22	64.0	2.64	58.57	0.9885	0.1119	-55.93
YAR035W_mRNA	26	556.3	78.38	81.5	6.04	72.35	1.0	0.1742	-66.31
YAR042W_mRNA	77	766.4	115.43	79.0	2.3	113.13	0.987	0.1788	-110.83
YAR050W_mRNA	34	820.6	216.53	90.0	125.59	90.94	1.0	0.1876	34.65
YAR053W_mRNA	108	464.6	63.82	74.5	3.35	60.47	0.9815	0.1428	-57.12
YAR060C_mRNA	5	390.6	61.0	81.0	2.4	58.6	1.0	0.1466	-56.2
YAR070C_mRNA	5	604.6	332.4	345.0	157.6	174.8	1.0	0.4773	-17.2
YAR071W_mRNA	43	1109.9	65.6	36.0	1.93	63.67	0.9535	0.0614	-61.74
YBL001C_mRNA	915	385.7	40.39	13.0	3.54	36.85	0.9814	0.1042	-33.31
YBL002W_mRNA	1092	539.8	65.18	68.0	2.99	62.19	0.9991	0.1236	-59.2
YBL003C_mRNA	3491	554.2	44.65	15.0	2.14	42.52	0.9948	0.0819	-40.38
YBL004W_mRNA	268	949.0	49.77	21.5	4.38	45.38	0.9888	0.0711	-41.0
YBL005W-A_mRNA	9	458.2	76.67	88.0	26.33	50.33	1.0	0.1996	-24.0
YBL005W-B_mRNA	1623	1359.0	308.01	329.0	3.11	304.9	0.9883	0.2645	-301.79
YBL005W_mRNA	192	704.8	163.1	86.5	108.59	54.51	0.9896	0.2061	54.08
YBL006C_mRNA	171	590.1	47.35	19.0	5.88	41.47	1.0	0.0849	-35.6
YBL006W-A_mRNA	7	617.4	61.0	59.0	0.14	60.86	1.0	0.098	-60.71
YBL007C_mRNA	274	767.5	51.22	67.0	4.41	46.81	0.9781	0.0965	-42.4
YBL008W_mRNA	56	584.0	60.23	70.0	1.54	58.7	1.0	0.1216	-57.16
YBL009W_mRNA	87	686.4	53.28	33.0	5.89	47.39	1.0	0.114	-41.51
YBL010C_mRNA	61	405.0	44.31	28.0	2.44	41.87	0.9508	0.1439	-39.43
YBL011W_mRNA	124	580.9	39.64	14.0	2.69	36.94	0.9758	0.0924	-34.25
YBL014C_mRNA	61	737.1	46.13	12.0	7.93	38.2	0.9836	0.0976	-30.26
YBL015W_mRNA	110	737.5	56.56	63.5	9.4	47.16	1.0	0.0944	-37.76
YBL016W_mRNA	111	645.6	57.05	70.0	9.6	47.44	0.991	0.1299	-37.84
YBL017C_mRNA	209	755.2	42.97	13.0	4.65	38.32	0.9952	0.0903	-33.67
YBL018C_mRNA	176	477.1	43.5	16.0	4.51	38.99	0.9886	0.0898	-34.49
YBL019W_mRNA	89	605.2	90.25	90.0	6.15	84.1	0.9888	0.2139	-77.96
YBL020W_mRNA	103	814.2	59.97	75.0	5.55	54.42	1.0	0.1124	-48.86
YBL021C_mRNA	53	524.0	40.55	14.0	2.25	38.3	1.0	0.0825	-36.06
YBL022C_mRNA	216	684.2	40.87	12.0	1.42	39.45	0.9676	0.0809	-38.03
YBL023C_mRNA	99	650.7	53.95	61.0	2.68	51.27	0.9899	0.1001	-48.6
YBL024W_mRNA	239	835.8	52.18	68.0	2.64	49.54	0.9958	0.0897	-46.91
YBL025W_mRNA	55	550.0	51.84	67.0	3.25	48.58	1.0	0.1063	-45.33
YBL026W_mRNA	972	456.8	51.13	21.0	12.22	38.91	0.9969	0.1039	-26.69
YBL027W_mRNA	5381	501.5	38.01	10.0	2.85	35.16	0.9757	0.0792	-32.3
YBL028C_mRNA	891	507.4	47.47	23.0	3.65	43.82	0.9899	0.0946	-40.17
YBL029C-A_mRNA	301	442.6	55.72	72.0	2.93	52.79	0.9867	0.1216	-49.85
YBL029W_mRNA	72	500.9	47.33	18.0	3.06	44.28	1.0	0.111	-41.22
YBL030C_mRNA	1147	684.4	49.81	67.0	2.76	47.05	0.9651	0.091	-44.29
YBL031W_mRNA	41	426.9	46.93	27.0	2.46	44.46	0.9756	0.1568	-42.0
YBL032W_mRNA	186	650.7	51.1	22.5	3.09	48.02	0.9839	0.0975	-44.93
YBL033C_mRNA	194	674.4	50.13	68.5	1.28	48.85	0.9845	0.0938	-47.57
YBL034C_mRNA	60	863.6	38.83	12.5	2.97	35.87	1.0	0.0683	-32.9
YBL035C_mRNA	40	821.8	32.95	8.0	1.65	31.3	0.975	0.05	-29.65
YBL036C_mRNA	434	688.7	47.54	24.5	2.25	45.29	0.9977	0.0774	-43.04
YBL037W_mRNA	60	906.6	56.7	68.0	5.75	50.95	1.0	0.0845	-45.2
YBL038W_mRNA	93	544.0	53.6	66.0	5.46	48.14	1.0	0.113	-42.68
YBL039C-A_mRNA	214	688.6	50.53	26.0	4.98	45.55	0.9907	0.0918	-40.57
YBL039C_mRNA	429	861.4	52.02	25.0	5.51	46.51	0.9837	0.0862	-41.0
YBL039W-B_mRNA	143	485.0	49.49	65.0	1.83	47.66	1.0	0.1058	-45.84
YBL040C_mRNA	624	638.8	61.26	71.5	3.93	57.33	0.9824	0.1072	-53.4
YBL041W_mRNA	610	508.4	63.03	71.0	2.29	60.74	0.9951	0.1415	-58.46
YBL042C_mRNA	197	713.7	64.04	44.0	8.47	55.57	0.9898	0.1365	-47.1
YBL043W_mRNA	27	622.7	74.41	82.0	19.11	55.3	0.963	0.17	-36.19
YBL045C_mRNA	376	822.4	88.69	90.0	2.31	86.38	0.9867	0.1443	-84.07
YBL046W_mRNA	75	366.0	73.33	79.0	31.29	42.04	1.0	0.2549	-10.75
YBL047C_mRNA	333	654.3	42.92	17.0	1.77	41.14	0.982	0.0824	-39.37
YBL048W_mRNA	33	528.4	67.15	75.0	2.64	64.52	0.9697	0.1282	-61.88
YBL049W_mRNA	7	637.0	60.86	83.0	4.0	56.86	1.0	0.139	-52.86
YBL050W_mRNA	346	680.2	61.88	25.5	14.97	46.91	1.0	0.1121	-31.95
YBL051C_mRNA	110	682.9	50.96	66.0	6.19	44.77	1.0	0.1003	-38.58
YBL052C_mRNA	16	383.6	54.0	10.0	1.12	52.88	1.0	0.1198	-51.75
YBL054W_mRNA	111	632.2	43.87	27.0	2.44	41.43	0.991	0.0898	-38.99
YBL055C_mRNA	239	690.4	60.27	37.0	3.9	56.37	0.9958	0.1143	-52.46
YBL056W_mRNA	518	795.2	54.43	61.5	4.44	50.0	0.9865	0.0935	-45.56
YBL057C_mRNA	193	488.7	46.95	24.0	2.61	44.34	0.9948	0.1063	-41.74
YBL058W_mRNA	174	758.1	52.28	65.0	3.31	48.97	0.9943	0.0943	-45.66
YBL059C-A_mRNA	159	423.1	43.2	20.0	2.36	40.84	0.9811	0.101	-38.48
YBL059W_mRNA	43	445.0	62.3	40.0	2.63	59.67	1.0	0.151	-57.05
YBL060W_mRNA	53	635.7	47.49	21.0	5.17	42.32	0.9811	0.1016	-37.15
YBL061C_mRNA	222	767.9	45.05	14.0	1.88	43.17	0.9865	0.0756	-41.29
YBL062W_mRNA	68	323.2	34.34	10.0	2.54	31.79	0.9853	0.1014	-29.25
YBL063W_mRNA	35	888.3	68.54	70.0	9.29	59.26	0.9714	0.118	-49.97
YBL064C_mRNA	188	625.5	49.08	24.0	1.93	47.15	1.0	0.0903	-45.22
YBL066C_mRNA	64	748.0	56.33	73.5	7.83	48.5	1.0	0.1083	-40.67
YBL067C_mRNA	130	743.6	50.22	25.0	1.74	48.48	0.9923	0.0837	-46.74
YBL068W-A_mRNA	35	528.9	50.89	56.0	0.83	50.06	1.0	0.1005	-49.23
YBL068W_mRNA	302	638.9	45.24	18.5	2.72	42.51	0.9834	0.0889	-39.79
YBL069W_mRNA	46	919.5	56.24	74.0	1.13	55.11	1.0	0.0911	-53.98
YBL071C_mRNA	21	393.5	36.67	7.0	0.52	36.14	0.9524	0.1069	-35.62
YBL071W-A_mRNA	30	430.3	48.9	66.0	6.3	42.6	0.9667	0.1095	-36.3
YBL072C_mRNA	11323	618.1	48.11	23.0	7.84	40.27	0.9981	0.0824	-32.43
YBL074C_mRNA	5	935.6	254.6	333.0	135.2	119.4	1.0	0.2408	15.8
YBL075C_mRNA	39	609.3	39.08	12.0	1.59	37.49	1.0	0.0883	-35.9
YBL076C_mRNA	1528	906.0	46.63	17.0	3.03	43.59	0.9928	0.0695	-40.56
YBL077W_mRNA	355	287.9	42.2	19.0	1.88	40.31	0.9915	0.1441	-38.43
YBL078C_mRNA	283	600.5	43.07	18.0	2.54	40.53	0.9823	0.0766	-37.99
YBL079W_mRNA	332	825.4	51.61	56.5	3.16	48.45	0.994	0.0883	-45.29
YBL080C_mRNA	36	694.8	39.89	14.0	2.64	37.25	0.9722	0.0617	-34.61
YBL081W_mRNA	65	670.1	57.09	72.0	7.8	49.29	1.0	0.1132	-41.49
YBL082C_mRNA	56	910.3	75.5	88.5	1.05	74.45	1.0	0.0984	-73.39
YBL083C_mRNA	15	740.3	81.6	94.0	6.93	74.67	1.0	0.1428	-67.73
YBL084C_mRNA	56	756.2	69.61	72.5	1.29	68.32	0.9643	0.1126	-67.04
YBL085W_mRNA	110	694.8	52.05	71.5	2.43	49.62	0.9909	0.0933	-47.19
YBL086C_mRNA	40	554.1	42.1	15.0	1.32	40.78	0.975	0.1009	-39.45
YBL087C_mRNA	4055	473.7	43.04	14.0	2.5	40.54	0.9845	0.0919	-38.04
YBL088C_mRNA	79	824.1	57.37	59.0	2.39	54.97	0.9873	0.1045	-52.58
YBL089W_mRNA	106	620.1	56.08	72.0	2.46	53.62	0.9906	0.1112	-51.16
YBL090W_mRNA	182	555.0	47.61	18.5	4.75	42.86	1.0	0.0921	-38.1
YBL091C-A_mRNA	155	321.6	50.85	22.0	8.61	42.24	1.0	0.1722	-33.63
YBL091C_mRNA	123	839.8	56.92	62.0	7.54	49.37	0.9675	0.0873	-41.83
YBL092W_mRNA	8783	472.1	42.02	14.0	3.16	38.87	0.9871	0.0891	-35.71
YBL093C_mRNA	238	575.4	45.45	20.0	2.45	42.99	1.0	0.0882	-40.54
YBL095W_mRNA	100	564.3	44.67	16.0	2.74	41.93	1.0	0.0918	-39.19
YBL098W_mRNA	95	869.1	157.88	150.0	8.82	149.06	1.0	0.2342	-140.24
YBL099W_mRNA	923	730.4	48.08	47.0	2.72	45.37	0.9772	0.0938	-42.65
YBL100W-A_mRNA	7	325.3	79.57	84.0	2.43	77.14	1.0	0.2412	-74.71
YBL100W-B_mRNA	48	1017.1	187.46	173.5	4.83	182.62	1.0	0.1904	-177.79
YBL101C_mRNA	100	761.1	57.3	38.0	1.94	55.36	1.0	0.1076	-53.42
YBL102W_mRNA	264	576.3	48.36	30.0	3.55	44.81	0.9962	0.0954	-41.25
YBL103C_mRNA	167	675.0	49.86	58.0	4.66	45.19	1.0	0.0926	-40.53
YBL104C_mRNA	82	594.5	53.04	16.0	7.28	45.76	0.9878	0.11	-38.48
YBL105C_mRNA	88	808.2	58.16	14.0	2.05	56.11	0.9773	0.0978	-54.07
YBL106C_mRNA	34	660.7	97.71	80.0	16.06	81.65	1.0	0.1857	-65.59
YBL107C_mRNA	175	480.5	44.12	16.0	4.85	39.27	0.9829	0.1014	-34.43
YBL111C_mRNA	7	356.3	37.57	6.0	0.43	37.14	1.0	0.1146	-36.71
YBL113C_mRNA	32	482.9	36.56	13.0	1.78	34.78	0.9688	0.1007	-33.0
YBR001C_mRNA	111	595.3	107.85	79.0	63.23	44.61	0.991	0.228	18.62
YBR002C_mRNA	99	576.5	32.73	9.0	2.18	30.55	0.9798	0.0745	-28.36
YBR003W_mRNA	164	603.4	49.03	14.0	5.46	43.57	1.0	0.0995	-38.1
YBR004C_mRNA	223	680.3	48.86	61.0	2.47	46.39	0.9955	0.098	-43.91
YBR005W_mRNA	143	632.8	48.41	48.0	2.43	45.98	1.0	0.0842	-43.55
YBR006W_mRNA	141	806.0	61.62	73.0	9.75	51.87	1.0	0.0922	-42.12
YBR007C_mRNA	105	622.1	56.43	57.0	7.05	49.38	1.0	0.1134	-42.33
YBR008C_mRNA	107	665.7	114.6	84.0	5.13	109.47	1.0	0.2364	-104.34
YBR009C_mRNA	4536	476.4	52.7	29.0	1.95	50.75	0.9982	0.1114	-48.8
YBR010W_mRNA	3650	510.6	40.35	13.0	1.88	38.47	0.9912	0.0809	-36.59
YBR011C_mRNA	1610	716.4	47.23	24.5	2.55	44.68	0.995	0.0832	-42.13
YBR012C_mRNA	75	329.6	217.93	200.0	10.4	207.53	1.0	0.6323	-197.13
YBR012W-A_mRNA	6	624.5	169.17	177.5	0.0	169.17	1.0	0.2727	-169.17
YBR012W-B_mRNA	621	779.1	287.2	322.0	3.05	284.14	0.9919	0.371	-281.09
YBR013C_mRNA	168	251.6	129.68	95.0	35.96	93.72	1.0	0.4188	-57.76
YBR014C_mRNA	265	626.4	50.42	21.0	2.33	48.09	0.9962	0.0862	-45.77
YBR015C_mRNA	392	769.6	53.59	65.0	2.74	50.84	0.9898	0.0916	-48.1
YBR016W_mRNA	275	550.9	53.29	29.0	3.5	49.79	1.0	0.0993	-46.29
YBR017C_mRNA	203	739.8	51.27	67.0	1.76	49.5	0.9852	0.1049	-47.74
YBR019C_mRNA	22	451.7	142.23	133.0	1.36	140.86	1.0	0.3497	-139.5
YBR020W_mRNA	17	556.2	123.53	101.0	63.59	59.94	1.0	0.2386	3.65
YBR021W_mRNA	49	731.9	57.78	75.0	1.65	56.12	0.9592	0.1108	-54.47
YBR022W_mRNA	173	599.9	49.77	18.0	1.71	48.06	0.9884	0.0858	-46.35
YBR023C_mRNA	258	789.3	50.14	32.0	3.08	47.07	0.9884	0.09	-43.99
YBR024W_mRNA	57	751.9	38.51	13.0	2.19	36.32	1.0	0.0764	-34.12
YBR025C_mRNA	1346	803.9	45.78	19.0	1.93	43.85	0.9918	0.0788	-41.91
YBR026C_mRNA	190	723.4	52.36	13.5	8.14	44.23	0.9947	0.0922	-36.09
YBR027C_mRNA	29	507.8	39.55	10.0	2.93	36.62	1.0	0.0879	-33.69
YBR028C_mRNA	45	828.8	53.0	71.0	2.51	50.49	0.9778	0.099	-47.98
YBR029C_mRNA	290	694.7	51.06	68.0	2.39	48.67	0.969	0.1009	-46.28
YBR030W_mRNA	47	641.9	57.06	56.0	3.94	53.13	0.9787	0.1128	-49.19
YBR031W_mRNA	4439	747.9	46.61	18.0	2.4	44.22	0.9734	0.0809	-41.82
YBR033W_mRNA	35	639.8	79.31	74.0	17.14	62.17	1.0	0.1475	-45.03
YBR034C_mRNA	464	680.6	50.15	52.5	3.55	46.6	1.0	0.1028	-43.05
YBR035C_mRNA	405	619.8	44.68	15.0	6.81	37.87	0.9951	0.0792	-31.05
YBR036C_mRNA	493	705.8	158.27	75.0	111.48	46.79	0.9655	0.234	64.69
YBR037C_mRNA	37	740.5	35.38	13.0	5.14	30.24	1.0	0.0634	-25.11
YBR038W_mRNA	111	513.5	47.68	26.0	1.33	46.34	0.982	0.1044	-45.01
YBR039W_mRNA	492	720.0	50.19	68.5	2.56	47.63	0.9878	0.0887	-45.07
YBR041W_mRNA	216	764.2	58.21	59.5	2.37	55.84	0.9769	0.0995	-53.47
YBR042C_mRNA	226	731.0	53.12	37.5	4.88	48.25	0.9956	0.0921	-43.37
YBR043C_mRNA	130	579.1	47.0	29.5	2.92	44.08	1.0	0.1075	-41.17
YBR044C_mRNA	75	577.5	51.6	67.0	5.63	45.97	0.9867	0.1197	-40.35
YBR045C_mRNA	66	621.2	51.14	16.5	7.95	43.18	0.9848	0.1042	-35.23
YBR046C_mRNA	96	689.0	57.57	76.0	2.97	54.6	1.0	0.1155	-51.64
YBR047W_mRNA	119	547.2	39.88	14.0	3.39	36.49	1.0	0.0755	-33.09
YBR048W_mRNA	4010	575.4	45.36	18.0	2.69	42.67	0.9905	0.0881	-39.98
YBR049C_mRNA	77	647.3	69.73	34.0	2.17	67.56	1.0	0.1239	-65.39
YBR050C_mRNA	20	628.4	79.05	86.0	2.4	76.65	1.0	0.1345	-74.25
YBR052C_mRNA	260	587.0	46.81	15.0	5.66	41.15	0.9923	0.0852	-35.48
YBR053C_mRNA	91	750.2	60.47	74.0	2.54	57.93	1.0	0.0968	-55.4
YBR054W_mRNA	572	728.5	61.45	73.5	6.81	54.64	0.9878	0.1227	-47.82
YBR055C_mRNA	68	942.7	46.74	8.5	5.03	41.71	0.9412	0.0774	-36.68
YBR056W-A_mRNA	1176	576.1	68.0	80.0	3.3	64.7	0.994	0.1244	-61.39
YBR056W_mRNA	190	913.8	61.55	43.5	9.85	51.71	1.0	0.0933	-41.86
YBR057C_mRNA	121	601.3	64.79	67.0	1.15	63.64	0.9669	0.1196	-62.49
YBR058C-A_mRNA	676	435.3	42.47	11.0	3.25	39.23	0.966	0.0928	-35.98
YBR058C_mRNA	75	833.3	58.65	71.0	3.23	55.43	1.0	0.1048	-52.2
YBR059C_mRNA	89	759.1	51.17	44.0	8.91	42.26	0.9888	0.1081	-33.35
YBR060C_mRNA	137	629.1	52.72	58.0	2.31	50.41	1.0	0.1117	-48.1
YBR061C_mRNA	250	699.1	131.96	58.0	90.44	41.51	0.996	0.1457	48.93
YBR062C_mRNA	269	560.6	52.55	31.0	9.06	43.5	0.9851	0.0989	-34.44
YBR063C_mRNA	88	617.2	75.32	73.0	11.14	64.18	0.9886	0.1458	-53.05
YBR065C_mRNA	11	750.5	46.55	69.0	1.73	44.82	1.0	0.0943	-43.09
YBR066C_mRNA	172	476.4	52.26	37.0	8.77	43.49	0.9942	0.1151	-34.72
YBR067C_mRNA	1348	639.0	60.29	74.0	3.66	56.63	0.9963	0.1086	-52.97
YBR068C_mRNA	699	819.3	49.93	36.0	5.86	44.07	0.9943	0.087	-38.21
YBR069C_mRNA	340	698.4	55.62	62.5	4.3	51.32	0.9941	0.1198	-47.02
