gene	technology	count_new	count_old	len_new	len_old	length_gain_nt	extended	quantifiable	cpm_new	cpm_old	tpm_new	tpm_old	log2fc_cpm	log2fc_tpm	max_same_strand_orf_overlap_nt	worst_tier
YAL021C	direct RNA	73	73	2867	2867	0	False	True	22.650443157471777	22.837935750942613	8.291477427680702	7.630181974205427	-0.011892978959455291	0.11991172843606979	442	True
YAL020C	direct RNA	37	67	1156	1156	0	False	True	11.480361600362407	20.960845141276096	10.422709793465199	17.368275409337183	-0.8685288037882772	-0.7367240963927526	442	True
YAL019W	direct RNA	197	191	3590	3396	194	True	True	61.12516852084849	59.754051074384094	17.869340861894273	16.854094093490204	0.032730012461172464	0.08438733469932114	23	True
YAL018C	direct RNA	9	9	978	978	0	False	True	2.7925203892773425	2.815635914499774	2.9966802821868104	2.7576769123514953	-0.011892978959454625	0.11991172843606956	0	False
YAL017W	direct RNA	103	93	4629	4071	558	True	True	31.958844455062916	29.094904449831	7.245807626936611	6.845758505581973	0.13544873711573224	0.08193610335937596	0	False
YAL016C-B	direct RNA	30	37	485	186	299	True	True	9.308401297591141	11.575392092943515	20.14263447408042	59.611288381332855	-0.3144557489798858	-1.5653331675508202	0	False
YAL016W	direct RNA	511	511	2097	2097	0	False	True	158.55310210230243	159.86555025659828	79.35224630239581	73.02342491193549	-0.011892978959454403	0.11991172843606979	0	False
YAL015C	direct RNA	82	82	1354	1354	0	False	True	25.44296354674912	25.653571665442385	19.721136706897543	18.148256824465822	-0.011892978959455291	0.11991172843606979	0	False
YAL014C	direct RNA	86	86	1041	1041	0	False	True	26.684083719761272	26.904965405220064	26.90199436163606	24.7563976672067	-0.011892978959454403	0.11991172843606979	0	False
YAL013W	direct RNA	65	65	1396	1389	7	True	True	20.168202811447472	20.335148271387258	15.162286337043579	14.023319839867574	-0.011892978959454403	0.11265938620781002	0	False
YAL012W	direct RNA	779	779	1414	1414	0	False	True	241.70815369411662	243.70893082170267	179.40097698785226	165.09266445056852	-0.011892978959454403	0.1199117284360689	0	False
YAL011W	direct RNA	27	27	2193	2041	152	True	True	8.377561167832027	8.446907743499322	4.009238462351164	3.964245007760552	-0.011892978959454847	0.016282098795195266	0	False
YAL010C	direct RNA	85	85	1695	1687	8	True	True	26.37380367650823	26.592116970275644	16.329992255535206	15.09883960507013	-0.011892978959455291	0.11308642869992935	0	False
YAL009W	direct RNA	64	64	1358	1358	0	False	True	19.857922768194435	20.022299836442837	15.34676912310889	14.122771502037702	-0.011892978959454403	0.11991172843606979	0	False
YAL008W	direct RNA	141	142	903	903	0	False	True	43.74948609867836	44.42447776210755	50.84732589553301	47.12380200316552	-0.022088746065343834	0.10971596133018124	0	False
YAL007C	direct RNA	468	468	1033	1006	27	True	True	145.2110602424218	146.41306755398824	147.53066063009916	139.40796923911296	-0.011892978959455291	0.08170177937653733	0	False
YAL004W	direct RNA	2052	2545	4491	4491	0	False	True	636.6946487552341	796.1992669335473	148.78907950192468	169.81828871599978	-0.3225279043154572	-0.1907231969199339	0	False
YAL005C	direct RNA	1752	1260	2338	2303	35	True	True	543.6106357793226	394.18902802996837	244.0205213190136	163.95185533615577	0.463686062254439	0.5737302509111535	0	False
YAL003W	direct RNA	6952	6953	989	989	0	False	True	2157.0668606951203	2175.2351681685477	2289.0233740797585	2106.762921582427	-0.012100486337143224	0.11970422105838274	0	False
YAL002W	direct RNA	52	50	3989	3825	164	True	True	16.134562249157977	15.642421747220967	4.244984051444039	3.917222977893627	0.04469054940691253	0.1159278811826503	0	False
YAL001C	direct RNA	76	76	3741	3483	258	True	True	23.58128328723089	23.77648105577587	6.61549948066118	6.538826986354737	-0.011892978959454403	0.016818235471966148	0	False
YAR002W	direct RNA	127	125	1899	1899	0	False	True	39.40556549313583	39.10605436805242	21.77787555609941	19.725352673042554	0.011007423150624085	0.14281213054614827	0	False
YAR002C-A	direct RNA	370	372	948	942	6	True	True	114.80361600362407	116.379617799324	127.09549073044062	118.34005467611131	-0.019670329551173538	0.10297437855887459	0	False
YAR003W	direct RNA	142	140	1979	1951	28	True	True	44.0597661419314	43.79878089221871	23.36572740828564	21.503566424008582	0.008571123600260577	0.11981799655730008	0	False
YAR007C	direct RNA	103	105	2017	2017	0	False	True	31.958844455062916	32.84908566916403	16.629074618289327	15.599947233480695	-0.0396379694423592	0.09216673795316499	0	False
YAR008W	direct RNA	118	118	1073	1069	4	True	True	36.61304510385849	36.91611532344148	35.81121376053502	33.07836465991185	-0.011892978959455291	0.11452350540003842	0	False
YAR009C	direct RNA	827	2122	3591	3591	0	False	True	256.60159577026246	663.8643789520579	74.99405898432457	177.08007732397832	-1.3713584007029453	-1.2395536933074203	0	False
YAR010C	direct RNA	9	16	1323	1323	0	False	True	2.7925203892773425	5.005574959110709	2.215233043067801	3.624097448935601	-0.8419679775171423	-0.7101632701216183	0	False
YAR014C	direct RNA	164	164	2454	2454	0	False	True	50.88592709349824	51.30714333088477	21.762362755614728	20.026682754952503	-0.011892978959455291	0.11991172843606979	0	False
YAR015W	direct RNA	128	121	1369	1366	3	True	True	39.71584553638887	37.85466062827474	30.446913760674757	26.54449084544097	0.06924378376595097	0.19788352819366573	0	False
YAR018C	direct RNA	42	49	1556	1538	18	True	True	13.031761816627597	15.329573312276548	8.78974859119576	9.547275898981963	-0.23428540029590295	-0.11926724992474336	0	False
YAR019C	direct RNA	82	56	3016	2925	91	True	True	25.44296354674912	17.519512356887482	8.853587235125755	5.737225038391897	0.5383041036010248	0.6259090070860145	0	False
YAR023C	direct RNA	46	46	1465	1452	13	True	True	14.27288198963975	14.39102800744329	10.224850400835816	9.493600316258728	-0.011892978959454847	0.10705251712221031	0	False
YAR027W	direct RNA	460	463	1016	1016	0	False	True	142.72881989639748	144.84882537926615	147.43509682307547	136.56110163927494	-0.02127131127531623	0.11053339612020796	0	False
YAR028W	direct RNA	130	129	1206	1145	61	True	True	40.336405622894944	40.357448107830095	35.10207583169625	33.761672451828176	-0.0007524213542540181	0.05616997712549132	0	False
YAR029W	direct RNA	93	94	1745	1745	0	False	True	28.856044022532537	29.40775288477542	17.35498620732373	16.14255039199603	-0.02732301952906102	0.10448168786646406	0	False
YAR031W	direct RNA	18	10	1301	897	404	True	True	5.585040778554685	3.1284843494441934	4.50538557414097	3.340775449374164	0.8361039275954953	0.43146756319248536	0	False
YAR033W	direct RNA	80	84	1870	1215	655	True	True	24.82240346024304	26.279268535331227	13.931091222715153	20.71775708308185	-0.08228230685085336	-0.5725595557371843	0	False
YAR035W	direct RNA	15	26	2211	2209	2	True	True	4.6542006487955705	8.134059308554903	2.209221555841023	3.5270966514397575	-0.8054421014920283	-0.674943000557455	0	False
YAR042W	direct RNA	77	77	3776	3766	10	True	True	23.89156333048393	24.08932949072029	6.640419177564735	6.127031851110571	-0.011892978959454403	0.11608596368845703	0	False
YAR050W	direct RNA	30	34	4682	4614	68	True	True	9.308401297591141	10.636846788110258	2.0865394532099533	2.208213473233924	-0.1924652246012757	-0.08176744763478139	0	False
YAR053W	direct RNA	108	110	1439	1439	0	False	True	33.51024467132811	34.41332784388613	24.43991646403364	22.90717954063577	-0.038365190320646114	0.09343951707487808	0	False
YAR070C	direct RNA	5	5	300	300	0	False	True	1.55140021626519	1.5642421747220967	5.427320955516113	4.994459296814375	-0.011892978959454958	0.11991172843606979	0	False
YAR071W	direct RNA	36	632	1756	1404	352	True	True	11.17008155710937	197.72021088487304	6.675975662821641	134.89308870028566	-4.145748725694245	-4.336693927529518	0	False
YBL113C	direct RNA	25	25	3129	2379	750	True	True	7.757001081325951	7.821210873610483	2.6017837754152024	3.1490916121149906	-0.011892978959454847	-0.2754346583797176	0	False
YBL111C	direct RNA	7	9	2004	2004	0	False	True	2.171960302771266	2.815635914499774	1.1374624757069696	1.3458123853691428	-0.37446305834416305	-0.2426583509486387	0	False
YBL107C	direct RNA	170	170	836	821	15	True	True	52.74760735301646	53.18423394055129	66.21850926586644	62.05052963155495	-0.011892978959455291	0.09379100813299157	0	False
YBL106C	direct RNA	53	30	3581	3033	548	True	True	16.444842292411014	9.38545304833258	4.8195701308408925	2.9640707992963646	0.8091368799952257	0.7013245666943968	0	False
YBL105C	direct RNA	73	88	3861	3858	3	True	True	22.650443157471777	27.530662275108902	6.156867595224183	6.835340872778616	-0.281500038716735	-0.1508167422139648	0	False
YBL104C	direct RNA	82	82	3242	3242	0	False	True	25.44296354674912	25.653571665442385	8.236403177402615	7.579500228354942	-0.011892978959455291	0.11991172843606979	0	False
YBL103C	direct RNA	167	167	2217	2217	0	False	True	51.81676722325735	52.24568863571803	24.529434359166192	22.573063668958067	-0.011892978959454403	0.11991172843606979	0	False
YBL102W	direct RNA	264	264	1059	1059	0	False	True	81.91393141880204	82.59198682532671	81.1791916292495	74.70466030362577	-0.011892978959454403	0.11991172843606979	0	False
YBL101C	direct RNA	97	97	3679	3629	50	True	True	30.09716419554469	30.346298189608678	8.585759163116002	8.009852054962707	-0.011892978959455291	0.10017010894242917	0	False
YBL100W-A	direct RNA	7	7	1317	1317	0	False	True	2.171960302771266	2.1899390446109352	1.730808505175981	1.592766062765404	-0.011892978959454625	0.11991172843606979	0	False
YBL100W-B	direct RNA	48	282	5313	5313	0	False	True	14.893442076145826	88.22325865432626	2.9419695749833243	15.905562074552835	-2.5664818306370925	-2.434677123241568	0	False
YBL099W	direct RNA	923	923	2280	2280	0	False	True	286.3884799225541	288.7591054536991	131.82676952477294	121.31278765683336	-0.011892978959455291	0.11991172843606979	0	False
YBL098W	direct RNA	100	95	1467	1383	84	True	True	31.028004325303804	29.720601319719837	22.1976317199023	20.584539401187232	0.06210760248432212	0.1088445953569499	0	False
YBL095W	direct RNA	62	93	1222	1065	157	True	True	19.237362681688357	29.094904449831	16.521795380130882	26.168152935421794	-0.5968554796806105	-0.6634416269906156	725	True
YBL096C	direct RNA	45	7	1143	910	233	True	True	13.96260194638671	2.1899390446109352	12.820443202006564	2.305135060068173	2.6726051953126158	2.4755229495797204	0	False
YBL093C	direct RNA	230	237	1214	1180	34	True	True	71.36440994819874	74.14507908182739	61.69442272332979	60.18746711923764	-0.055146176913338785	0.035676968475708115	0	False
YBL092W	direct RNA	8710	8713	900	900	0	False	True	2702.539176733961	2725.8484136707257	3151.4643681696894	2901.1149235429093	-0.012389803291135593	0.1194149041043886	0	False
YBL091C-A	direct RNA	230	224	916	775	141	True	True	71.36440994819874	70.07804942754993	81.76531570537374	86.61359090217447	0.02624214992731666	-0.0831044306125035	0	False
YBL091C	direct RNA	121	124	1633	1626	7	True	True	37.5438852336176	38.793205933108	24.128812086372918	22.852876487268723	-0.04722605207173558	0.07838112183712198	0	False
YBL090W	direct RNA	180	182	811	792	19	True	True	55.85040778554684	56.93841515988432	72.27505094891987	68.86299939547092	-0.02783452282847687	0.06976870042938543	0	False
YBL089W	direct RNA	108	115	1854	1676	178	True	True	33.51024467132811	35.977570018608226	18.96927712607573	20.56191476612123	-0.10249552774036186	-0.11630991527101564	0	False
YBL088C	direct RNA	79	70	8453	8364	89	True	True	24.512123416990004	21.899390446109354	3.0433575451492216	2.5079781260904324	0.16260475227268145	0.2791390716795352	0	False
YBL087C	direct RNA	4055	4055	748	748	0	False	True	1258.1855753910693	1268.6004036996205	1765.330465878436	1624.5346883889536	-0.011892978959453515	0.11991172843607067	0	False
YBL086C	direct RNA	40	40	1584	1584	0	False	True	12.41120173012152	12.513937397776774	8.223213568963807	7.56736257093087	-0.011892978959454847	0.11991172843606979	0	False
YBL085W	direct RNA	110	110	3268	3264	4	True	True	34.130804757834184	34.41332784388613	10.960929714322626	10.099090489882007	-0.011892978959455291	0.11814480226188184	0	False
YBL084C	direct RNA	56	48	2526	2277	249	True	True	17.37568242217013	15.016724877332129	7.219239275745897	6.31710266790751	0.21049944237699325	0.19258380212158777	0	False
YBL083C	direct RNA	44	45	1433	1395	38	True	True	13.652321903133673	14.07817957249887	9.998693176945245	9.666695413189112	-0.04431445665183231	0.04871676319809648	0	False
YBL082C	direct RNA	27	26	1469	1458	11	True	True	8.377561167832027	8.134059308554903	5.985200781440505	5.343865914286985	0.04255480506292164	0.16351583622910315	0	False
YBL081W	direct RNA	65	65	1792	1792	0	False	True	20.168202811447472	20.335148271387258	11.811691811670112	10.869637978558071	-0.011892978959454403	0.11991172843606979	0	False
YBL080C	direct RNA	36	36	1803	1802	1	True	True	11.17008155710937	11.262543657999096	6.501948565676541	5.986699268101582	-0.011892978959454403	0.11911134281726632	0	False
YBL079W	direct RNA	332	317	4658	4509	149	True	True	103.01297436000863	99.17295387738093	23.210011471421417	21.067779069729298	0.054807422248062565	0.13970900007024145	0	False
YBL078C	direct RNA	283	283	878	878	0	False	True	87.80925224060977	88.53610708927067	104.96117292102915	96.58988480627345	-0.011892978959454403	0.11991172843606979	0	False
YBL077W	direct RNA	807	479	1327	432	895	True	True	250.3959949052017	149.85440033837688	198.03382115003026	332.27027821862293	0.7406500385821451	-0.7466104072290554	0	False
YBL076C	direct RNA	1076	1404	3363	3360	3	True	True	333.8613265402689	439.2392026619648	104.18906954746366	125.21822951298897	-0.39575783670739106	-0.2652406751723264	0	False
YBL075C	direct RNA	39	39	2566	2566	0	False	True	12.100921686868483	12.201088962832355	4.9493106141495335	4.554573170126904	-0.011892978959454847	0.11991172843606979	0	False
YBL074C	direct RNA	5	5	1375	1375	0	False	True	1.55140021626519	1.5642421747220967	1.1841427539307883	1.0897002102140454	-0.011892978959454958	0.11991172843606976	0	False
YBL072C	direct RNA	11323	11327	904	904	0	False	True	3513.30092975415	3543.634222615438	4078.775786237319	3754.7947204656916	-0.012402540127096628	0.11940216726842756	0	False
YBL071C	direct RNA	31	21	822	688	134	True	True	9.618681340844178	6.569817133832807	12.280799242408724	9.146829526142605	0.5499859086486598	0.42506078706459993	0	False
YBL071W-A	direct RNA	20	30	811	811	0	False	True	6.20560086506076	9.38545304833258	8.030561216546653	11.085113112534987	-0.5968554796806114	-0.46505077228508673	0	False
YBL069W	direct RNA	50	50	1560	1560	0	False	True	15.514002162651902	15.642421747220967	10.43715568368483	9.60472941695072	-0.011892978959454847	0.11991172843606934	0	False
YBL068W-A	direct RNA	31	31	1108	1108	0	False	True	9.618681340844178	9.698301483277	9.110845647346542	8.384200624616188	-0.011892978959455291	0.11991172843606979	0	False
YBL068W	direct RNA	299	337	1564	1556	8	True	True	92.77373293265838	105.42992257626932	62.25456390150834	64.90229240461868	-0.18449608594320832	-0.06008983086884356	0	False
YBL067C	direct RNA	133	95	2628	2244	384	True	True	41.267245752654055	29.720601319719837	16.480221166293216	12.686460780678225	0.4735338482107867	0.3774459558927741	0	False
YBL066C	direct RNA	63	42	3912	3447	465	True	True	19.547642724941397	13.139634267665613	5.244190493826919	3.651301835791188	0.5730695217617012	0.5223091575722618	0	False
YBL064C	direct RNA	188	187	1123	1114	9	True	True	58.33264813157115	58.50265733460642	54.51485340892408	50.30326149933329	-0.004198587169454093	0.11599742516550116	0	False
YBL063W	direct RNA	46	42	3465	3336	129	True	True	14.27288198963975	13.139634267665613	4.32306084768383	3.77279299399647	0.11935155431879796	0.1964201981344098	904	True
YBL061C	direct RNA	175	281	2319	2319	0	False	True	54.299007569281656	87.91041021938183	24.573898246191973	36.311592817718996	-0.695108187348052	-0.5633034799525278	0	False
YBL060W	direct RNA	52	51	2336	2332	4	True	True	16.134562249157977	15.955270182165387	7.248819084422205	6.553621547277867	0.01612139721014172	0.14545361892614528	0	False
YBL059C-A	direct RNA	161	162	1199	1199	0	False	True	49.95508696373912	50.681446460995936	43.72637233551764	40.48886102171453	-0.020826103729462808	0.11097860366606227	0	False
YBL059W	direct RNA	42	40	715	582	133	True	True	13.031761816627597	12.513937397776774	19.128459871189655	20.59570844047165	0.05849634893194322	-0.10662303243000082	0	False
YBL058W	direct RNA	172	172	1455	1455	0	False	True	53.368167439522544	53.80993081044013	38.4948125504648	35.424618517611236	-0.011892978959454403	0.11991172843606979	0	False
YBL057C	direct RNA	195	195	1165	1165	0	False	True	60.504608434342416	61.00544481416177	54.5061417850116	50.15894744440187	-0.011892978959454403	0.11991172843606979	0	False
YBL056W	direct RNA	518	518	1955	1955	0	False	True	160.7250624050737	162.05548930120924	86.28191063807712	79.40040662147865	-0.011892978959455291	0.11991172843606979	0	False
YBL055C	direct RNA	250	244	1979	1747	232	True	True	77.5700108132595	76.33501812643831	41.1368440286719	41.85396915017885	0.023153968139745906	-0.02493332859548225	0	False
YBL054W	direct RNA	52	96	2098	1947	151	True	True	16.134562249157977	30.033449754664257	8.071135072073533	14.77559607069892	-0.8964157615395187	-0.8723728480009671	0	False
YBL053W	direct RNA	54	6	2051	375	1676	True	True	16.755122335664055	1.877090609666516	8.573632323682206	4.7946809249418	3.1580320224828577	0.8384717387817733	0	False
YBL052C	direct RNA	10	8	2802	2496	306	True	True	3.10280043253038	2.5027874795553546	1.1621672281619084	0.960472941695072	0.31003511592790756	0.2750008017548623	0	False
YBL051C	direct RNA	110	111	2520	2520	0	False	True	34.130804757834184	34.72617627883055	14.214412026351722	13.199642427295135	-0.024949131784901546	0.10685557561062309	0	False
YBL050W	direct RNA	346	346	1066	1066	0	False	True	107.35689496555116	108.2455584907691	105.69529365526688	97.26545497360827	-0.011892978959454403	0.11991172843606979	0	False
YBL048W	direct RNA	34	14	792	312	480	True	True	10.549521470603294	4.3798780892218705	13.97946306723847	13.44662118373101	1.2682149402332805	0.0560652464114435	417	True
YBL047C	direct RNA	336	337	4534	4497	37	True	True	104.25409453302078	105.42992257626932	24.1320667100143	22.4567416014202	-0.01618033736255331	0.103802862961202	0	False
YBL046W	direct RNA	75	76	1531	1531	0	False	True	23.27100324397785	23.77648105577587	15.952282364351737	14.87572462016561	-0.031001801907159177	0.10080290548836501	0	False
YBL045C	direct RNA	376	375	1850	1845	5	True	True	116.6652962631423	117.31816310415725	66.18397878726675	60.90804020505335	-0.00805091266506075	0.11984934027454752	0	False
YBL043W	direct RNA	27	27	1108	1098	10	True	True	8.377561167832027	8.446907743499322	7.93525266059215	7.368874372349078	-0.011892978959454847	0.10683190139207976	0	False
YBL042C	direct RNA	197	196	2145	2139	6	True	True	61.12516852084849	61.31829324910619	29.90719519543145	27.459018854856033	-0.004551003618287197	0.12321253855537329	0	False
YBL041W	direct RNA	611	612	1030	1030	0	False	True	189.58110642760624	191.46324218598465	193.17047206720454	178.05489842623675	-0.014252251833377194	0.117552455562147	0	False
YBL040C	direct RNA	623	623	1056	1056	0	False	True	193.3044669466427	194.90457497037326	192.11482700491695	176.79250806337248	-0.011892978959455291	0.11991172843606979	0	False
YBL039W-B	direct RNA	143	143	650	650	0	False	True	44.370046185184435	44.737326197051964	71.64063661281268	65.92686271794975	-0.011892978959454403	0.11991172843606979	0	False
YBL039C	direct RNA	429	429	2081	2081	0	False	True	133.1101385555533	134.2119785911559	67.13082239067023	61.77673344545988	-0.011892978959455291	0.11991172843606979	0	False
YBL039C-A	direct RNA	214	214	1917	1917	0	False	True	66.39992925615014	66.94956507810573	36.35200890392639	33.45271641684745	-0.011892978959454403	0.11991172843606979	0	False
YBL038W	direct RNA	93	93	934	933	1	True	True	28.856044022532537	29.094904449831	32.42446566571724	29.87039965297343	-0.011892978959454403	0.11836625957816604	0	False
YBL037W	direct RNA	59	54	3307	3078	229	True	True	18.306522551929245	16.893815486998644	5.809711576210171	5.257325575594078	0.11586256823891805	0.14413746177153808	0	False
YBL036C	direct RNA	435	439	1983	1971	12	True	True	134.97181881507154	137.3404629406001	71.43372513311677	66.74482895895008	-0.02509851775872196	0.09794928845144035	0	False
YBL035C	direct RNA	40	40	2339	2339	0	False	True	12.41120173012152	12.513937397776774	5.568862887233292	5.124712403742839	-0.011892978959454847	0.11991172843606979	0	False
YBL034C	direct RNA	60	55	4769	4542	227	True	True	18.616802595182282	17.206663921943065	4.096950186592158	3.628735288306349	0.11363790312440347	0.17508353383245878	0	False
YBL033C	direct RNA	194	194	1238	1238	0	False	True	60.19432839108938	60.692596379217356	51.02909202116926	46.959213420774894	-0.011892978959455291	0.1199117284360689	0	False
