gene_a	gene_b	strand_a	strand_b	same_strand	geometry	overlap_nt	overlap_into_orf_nt
YML090W	YML091C	+	-	False	divergent	285	285
YKR031C	YKR032W	-	+	False	divergent	284	284
YIL084C	YIL086C	-	-	True	tandem	281	0
YLR296W	YLR297W	+	+	True	tandem	280	0
YFL047W	YFL048C	+	-	False	divergent	278	236
YHR032W	YHR033W	+	+	True	tandem	277	0
YLR231C	YLR233C	-	-	True	tandem	276	0
YJR107C-A	YJR108W	-	+	False	divergent	269	237
YJL118W	YJL121C	+	-	False	divergent	267	0
YMR285C	YMR286W	-	+	False	divergent	262	243
YPR051W	YPR053C	+	-	False	convergent	257	0
YPR018W	YPR019W	+	+	True	tandem	255	0
YKR027W	YKR028W	+	+	True	tandem	253	0
YMR175W	YMR175W-A	+	+	True	tandem	240	240
YCR092C	YCR093W	-	+	False	divergent	238	177
YKL182W	YKL183W	+	+	True	tandem	238	0
YLR139C	YLR141W	-	+	False	divergent	238	200
YLR168C	YLR172C	-	-	True	tandem	238	0
YNR020C	YNR021W	-	+	False	divergent	237	201
YDR320C	YDR320W-B	-	+	False	divergent	231	4
YKL051W	YKL052C	+	-	False	divergent	224	0
YOR071C	YOR072W	-	+	False	divergent	223	223
YBR227C	YBR228W	-	+	False	divergent	219	127
YLR262C-A	YLR263W	-	+	False	divergent	214	0
YDR068W	YDR069C	+	-	False	convergent	213	16
YGL197W	YGL198W	+	+	True	tandem	213	0
YPR002C-A	YPR003C	-	-	True	tandem	205	0
YER059W	YER060W	+	+	True	tandem	204	0
YHR212C	YHR212W-A	-	+	False	divergent	204	204
YCR096C	YCR097W	-	+	False	divergent	203	160
YPR031W	YPR032W	+	+	True	tandem	202	86
YGL133W	YGL134W	+	+	True	tandem	200	0
YMR123W	YMR124W	+	+	True	tandem	200	0
YLR016C	YLR017W	-	+	False	divergent	196	149
YMR174C	YMR175W-A	-	+	False	divergent	194	0
YHR158C	YHR159W	-	+	False	divergent	193	118
YER088C	YER089C	-	-	True	tandem	190	107
YJR127C	YJR129C	-	-	True	tandem	190	0
YLR162W	YLR162W-A	+	+	True	tandem	189	189
YDR441C	YDR442W	-	+	False	divergent	187	174
YGL019W	YGL020C	+	-	False	divergent	187	46
YLR092W	YLR093C	+	-	False	convergent	186	0
YIR017W-A	YIR018W	+	+	True	tandem	183	183
YNL194C	YNL195C	-	-	True	tandem	183	0
YLR260W	YLR262C	+	-	False	convergent	182	0
YAL016C-B	YAL017W	-	+	False	convergent	180	180
YMR053C	YMR054W	-	+	False	divergent	179	0
YNR057C	YNR058W	-	+	False	divergent	179	62
YPL088W	YPL089C	+	-	False	divergent	178	0
YBR182C	YBR182C-A	-	-	True	tandem	170	0
YPL147W	YPL148C	+	-	False	divergent	169	32
YJL214W	YJL216C	+	-	False	divergent	167	15
YMR075W	YMR076C	+	-	False	convergent	167	52
YLR463C	YLR466W	-	+	False	divergent	166	166
YLR154W-B	YLR154W-C	+	+	True	tandem	165	165
YBR072C-A	YBR073W	-	+	False	divergent	162	162
YJR078W	YJR080C	+	-	False	convergent	161	0
YBR203W	YBR204C	+	-	False	convergent	160	0
YLR052W	YLR054C	+	-	False	convergent	160	0
YJR097W	YJR098C	+	-	False	convergent	154	0
YDR356W	YDR357C	+	-	False	convergent	153	48
YKL122C	YKL124W	-	+	False	convergent	153	0
YML011C	YML013W	-	+	False	convergent	152	0
YJL184W	YJL185C	+	-	False	divergent	151	0
YJR035W	YJR036C	+	-	False	convergent	151	61
YMR116C	YMR117C	-	-	True	tandem	151	0
YLL047W	YLL048C	+	-	False	divergent	150	150
YER023W	YER024W	+	+	True	tandem	147	0
YNL169C	YNL172W	-	+	False	convergent	146	34
YBL029C-A	YBL029W	-	+	False	divergent	145	0
YOL091W	YOL092W	+	+	True	tandem	144	0
YIL112W	YIL113W	+	+	True	tandem	143	0
YDR505C	YDR506C	-	-	True	tandem	142	0
YIL099W	YIL100W	+	+	True	tandem	142	142
YER051W	YER052C	+	-	False	convergent	142	0
YJR107C-A	YJR107W	-	+	False	convergent	142	32
YBR019C	YBR020W	-	+	False	divergent	141	141
YML126C	YML127W	-	+	False	convergent	141	0
YNR056C	YNR058W	-	+	False	divergent	141	0
YDR107C	YDR108W	-	+	False	divergent	140	81
YHR147C	YHR148W	-	+	False	divergent	140	103
YOL104C	YOL105C	-	-	True	tandem	138	0
YBR210W	YBR211C	+	-	False	convergent	136	8
YHR114W	YHR115C	+	-	False	convergent	136	18
YLR086W	YLR087C	+	-	False	convergent	136	0
YDL190C	YDL191W	-	+	False	convergent	135	22
YLR148W	YLR149C	+	-	False	convergent	135	0
YBR136W	YBR138C	+	-	False	convergent	134	0
YER184C	YER185W	-	+	False	divergent	133	0
YJL039C	YJL041W	-	+	False	convergent	133	0
YBR225W	YBR227C	+	-	False	convergent	132	4
YBL036C	YBL037W	-	+	False	convergent	131	0
YLR087C	YLR088W	-	+	False	divergent	131	0
YHR218W	YHR219W	+	+	True	tandem	130	130
YDL217C	YDL218W	-	+	False	convergent	129	0
YGR170W	YGR171C	+	-	False	convergent	129	12
YLR305C	YLR306W	-	+	False	divergent	127	60
YPR095C	YPR096C	-	-	True	tandem	127	127
YER088C	YER088W-B	-	+	False	divergent	126	126
YOR394C-A	YOR396W	-	+	False	divergent	126	0
YKL211C	YKL212W	-	+	False	convergent	125	0
YKR097W	YKR098C	+	-	False	convergent	125	5
YOR349W	YOR350C	+	-	False	convergent	125	55
YBR244W	YBR245C	+	-	False	convergent	124	0
YJL004C	YJL005W	-	+	False	convergent	124	0
YAL054C	YAL055W	-	+	False	convergent	123	4
YJR040W	YJR041C	+	-	False	convergent	122	44
YNL044W	YNL045W	+	+	True	tandem	122	0
YPR080W	YPR081C	+	-	False	convergent	122	0
YER154W	YER155C	+	-	False	convergent	121	52
YLL048C	YLL049W	-	+	False	convergent	121	33
YBL100W-C	YBL101C	+	-	False	divergent	120	120
YER084W	YER085C	+	-	False	convergent	120	0
YHR032C-A	YHR032W	-	+	False	convergent	120	120
YHR032C-A	YHR033W	-	+	False	divergent	120	120
YOR180C	YOR181W	-	+	False	divergent	120	0
YPR189W	YPR190C	+	-	False	convergent	120	18
YBL024W	YBL025W	+	+	True	tandem	119	0
YBR126W-A	YBR127C	+	-	False	convergent	119	0
YDR358W	YDR359C	+	-	False	convergent	118	0
YMR304C-A	YMR304W	-	+	False	convergent	118	118
YDR285W	YDR286C	+	-	False	convergent	117	0
YAL043C	YAL044C	-	-	True	tandem	116	0
YDL171C	YDL173W	-	+	False	convergent	116	4
YER032W	YER033C	+	-	False	convergent	116	0
YFL003C	YFL004W	-	+	False	convergent	116	0
YML076C	YML077W	-	+	False	convergent	116	0
YMR030W-A	YMR033W	+	+	True	tandem	116	74
YNL041C	YNL042W	-	+	False	convergent	115	4
YOR190W	YOR191W	+	+	True	tandem	115	0
YDR103W	YDR104C	+	-	False	convergent	114	64
YDR145W	YDR146C	+	-	False	convergent	113	0
YDR409W	YDR410C	+	-	False	convergent	113	11
YGR070W	YGR071C	+	-	False	convergent	113	0
YLR250W	YLR251W	+	+	True	tandem	112	0
YDL219W	YDL220C	+	-	False	divergent	111	0
YNR030W	YNR031C	+	-	False	convergent	111	0
YDR405W	YDR406W	+	+	True	tandem	110	0
YIL155C	YIL156W	-	+	False	convergent	110	0
YBL047C	YBL048W	-	+	False	convergent	109	0
YNL077W	YNL078W	+	+	True	tandem	109	0
YBR298C-A	YBR299W	-	+	False	divergent	108	108
YLL046C	YLL048C	-	-	True	tandem	108	108
YDR368W	YDR369C	+	-	False	convergent	107	0
YGL124C	YGL125W	-	+	False	convergent	107	0
YCR083W	YCR084C	+	-	False	convergent	106	0
YJR108W	YJR109C	+	-	False	convergent	106	1
YHR206W	YHR207C	+	-	False	convergent	105	0
YPL164C	YPL166W	-	+	False	convergent	105	0
YIL013C	YIL014W	-	+	False	convergent	104	0
YJL020C	YJL022W	-	+	False	convergent	104	0
YML009C	YML010W	-	+	False	convergent	104	0
YAL026C	YAL027W	-	+	False	convergent	103	0
YDR206W	YDR207C	+	-	False	convergent	103	0
YDR314C	YDR315C	-	-	True	tandem	103	0
YJL013C	YJL014W	-	+	False	convergent	103	0
YJR079W	YJR082C	+	-	False	convergent	103	0
YIL114C	YIL115C	-	-	True	tandem	102	0
YER047C	YER048C	-	-	True	tandem	102	0
YER129W	YER130C	+	-	False	convergent	102	0
YFL031C-A	YFL032W	-	+	False	convergent	102	102
YFL025C	YFL026W	-	+	False	convergent	102	0
YGL020C	YGL021W	-	+	False	convergent	102	15
YKL105C	YKL106W	-	+	False	convergent	102	0
YLR264W	YLR265C	+	-	False	convergent	102	0
YML049C	YML050W	-	+	False	convergent	102	0
YOR008W-B	YOR009W	+	+	True	tandem	102	102
YGR275W	YGR276C	+	-	False	convergent	101	24
YHR138C	YHR139C	-	-	True	tandem	101	0
YJL029C	YJL030W	-	+	False	convergent	101	2
YMR100W	YMR101C	+	-	False	convergent	100	0
YIL038C	YIL039W	-	+	False	convergent	99	0
YKL014C	YKL015W	-	+	False	convergent	99	0
YKR030W	YKR031C	+	-	False	convergent	99	0
YNL147W	YNL149C	+	-	False	divergent	99	0
YAL060W	YAL061W	+	+	True	tandem	98	0
YJL084C	YJL085W	-	+	False	convergent	98	0
YDL153C	YDL154W	-	+	False	convergent	97	0
YIL099W	YIL100C-A	+	-	False	divergent	97	97
YLR318W	YLR319C	+	-	False	convergent	97	65
YOL148C	YOL149W	-	+	False	convergent	97	0
YOR227W	YOR228C	+	-	False	convergent	97	0
YCR012W	YCR014C	+	-	False	convergent	96	0
YMR149W	YMR150C	+	-	False	convergent	96	1
YOR124C	YOR125C	-	-	True	tandem	96	0
YOR326W	YOR327C	+	-	False	convergent	96	0
YDR494W	YDR495C	+	-	False	convergent	95	12
YHR132W-A	YHR133C	+	-	False	convergent	95	0
YLR096W	YLR097C	+	-	False	convergent	95	0
YNL011C	YNL012W	-	+	False	convergent	95	12
YBR184W	YBR185C	+	-	False	convergent	94	0
YER173W	YER174C	+	-	False	convergent	94	0
YFL029C	YFL030W	-	+	False	convergent	94	25
YHR054W-A	YHR056C	+	-	False	convergent	94	0
YNL310C	YNL311C	-	-	True	tandem	94	0
YNL184C	YNL186W	-	+	False	convergent	94	0
YPL110C	YPL111W	-	+	False	convergent	94	0
YBR097W	YBR098W	+	+	True	tandem	93	0
YNR075C-A	YNR075W	-	+	False	convergent	93	93
YHR052W-A	YHR054C	+	-	False	convergent	92	0
YKL050C	YKL051W	-	+	False	convergent	92	0
YKL036C	YKL038W	-	+	False	convergent	92	0
YLR430W	YLR431C	+	-	False	convergent	92	0
YHR033W	YHR034C	+	-	False	convergent	91	0
YNR015W	YNR016C	+	-	False	convergent	91	0
YKL209C	YKL210W	-	+	False	convergent	90	0
YPR145C-A	YPR145W	-	+	False	convergent	89	0
YKL169C	YKL171W	-	+	False	convergent	88	0
YDR024W	YDR025W	+	+	True	tandem	87	46
YGL048C	YGL049C	-	-	True	tandem	87	0
YGL131C	YGL133W	-	+	False	convergent	86	0
YHR156C	YHR157W	-	+	False	divergent	86	44
YLL013C	YLL014W	-	+	False	convergent	86	0
YKL022C	YKL023W	-	+	False	convergent	85	0
YML041C	YML042W	-	+	False	convergent	85	0
YEL025C	YEL026W	-	+	False	convergent	84	13
YMR251W-A	YMR253C	+	-	False	convergent	84	0
YPL141C	YPL143W	-	+	False	convergent	84	0
YPR094W	YPR095C	+	-	False	convergent	84	13
YIL143C	YIL144W	-	+	False	convergent	83	0
YIL098C	YIL099W	-	+	False	convergent	83	0
YGL150C	YGL151W	-	+	False	convergent	83	0
YHR021W-A	YHR022C-A	+	-	False	convergent	83	0
YMR294W-A	YMR296C	+	-	False	convergent	83	0
YDL224C	YDL225W	-	+	False	convergent	82	0
YHL005C	YHL006W-A	-	+	False	convergent	82	38
YOR174W	YOR175C	+	-	False	convergent	82	0
YBR031W	YBR033W	+	+	True	tandem	81	0
YBR295W	YBR296C	+	-	False	convergent	81	0
YIL147C	YIL148W	-	+	False	convergent	81	12
YOR208W	YOR209C	+	-	False	convergent	81	0
YPR032W	YPR033C	+	-	False	convergent	81	0
YLR146W-A	YLR148W	+	+	True	tandem	80	0
YMR075C-A	YMR076C	-	-	True	tandem	80	69
YOL071W	YOL072W	+	+	True	tandem	80	0
YOL028C	YOL030W	-	+	False	convergent	80	0
YDL197C	YDL198C	-	-	True	tandem	78	0
YGL005C	YGL006W	-	+	False	convergent	77	0
YMR161W	YMR162C	+	-	False	convergent	77	0
YMR008C-A	YMR009W	-	+	False	divergent	76	0
YIL047C	YIL048W	-	+	False	convergent	75	0
YER126C	YER127W	-	+	False	divergent	75	0
YBR208C	YBR209W	-	+	False	divergent	74	74
YHR155W	YHR156C	+	-	False	convergent	74	0
YEL040W	YEL041W	+	+	True	tandem	73	26
YER041W	YER043C	+	-	False	convergent	73	0
YOR232W	YOR233W	+	+	True	tandem	73	0
YPR041W	YPR042C	+	-	False	convergent	73	0
YKR013W	YKR014C	+	-	False	convergent	71	0
YNL248C	YNL249C	-	-	True	tandem	71	0
YOR064C	YOR065W	-	+	False	divergent	71	0
YCL061C	YCL063W	-	+	False	convergent	70	0
YJR149W	YJR150C	+	-	False	convergent	70	0
YOR110W	YOR111W	+	+	True	tandem	70	0
YJL077C	YJL078C	-	-	True	tandem	68	68
YPL245W	YPL246C	+	-	False	divergent	68	0
YBR270C	YBR271W	-	+	False	divergent	67	0
YKR100C	YKR101W	-	+	False	divergent	67	0
YLR005W	YLR006C	+	-	False	convergent	67	0
YGL125W	YGL126W	+	+	True	tandem	64	0
YPR049C	YPR051W	-	+	False	divergent	62	33
YBL052C	YBL054W	-	+	False	convergent	61	0
YDR480W	YDR481C	+	-	False	convergent	61	0
YMR013W-A	YMR014W	+	+	True	tandem	61	0
YHR099W	YHR101C	+	-	False	convergent	58	0
YMR077C	YMR078C	-	-	True	tandem	58	0
YBL069W	YBL071C	+	-	False	divergent	56	43
YDL231C	YDL232W	-	+	False	convergent	56	0
YJL207C	YJL208C	-	-	True	tandem	56	0
YLR232W	YLR233C	+	-	False	convergent	56	56
YGR223C	YGR224W	-	+	False	divergent	55	55
YMR306W	YMR307W	+	+	True	tandem	55	0
YNL203C	YNL205C	-	-	True	tandem	55	55
YLR175W	YLR176C	+	-	False	convergent	54	0
YAL048C	YAL051W	-	+	False	convergent	52	0
YKR028W	YKR029C	+	-	False	convergent	52	0
YLR186W	YLR187W	+	+	True	tandem	52	0
YPR145C-A	YPR147C	-	-	True	tandem	51	0
YGR267C	YGR269W	-	+	False	divergent	50	50
YJR139C	YJR140W-A	-	+	False	divergent	50	50
YKL179C	YKL180W	-	+	False	convergent	50	0
YJL197W	YJL198W	+	+	True	tandem	49	0
YDR469W	YDR471W	+	+	True	tandem	48	0
YBL034C	YBL035C	-	-	True	tandem	46	0
YGR072W	YGR073C	+	-	False	convergent	46	0
YHR157W	YHR158C	+	-	False	convergent	45	0
YMR133W	YMR134W	+	+	True	tandem	45	45
YOR109W	YOR110W	+	+	True	tandem	45	0
YGR042W	YGR043C	+	-	False	convergent	42	0
YMR126C	YMR127C	-	-	True	tandem	42	0
YOR005C	YOR006C	-	-	True	tandem	42	0
YDR213W	YDR214W	+	+	True	tandem	41	0
YJR036C	YJR039W	-	+	False	divergent	40	0
YPR049C	YPR050C	-	-	True	tandem	40	40
YBR089W	YBR090C	+	-	False	convergent	39	0
YCR042C	YCR043C	-	-	True	tandem	39	0
YDR085C	YDR086C	-	-	True	tandem	39	0
YDR179W-A	YDR180W	+	+	True	tandem	38	0
YOL084W	YOL085W-A	+	+	True	tandem	38	0
YDL086W	YDL087C	+	-	False	divergent	37	0
YIR005W	YIR006C	+	-	False	convergent	37	0
YGR035C	YGR036C	-	-	True	tandem	37	0
YOL008W	YOL009C	+	-	False	divergent	36	0
YDR013W	YDR014W	+	+	True	tandem	35	0
YIL100C-A	YIL101C	-	-	True	tandem	35	35
YLR143W	YLR144C	+	-	False	convergent	35	0
YDR267C	YDR268W	-	+	False	divergent	34	0
YER084W	YER084W-A	+	+	True	tandem	34	0
YHL025W	YHL026C	+	-	False	divergent	34	0
YMR195W	YMR196W	+	+	True	tandem	34	0
YOL073C	YOL075C	-	-	True	tandem	34	0
YOR241W	YOR242C	+	-	False	convergent	34	34
YMR127C	YMR128W	-	+	False	divergent	33	0
YBR135W	YBR136W	+	+	True	tandem	32	0
YEL076C-A	YEL077C	-	-	True	tandem	31	31
YJR022W	YJR024C	+	-	False	convergent	31	0
YKL167C	YKL168C	-	-	True	tandem	31	0
YJR036C	YJR038C	-	-	True	tandem	30	30
YLR435W	YLR436C	+	-	False	convergent	30	0
YNL139C	YNL141W	-	+	False	convergent	30	0
YAL025C	YAL026C	-	-	True	tandem	29	0
YBR168W	YBR169C	+	-	False	convergent	29	0
YLR376C	YLR377C	-	-	True	tandem	29	0
YLR381W	YLR382C	+	-	False	convergent	29	0
YBL103C	YBL104C	-	-	True	tandem	28	0
YDR233C	YDR234W	-	+	False	divergent	27	0
YDR512C	YDR514C	-	-	True	tandem	27	0
YLR390W	YLR390W-A	+	+	True	tandem	27	0
YML056C	YML057W	-	+	False	convergent	27	0
YIL071W-A	YIL072W	+	+	True	tandem	26	26
YER046W	YER047C	+	-	False	convergent	25	0
YFL032W	YFL033C	+	-	False	divergent	25	25
YBR284W	YBR285W	+	+	True	tandem	24	0
YGL132W	YGL133W	+	+	True	tandem	24	24
YGL006W	YGL006W-A	+	+	True	tandem	24	24
YMR160W	YMR161W	+	+	True	tandem	24	0
YAL019W	YAL019W-A	+	+	True	tandem	23	23
YMR304W	YMR305C	+	-	False	convergent	23	0
YOR352W	YOR353C	+	-	False	convergent	23	0
YDR079W	YDR080W	+	+	True	tandem	22	0
YNL126W	YNL127W	+	+	True	tandem	22	0
YPL053C	YPL054W	-	+	False	convergent	22	0
YKL128C	YKL129C	-	-	True	tandem	21	0
YDR326C	YDR328C	-	-	True	tandem	20	0
YPL186C	YPL187W	-	+	False	convergent	20	0
YAL031C	YAL032C	-	-	True	tandem	19	0
YAL001C	YAL002W	-	+	False	convergent	19	19
YLR227C	YNCL0032C	-	-	True	tandem	19	19
YOR239W	YOR241W	+	+	True	tandem	19	0
YER033C	YER034W	-	+	False	divergent	18	0
YKL130C	YKL132C	-	-	True	tandem	18	0
YDR495C	YDR496C	-	-	True	tandem	17	0
YGL249W	YGL250W	+	+	True	tandem	17	0
YKR076W	YKR077W	+	+	True	tandem	17	0
YNL267W	YNL268W	+	+	True	tandem	17	0
YNL092W	YNL093W	+	+	True	tandem	17	0
YOL055C	YOL056W	-	+	False	convergent	17	0
YGR052W	YGR053C	+	-	False	convergent	16	0
YPL109C	YPL110C	-	-	True	tandem	16	0
YGL143C	YGL144C	-	-	True	tandem	14	0
YOR077W	YOR079C	+	-	False	convergent	14	0
YDR479C	YDR480W	-	+	False	divergent	13	0
YPR091C	YPR093C	-	-	True	tandem	13	0
YIL140W	YIL142W	+	+	True	tandem	12	0
YKL197C	YKL198C	-	-	True	tandem	12	0
YNL320W	YNL321W	+	+	True	tandem	12	0
YAL003W	YAL004W	+	+	True	tandem	11	0
YBR127C	YBR128C	-	-	True	tandem	11	0
YLR167W	YLR168C	+	-	False	convergent	11	0
YLR336C	YLR337C	-	-	True	tandem	11	0
YNL222W	YNL223W	+	+	True	tandem	11	0
YOR033C	YOR034C	-	-	True	tandem	11	0
YOR034C	YOR035C	-	-	True	tandem	11	0
YDR285W	YDR287W	+	+	True	tandem	10	0
YGL035C	YGL036W	-	+	False	convergent	10	0
YGR082W	YGR083C	+	-	False	convergent	10	0
YHR081W	YHR082C	+	-	False	convergent	10	0
YJL205C	YJL206C	-	-	True	tandem	10	0
YJR126C	YJR127C	-	-	True	tandem	10	0
YMR231W	YMR232W	+	+	True	tandem	10	0
YDR486C	YDR487C	-	-	True	tandem	9	0
YGL127C	YGL128C	-	-	True	tandem	9	0
YLR120C	YLR121C	-	-	True	tandem	9	0
YLR429W	YLR430W	+	+	True	tandem	9	0
YNL121C	YNL122C	-	-	True	tandem	9	0
YIL006W	YIL007C	+	-	False	divergent	8	0
YGL016W	YGL017W	+	+	True	tandem	8	0
YLR408C	YLR409C	-	-	True	tandem	8	0
YNR032W	YNR033W	+	+	True	tandem	8	0
YOR134W	YOR136W	+	+	True	tandem	8	0
YDR287W	YDR288W	+	+	True	tandem	7	0
YDR421W	YDR422C	+	-	False	convergent	7	0
YIL024C	YIL026C	-	-	True	tandem	7	0
YER056C	YER056C-A	-	-	True	tandem	7	0
YHL029C	YHL030W	-	+	False	convergent	6	0
