Gene	span_growth_nt	n_new_gene_overlaps	max_gene_overlap_nt	max_same_strand_orf_overlap_nt
YAR008W	0	0	0	0
YAR009C	0	0	0	0
YAR010C	0	0	0	0
YAR014C	9	0	0	0
YAR015W	23	0	0	0
YAR018C	18	0	0	0
YAR019C	93	0	0	0
YAR019W-A	1067	0	0	0
YAR020C	1356	0	0	0
YAR023C	12	0	0	0
YAR027W	0	0	0	0
YAR028W	0	0	0	0
YAR029W	0	0	0	0
YAR030C	0	0	0	0
YAR031W	171	0	0	0
YAR033W	126	0	0	0
YAR035C-A	0	0	0	0
YAR035W	2	0	0	0
YAR042W	155	0	0	0
YAR047C	767	0	0	0
YAR050W	720	0	0	0
YAR053W	0	0	0	0
YAR060C	569	0	0	0
YAR064W	0	0	0	0
YAR066W	0	0	0	0
YAR068W	0	0	0	0
YAR069C	0	0	0	0
YAR070C	0	0	0	0
YAR071W	352	0	0	0
YAR073W	0	0	0	0
YAR075W	0	0	0	0
YBL001C	0	0	0	0
YBL002W	4	0	0	0
YBL003C	0	0	0	0
YBL004W	412	0	0	0
YBL005W	914	2	574	18
YBL005W-A	0	0	0	0
YBL005W-B	0	0	0	0
YBL006C	0	1	321	0
YBL006W-A	0	1	574	18
YBL007C	0	0	0	0
YBL008W	11	0	0	0
YBL008W-A	0	0	0	0
YBL009W	0	0	0	0
YBL010C	0	0	0	0
YBL011W	0	0	0	0
YBL012C	0	0	0	0
YBL013W	0	0	0	0
YBL014C	5	0	0	0
YBL015W	3	0	0	0
YBL016W	206	0	0	0
YBL017C	260	0	0	0
YBL018C	3	0	0	0
YBL019W	0	0	0	0
YBL020W	734	0	0	0
YBL021C	0	0	0	0
YBL022C	17	1	1	0
YBL023C	139	1	1	0
YBL024W	120	1	119	0
YBL025W	0	1	119	0
YBL026W	25	0	0	0
YBL027W	8	0	0	0
YBL028C	0	0	0	0
YBL029C-A	0	1	145	0
YBL029W	340	1	145	0
YBL030C	0	0	0	0
YBL031W	0	0	0	0
YBL032W	0	0	0	0
YBL033C	0	1	1	0
YBL034C	285	2	46	0
YBL035C	0	1	46	0
YBL036C	12	1	131	0
YBL037W	238	1	131	0
YBL038W	0	0	0	0
YBL039C	0	0	0	0
YBL039C-A	0	0	0	0
YBL039W-B	0	0	0	0
YBL040C	2	0	0	0
YBL041W	0	0	0	0
YBL042C	6	0	0	0
YBL043W	14	0	0	0
YBL044W	0	0	0	0
YBL045C	5	0	0	0
YBL046W	0	0	0	0
YBL047C	33	1	109	0
YBL048W	857	2	886	417
YBL049W	478	1	886	417
YBL050W	0	0	0	0
YBL051C	0	0	0	0
YBL052C	295	1	61	0
YBL053W	2	0	0	0
YBL054W	673	2	485	0
YBL055C	0	1	485	0
YBL056W	0	0	0	0
YBL057C	3	0	0	0
YBL058W	3	0	0	0
YBL059C-A	0	0	0	0
YBL059W	489	0	0	0
YBL060W	10	0	0	0
YBL061C	0	0	0	0
YBL062W	990	1	1025	904
YBL063W	129	1	1025	904
YBL064C	4	0	0	0
YBL065W	0	0	0	0
YBL066C	524	0	0	0
YBL067C	377	0	0	0
YBL068W	6	0	0	0
YBL068W-A	0	0	0	0
YBL069W	145	1	56	0
YBL070C	0	0	0	0
YBL071C	0	1	56	0
YBL071C-B	0	0	0	0
YBL071W-A	0	0	0	0
YBL072C	0	0	0	0
YBL073W	0	0	0	0
YBL074C	0	0	0	0
YBL075C	66	0	0	0
YBL076C	3	0	0	0
YBL077W	0	0	0	0
YBL078C	5	0	0	0
YBL079W	149	0	0	0
YBL080C	0	0	0	0
YBL081W	0	0	0	0
YBL082C	24	0	0	0
YBL083C	32	0	0	0
YBL084C	259	0	0	0
YBL085W	4	0	0	0
YBL086C	0	0	0	0
YBL087C	0	0	0	0
YBL088C	89	0	0	0
YBL089W	0	0	0	0
YBL090W	0	0	0	0
YBL091C	13	0	0	0
YBL091C-A	73	0	0	0
YBL092W	8	0	0	0
YBL093C	42	0	0	0
YBL094C	0	0	0	0
YBL095W	906	1	725	725
YBL096C	0	0	0	0
YBL097W	0	1	725	725
YBL098W	0	0	0	0
YBL099W	0	0	0	0
YBL100C	0	0	0	0
YBL100W-A	0	0	0	0
YBL100W-B	0	0	0	0
YBL100W-C	0	1	120	0
YBL101C	177	1	120	0
YBL102W	0	0	0	0
YBL103C	0	1	28	0
YBL104C	283	1	28	0
YBL105C	3	0	0	0
YBL106C	151	0	0	0
YBL107C	186	0	0	0
YBL107W-A	0	0	0	0
YBL108C-A	0	0	0	0
YBL108W	0	0	0	0
YBL109W	0	0	0	0
YBL111C	0	0	0	0
YBL112C	0	0	0	0
YBL113C	423	0	0	0
YBL113W-A	0	0	0	0
YBR001C	0	0	0	0
YBR002C	0	0	0	0
YBR003W	0	0	0	0
YBR004C	1	0	0	0
YBR005W	14	0	0	0
YBR006W	0	0	0	0
YBR007C	5	0	0	0
YBR008C	45	0	0	0
YBR009C	0	0	0	0
YBR010W	0	0	0	0
YBR011C	21	0	0	0
YBR012C	194	0	0	0
YBR012W-A	0	0	0	0
YBR012W-B	0	0	0	0
YBR013C	497	0	0	0
YBR014C	0	0	0	0
YBR015C	3	0	0	0
YBR016W	0	0	0	0
YBR017C	0	0	0	0
YBR018C	262	0	0	0
YBR019C	0	1	141	0
YBR020W	857	1	141	0
YBR021W	0	0	0	0
YBR022W	23	0	0	0
YBR023C	9	0	0	0
YBR024W	113	0	0	0
YBR025C	129	0	0	0
YBR026C	0	0	0	0
YBR027C	1045	0	0	0
YBR028C	34	0	0	0
YBR029C	12	0	0	0
YBR030W	0	0	0	0
YBR031W	29	1	81	0
YBR032W	0	1	303	303
YBR033W	693	2	303	303
YBR034C	0	0	0	0
YBR035C	0	0	0	0
YBR036C	21	0	0	0
YBR037C	0	0	0	0
YBR038W	0	0	0	0
YBR039W	0	0	0	0
YBR040W	0	0	0	0
YBR041W	7	0	0	0
YBR042C	6	0	0	0
YBR043C	0	0	0	0
YBR044C	0	0	0	0
YBR045C	849	0	0	0
YBR046C	0	0	0	0
YBR047W	0	0	0	0
YBR048W	54	0	0	0
YBR049C	2	0	0	0
YBR050C	7	0	0	0
YBR051W	0	0	0	0
YBR052C	0	0	0	0
YBR053C	1	0	0	0
YBR054W	0	0	0	0
YBR055C	70	0	0	0
YBR056C-B	0	0	0	0
YBR056W	0	0	0	0
YBR056W-A	22	0	0	0
YBR057C	0	0	0	0
YBR058C	142	0	0	0
YBR058C-A	0	0	0	0
YBR059C	94	0	0	0
YBR060C	0	0	0	0
YBR061C	21	0	0	0
YBR062C	233	0	0	0
YBR063C	4	0	0	0
YBR064W	0	0	0	0
YBR065C	23	0	0	0
YBR066C	0	0	0	0
YBR067C	0	0	0	0
YBR068C	4	0	0	0
YBR069C	0	0	0	0
YBR070C	3	0	0	0
YBR071W	0	0	0	0
YBR072C-A	0	1	162	0
YBR072W	309	0	0	0
YBR073W	341	1	162	0
YBR074W	149	0	0	0
YBR076C-A	675	0	0	0
YBR076W	0	0	0	0
YBR077C	8	0	0	0
YBR078W	17	0	0	0
YBR079C	0	0	0	0
YBR080C	1	0	0	0
YBR081C	209	0	0	0
YBR082C	69	0	0	0
YBR083W	12	0	0	0
YBR084C-A	0	0	0	0
YBR084W	0	0	0	0
YBR085C-A	0	0	0	0
YBR085W	2	0	0	0
YBR086C	0	0	0	0
YBR087W	10	0	0	0
YBR088C	7	0	0	0
YBR089C-A	0	0	0	0
YBR089W	0	1	39	0
YBR090C	790	1	39	0
YBR091C	0	0	0	0
YBR092C	2	0	0	0
YBR093C	33	0	0	0
YBR094W	0	0	0	0
YBR095C	0	0	0	0
YBR096W	19	0	0	0
YBR097W	215	1	93	0
YBR098W	113	1	93	0
YBR099C	4	0	0	0
YBR101C	792	1	607	474
YBR102C	33	1	607	474
YBR103C-A	0	0	0	0
YBR103W	0	0	0	0
YBR104W	0	0	0	0
YBR105C	0	0	0	0
YBR106W	51	0	0	0
YBR107C	20	1	515	0
YBR108W	659	1	515	0
YBR109C	1	0	0	0
YBR109W-A	0	0	0	0
YBR110W	0	0	0	0
YBR111C	6	0	0	0
YBR111W-A	0	0	0	0
YBR112C	379	0	0	0
YBR113W	0	0	0	0
YBR114W	0	0	0	0
YBR115C	106	0	0	0
YBR116C	928	0	0	0
YBR117C	177	0	0	0
YBR118W	0	0	0	0
YBR119W	0	0	0	0
YBR120C	0	0	0	0
YBR121C	0	0	0	0
YBR121C-A	0	0	0	0
YBR122C	0	0	0	0
YBR123C	5	0	0	0
YBR124W	0	0	0	0
YBR125C	7	0	0	0
YBR126C	6	0	0	0
YBR126W-A	164	1	119	0
YBR126W-B	0	0	0	0
YBR127C	19	2	119	0
YBR128C	33	1	11	0
YBR129C	0	0	0	0
YBR130C	0	0	0	0
YBR131C-A	0	0	0	0
YBR131W	0	0	0	0
YBR132C	3	0	0	0
YBR133C	0	0	0	0
YBR134W	0	0	0	0
YBR135W	0	1	32	0
YBR136W	1089	3	1550	580
YBR137W	772	1	1550	580
YBR138C	201	1	134	0
YBR139W	0	0	0	0
YBR140C	889	2	517	350
YBR141C	0	1	517	350
YBR141W-A	0	1	426	0
YBR142W	0	0	0	0
YBR143C	0	0	0	0
YBR144C	0	0	0	0
YBR145W	28	0	0	0
YBR146W	0	0	0	0
YBR147W	0	0	0	0
YBR148W	679	0	0	0
YBR149W	30	0	0	0
YBR150C	908	1	445	0
YBR151W	0	1	445	0
YBR152W	0	0	0	0
YBR153W	252	0	0	0
YBR154C	5	0	0	0
YBR155W	0	0	0	0
YBR156C	4	0	0	0
YBR157C	66	0	0	0
YBR158W	331	0	0	0
YBR159W	1	0	0	0
YBR160W	0	0	0	0
YBR161W	146	0	0	0
YBR162C	0	0	0	0
YBR162W-A	0	0	0	0
YBR163W	2	0	0	0
YBR164C	4	0	0	0
YBR165W	0	0	0	0
YBR166C	9	0	0	0
YBR167C	47	0	0	0
YBR168W	501	1	29	0
YBR169C	76	1	29	0
YBR170C	0	0	0	0
YBR171W	4	0	0	0
YBR172C	3	0	0	0
YBR173C	2	0	0	0
YBR174C	0	0	0	0
YBR175W	0	0	0	0
YBR176W	0	0	0	0
YBR177C	11	0	0	0
YBR178W	0	0	0	0
YBR179C	0	0	0	0
YBR180W	0	0	0	0
YBR181C	17	0	0	0
YBR182C	574	1	170	0
YBR182C-A	0	1	170	0
YBR183W	0	0	0	0
YBR184W	113	1	94	0
YBR185C	0	1	94	0
YBR186W	0	0	0	0
YBR187W	11	0	0	0
YBR188C	7	0	0	0
YBR189W	18	0	0	0
YBR190W	4	0	0	0
YBR191W	107	0	0	0
YBR191W-A	0	0	0	0
YBR192W	0	0	0	0
YBR193C	0	0	0	0
YBR194W	1	0	0	0
YBR195C	0	0	0	0
YBR196C	0	0	0	0
YBR196C-A	0	0	0	0
YBR196C-B	543	0	0	0
YBR197C	2	0	0	0
YBR198C	0	0	0	0
YBR199W	0	0	0	0
YBR200W	0	0	0	0
YBR200W-A	0	0	0	0
YBR201C-A	50	0	0	0
YBR201W	1	0	0	0
YBR202W	0	0	0	0
YBR203W	396	1	160	0
YBR204C	0	1	160	0
YBR205W	138	0	0	0
YBR206W	13	0	0	0
YBR207W	0	0	0	0
YBR208C	587	1	74	0
YBR209W	0	1	74	0
YBR210W	175	1	136	0
YBR211C	229	1	136	0
YBR212W	4	0	0	0
YBR213W	3	0	0	0
YBR214W	590	0	0	0
YBR215W	0	0	0	0
YBR216C	0	0	0	0
YBR217W	0	0	0	0
YBR218C	20	0	0	0
YBR219C	1021	0	0	0
YBR220C	0	0	0	0
YBR221C	6	0	0	0
YBR221W-A	0	0	0	0
YBR222C	3	0	0	0
YBR223C	0	0	0	0
YBR223W-A	0	0	0	0
YBR224W	0	0	0	0
YBR225W	385	1	132	0
YBR226C	837	0	0	0
YBR227C	0	2	219	0
YBR228W	305	1	219	0
YBR229C	0	0	0	0
YBR230C	55	0	0	0
YBR230W-A	0	0	0	0
YBR231C	0	0	0	0
YBR232C	0	0	0	0
YBR233W	19	0	0	0
YBR233W-A	0	0	0	0
YBR234C	0	0	0	0
YBR235W	42	0	0	0
YBR236C	0	0	0	0
YBR237W	13	0	0	0
YBR238C	0	0	0	0
YBR239C	0	0	0	0
YBR240C	579	0	0	0
YBR241C	0	0	0	0
YBR242W	12	0	0	0
YBR243C	0	0	0	0
YBR244W	42	1	124	0
YBR245C	129	1	124	0
YBR246W	0	0	0	0
YBR247C	0	0	0	0
YBR248C	0	0	0	0
YBR249C	15	0	0	0
YBR250W	0	0	0	0
YBR251W	0	0	0	0
YBR252W	0	0	0	0
YBR253W	0	0	0	0
YBR254C	11	0	0	0
YBR255C-A	0	0	0	0
YBR255W	2	0	0	0
YBR256C	13	0	0	0
YBR257W	0	0	0	0
YBR258C	0	0	0	0
YBR259W	0	0	0	0
YBR260C	22	0	0	0
YBR261C	0	0	0	0
YBR262C	0	0	0	0
YBR263W	9	0	0	0
YBR264C	0	0	0	0
YBR265W	12	0	0	0
YBR266C	0	0	0	0
YBR267W	16	0	0	0
YBR268W	0	0	0	0
YBR269C	0	0	0	0
YBR270C	303	1	67	0
YBR271W	9	1	67	0
YBR272C	0	0	0	0
YBR273C	2	0	0	0
YBR274W	4	0	0	0
YBR275C	557	0	0	0
YBR276C	0	0	0	0
YBR277C	0	0	0	0
YBR278W	9	0	0	0
YBR279W	1	0	0	0
YBR280C	24	0	0	0
YBR281C	21	0	0	0
YBR282W	10	0	0	0
YBR283C	0	0	0	0
YBR284W	405	1	24	0
YBR285W	5	1	24	0
YBR286W	0	0	0	0
YBR287W	0	0	0	0
YBR288C	33	0	0	0
YBR289W	21	0	0	0
YBR290W	23	0	0	0
YBR291C	44	0	0	0
YBR292C	727	0	0	0
YBR293W	497	0	0	0
YBR294W	0	0	0	0
YBR295W	186	1	81	0
YBR296C	304	1	81	0
YBR296C-A	0	0	0	0
YBR297W	6	0	0	0
YBR298C	173	0	0	0
YBR298C-A	0	1	108	0
YBR299W	171	1	108	0
YBR300C	0	0	0	0
YBR301W	0	0	0	0
YBR302C	73	0	0	0
YCL001W	0	0	0	0
YCL001W-A	0	0	0	0
YCL001W-B	0	0	0	0
YCL002C	13	0	0	0
YCL004W	14	0	0	0
YCL005W	32	0	0	0
YCL005W-A	0	0	0	0
YCL007C	0	0	0	0
YCL008C	0	0	0	0
YCL009C	769	0	0	0
YCL010C	0	0	0	0
YCL011C	0	0	0	0
YCL012C	0	0	0	0
YCL014W	215	0	0	0
YCL016C	0	0	0	0
YCL017C	0	0	0	0
YCL018W	0	0	0	0
YCL019W	0	0	0	0
YCL020W	0	0	0	0
YCL021W-A	1043	0	0	0
YCL022C	0	0	0	0
YCL023C	0	0	0	0
YCL024W	569	0	0	0
YCL025C	4	0	0	0
YCL026C-A	0	0	0	0
YCL026C-B	0	0	0	0
YCL027W	0	0	0	0
YCL028W	35	0	0	0
YCL029C	10	0	0	0
YCL030C	326	0	0	0
YCL031C	0	0	0	0
YCL032W	4	0	0	0
YCL033C	2	0	0	0
YCL034W	0	0	0	0
YCL035C	0	0	0	0
YCL036W	0	0	0	0
YCL037C	0	0	0	0
YCL038C	0	0	0	0
YCL039W	4	0	0	0
YCL040W	0	0	0	0
YCL041C	0	0	0	0
YCL042W	739	0	0	0
YCL043C	0	0	0	0
YCL044C	0	0	0	0
YCL045C	5	0	0	0
YCL046W	0	0	0	0
YCL047C	6	0	0	0
YCL048W	0	0	0	0
YCL048W-A	287	0	0	0
YCL049C	8	0	0	0
YCL050C	4	0	0	0
YCL051W	9	0	0	0
YCL052C	0	0	0	0
YCL054W	182	0	0	0
YCL054W-A	295	0	0	0
YCL055W	0	0	0	0
YCL056C	330	0	0	0
YCL057C-A	0	0	0	0
YCL057W	0	0	0	0
YCL058C	0	0	0	0
YCL058W-A	0	0	0	0
YCL059C	3	0	0	0
YCL061C	353	1	70	0
YCL063W	0	1	70	0
YCL064C	4	0	0	0
YCL065W	0	0	0	0
YCL066W	0	0	0	0
YCL067C	0	0	0	0
YCL068C	0	0	0	0
YCL069W	0	0	0	0
YCL073C	0	0	0	0
YCL076W	0	0	0	0
YCR001W	0	0	0	0
YCR002C	0	0	0	0
YCR003W	0	0	0	0
YCR004C	0	0	0	0
YCR005C	677	1	474	474
YCR006C	0	1	474	474
YCR007C	139	0	0	0
YCR008W	10	0	0	0
YCR009C	16	0	0	0
YCR010C	3	0	0	0
YCR011C	3	0	0	0
YCR012W	5	1	96	0
YCR013C	0	0	0	0
YCR014C	320	2	96	0
YCR015C	8	1	3	0
YCR016W	4	0	0	0
YCR017C	14	0	0	0
YCR018C	151	0	0	0
YCR018C-A	233	0	0	0
YCR019W	3	0	0	0
YCR020C	0	0	0	0
YCR020C-A	1	0	0	0
YCR020W-B	0	0	0	0
YCR021C	0	0	0	0
YCR022C	1	0	0	0
YCR023C	9	0	0	0
YCR024C	0	0	0	0
YCR024C-A	223	0	0	0
YCR024C-B	151	0	0	0
YCR025C	0	0	0	0
YCR026C	0	0	0	0
YCR027C	0	0	0	0
YCR028C	0	0	0	0
YCR028C-A	16	0	0	0
YCR030C	0	0	0	0
YCR031C	3	0	0	0
YCR032W	254	0	0	0
YCR033W	395	0	0	0
YCR034W	0	0	0	0
YCR035C	24	0	0	0
YCR036W	0	0	0	0
YCR037C	135	0	0	0
YCR038C	600	0	0	0
YCR038W-A	0	0	0	0
YCR039C	82	0	0	0
YCR040W	0	0	0	0
YCR041W	0	0	0	0
YCR042C	784	1	39	0
YCR043C	16	1	39	0
YCR044C	0	0	0	0
YCR045C	0	0	0	0
YCR045W-A	0	0	0	0
YCR046C	7	0	0	0
YCR047C	0	0	0	0
YCR047W-A	0	0	0	0
YCR048W	0	0	0	0
YCR049C	0	0	0	0
YCR050C	0	0	0	0
YCR051W	6	0	0	0
YCR052W	0	0	0	0
YCR053W	699	0	0	0
YCR054C	57	0	0	0
YCR057C	3	0	0	0
YCR059C	5	0	0	0
YCR060W	2	0	0	0
YCR061W	0	0	0	0
YCR063W	0	0	0	0
YCR064C	0	0	0	0
YCR065W	9	0	0	0
YCR066W	0	0	0	0
YCR067C	10	0	0	0
YCR068W	1118	0	0	0
YCR069W	0	0	0	0
YCR071C	24	0	0	0
YCR072C	107	0	0	0
YCR073C	147	0	0	0
YCR073W-A	0	0	0	0
YCR075C	3	0	0	0
YCR075W-A	4	0	0	0
YCR076C	0	0	0	0
YCR077C	0	0	0	0
YCR079W	0	0	0	0
YCR081C-A	0	0	0	0
YCR081W	729	0	0	0
YCR082W	0	0	0	0
YCR083W	0	1	106	0
YCR084C	164	1	106	0
YCR085W	0	0	0	0
YCR086W	6	0	0	0
YCR087C-A	0	0	0	0
YCR087W	728	0	0	0
YCR088W	1	0	0	0
YCR089W	210	0	0	0
YCR090C	8	0	0	0
YCR091W	777	0	0	0
YCR092C	427	1	238	0
YCR093W	179	1	238	0
YCR094W	20	0	0	0
YCR095C	0	0	0	0
YCR095W-A	0	0	0	0
YCR096C	500	1	203	0
YCR097W	8	1	203	0
YCR097W-A	0	0	0	0
YCR098C	0	0	0	0
YCR099C	1199	0	0	0
YCR100C	0	0	0	0
YCR101C	0	0	0	0
YCR102C	128	0	0	0
YCR102W-A	0	0	0	0
YCR104W	0	0	0	0
YCR105W	38	0	0	0
YCR106W	0	1	399	399
YCR107W	1115	1	399	399
YCR108C	0	0	0	0
YDL001W	0	0	0	0
YDL002C	31	0	0	0
YDL003W	9	0	0	0
YDL004W	0	0	0	0
YDL005C	9	0	0	0
YDL006W	22	0	0	0
YDL007C-A	0	0	0	0
YDL007W	0	0	0	0
YDL008W	0	0	0	0
YDL009C	0	0	0	0
YDL010W	546	1	316	0
YDL011C	0	0	0	0
YDL012C	11	1	316	0
YDL013W	3	0	0	0
YDL014W	0	0	0	0
YDL015C	0	0	0	0
YDL016C	994	0	0	0
YDL017W	97	0	0	0
YDL018C	0	0	0	0
YDL019C	95	0	0	0
YDL020C	0	0	0	0
YDL021W	0	0	0	0
YDL022C-A	0	0	0	0
YDL022W	4	0	0	0
YDL023C	0	0	0	0
YDL024C	322	0	0	0
YDL025C	0	0	0	0
YDL025W-A	0	0	0	0
YDL026W	0	0	0	0
YDL027C	0	0	0	0
YDL028C	0	0	0	0
YDL029W	0	0	0	0
YDL030W	3	0	0	0
YDL031W	0	0	0	0
YDL032W	0	0	0	0
YDL033C	7	0	0	0
YDL034W	0	0	0	0
YDL035C	27	1	5	0
YDL036C	100	1	5	0
YDL037C	0	1	473	473
YDL039C	1108	1	473	473
YDL040C	4	0	0	0
YDL041W	0	0	0	0
YDL042C	0	0	0	0
YDL043C	35	0	0	0
YDL044C	7	0	0	0
YDL045C	2	0	0	0
YDL045W-A	0	0	0	0
YDL046W	0	0	0	0
YDL047W	163	0	0	0
YDL048C	0	0	0	0
YDL049C	199	0	0	0
YDL050C	32	0	0	0
YDL051W	0	0	0	0
YDL052C	1	0	0	0
YDL053C	1	0	0	0
YDL054C	0	0	0	0
YDL055C	5	0	0	0
YDL056W	190	0	0	0
YDL057W	0	0	0	0
YDL058W	345	0	0	0
YDL059C	11	0	0	0
YDL060W	114	0	0	0
YDL061C	0	0	0	0
YDL062W	0	0	0	0
YDL063C	0	0	0	0
YDL064W	17	0	0	0
YDL065C	0	0	0	0
YDL066W	87	0	0	0
YDL067C	14	0	0	0
YDL068W	0	0	0	0
YDL069C	0	0	0	0
YDL070W	16	0	0	0
YDL071C	0	0	0	0
YDL072C	1	0	0	0
YDL073W	226	0	0	0
YDL074C	0	0	0	0
YDL075W	0	0	0	0
YDL076C	0	0	0	0
YDL077C	239	0	0	0
YDL078C	57	0	0	0
YDL079C	389	0	0	0
YDL080C	0	0	0	0
YDL081C	0	0	0	0
YDL082W	32	0	0	0
YDL083C	10	1	4	0
YDL084W	12	0	0	0
YDL085C-A	0	1	4	0
YDL085W	115	0	0	0
YDL086C-A	0	0	0	0
YDL086W	0	1	37	0
YDL087C	244	1	37	0
YDL088C	808	0	0	0
YDL089W	5	0	0	0
YDL090C	3	1	1	0
YDL091C	132	1	1	0
YDL092W	0	0	0	0
YDL093W	134	0	0	0
YDL094C	0	0	0	0
YDL095W	0	0	0	0
YDL096C	0	0	0	0
YDL097C	0	0	0	0
YDL098C	9	0	0	0
YDL099W	6	0	0	0
YDL100C	9	0	0	0
YDL101C	0	0	0	0
YDL102W	200	0	0	0
YDL103C	0	0	0	0
YDL104C	0	0	0	0
YDL105W	4	0	0	0
YDL106C	39	0	0	0
YDL107W	0	0	0	0
YDL108W	5	0	0	0
YDL109C	0	0	0	0
YDL110C	27	0	0	0
YDL111C	0	0	0	0
YDL112W	26	0	0	0
YDL113C	0	0	0	0
YDL114W	0	0	0	0
YDL114W-A	0	0	0	0
YDL115C	0	0	0	0
YDL116W	23	0	0	0
YDL117W	0	0	0	0
YDL118W	0	0	0	0
YDL119C	19	0	0	0
YDL120W	0	0	0	0
YDL121C	0	0	0	0
YDL122W	475	1	504	11
YDL123W	92	1	504	11
YDL124W	0	0	0	0
YDL125C	26	0	0	0
YDL126C	7	0	0	0
YDL127W	6	0	0	0
YDL128W	0	0	0	0
YDL129W	0	0	0	0
YDL130W	73	0	0	0
YDL130W-A	0	0	0	0
YDL131W	59	0	0	0
YDL132W	456	0	0	0
YDL133C-A	0	0	0	0
YDL133W	16	0	0	0
YDL134C	0	0	0	0
YDL135C	0	0	0	0
YDL136W	23	0	0	0
YDL137W	0	0	0	0
YDL138W	86	0	0	0
YDL139C	0	0	0	0
YDL140C	533	0	0	0
YDL141W	2	0	0	0
YDL142C	0	0	0	0
YDL143W	1	0	0	0
YDL144C	7	0	0	0
YDL145C	29	0	0	0
YDL146W	0	0	0	0
YDL147W	14	0	0	0
YDL148C	0	0	0	0
YDL149W	124	0	0	0
YDL150W	5	0	0	0
YDL151C	0	0	0	0
YDL152W	0	0	0	0
YDL153C	0	1	97	0
YDL154W	180	1	97	0
YDL155W	17	0	0	0
YDL156W	0	0	0	0
YDL157C	0	0	0	0
YDL158C	471	0	0	0
YDL159C-B	0	0	0	0
YDL159W	0	0	0	0
YDL159W-A	0	0	0	0
YDL160C	825	0	0	0
YDL160C-A	0	0	0	0
YDL161W	0	0	0	0
YDL162C	0	0	0	0
YDL163W	0	0	0	0
YDL164C	3	0	0	0
YDL165W	0	0	0	0
YDL166C	0	0	0	0
YDL167C	7	0	0	0
YDL168W	0	0	0	0
YDL169C	40	0	0	0
YDL170W	0	0	0	0
YDL171C	387	2	463	335
