position	mean_coverage	sem_coverage	n_transcripts
-796	3.089438	1.974086	4696
-795	2.969974	1.821442	4696
-794	2.985945	1.856472	4696
-793	3.043867	1.927493	4696
-792	3.149276	1.950854	4696
-791	3.206133	2.020053	4696
-790	3.195060	1.973050	4696
-789	3.250852	2.025827	4696
-788	3.094549	1.992032	4696
-787	3.224872	2.033099	4696
-786	3.261925	2.046149	4696
-785	3.285988	2.054411	4696
-784	3.241695	2.033507	4696
-783	3.283646	2.043915	4696
-782	3.294932	2.038483	4696
-781	3.329429	2.069771	4696
-780	3.184625	2.045739	4696
-779	3.301107	2.070498	4696
-778	3.317504	2.060686	4696
-777	3.308560	2.045406	4696
-776	3.289395	2.063740	4696
-775	3.337308	2.080052	4696
-774	3.222743	1.979018	4696
-773	3.262138	2.022423	4696
-772	3.372871	2.097395	4696
-771	3.393526	2.094182	4696
-770	3.393739	2.097460	4696
-769	3.389055	2.082469	4696
-768	3.360733	2.069369	4696
-767	3.395656	2.098222	4696
-766	3.374361	2.096509	4696
-765	3.397572	2.103382	4696
-764	3.368399	2.093155	4696
-763	3.080281	1.791684	4696
-762	3.063671	1.772502	4696
-761	3.400128	2.082993	4696
-760	3.210392	2.036884	4696
-759	3.247232	1.992716	4696
-758	3.301320	1.983227	4696
-757	3.394804	1.994057	4696
-756	3.388842	1.984884	4696
-755	3.118186	1.752138	4696
-754	3.158646	1.749412	4696
-753	3.308560	1.892283	4696
-752	3.255750	1.881794	4696
-751	3.092632	1.630801	4696
-750	3.600724	2.110016	4696
-749	3.642249	2.132006	4696
-748	3.662692	2.134538	4696
-747	3.675681	2.132455	4696
-746	3.683560	2.142673	4696
-745	3.681857	2.150005	4696
-744	3.654600	2.135959	4696
-743	3.669932	2.153425	4696
-742	3.648211	2.134336	4696
-741	3.438884	1.925083	4696
-740	3.528322	1.962380	4696
-739	3.455068	1.896769	4696
-738	3.691440	2.131476	4696
-737	3.702087	2.148114	4696
-736	3.732751	2.162091	4696
-735	3.662479	2.166588	4696
-734	3.653748	2.116770	4696
-733	3.774276	2.186736	4696
-732	3.767462	2.170733	4696
-731	3.649702	2.089480	4696
-730	3.764055	2.166500	4696
-729	3.786627	2.174269	4696
-728	3.761073	2.156219	4696
-727	3.573041	1.969080	4696
-726	3.478705	1.908610	4696
-725	3.694208	2.126577	4696
-724	3.716141	2.120036	4696
-723	3.776831	2.185694	4696
-722	3.712947	2.155085	4696
-721	3.736584	2.175942	4696
-720	3.741908	2.124429	4696
-719	3.787905	2.160023	4696
-718	3.829003	2.174514	4696
-717	3.771934	2.170251	4696
-716	3.798552	2.174311	4696
-715	3.755537	2.148470	4696
-714	3.831133	2.190036	4696
-713	3.773637	2.149573	4696
-712	3.797700	2.176132	4696
-711	3.508518	1.875585	4696
-710	3.537905	1.867158	4696
-709	3.846891	2.173243	4696
-708	3.830068	2.178364	4696
-707	3.790886	2.173730	4696
-706	3.833475	2.184114	4696
-705	3.880324	2.186971	4696
-704	3.689523	2.005507	4696
-703	3.807070	2.122194	4696
-702	3.571124	1.863400	4696
-701	3.846252	2.151288	4696
-700	3.847530	2.138501	4696
-699	3.182496	1.490066	4696
-698	3.817291	2.094097	4696
-697	3.893526	2.176745	4696
-696	3.896082	2.169690	4696
-695	3.855196	2.144550	4696
-694	3.825170	2.150858	4696
-693	3.872871	2.151550	4696
-692	3.896082	2.186456	4696
-691	3.902257	2.178250	4696
-690	3.437819	1.742278	4696
-689	3.842206	2.149081	4696
-688	3.834753	2.132041	4696
-687	3.887990	2.182546	4696
-686	3.805153	2.136161	4696
-685	3.849233	2.168996	4696
-684	3.897359	2.182256	4696
-683	3.842632	2.179601	4696
-682	3.901618	2.173177	4696
-681	3.524915	1.910250	4696
-680	3.692078	2.047371	4696
-679	3.631175	1.909714	4696
-678	3.707836	1.988518	4696
-677	3.579429	1.897919	4696
-676	3.683986	1.983163	4696
-675	3.685903	1.968280	4696
-674	3.811968	2.091082	4696
-673	3.831559	2.130458	4696
-672	3.895443	2.154174	4696
-671	3.886925	2.143989	4696
-670	3.741482	2.105538	4696
-669	3.768526	2.067922	4696
-668	3.599233	1.865482	4696
-667	3.508731	1.765901	4696
-666	3.247232	1.495122	4696
-665	3.872232	2.100528	4696
-664	3.929089	2.156677	4696
-663	3.890971	2.142503	4696
-662	3.850511	2.075905	4696
-661	3.837308	2.079249	4696
-660	3.802598	2.081645	4696
-659	3.800468	2.059784	4696
-658	3.692291	1.975480	4696
-657	3.762564	2.015018	4696
-656	3.511712	1.756024	4696
-655	3.842206	2.105029	4696
-654	3.897785	2.132917	4696
-653	3.869676	2.124544	4696
-652	3.905877	2.125785	4696
-651	3.866908	2.102626	4696
-650	3.863288	2.072851	4696
-649	3.892888	2.095533	4696
-648	3.902470	2.120274	4696
-647	3.884370	2.085151	4696
-646	3.860094	2.083185	4696
-645	3.660349	1.878368	4696
-644	3.529174	1.785028	4696
-643	3.752768	1.976054	4696
-642	3.732964	1.921621	4696
-641	3.793867	1.969380	4696
-640	3.752981	1.977937	4696
-639	3.716993	2.007673	4696
-638	3.808560	1.995872	4696
-637	3.832411	2.001741	4696
-636	3.808348	1.968579	4696
-635	3.799191	1.974641	4696
-634	3.699532	1.856778	4696
-633	3.748509	1.915519	4696
-632	3.692930	1.857938	4696
-631	3.753620	1.799785	4696
-630	3.827300	1.806523	4696
-629	3.678450	1.660667	4696
-628	3.674191	1.655132	4696
-627	3.709966	1.639140	4696
-626	3.441652	1.420780	4696
-625	3.454003	1.392760	4696
-624	3.447189	1.397857	4696
-623	3.193356	1.149992	4696
-622	3.110307	1.099811	4696
-621	3.041312	1.083772	4696
-620	3.158646	1.110423	4696
-619	3.129685	1.092147	4696
-618	2.671422	0.695671	4696
-617	2.627129	0.664919	4696
-616	2.693356	0.691034	4696
-615	2.654174	0.671189	4696
-614	2.613927	0.640070	4696
-613	2.523424	0.619514	4696
-612	2.357538	0.552944	4696
-611	2.496167	0.589397	4696
-610	2.496806	0.592806	4696
-609	2.511286	0.577769	4696
-608	2.492760	0.570796	4696
-607	2.558560	0.583933	4696
-606	2.498509	0.556452	4696
-605	2.449957	0.537833	4696
-604	2.454216	0.532179	4696
-603	2.442078	0.526668	4696
-602	2.429302	0.523972	4696
-601	2.447189	0.523576	4696
-600	2.414395	0.511660	4696
-599	2.417376	0.513824	4696
-598	2.402683	0.516194	4696
-597	2.426533	0.518427	4696
-596	2.421210	0.517188	4696
-595	2.430366	0.515317	4696
-594	2.430792	0.514932	4696
-593	2.431431	0.515203	4696
-592	2.425894	0.515071	4696
-591	2.362010	0.493184	4696
-590	2.385647	0.497057	4696
-589	2.428450	0.503289	4696
-588	2.453790	0.515598	4696
-587	2.336031	0.489336	4696
-586	2.419932	0.509955	4696
-585	2.441865	0.517358	4696
-584	2.454216	0.516991	4696
-583	2.431005	0.510407	4696
-582	2.403961	0.508347	4696
-581	2.421635	0.508028	4696
-580	2.385434	0.479346	4696
-579	2.315162	0.468140	4696
-578	2.331559	0.476792	4696
-577	2.409923	0.502702	4696
-576	2.437181	0.503629	4696
-575	2.408007	0.496618	4696
-574	2.384796	0.495851	4696
-573	2.391823	0.490228	4696
-572	2.397572	0.493623	4696
-571	2.420784	0.496339	4696
-570	2.406942	0.500393	4696
-569	2.455068	0.500715	4696
-568	2.516823	0.517253	4696
-567	2.432922	0.483397	4696
-566	2.446550	0.499675	4696
-565	2.467845	0.498254	4696
-564	2.515971	0.515842	4696
-563	2.500852	0.515697	4696
-562	2.515119	0.515816	4696
-561	2.498083	0.508330	4696
-560	2.547061	0.509900	4696
-559	2.590928	0.521240	4696
-558	2.589012	0.519002	4696
-557	2.587308	0.518570	4696
-556	2.590928	0.520523	4696
-555	2.561329	0.514871	4696
-554	2.564097	0.512038	4696
-553	2.606687	0.521052	4696
-552	2.628620	0.529233	4696
-551	2.616482	0.526767	4696
-550	2.620954	0.526635	4696
-549	2.622445	0.517835	4696
-548	2.631175	0.524891	4696
-547	2.602428	0.501584	4696
-546	2.550894	0.495923	4696
-545	2.631814	0.510462	4696
-544	2.643313	0.517393	4696
-543	2.677172	0.525120	4696
-542	2.624361	0.511243	4696
-541	2.690588	0.529900	4696
-540	2.669293	0.527194	4696
-539	2.641610	0.511887	4696
-538	2.590716	0.491236	4696
-537	2.669719	0.518625	4696
-536	2.655664	0.512122	4696
-535	2.694634	0.515695	4696
-534	2.715290	0.526273	4696
-533	2.742334	0.534358	4696
-532	2.701661	0.523331	4696
-531	2.732112	0.526209	4696
-530	2.683135	0.528800	4696
-529	2.704855	0.529429	4696
-528	2.719974	0.528358	4696
-527	2.760434	0.529484	4696
-526	2.789821	0.540322	4696
-525	2.794080	0.528595	4696
-524	2.756814	0.521850	4696
-523	2.785349	0.529139	4696
-522	2.811116	0.536060	4696
-521	2.831559	0.542294	4696
-520	2.827513	0.539805	4696
-519	2.827300	0.541349	4696
-518	2.806644	0.534278	4696
-517	2.817078	0.535394	4696
-516	2.805153	0.534230	4696
-515	2.778109	0.526578	4696
-514	2.732751	0.518345	4696
-513	2.748509	0.508650	4696
-512	2.806005	0.525940	4696
-511	2.850937	0.538749	4696
-510	2.828152	0.537107	4696
-509	2.874148	0.543035	4696
-508	2.868825	0.543208	4696
-507	2.901193	0.547511	4696
-506	2.902257	0.546696	4696
-505	2.843697	0.525447	4696
-504	2.825809	0.520363	4696
-503	2.853279	0.536579	4696
-502	2.877129	0.541977	4696
-501	2.911414	0.544732	4696
-500	2.906516	0.544358	4696
-499	2.877768	0.538441	4696
-498	2.892462	0.540063	4696
-497	2.832198	0.528588	4696
-496	2.889906	0.538805	4696
-495	2.904600	0.542254	4696
-494	2.897785	0.533127	4696
-493	2.933135	0.539161	4696
-492	2.939097	0.541011	4696
-491	2.932922	0.542611	4696
-490	2.810690	0.508993	4696
-489	2.897998	0.521227	4696
-488	3.004898	0.546888	4696
-487	2.968271	0.543599	4696
-486	2.969549	0.538302	4696
-485	2.964438	0.540072	4696
-484	2.931218	0.530340	4696
-483	2.971891	0.532576	4696
-482	3.011925	0.544234	4696
-481	2.992760	0.541626	4696
-480	2.939949	0.530673	4696
-479	2.966141	0.535877	4696
-478	3.003194	0.540361	4696
-477	2.991908	0.539816	4696
-476	2.990630	0.539841	4696
-475	2.988501	0.534133	4696
-474	2.954216	0.525146	4696
-473	2.996167	0.531582	4696
-472	3.005111	0.534219	4696
-471	3.007879	0.533046	4696
-470	3.052811	0.543720	4696
-469	3.008305	0.530285	4696
-468	2.987862	0.534001	4696
-467	3.047061	0.538542	4696
-466	2.955920	0.503841	4696
-465	3.073467	0.535285	4696
-464	3.112862	0.542274	4696
-463	3.139267	0.551863	4696
-462	3.118825	0.549214	4696
-461	3.155026	0.551011	4696
-460	3.129898	0.549416	4696
-459	3.153748	0.549163	4696
-458	3.140119	0.537971	4696
-457	3.165247	0.546757	4696
-456	3.054940	0.493578	4696
-455	3.130750	0.526665	4696
-454	3.138416	0.530263	4696
-453	3.203578	0.548807	4696
-452	3.191014	0.547417	4696
-451	3.215928	0.552783	4696
-450	3.214225	0.555160	4696
-449	3.215077	0.547301	4696
-448	3.202939	0.555668	4696
-447	3.186542	0.548027	4696
-446	3.237862	0.545610	4696
-445	3.221039	0.551138	4696
-444	3.228918	0.542597	4696
-443	3.157794	0.523882	4696
-442	3.216354	0.546602	4696
-441	3.146508	0.516471	4696
-440	3.239566	0.546398	4696
-439	3.242121	0.551293	4696
-438	3.209114	0.536161	4696
-437	3.255324	0.539070	4696
-436	3.218058	0.527070	4696
-435	3.217419	0.540556	4696
-434	3.212308	0.546754	4696
-433	3.204429	0.540958	4696
-432	3.239140	0.546275	4696
-431	3.244676	0.546797	4696
-430	3.234668	0.539256	4696
-429	3.232538	0.540105	4696
-428	3.189097	0.535043	4696
-427	3.178876	0.532910	4696
-426	3.203365	0.525975	4696
-425	3.233603	0.524908	4696
-424	3.238714	0.540342	4696
-423	3.201022	0.514087	4696
-422	3.236797	0.538691	4696
-421	3.233603	0.538338	4696
-420	3.169293	0.509413	4696
-419	3.238501	0.525146	4696
-418	3.288330	0.547993	4696
-417	3.249361	0.533769	4696
-416	3.284497	0.548353	4696
-415	3.244463	0.546220	4696
-414	3.192504	0.513813	4696
-413	3.214651	0.517930	4696
-412	3.289821	0.552090	4696
-411	3.323467	0.554037	4696
-410	3.323254	0.551750	4696
-409	3.293441	0.549086	4696
-408	3.294293	0.547116	4696
-407	3.287692	0.552782	4696
-406	3.294080	0.554706	4696
-405	3.241056	0.527452	4696
-404	3.290886	0.551640	4696
-403	3.285349	0.551057	4696
-402	3.277257	0.549861	4696
-401	3.270656	0.549773	4696
-400	3.287905	0.551495	4696
-399	3.247658	0.548133	4696
-398	3.264055	0.552428	4696
-397	3.301746	0.552362	4696
-396	3.289182	0.541248	4696
-395	3.314097	0.550771	4696
-394	3.282794	0.542027	4696
-393	3.313671	0.544830	4696
-392	3.273637	0.532235	4696
-391	3.291525	0.538907	4696
-390	3.275980	0.539938	4696
-389	3.250213	0.537273	4696
-388	3.283646	0.546274	4696
-387	3.188671	0.486141	4696
-386	3.252129	0.535920	4696
-385	3.255111	0.542532	4696
-384	3.260647	0.537184	4696
-383	3.204216	0.511797	4696
-382	3.251917	0.527143	4696
-381	3.223382	0.517157	4696
-380	3.202939	0.533371	4696
-379	3.259796	0.536936	4696
-378	3.248296	0.533096	4696
-377	3.252129	0.534302	4696
-376	3.283433	0.543896	4696
-375	3.319634	0.544256	4696
-374	3.301959	0.537254	4696
-373	3.325596	0.544950	4696
-372	3.290673	0.540841	4696
-371	3.166738	0.493351	4696
-370	3.181431	0.498880	4696
-369	3.313884	0.540958	4696
-368	3.316865	0.543360	4696
-367	3.329003	0.549069	4696
-366	3.283433	0.546296	4696
-365	3.327300	0.544573	4696
-364	3.310051	0.534949	4696
-363	3.301533	0.538675	4696
-362	3.380750	0.549863	4696
-361	3.390545	0.551142	4696
-360	3.359455	0.541024	4696
-359	3.332198	0.538561	4696
-358	3.350511	0.544951	4696
-357	3.369463	0.545269	4696
-356	3.374148	0.550711	4696
-355	3.407581	0.553285	4696
-354	3.395443	0.546096	4696
-353	3.454003	0.555773	4696
-352	3.456985	0.559580	4696
-351	3.454642	0.556369	4696
-350	3.427598	0.551055	4696
-349	3.464864	0.555500	4696
-348	3.337947	0.480299	4696
-347	3.449532	0.548859	4696
-346	3.466354	0.554831	4696
-345	3.469123	0.554790	4696
-344	3.429302	0.548237	4696
-343	3.457198	0.548488	4696
-342	3.393313	0.528540	4696
-341	3.445698	0.538303	4696
-340	3.481474	0.549940	4696
-339	3.510221	0.552057	4696
-338	3.457836	0.544584	4696
-337	3.428237	0.544303	4696
-336	3.489353	0.559422	4696
-335	3.469974	0.557537	4696
-334	3.511712	0.560648	4696
-333	3.433560	0.529583	4696
-332	3.358177	0.532516	4696
-331	3.500639	0.562715	4696
-330	3.512351	0.558911	4696
-329	3.482751	0.539600	4696
-328	3.488075	0.555956	4696
-327	3.565375	0.589791	4696
-326	3.565375	0.583440	4696
-325	3.590928	0.609213	4696
-324	3.617547	0.608732	4696
-323	3.604557	0.609306	4696
-322	3.677811	0.620872	4696
-321	3.686329	0.624808	4696
-320	3.659710	0.622949	4696
-319	3.686329	0.627639	4696
-318	3.700809	0.625203	4696
-317	3.724659	0.629253	4696
-316	3.748509	0.631650	4696
-315	3.699532	0.616574	4696
-314	3.810264	0.635277	4696
-313	3.823893	0.647572	4696
-312	3.840716	0.651580	4696
-311	3.834540	0.647364	4696
-310	3.840077	0.657779	4696
-309	3.865630	0.660434	4696
-308	3.838160	0.658484	4696
-307	3.903748	0.704357	4696
-306	3.918867	0.700589	4696
-305	3.962308	0.719798	4696
-304	4.001704	0.729185	4696
-303	4.007240	0.727013	4696
-302	4.091141	0.767892	4696
-301	4.100298	0.774429	4696
-300	4.014906	0.752824	4696
-299	4.159072	0.817752	4696
-298	4.228066	0.843107	4696
-297	4.243825	0.836949	4696
-296	4.263842	0.855376	4696
-295	4.228918	0.858798	4696
-294	4.261286	0.851967	4696
-293	4.307496	0.881875	4696
-292	4.340716	0.885715	4696
-291	4.337734	0.887687	4696
-290	4.356474	0.898003	4696
-289	4.344336	0.897372	4696
-288	4.353705	0.879378	4696
-287	4.284072	0.866012	4696
-286	4.357964	0.877723	4696
-285	4.284497	0.843331	4696
-284	4.336882	0.849940	4696
-283	4.380750	0.854011	4696
-282	4.453365	0.900853	4696
-281	4.455068	0.906204	4696
-280	4.505750	0.914802	4696
-279	4.471039	0.903726	4696
-278	4.527257	0.912022	4696
-277	4.544080	0.910255	4696
-276	4.553024	0.905015	4696
-275	4.549191	0.905142	4696
-274	4.587734	0.914548	4696
-273	4.604983	0.912545	4696
-272	4.645443	0.920493	4696
-271	4.628407	0.906828	4696
-270	4.617334	0.865648	4696
-269	4.669506	0.892000	4696
-268	4.689097	0.906397	4696
-267	4.757027	0.914474	4696
-266	4.773850	0.936494	4696
-265	4.800468	0.937023	4696
-264	4.821550	0.937825	4696
-263	4.735520	0.897945	4696
-262	4.744037	0.914268	4696
-261	4.716354	0.865624	4696
-260	4.636712	0.808050	4696
-259	4.828578	0.897098	4696
-258	4.902470	0.951923	4696
-257	4.886712	0.935593	4696
-256	4.922487	0.941137	4696
-255	4.935051	0.945101	4696
-254	4.911840	0.919021	4696
-253	4.861371	0.900006	4696
-252	4.944634	0.913937	4696
-251	4.981048	0.931288	4696
-250	5.044719	0.950421	4696
-249	5.053876	0.951305	4696
-248	5.052811	0.947608	4696
-247	5.006814	0.950196	4696
-246	4.987010	0.919163	4696
-245	5.080707	0.972013	4696
-244	5.082624	0.976147	4696
-243	5.121593	0.976483	4696
-242	5.090077	0.963702	4696
-241	5.193782	0.994131	4696
-240	5.168228	0.972549	4696
-239	5.150767	0.968252	4696
-238	5.194634	0.985754	4696
-237	5.071337	0.894743	4696
-236	5.232112	0.987849	4696
-235	5.268101	0.983411	4696
-234	5.253833	0.959390	4696
-233	5.248296	0.972260	4696
-232	5.163118	0.943369	4696
-231	5.362649	0.996081	4696
-230	5.197402	0.881004	4696
-229	5.400554	0.987479	4696
-228	5.415034	1.006380	4696
-227	5.428237	1.004751	4696
-226	5.300043	0.958297	4696
-225	5.317291	0.953227	4696
-224	5.431857	0.986100	4696
-223	5.456346	0.957461	4696
-222	5.538756	1.001408	4696
-221	5.524063	0.993411	4696
-220	5.545997	1.001285	4696
-219	5.489353	0.950584	4696
-218	5.488927	0.943497	4696
-217	5.581133	0.994317	4696
-216	5.566652	0.995771	4696
-215	5.631175	0.991188	4696
-214	5.498296	0.988560	4696
-213	5.527470	0.989313	4696
-212	5.640758	0.988708	4696
-211	5.663756	0.982008	4696
-210	5.619889	0.951472	4696
-209	5.627342	0.964618	4696
-208	5.776618	0.998252	4696
-207	5.744676	0.993896	4696
-206	5.691865	0.982414	4696
-205	5.678237	0.985954	4696
-204	5.678876	0.957920	4696
-203	5.663330	0.979475	4696
-202	5.771295	0.959906	4696
-201	5.830068	0.965024	4696
-200	5.886712	0.995409	4696
-199	5.822615	0.961812	4696
-198	5.871806	0.967180	4696
-197	5.922913	0.965231	4696
-196	5.977215	0.974461	4696
-195	5.964651	0.980339	4696
-194	6.130537	1.011444	4696
-193	6.120102	0.994899	4696
-192	6.267462	1.020899	4696
-191	6.069847	0.934477	4696
-190	6.295571	1.000012	4696
-189	6.274276	0.983420	4696
-188	6.240417	0.968333	4696
-187	6.250000	0.971050	4696
-186	6.391184	1.010490	4696
-185	6.396295	1.011580	4696
-184	6.416951	1.011480	4696
-183	6.494037	1.007232	4696
-182	6.477215	1.004471	4696
-181	6.511925	1.001782	4696
-180	6.390332	0.986054	4696
-179	6.343484	0.959079	4696
-178	6.313884	0.915845	4696
-177	6.448680	0.969120	4696
-176	6.555579	0.983726	4696
-175	6.666099	0.979351	4696
-174	6.632240	0.957651	4696
-173	6.649702	0.982499	4696
-172	6.721678	0.987908	4696
-171	6.749148	0.982234	4696
-170	6.701661	0.958118	4696
-169	6.836031	0.997541	4696
-168	6.850298	1.007674	4696
-167	6.916525	1.011003	4696
-166	6.866908	0.979145	4696
-165	7.005111	1.014702	4696
-164	7.065801	1.010031	4696
-163	7.082624	0.995581	4696
-162	7.191865	1.008975	4696
-161	7.198041	1.022206	4696
-160	7.281729	1.027674	4696
-159	7.243186	1.014048	4696
-158	7.314310	1.018533	4696
-157	7.324106	1.010297	4696
-156	7.499148	1.036203	4696
-155	7.576661	1.060045	4696
-154	7.668228	1.066340	4696
-153	7.708262	1.067820	4696
-152	7.766610	1.049466	4696
-151	7.871380	1.075234	4696
-150	7.885009	1.075769	4696
-149	7.989779	1.088075	4696
-148	8.011286	1.088960	4696
-147	8.015758	1.075324	4696
-146	8.187606	1.116211	4696
-145	8.182070	1.107190	4696
-144	8.132027	1.089145	4696
-143	8.326022	1.118958	4696
-142	8.327087	1.117348	4696
-141	8.241482	1.107314	4696
-140	8.280026	1.089298	4696
-139	8.320486	1.083246	4696
-138	8.438671	1.081888	4696
-137	8.371806	1.054078	4696
-136	8.675681	1.127716	4696
-135	8.733390	1.136222	4696
-134	8.831133	1.140805	4696
-133	8.865204	1.142391	4696
-132	8.870954	1.104693	4696
-131	8.775554	1.051310	4696
-130	8.846252	1.067007	4696
-129	8.964438	1.093130	4696
