gene	chr	strand	orf_span	cds_len	depth_orf1000	depth_ourref	mean_read_len	mtif_support	drs_5	nag_5	final_5	pel_5	drs_3	nag_3	final_3	pel_3	shortfall_5	shortfall_3	shortfall_nt_5	shortfall_nt_3	verdict_5	verdict_3
YAL016W	I	+	1908	1908	395.0	511.0	918.1	188.0	87.0	92.0	92	97.0	70.0	96.0	96	68.0	1.0	1.0	5.0	26.0	both too short	both too long
YAL017W	I	+	4071	4071	61.0	103.0	910.3	1.0	368.0		368	385.0	189.0		189	219.0						
YAL018C	I	-	978	978	72.0	9.0	459.1	2.0			0	50.0			0	138.0						
YAL019W	I	+	3396	3396	136.0	197.0	810.2	4.0	122.0		122	110.0	71.0		71	49.0						
YAL019W-A	I	+	570	570	20.0	30.0	645.8	0.0	731.0		731		0.0		0							
YAL020C	I	-	1002	1002	24.0	37.0	658.2	3.0	4.0	8.0	8	22.0	71.0	145.0	145	75.0	1.0	1.0	4.0	74.0	both too short	DRS too short
YAL021C	I	-	2514	2514	73.0	73.0	878.9	42.0	43.0	43.0	43	59.0	233.0	309.0	309	230.0	0.0	1.0		76.0		both too long
YAL022C	I	-	1554	1554	76.0	80.0	821.7	1417.0	3.0	40.0	40	16.0	43.0	144.0	144	42.0	1.0	1.0	37.0	101.0	DRS too short	both too long
YAL023C	I	-	2280	2280	411.0	533.0	958.4	225.0	76.0	119.0	119	88.0	114.0	128.0	128	115.0	1.0	1.0	43.0	14.0	DRS too short	DRS too short
YAL024C	I	-	4308	4308	177.0	34.0	470.6	0.0	321.0		321		197.0		197							
YAL025C	I	-	921	921	54.0	93.0	429.8	142.0	22.0	22.0	22	23.0	194.0	285.0	285	203.0	0.0	1.0		91.0		DRS too short
YAL026C	I	-	4068	4068	116.0	50.0	668.3	4.0	75.0		75	86.0	149.0		149	140.0						
YAL026C-A	I	-	438	438	62.0	69.0	653.1	0.0	916.0		916	25.0	306.0		306	244.0						
YAL027W	I	+	786	786	100.0	88.0	537.4	4.0		91.0	91	80.0		110.0	110	101.0						
YAL028W	I	+	1587	1587	40.0	64.0	526.3	10.0	39.0	47.0	47	48.0	41.0	79.0	79	43.0	1.0	1.0	8.0	38.0	both too short	DRS too short
YAL029C	I	-	4416	4416	158.0	202.0	992.7	3.0	236.0		236	252.0	88.0		88	61.0						
YAL030W	I	+	467	354	90.0	65.0	560.2	161.0	21.0	21.0	21	22.0	117.0	260.0	260	110.0	0.0	1.0		143.0		both too long
YAL031C	I	-	2283	2283	46.0	37.0	699.8	4.0	39.0		39	47.0	131.0	161.0	161	78.0		1.0		30.0		both too long
YAL031W-A	I	+	309	309	12.0		671.7	1.0	80.0		80	354.0	129.0		129	2097.0						
YAL032C	I	-	1140	1140	187.0	42.0	559.4	29.0	699.0	29.0	699	20.0	125.0	142.0	142	125.0	0.0	1.0		17.0		both too long
YAL033W	I	+	522	522	139.0	283.0	544.1	193.0	10.0	4.0	10	5.0	60.0	169.0	169	72.0	0.0	1.0		109.0		DRS too short
YAL034C	I	-	1242	1242	44.0	54.0	712.7	67.0	616.0	634.0	634	620.0	103.0	160.0	160	100.0	1.0	1.0	18.0	57.0	DRS too short	both too long
YAL034C-B	I	-	354	354	165.0	141.0	599.6	1.0	837.0	30.0	837	31.0	345.0	42.0	345	43.0	0.0	0.0				
YAL034W-A	I	+	870	870	162.0	17.0	461.5	14.0	18.0	43.0	43	29.0	92.0	156.0	156	88.0	1.0	1.0	25.0	64.0	DRS too short	both too long
YAL035W	I	+	3009	3009	291.0	451.0	1028.0	1336.0	13.0	61.0	61	26.0	127.0	123.0	127	126.0	1.0	0.0	48.0		DRS too short	
YAL036C	I	-	1110	1110	163.0	116.0	829.0	141.0	45.0	54.0	54	32.0	29.0	264.0	264	29.0	1.0	1.0	9.0	235.0	both too long	both too long
YAL037C-A	I	-	93	93	3270.0	2250.0	553.1	3.0	130.0		130	192.0	459.0		459	55.0						
YAL037C-B	I	-	975	975	5144.0	4925.0	902.3	0.0	169.0		169		126.0		126							
YAL037W	I	+	804	804	1672.0	188.0	327.9	3.0	172.0	566.0	566	567.0	96.0	1576.0	1576	1577.0	1.0	1.0	394.0	1480.0	both too short	both too short
YAL038W	I	+	1503	1503	5306.0	8061.0	897.7	9845.0	79.0	141.0	141	27.0	166.0	159.0	166	164.0	1.0	0.0	62.0		both too long	
YAL039C	I	-	810	810	154.0	137.0	651.5	355.0	78.0	116.0	116	56.0	71.0	86.0	86	69.0	1.0	1.0	38.0	15.0	both too long	both too long
YAL040C	I	-	1743	1743	124.0	125.0	807.5	32.0	200.0	327.0	327	328.0	186.0	181.0	186	177.0	1.0	0.0	127.0		both too short	
YAL041W	I	+	2565	2565	191.0	113.0	559.4	10.0	52.0	66.0	66	64.0	60.0	58.0	60	59.0	1.0	0.0	14.0		DRS too short	
YAL042C-A	I	-	378	378	35.0		1048.9	0.0	249.0		249		20.0		20							
YAL042W	I	+	1248	1248	206.0	312.0	770.7	218.0	20.0	46.0	46	16.0	84.0	116.0	116	91.0	1.0	1.0	26.0	32.0	both too long	DRS too short
YAL043C	I	-	2358	2358	89.0	63.0	677.5	71.0	10.0	15.0	15	31.0	79.0	195.0	195	76.0	1.0	1.0	5.0	116.0	both too short	both too long
YAL044C	I	-	513	513	71.0	212.0	467.8	1488.0	3.0	13.0	13	14.0	83.0	193.0	193	82.0	1.0	1.0	10.0	110.0	both too short	both too long
YAL044W-A	I	+	333	333	114.0	40.0	455.9	1456.0	22.0	544.0	544	1.0	113.0	107.0	113	111.0	1.0	0.0	522.0		both too long	
YAL045C	I	-	309	309	91.0	37.0	435.5	1.0	202.0		202	680.0	40.0		40	566.0						
YAL046C	I	-	357	357	55.0	85.0	404.0	126.0	19.0	158.0	158	30.0	114.0	121.0	121	122.0	1.0	1.0	139.0	7.0	DRS too short	both too short
YAL047C	I	-	1869	1869	40.0	49.0	780.1	141.0	17.0	28.0	28	29.0	50.0	57.0	57	55.0	1.0	1.0	11.0	7.0	both too short	DRS too short
YAL047W-A	I	+	330	330	22.0		610.5	3.0		374.0	374	322.0		149.0	149	153.0						
YAL048C	I	-	1989	1989	62.0	31.0	950.8	6.0	179.0		179	1.0	957.0		957	1065.0						
YAL049C	I	-	741	741	116.0	224.0	639.4	330.0	516.0	1486.0	1486	66.0	121.0	163.0	163	136.0	1.0	1.0	970.0	42.0	both too long	DRS too short
YAL051W	I	+	3144	3144	196.0	55.0	551.7	2.0	14.0		14	25.0	152.0		152	80.0						
YAL053W	I	+	2352	2352	209.0	257.0	1206.8	22.0	124.0	170.0	170	140.0	67.0	59.0	67	72.0	1.0	0.0	46.0		DRS too short	
YAL054C	I	-	2142	2142	54.0	77.0	505.7	2.0	239.0		239	51.0	165.0		165	163.0						
YAL055W	I	+	543	543	99.0	29.0	456.5	17.0	21.0	34.0	34	7.0	80.0	118.0	118	119.0	1.0	1.0	13.0	38.0	both too long	both too short
YAL056C-A	I	-	351	351	24.0	6.0	556.2	0.0			0				0							
YAL056W	I	+	2643	2643	114.0	154.0	709.2	17.0	35.0	24.0	35	51.0	80.0	138.0	138	98.0	0.0	1.0		58.0		DRS too short
YAL058W	I	+	1509	1509	78.0	50.0	715.8	60.0	70.0	58.0	70	49.0	41.0	190.0	190	191.0	0.0	1.0		149.0		both too short
YAL059C-A	I	-	423	423	91.0	125.0	519.7	0.0	437.0		437	48.0	0.0		0	50.0						
YAL059W	I	+	639	639	99.0	74.0	454.8	6.0		42.0	42	2.0		196.0	196	197.0						
YAL060W	I	+	1149	1149	144.0	183.0	886.9	182.0	41.0	47.0	47	48.0	101.0	129.0	129	84.0	1.0	1.0	6.0	28.0	both too short	both too long
YAL061W	I	+	1254	1254	58.0	63.0	746.2	24.0	515.0	102.0	515	89.0	168.0	316.0	316	167.0	0.0	1.0		148.0		both too long
YAL062W	I	+	1374	1374	159.0	106.0	393.7	9.0	171.0	39.0	171	38.0	83.0	98.0	98	75.0	0.0	1.0		15.0		both too long
YAL063C	I	-	3969	3969	160.0	113.0	473.6	0.0	216.0		216		82.0		82							
YAL063C-A	I	-	291	291	55.0	62.0	741.9	3.0		931.0	931	948.0		343.0	343	34.0						
YAL064C-A	I	-	381	381	7.0		1061.7	1.0			0	947.0			0	412.0						
YAL064W	I	+	285	285	33.0		494.2	0.0			0	308.0			0	148.0						
YAL064W-B	I	+	381	381	5.0		398.8	8.0			0	733.0			0	554.0						
YAL065C	I	-	387	387				0.0			0				0							
YAL066W	I	+	309	309	15.0	14.0	470.7	1.0		283.0	283	284.0		60.0	60	61.0						
YAL067C	I	-	1782	1782	35.0	10.0	571.1	2.0			0	33.0			0	222.0						
YAL067W-A	I	+	228	228				0.0			0				0							
YAL068C	I	-	363	363				0.0			0				0							
YAL068W-A	I	+	255	255				0.0			0				0							
YAL069W	I	+	315	315				0.0			0				0							
YAR002C-A	I	-	660	660	210.0	370.0	536.1	378.0	31.0	25.0	31	16.0	70.0	256.0	256	76.0	0.0	1.0		186.0		DRS too short
YAR002W	I	+	1620	1620	222.0	127.0	565.8	141.0	31.0	41.0	41	42.0	100.0	237.0	237	94.0	1.0	1.0	10.0	137.0	both too short	both too long
YAR003W	I	+	1281	1281	161.0	142.0	705.4	65.0	74.0	46.0	74	85.0	408.0	623.0	623	495.0	0.0	1.0		215.0		DRS too short
YAR007C	I	-	1866	1866	151.0	103.0	958.1	155.0	54.0	78.0	78	63.0	50.0	72.0	72	73.0	1.0	1.0	24.0	22.0	DRS too short	both too short
YAR008W	I	+	828	828	1287.0	118.0	492.8	18.0	122.0	118.0	122	102.0	98.0	122.0	122	97.0	0.0	1.0		24.0		both too long
YAR014C	I	-	2130	2130	138.0	164.0	620.4	29.0	137.0	147.0	147	150.0	167.0	176.0	176	178.0	1.0	1.0	10.0	9.0	both too short	both too short
YAR015W	I	+	921	921	104.0	128.0	751.0	482.0	105.0	102.0	105	98.0	110.0	342.0	342	95.0	0.0	1.0		232.0		both too long
YAR018C	I	-	1308	1308	108.0	42.0	468.5	30.0	29.0	11.0	29	8.0	129.0	218.0	218	64.0	0.0	1.0		89.0		both too long
YAR019C	I	-	2925	2925	57.0	82.0	646.9	2.0	29.0		29	33.0	61.0		61	85.0						
YAR019W-A	I	+	333	333	33.0		629.1	0.0			0				0							
YAR020C	I	-	168	168	14.0	8.0	532.4	0.0	753.0		753		264.0		264							
YAR023C	I	-	540	540	46.0	46.0	554.5	4.0	460.0	876.0	876	231.0	48.0	35.0	48	30.0	1.0	0.0	416.0		both too long	
YAR027W	I	+	708	708	453.0	460.0	639.6	73.0	89.0	98.0	98	99.0	80.0	209.0	209	83.0	1.0	1.0	9.0	129.0	both too short	DRS too short
YAR028W	I	+	705	705	286.0	130.0	576.7	51.0	120.0	59.0	120	56.0	199.0	380.0	380	198.0	0.0	1.0		181.0		both too long
YAR029W	I	+	225	225	38.0	93.0	593.4	7.0		1311.0	1311	1468.0		208.0	208	227.0						
YAR030C	I	-	342	342	29.0		522.5	1.0			0	4.0			0	479.0						
YAR031W	I	+	897	897	21.0	18.0	606.5	1.0	234.0		234	2016.0	169.0		169	138.0						
YAR033W	I	+	705	705	64.0	80.0	568.5	52.0	718.0	63.0	718	46.0	41.0	446.0	446	93.0	0.0	1.0		405.0		DRS too short
YAR035C-A	I	-	81	81	7.0	11.0	500.1	0.0	11.0		11	361.0	609.0		609	63.0						
YAR035W	I	+	2064	2064	18.0	15.0	549.8	2.0	31.0	36.0	36	44.0	110.0	108.0	110	104.0	1.0	0.0	5.0		both too short	
YAR042W	I	+	3567	3567	91.0	77.0	737.4	5.0	45.0	35.0	45	36.0	161.0	163.0	163	125.0	0.0	1.0		2.0		both too long
YAR047C	I	-	321	321				0.0	621.0		621		769.0		769							
YAR050W	I	+	4614	4614	32.0	30.0	833.0	0.0	0.0		0		67.0		67							
YAR053W	I	+	297	297	28.0	108.0	604.4	1.0	84.0	173.0	173	174.0	90.0	968.0	968	969.0	1.0	1.0	89.0	878.0	both too short	both too short
YAR060C	I	-	336	336	10.0		507.6	0.0	778.0		778		567.0		567							
YAR064W	I	+	300	300	8.0	10.0	813.1	0.0	183.0		183		26.0		26							
YAR066W	I	+	612	612				0.0			0				0							
YAR068W	I	+	486	486	37.0		371.8	0.0			0				0							
YAR069C	I	-	294	294	30.0		357.4	0.0			0				0							
YAR070C	I	-	300	300	5.0	5.0	321.2	0.0			0				0							
YAR071W	I	+	1404	1404	39.0	36.0	983.7	0.0	300.0		300		51.0		51							
YAR073W	I	+	1212	1212				0.0			0	224.0			0	512.0						
YAR075W	I	+	474	474				0.0			0	1326.0			0	148.0						
YBL001C	II	-	315	315	999.0	915.0	473.6	3949.0	55.0	230.0	230	11.0	79.0	245.0	245	75.0	1.0	1.0	175.0	166.0	both too long	both too long
YBL002W	II	+	396	396	1004.0	1092.0	465.0	16563.0	112.0	702.0	702	23.0	195.0	191.0	195	192.0	1.0	0.0	590.0		both too long	
YBL003C	II	-	399	399	1896.0	3489.0	552.5	2949.0	42.0	63.0	63	27.0	175.0	495.0	495	173.0	1.0	1.0	21.0	320.0	both too long	both too long
YBL004W	II	+	7482	7482	1875.0	269.0	610.7	0.0	103.0		103		61.0		61							
YBL005W	II	+	2931	2931	196.0	189.0	708.4	6.0	55.0		55	62.0	291.0		291	285.0						
YBL006C	II	-	543	543	68.0	174.0	568.4	316.0	317.0	33.0	317	8.0	176.0	232.0	232	182.0	0.0	1.0		56.0		DRS too short
YBL006W-A	II	+	150	150	61.0	7.0	583.9	1.0		151.0	151	4.0		555.0	555	618.0						
YBL007C	II	-	3735	3735	245.0	274.0	847.0	96.0	117.0	69.0	117	52.0	88.0	164.0	164	64.0	0.0	1.0		76.0		both too long
YBL008W	II	+	2523	2523	150.0	56.0	462.8	16.0	66.0	65.0	66	55.0	81.0	103.0	103	81.0	0.0	1.0		22.0		both too long
YBL008W-A	II	+	240	240	26.0		409.7	1.0			0	51.0			0	2607.0						
YBL009W	II	+	2031	2031	39.0	87.0	1046.8	92.0	26.0	52.0	52	34.0	120.0	125.0	125	126.0	1.0	1.0	26.0	5.0	DRS too short	both too short
YBL010C	II	-	843	843	87.0	61.0	426.0	10.0	24.0	67.0	67	30.0	181.0	303.0	303	208.0	1.0	1.0	43.0	122.0	DRS too short	DRS too short
YBL011W	II	+	2280	2280	94.0	124.0	601.0	133.0	84.0	723.0	723	101.0	121.0	204.0	204	205.0	1.0	1.0	639.0	83.0	DRS too short	both too short
YBL012C	II	-	402	402				0.0			0				0							
YBL013W	II	+	1206	1206				2.0			0	66.0			0	2761.0						
YBL014C	II	-	2685	2685	65.0	60.0	718.2	18.0	34.0	28.0	34	29.0	112.0	140.0	140	141.0	0.0	1.0		28.0		both too short
YBL015W	II	+	1581	1581	143.0	110.0	643.9	147.0	77.0	168.0	168	77.0	232.0	277.0	277	282.0	1.0	1.0	91.0	45.0	both too long	both too short
YBL016W	II	+	1062	1062	88.0	111.0	732.6	4.0	66.0		66	17.0	131.0		131	135.0						
YBL017C	II	-	4740	4740	203.0	209.0	810.5	1.0	184.0		184	180.0	75.0		75	73.0						
YBL018C	II	-	477	402	131.0	180.0	437.8	122.0	44.0	32.0	44	41.0	61.0	329.0	329	36.0	0.0	1.0		268.0		both too long
YBL019W	II	+	1563	1563	159.0	85.0	526.2	13.0	32.0	69.0	69	0.0	111.0	115.0	115	112.0	1.0	1.0	37.0	4.0		DRS too short
YBL020W	II	+	1725	1725	110.0	103.0	790.5	44.0	784.0	78.0	784	82.0	88.0	79.0	88	80.0	0.0	0.0				
YBL021C	II	-	435	435	18.0	53.0	545.9	113.0		429.0	429	24.0		169.0	169	170.0						
YBL022C	II	-	3402	3402	146.0	216.0	815.5	25.0	116.0	132.0	132	127.0	85.0	75.0	85	76.0	1.0	0.0	16.0		DRS too short	
YBL023C	II	-	2607	2607	206.0	99.0	516.5	40.0	127.0	116.0	127	53.0	163.0	173.0	173	188.0	0.0	1.0		10.0		both too short
YBL024W	II	+	2055	2055	239.0	239.0	859.8	85.0	35.0	29.0	35	23.0	112.0	279.0	279	125.0	0.0	1.0		167.0		DRS too short
YBL025W	II	+	438	438	496.0	55.0	456.2	26.0	114.0	57.0	114	48.0	466.0	584.0	584	466.0	0.0	1.0		118.0		both too long
YBL026W	II	+	416	288	505.0	972.0	464.8	49.0	61.0	41.0	61	71.0	131.0	491.0	491	126.0	0.0	1.0		360.0		both too long
YBL027W	II	+	954	570	5467.0	5381.0	500.4	8809.0	0.0	18.0	18	31.0	91.0	384.0	384	84.0	1.0	1.0	18.0	293.0	both too short	both too long
YBL028C	II	-	321	321	475.0	897.0	504.8	39.0	36.0	46.0	46	47.0	86.0	296.0	296	89.0	1.0	1.0	10.0	210.0	both too short	DRS too short
YBL029C-A	II	-	285	285	159.0	301.0	435.7	61.0		1274.0	1274	4.0		129.0	129	93.0						
YBL029W	II	+	1131	1131	410.0	66.0	522.4	0.0	163.0		163		11.0		11							
YBL030C	II	-	957	957	881.0	1147.0	730.0	759.0	137.0	147.0	147	121.0	209.0	322.0	322	300.0	1.0	1.0	10.0	113.0	both too long	DRS too short
YBL031W	II	+	1017	1017	520.0	41.0	492.3	35.0	22.0	33.0	33	30.0	105.0	171.0	171	159.0	1.0	1.0	11.0	66.0	DRS too short	DRS too short
YBL032W	II	+	1146	1146	110.0	186.0	781.7	177.0	78.0	97.0	97	92.0	186.0	205.0	205	180.0	1.0	1.0	19.0	19.0	DRS too short	both too long
YBL033C	II	-	1038	1038	126.0	194.0	783.1	80.0	16.0	27.0	27	28.0	68.0	172.0	172	67.0	1.0	1.0	11.0	104.0	both too short	both too long
YBL034C	II	-	4542	4542	114.0	60.0	683.9	0.0	49.0		49		177.0		177							
YBL035C	II	-	2118	2118	82.0	40.0	746.8	67.0	66.0	92.0	92	81.0	70.0	128.0	128	46.0	1.0	1.0	26.0	58.0	DRS too short	both too long
YBL036C	II	-	774	774	236.0	435.0	663.4	137.0	61.0	1060.0	1060	8.0	148.0	136.0	148	146.0	1.0	0.0	999.0		both too long	
YBL037W	II	+	3078	3078	274.0	59.0	710.5	3.0	86.0		86	98.0	142.0		142	109.0						
YBL038W	II	+	699	699	51.0	93.0	614.9	495.0	59.0	58.0	59	63.0	64.0	175.0	175	58.0	0.0	1.0		111.0		both too long
YBL039C	II	-	1740	1740	413.0	429.0	824.6	485.0	68.0	78.0	78	54.0	102.0	262.0	262	184.0	1.0	1.0	10.0	160.0	both too long	DRS too short
YBL039C-A	II	-	84	84	82.0	214.0	1405.3	485.0	129.0	693.0	693	751.0	522.0	1139.0	1139	1143.0	1.0	1.0	564.0	617.0	both too short	both too short
YBL039W-B	II	+	180	180	239.0	143.0	441.4	23.0	271.0	293.0	293	307.0	121.0	176.0	176	135.0	1.0	1.0	22.0	55.0	both too short	DRS too short
YBL040C	II	-	757	660	649.0	623.0	561.9	7537.0	235.0	296.0	296	43.0	72.0	99.0	99	67.0	1.0	1.0	61.0	27.0	both too long	both too long
YBL041W	II	+	726	726	644.0	611.0	576.3	285.0	40.0	236.0	236	35.0	57.0	67.0	67	46.0	1.0	1.0	196.0	10.0	both too long	both too long
YBL042C	II	-	1920	1920	182.0	197.0	753.5	1267.0	47.0	58.0	58	56.0	166.0	160.0	166	51.0	1.0	0.0	11.0		DRS too short	
YBL043W	II	+	774	774	48.0	27.0	460.2	8.0	122.0	130.0	130	133.0	203.0	193.0	203	164.0	1.0	0.0	8.0		both too short	
YBL044W	II	+	369	369	11.0		357.1	0.0			0				0							
YBL045C	II	-	1374	1374	299.0	376.0	891.2	242.0	202.0	260.0	260	186.0	215.0	210.0	215	182.0	1.0	0.0	58.0		both too long	
YBL046W	II	+	1326	1326	156.0	75.0	456.0	2.0	6.0	17.0	17	0.0	112.0	187.0	187	178.0	1.0	1.0	11.0	75.0		DRS too short
YBL047C	II	-	4146	4146	161.0	336.0	816.5	3.0	165.0	128.0	165	173.0	217.0	222.0	222	144.0	0.0	1.0		5.0		both too long
YBL048W	II	+	312	312	146.0	34.0	545.0	1.0	453.0		453	618.0	26.0		26	194.0						
YBL049W	II	+	417	417	110.0		387.8	2.0			0	61.0			0	263.0						
YBL050W	II	+	995	879	302.0	346.0	734.7	199.0	68.0	76.0	76	77.0	63.0	110.0	110	67.0	1.0	1.0	8.0	47.0	both too short	DRS too short
YBL051C	II	-	2007	2007	98.0	110.0	717.4	14.0	62.0	64.0	64	63.0	145.0	448.0	448	444.0	1.0	1.0	2.0	303.0	DRS too short	DRS too short
YBL052C	II	-	2496	2496	53.0	10.0	410.0	4.0	225.0		225	267.0	80.0		80	73.0						
YBL053W	II	+	375	375	23.0	54.0	411.9	0.0	918.0		918		757.0		757							
YBL054W	II	+	1578	1578	58.0	52.0	822.2	30.0	327.0	176.0	327	115.0	150.0	192.0	192	120.0	0.0	1.0		42.0		both too long
YBL055C	II	-	1257	1257	359.0	250.0	628.7	6.0	626.0	394.0	626	60.0	95.0	95.0	95	73.0	0.0	0.0				
YBL056W	II	+	1407	1407	421.0	518.0	863.8	209.0	125.0	135.0	135	126.0	250.0	412.0	412	396.0	1.0	1.0	10.0	162.0	DRS too short	DRS too short
YBL057C	II	-	627	627	169.0	195.0	520.2	193.0	5.0	14.0	14	20.0	71.0	523.0	523	73.0	1.0	1.0	9.0	452.0	both too short	DRS too short
YBL058W	II	+	1272	1272	202.0	172.0	681.3	99.0	22.0	27.0	27	28.0	118.0	155.0	155	126.0	1.0	1.0	5.0	37.0	both too short	DRS too short
YBL059C-A	II	-	415	330	75.0	161.0	404.1	32.0	21.0	661.0	661	8.0	165.0	207.0	207	243.0	1.0	1.0	640.0	42.0	both too long	both too short
YBL059W	II	+	651	582	84.0	42.0	422.2	0.0	88.0		88		44.0		44							
YBL060W	II	+	2064	2064	83.0	52.0	569.0	20.0	51.0	230.0	230	18.0	41.0	37.0	41	38.0	1.0	0.0	179.0		both too long	
YBL061C	II	-	2091	2091	126.0	175.0	837.0	45.0	91.0	107.0	107	109.0	78.0	120.0	120	68.0	1.0	1.0	16.0	42.0	both too short	both too long
YBL062W	II	+	381	381	91.0	104.0	583.9	0.0	97.0		97		558.0		558							
YBL063W	II	+	3336	3336	106.0	46.0	607.6	2.0	8.0		8	0.0	120.0		120	78.0						
YBL064C	II	-	786	786	64.0	188.0	634.6	391.0	20.0	263.0	263	32.0	73.0	64.0	73	72.0	1.0	0.0	243.0		DRS too short	
YBL065W	II	+	345	345	89.0		670.1	0.0			0	330.0			0	2.0						
YBL066C	II	-	3447	3447	84.0	63.0	712.6	5.0	131.0		131	39.0	333.0		333	327.0						
YBL067C	II	-	2244	2244	192.0	133.0	612.6	2.0	264.0		264	277.0	119.0		119	122.0						
YBL068W	II	+	981	981	286.0	299.0	674.3	930.0	65.0	57.0	65	32.0	93.0	517.0	517	89.0	0.0	1.0		424.0		both too long
YBL068W-A	II	+	237	237	15.0	31.0	680.1	37.0		673.0	673	1134.0		197.0	197	81.0						
YBL069W	II	+	1290	1290	44.0	50.0	855.2	37.0	86.0	109.0	109	81.0	82.0	160.0	160	81.0	1.0	1.0	23.0	78.0	both too long	both too long
YBL070C	II	-	321	321	13.0		467.2	1.0			0	1294.0			0	2193.0						
YBL071C	II	-	309	309	13.0	31.0	415.2	4.0	146.0	12.0	146	50.0	21.0	366.0	366	1820.0	0.0	1.0		345.0		both too short
YBL071C-B	II	-	99	99	1553.0		684.9	5.0			0	54.0			0	1055.0						
YBL071W-A	II	+	249	249	13.0	20.0	390.8	165.0	31.0	42.0	42	35.0	249.0	519.0	519	246.0	1.0	1.0	11.0	270.0	DRS too short	both too long
YBL072C	II	-	918	603	7395.0	11323.0	672.6	413.0	23.0	24.0	24	24.0	25.0	276.0	276	120.0	1.0	1.0	1.0	251.0	both too short	DRS too short
YBL073W	II	+	312	312	1803.0		427.8	0.0			0				0							
YBL074C	II	-	1068	1068	579.0	5.0	298.6	23.0		18.0	18	1.0		288.0	288	2304.0						
YBL075C	II	-	1950	1950	32.0	39.0	697.5	23.0	447.0	535.0	535	1342.0	65.0	80.0	80	81.0	1.0	1.0	88.0	15.0	both too short	both too short
YBL076C	II	-	3219	3219	878.0	1076.0	1083.1	221.0	15.0	45.0	45	16.0	98.0	95.0	98	96.0	1.0	0.0	30.0		DRS too short	
YBL077W	II	+	432	432	659.0	807.0	598.1	0.0	0.0		0		894.0		894							
YBL078C	II	-	354	354	611.0	283.0	464.2	18.0	31.0	43.0	43	44.0	166.0	480.0	480	164.0	1.0	1.0	12.0	314.0	both too short	both too long
YBL079W	II	+	4509	4509	363.0	332.0	841.1	1.0	62.0		62	53.0	86.0		86	78.0						
YBL080C	II	-	1626	1626	45.0	36.0	694.2	66.0	53.0	52.0	53	16.0	72.0	123.0	123	105.0	0.0	1.0		51.0		DRS too short
YBL081W	II	+	1107	1107	56.0	65.0	666.5	10.0	303.0	548.0	548	314.0	81.0	136.0	136	137.0	1.0	1.0	245.0	55.0	DRS too short	both too short
YBL082C	II	-	1377	1377	37.0	27.0	955.5	127.0	49.0	45.0	49	46.0	42.0	35.0	42	54.0	0.0	0.0				
YBL083C	II	-	426	426	23.0	44.0	898.2	127.0	992.0	954.0	992	1035.0	7.0	14.0	14	16.0	0.0	1.0		7.0		both too short
