gene	unagi_five	unagi_three
YBL024W	54.0	255.0
YBL025W	63.0	459.0
YBL026W	297.0	131.0
YBL027W	62.0	99.0
YBL028C	52.0	274.0
YBL029C-A	97.0	129.0
YBL029W	376.0	105.0
YBL030C	149.0	322.0
YBL031W	13.0	29.0
YBL032W	94.0	186.0
YBL033C	32.0	74.0
YBL034C	74.0	190.0
YBL035C	93.0	211.0
YBL036C	16.0	141.0
YBL037W	109.0	141.0
YBL038W	74.0	114.0
YBL039C	90.0	194.0
YBL039W-B	311.0	141.0
YBL040C	198.0	163.0
YBL041W	274.0	142.0
YBL042C	56.0	166.0
YBL043W	133.0	232.0
YBL044W		135.0
YBL045C	217.0	315.0
YBL046W	18.0	203.0
YBL047C	166.0	217.0
YBL048W	693.0	198.0
YBL049W	298.0	263.0
YBL050W	100.0	70.0
YBL051C	85.0	165.0
YBL052C	271.0	85.0
YBL054W		214.0
YBL055C	308.0	302.0
YBL056W	136.0	405.0
YBL057C	20.0	73.0
YBL058W	41.0	118.0
YBL059C-A	22.0	171.0
YBL059W		40.0
YBL060W	287.0	425.0
YBL061C	900.0	76.0
YBL063W	22.0	124.0
YBL064C	32.0	74.0
YBL066C	67.0	345.0
YBL067C	230.0	119.0
YBL068W	78.0	93.0
YBL069W	94.0	
YBL071C	3.0	
YBL071C-B	62.0	1045.0
YBL071W-A	35.0	249.0
YBL072C	7.0	119.0
YBL074C	334.0	2309.0
YBL075C	33.0	86.0
YBL076C	56.0	98.0
YBL078C	47.0	485.0
YBL079W	130.0	86.0
YBL080C	65.0	1262.0
YBL081W	314.0	125.0
YBL082C	32.0	101.0
YBL084C	124.0	133.0
YBL085W	437.0	123.0
YBL086C	38.0	49.0
YBL087C	34.0	98.0
YBL088C	209.0	89.0
YBL089W	29.0	59.0
YBL090W	72.0	101.0
YBL091C	31.0	91.0
YBL091C-A	2650.0	604.0
YBL092W	352.0	151.0
YBL093C	99.0	172.0
YBL095W	16.0	133.0
YBL097W	42.0	1076.0
YBL098W	2388.0	114.0
YBL099W	320.0	237.0
YBL100W-A		4316.0
YBL100W-B		319.0
YBL100W-C	37.0	529.0
YBL101C	4.0	142.0
YBL102W	118.0	199.0
YBL103C	271.0	343.0
YBL104C	20.0	80.0
YBL105C	269.0	115.0
YBL106C	4086.0	99.0
YBL107C	11.0	124.0
YBL111C	135.0	2708.0
YBL112C	2220.0	2383.0
YBL113C	2461.0	81.0
YBR001C	148.0	52.0
YBR002C	25.0	327.0
YBR003W	1157.0	128.0
YBR004C	42.0	94.0
YBR005W	47.0	195.0
YBR006W	180.0	143.0
YBR007C	104.0	291.0
YBR008C	696.0	195.0
YBR009C	62.0	182.0
YBR010W	28.0	162.0
YBR011C	39.0	118.0
YBR012W-A		2413.0
YBR012W-B		323.0
YBR013C	131.0	159.0
YBR014C	83.0	120.0
YBR015C	93.0	143.0
YBR016W	49.0	208.0
YBR017C	74.0	196.0
YBR018C	1307.0	206.0
YBR019C		2032.0
YBR020W		146.0
YBR021W	111.0	745.0
YBR022W	555.0	159.0
YBR023C	208.0	195.0
YBR024W	126.0	215.0
YBR025C	78.0	213.0
YBR026C	83.0	138.0
YBR027C	1765.0	1270.0
YBR028C	153.0	178.0
YBR029C	132.0	135.0
YBR030W	300.0	109.0
YBR031W	24.0	97.0
YBR032W		123.0
YBR033W	153.0	269.0
YBR034C	29.0	464.0
YBR035C	35.0	144.0
YBR036C	74.0	197.0
YBR037C	49.0	72.0
YBR038W	121.0	193.0
YBR039W	91.0	192.0
YBR041W	89.0	160.0
YBR042C	64.0	75.0
YBR043C	149.0	152.0
YBR044C	83.0	95.0
YBR045C	1492.0	167.0
YBR046C	73.0	390.0
YBR047W	99.0	102.0
YBR048W	82.0	213.0
YBR049C	149.0	247.0
YBR050C	80.0	44.0
YBR052C	71.0	67.0
YBR053C	31.0	83.0
YBR054W	130.0	363.0
YBR055C	142.0	1796.0
YBR056W	71.0	44.0
YBR056W-A	20.0	450.0
YBR057C	119.0	113.0
YBR058C	57.0	20.0
YBR058C-A	59.0	188.0
YBR059C	136.0	84.0
YBR060C	118.0	45.0
YBR061C	133.0	168.0
YBR062C	2398.0	112.0
YBR063C	1566.0	439.0
YBR065C	72.0	2050.0
YBR066C	56.0	106.0
YBR067C	88.0	158.0
YBR068C	70.0	222.0
YBR069C	107.0	171.0
YBR070C	76.0	41.0
YBR071W	72.0	276.0
YBR072C-A		791.0
YBR072W	243.0	170.0
YBR073W	194.0	82.0
YBR074W	37.0	96.0
YBR076W	118.0	420.0
YBR077C	69.0	215.0
YBR078W	253.0	492.0
YBR079C	25.0	89.0
YBR080C	26.0	175.0
YBR081C	146.0	114.0
YBR082C	65.0	169.0
YBR083W	262.0	91.0
YBR084C-A	233.0	121.0
YBR084W	49.0	207.0
YBR085C-A	64.0	389.0
YBR086C	23.0	125.0
YBR087W	11.0	112.0
YBR088C	243.0	101.0
YBR089C-A	410.0	187.0
YBR090C	464.0	330.0
YBR091C	38.0	101.0
YBR092C	29.0	49.0
YBR093C	47.0	70.0
YBR094W	162.0	107.0
YBR095C	40.0	92.0
YBR096W	117.0	74.0
YBR097W	68.0	192.0
YBR098W	26.0	161.0
YBR101C	72.0	42.0
YBR102C	78.0	1281.0
YBR103W	170.0	50.0
YBR104W	92.0	89.0
YBR105C	23.0	112.0
YBR106W	137.0	343.0
YBR107C	59.0	462.0
YBR108W	40.0	204.0
YBR109C	64.0	200.0
YBR110W	258.0	99.0
YBR111C	77.0	76.0
YBR111W-A	50.0	164.0
YBR112C	502.0	232.0
YBR114W	1090.0	171.0
YBR115C	117.0	159.0
YBR117C	66.0	157.0
YBR118W	112.0	99.0
YBR119W	77.0	161.0
YBR120C	128.0	67.0
YBR121C	154.0	51.0
YBR122C	40.0	173.0
YBR123C	30.0	1829.0
YBR125C	188.0	363.0
YBR126C	107.0	140.0
YBR126W-A	33.0	146.0
YBR127C	68.0	185.0
YBR128C	77.0	1996.0
YBR129C	49.0	91.0
YBR130C	38.0	114.0
YBR131W	30.0	69.0
YBR132C	164.0	305.0
YBR133C	129.0	225.0
YBR135W	109.0	214.0
YBR136W	27.0	200.0
YBR137W	62.0	98.0
YBR138C	89.0	151.0
YBR139W	14.0	108.0
YBR140C	300.0	251.0
YBR141C	20.0	100.0
YBR142W	58.0	191.0
YBR143C	30.0	139.0
YBR144C		49.0
YBR145W	93.0	108.0
YBR146W	72.0	219.0
YBR147W	134.0	12.0
YBR148W	1460.0	88.0
YBR149W	65.0	100.0
YBR150C	13.0	98.0
YBR151W	146.0	134.0
YBR152W	68.0	1091.0
YBR153W	1152.0	214.0
YBR154C	123.0	100.0
YBR155W	97.0	94.0
YBR156C	60.0	102.0
YBR157C	147.0	130.0
YBR158W	376.0	161.0
YBR159W	64.0	88.0
YBR160W	122.0	124.0
YBR161W	227.0	147.0
YBR162C	238.0	342.0
YBR162W-A	39.0	86.0
YBR163W	119.0	214.0
YBR164C	135.0	105.0
YBR165W	92.0	154.0
YBR166C	43.0	128.0
YBR167C	250.0	114.0
YBR168W	351.0	231.0
YBR169C	116.0	181.0
YBR170C	55.0	135.0
YBR171W	39.0	148.0
YBR172C	111.0	102.0
YBR173C	43.0	167.0
YBR175W	23.0	102.0
YBR176W	118.0	146.0
YBR177C	43.0	118.0
YBR179C	70.0	146.0
YBR180W		36.0
YBR181C	29.0	104.0
YBR182C	162.0	358.0
YBR183W	223.0	117.0
YBR184W	128.0	101.0
YBR185C	52.0	120.0
YBR186W	30.0	1106.0
YBR187W	417.0	124.0
YBR188C	99.0	265.0
YBR189W	48.0	71.0
YBR191W	67.0	119.0
YBR192W	200.0	279.0
YBR193C	43.0	459.0
YBR194W	141.0	154.0
YBR195C	43.0	151.0
YBR196C	64.0	166.0
YBR196C-A	1.0	1913.0
YBR197C	35.0	469.0
YBR198C	78.0	112.0
YBR199W	93.0	278.0
YBR200W	68.0	234.0
YBR201C-A	82.0	249.0
YBR201W	150.0	126.0
YBR202W	122.0	183.0
YBR203W	226.0	231.0
YBR204C	44.0	276.0
YBR205W	959.0	195.0
YBR207W	89.0	113.0
YBR208C	223.0	135.0
YBR209W	372.0	
YBR210W	233.0	220.0
YBR211C	113.0	814.0
YBR212W	406.0	214.0
YBR214W	79.0	194.0
YBR215W	89.0	442.0
YBR216C	33.0	269.0
YBR217W	47.0	329.0
YBR218C	155.0	133.0
YBR219C	1477.0	
YBR220C	103.0	240.0
YBR221C	218.0	246.0
YBR221W-A		1751.0
YBR222C	42.0	128.0
YBR223C	35.0	240.0
YBR225W	187.0	343.0
YBR227C	58.0	132.0
YBR228W	332.0	137.0
YBR229C	24.0	130.0
YBR230C	57.0	165.0
YBR230W-A	48.0	151.0
YBR231C	80.0	42.0
YBR233W	173.0	176.0
YBR233W-A	65.0	239.0
YBR234C	46.0	67.0
YBR235W	85.0	105.0
YBR236C	38.0	120.0
YBR237W	56.0	130.0
YBR238C	73.0	619.0
YBR239C	166.0	164.0
YBR240C	292.0	313.0
YBR241C	34.0	82.0
YBR242W	365.0	93.0
YBR243C	32.0	240.0
YBR244W	219.0	127.0
YBR245C		62.0
YBR246W	35.0	136.0
YBR247C	92.0	246.0
YBR248C	84.0	85.0
YBR249C	90.0	114.0
YBR250W	139.0	3074.0
YBR251W	2496.0	75.0
YBR252W	3717.0	624.0
YBR253W	4376.0	93.0
YBR254C	17.0	164.0
YBR255C-A	47.0	97.0
YBR255W	43.0	85.0
YBR256C	41.0	69.0
YBR257W	54.0	270.0
YBR258C	23.0	64.0
YBR259W	105.0	336.0
YBR260C	37.0	459.0
YBR261C	43.0	167.0
YBR262C	44.0	116.0
YBR263W	40.0	156.0
YBR264C	49.0	1542.0
YBR265W	41.0	142.0
YBR267W	28.0	123.0
YBR268W	14.0	105.0
YBR269C	21.0	160.0
YBR270C	274.0	59.0
YBR271W	35.0	167.0
YBR272C	30.0	184.0
YBR273C	31.0	108.0
YBR274W	162.0	194.0
YBR275C	119.0	140.0
YBR276C	116.0	64.0
YBR278W	45.0	184.0
YBR279W	80.0	120.0
YBR280C	23.0	185.0
YBR281C	72.0	130.0
YBR282W	45.0	102.0
YBR283C	153.0	162.0
YBR284W	1390.0	1053.0
YBR285W	76.0	144.0
YBR286W	20.0	68.0
YBR287W	68.0	201.0
YBR288C	45.0	105.0
YBR289W	37.0	75.0
YBR290W	46.0	131.0
YBR291C	86.0	129.0
YBR292C	761.0	
YBR293W	593.0	232.0
YBR294W		77.0
YBR295W	62.0	134.0
YBR296C	78.0	281.0
YBR296C-A	799.0	52.0
YBR297W	39.0	243.0
YBR298C	500.0	94.0
YBR299W	203.0	128.0
YBR301W	238.0	45.0
YBR302C	10.0	82.0
YCL001W	116.0	130.0
YCL001W-A	1234.0	730.0
YCL001W-B	1924.0	247.0
YCL002C	59.0	157.0
YCL004W	96.0	995.0
YCL005W	529.0	186.0
YCL005W-A	81.0	105.0
YCL008C	19.0	152.0
YCL009C	48.0	148.0
YCL010C	30.0	115.0
YCL011C	44.0	173.0
YCL012C	10.0	134.0
YCL014W	234.0	135.0
YCL016C	152.0	139.0
YCL017C	91.0	286.0
YCL018W	408.0	157.0
YCL019W		325.0
YCL021W-A	278.0	311.0
YCL024W	100.0	117.0
YCL025C	31.0	95.0
YCL026C-B	45.0	63.0
YCL027W		105.0
YCL028W	70.0	119.0
YCL029C	90.0	260.0
YCL030C	79.0	123.0
YCL031C	51.0	104.0
YCL032W	77.0	188.0
YCL033C	11.0	78.0
YCL034W	227.0	75.0
YCL035C	64.0	128.0
YCL036W	52.0	518.0
YCL037C	83.0	606.0
YCL038C	99.0	79.0
YCL039W	28.0	55.0
YCL040W	60.0	181.0
YCL042W	184.0	1578.0
YCL043C	65.0	99.0
YCL044C	44.0	181.0
YCL045C	40.0	61.0
YCL047C	29.0	113.0
YCL048W		108.0
YCL048W-A	56.0	240.0
YCL049C	55.0	137.0
YCL050C	67.0	899.0
YCL051W	309.0	231.0
YCL052C	43.0	169.0
YCL054W	59.0	108.0
YCL054W-A	191.0	230.0
YCL055W	57.0	84.0
YCL056C	24.0	17.0
YCL057C-A	41.0	144.0
YCL057W	204.0	147.0
YCL058C	385.0	
YCL058W-A	32.0	66.0
YCL059C	65.0	111.0
YCL061C	66.0	174.0
YCL063W	33.0	154.0
YCL064C	64.0	108.0
YCL066W	45.0	213.0
YCL067C	34.0	82.0
YCR002C	55.0	69.0
YCR003W	22.0	295.0
YCR004C	195.0	188.0
YCR005C	73.0	157.0
YCR006C	645.0	1738.0
YCR007C	595.0	456.0
YCR008W	468.0	265.0
YCR009C	67.0	280.0
YCR010C	156.0	207.0
YCR011C	144.0	59.0
YCR012W	82.0	167.0
YCR014C	1257.0	133.0
YCR015C	14.0	2147.0
YCR016W	680.0	160.0
YCR017C	44.0	188.0
YCR018C		168.0
YCR019W	156.0	126.0
YCR020C	458.0	94.0
YCR020C-A	8.0	165.0
YCR020W-B	58.0	509.0
YCR021C	115.0	191.0
YCR023C	100.0	248.0
YCR024C	189.0	166.0
YCR024C-A	208.0	542.0
YCR024C-B	410.0	196.0
YCR025C	2530.0	104.0
YCR026C	74.0	218.0
YCR027C	209.0	669.0
YCR028C	99.0	749.0
YCR028C-A	87.0	196.0
YCR030C	99.0	171.0
YCR031C	28.0	120.0
YCR032W	126.0	138.0
YCR033W	264.0	178.0
YCR034W	44.0	260.0
YCR035C	18.0	151.0
YCR036W	67.0	112.0
YCR037C	42.0	103.0
YCR038C	641.0	196.0
YCR039C	12.0	82.0
YCR040W		252.0
YCR042C	192.0	116.0
YCR043C	356.0	560.0
YCR044C	13.0	1176.0
YCR045C		51.0
YCR046C	13.0	104.0
YCR047C	120.0	203.0
YCR048W	41.0	183.0
YCR050C	167.0	177.0
YCR051W	27.0	168.0
YCR052W	932.0	228.0
YCR053W	105.0	117.0
YCR054C	104.0	182.0
YCR057C	77.0	133.0
YCR059C	53.0	183.0
YCR060W	25.0	121.0
YCR061W	25.0	356.0
YCR063W		385.0
YCR065W	292.0	341.0
YCR066W	75.0	188.0
YCR067C	119.0	137.0
YCR068W	168.0	1353.0
YCR069W	2009.0	109.0
YCR071C	49.0	72.0
YCR072C	34.0	136.0
YCR073C	77.0	74.0
YCR073W-A	13.0	114.0
YCR075C	45.0	147.0
YCR075W-A	65.0	83.0
YCR076C	22.0	86.0
YCR077C	482.0	144.0
YCR079W	72.0	132.0
YCR081W	22.0	733.0
YCR082W	39.0	94.0
YCR083W	35.0	141.0
YCR084C	232.0	324.0
YCR085W	140.0	744.0
YCR086W	146.0	58.0
YCR087C-A	36.0	75.0
YCR088W	46.0	130.0
YCR089W	314.0	65.0
YCR090C	37.0	93.0
YCR091W	59.0	458.0
YCR092C	36.0	2419.0
YCR093W	30.0	98.0
YCR094W	63.0	276.0
YCR095C	57.0	56.0
YCR095W-A	275.0	1991.0
YCR096C	200.0	92.0
YCR097W	40.0	21.0
YCR098C	238.0	262.0
YCR099C	2314.0	906.0
YCR100C	1392.0	1345.0
YCR101C	602.0	2556.0
YCR102C	220.0	258.0
YCR104W	1761.0	138.0
YCR105W		50.0
YCR106W	575.0	1066.0
YCR107W	3507.0	
YDL001W	117.0	120.0
YDL002C	85.0	284.0
YDL003W	127.0	132.0
YDL004W	54.0	223.0
YDL005C	56.0	231.0
YDL006W	388.0	219.0
YDL007W	77.0	72.0
YDL008W	43.0	301.0
YDL009C	89.0	
YDL010W	51.0	289.0
YDL012C	455.0	169.0
YDL013W	182.0	116.0
YDL014W	149.0	216.0
YDL015C	53.0	245.0
YDL017W	102.0	130.0
YDL018C	73.0	190.0
YDL019C	213.0	91.0
YDL020C	249.0	162.0
YDL021W	235.0	61.0
YDL022C-A	144.0	1709.0
YDL022W	74.0	216.0
YDL024C	343.0	579.0
YDL025C	203.0	187.0
YDL027C	51.0	183.0
YDL028C	184.0	156.0
YDL029W	50.0	135.0
YDL030W	119.0	88.0
YDL031W	61.0	87.0
YDL033C	38.0	178.0
YDL035C	284.0	150.0
YDL036C	740.0	197.0
YDL037C	321.0	2165.0
YDL039C	1073.0	137.0
YDL040C	27.0	118.0
YDL042C	80.0	119.0
YDL043C	54.0	311.0
YDL044C	46.0	82.0
YDL045C	136.0	129.0
YDL045W-A	44.0	146.0
YDL046W	85.0	286.0
YDL047W	433.0	343.0
YDL048C	50.0	132.0
YDL049C	241.0	265.0
YDL051W	82.0	125.0
YDL052C	36.0	95.0
YDL053C	202.0	190.0
YDL054C	89.0	84.0
YDL055C	149.0	248.0
YDL056W	93.0	125.0
YDL057W	44.0	314.0
YDL058W	80.0	151.0
YDL059C	394.0	302.0
YDL060W	85.0	94.0
YDL061C	12.0	169.0
YDL063C	96.0	141.0
YDL064W	52.0	105.0
YDL065C	22.0	100.0
YDL066W	214.0	96.0
YDL067C	210.0	267.0
YDL069C	194.0	88.0
YDL070W	32.0	263.0
YDL072C	71.0	94.0
YDL073W	186.0	60.0
YDL074C	79.0	122.0
YDL075W	81.0	70.0
YDL076C	151.0	258.0
YDL077C	187.0	72.0
YDL078C	72.0	129.0
YDL079C	96.0	134.0
YDL080C	183.0	172.0
YDL081C	78.0	110.0
YDL082W	123.0	140.0
YDL083C	24.0	134.0
YDL084W	172.0	94.0
YDL085C-A	59.0	90.0
YDL085W	86.0	89.0
YDL086W	10.0	52.0
YDL087C	13.0	1946.0
YDL088C	1009.0	155.0
YDL089W	323.0	97.0
YDL090C	182.0	141.0
YDL091C	94.0	95.0
YDL092W	16.0	139.0
YDL093W	109.0	286.0
YDL095W	80.0	103.0
YDL097C	58.0	98.0
YDL098C	21.0	142.0
YDL099W	89.0	87.0
YDL100C	56.0	88.0
YDL101C	32.0	111.0
YDL102W	95.0	157.0
YDL103C	68.0	127.0
YDL104C	31.0	378.0
YDL105W	44.0	122.0
YDL106C	64.0	129.0
YDL107W	21.0	226.0
YDL108W	197.0	81.0
YDL109C	298.0	899.0
YDL110C	62.0	199.0
YDL111C	83.0	71.0
YDL112W	80.0	107.0
YDL113C	86.0	116.0
YDL114W	176.0	87.0
YDL115C	42.0	92.0
YDL116W	78.0	99.0
YDL117W	411.0	148.0
YDL119C	202.0	182.0
YDL120W	90.0	206.0
YDL121C	45.0	195.0
YDL122W	1168.0	84.0
YDL123W	32.0	492.0
YDL124W	98.0	74.0
YDL125C	210.0	142.0
YDL126C	80.0	85.0
YDL127W	342.0	168.0
YDL128W	61.0	199.0
YDL129W	187.0	439.0
YDL130W	754.0	98.0
YDL130W-A	65.0	165.0
YDL131W	36.0	128.0
YDL132W	316.0	43.0
YDL133C-A	123.0	233.0
YDL133W	421.0	108.0
YDL134C	501.0	110.0
YDL135C	45.0	259.0
YDL136W	45.0	89.0
YDL137W	39.0	154.0
YDL138W	176.0	141.0
YDL139C	65.0	155.0
YDL140C	543.0	103.0
YDL141W	239.0	253.0
YDL142C	60.0	146.0
YDL143W	52.0	87.0
YDL144C	20.0	93.0
YDL145C	261.0	149.0
YDL146W	156.0	154.0
YDL147W	87.0	147.0
YDL148C	78.0	182.0
YDL149W	45.0	171.0
YDL150W	135.0	105.0
YDL153C	41.0	148.0
YDL154W		81.0
YDL155W	358.0	173.0
YDL156W	48.0	197.0
YDL157C	47.0	181.0
YDL159W	63.0	151.0
YDL160C	288.0	619.0
YDL160C-A	30.0	200.0
YDL161W	31.0	125.0
YDL164C	51.0	190.0
YDL165W	49.0	36.0
YDL166C	45.0	96.0
YDL167C	94.0	254.0
YDL168W	33.0	56.0
YDL169C	26.0	85.0
YDL170W	31.0	141.0
YDL171C	256.0	117.0
YDL173W	40.0	108.0
YDL174C	43.0	96.0
YDL175C	33.0	257.0
YDL176W	155.0	114.0
YDL177C	55.0	92.0
YDL178W	64.0	119.0
YDL179W	208.0	191.0
YDL180W	803.0	171.0
YDL181W	86.0	120.0
YDL182W	38.0	93.0
YDL183C	78.0	60.0
YDL184C	68.0	236.0
YDL185W	120.0	108.0
YDL188C	182.0	157.0
YDL189W	39.0	118.0
YDL190C	193.0	597.0
YDL191W	67.0	112.0
YDL192W	58.0	161.0
YDL193W	116.0	191.0
YDL194W	223.0	168.0
YDL195W	655.0	129.0
YDL197C	392.0	358.0
YDL198C	117.0	124.0
YDL199C	69.0	90.0
YDL200C	43.0	73.0
YDL201W	92.0	109.0
YDL202W	64.0	214.0
YDL203C	199.0	203.0
YDL204W	41.0	187.0
YDL205C	590.0	297.0
YDL206W	149.0	89.0
YDL207W	45.0	73.0
YDL208W	59.0	138.0
YDL209C	23.0	239.0
YDL210W		96.0
YDL211C	39.0	235.0
YDL212W	213.0	173.0
YDL213C	286.0	50.0
YDL214C	269.0	137.0
YDL215C	62.0	155.0
YDL216C	204.0	133.0
YDL217C	164.0	497.0
YDL218W	411.0	236.0
YDL219W	54.0	304.0
YDL220C	20.0	380.0
YDL222C	127.0	421.0
YDL223C	73.0	326.0
YDL224C	364.0	256.0
YDL225W	70.0	244.0
YDL226C	27.0	254.0
YDL229W	30.0	104.0
YDL230W	67.0	61.0
YDL231C	149.0	66.0
YDL232W	29.0	267.0
YDL233W	36.0	169.0
YDL234C	143.0	64.0
YDL235C	123.0	148.0
YDL236W	67.0	183.0
YDL237W	78.0	81.0
YDL238C	49.0	2673.0
YDL239C	1728.0	109.0
YDL240W	186.0	275.0
YDL241W		252.0
YDL242W		569.0
YDL243C	707.0	95.0
YDL244W	345.0	121.0
YDL245C		198.0
YDL246C		128.0
YDL247W		567.0
YDL248W	7.0	2019.0
YDR001C	237.0	113.0
YDR002W	208.0	178.0
YDR003W	102.0	361.0
YDR003W-A	762.0	242.0
YDR004W		165.0
YDR005C	114.0	1836.0
YDR006C	93.0	89.0
YDR007W	24.0	63.0
YDR009W	180.0	631.0
YDR011W	337.0	176.0
YDR012W	40.0	80.0
YDR013W	62.0	92.0
YDR014W	58.0	655.0
YDR014W-A	24.0	230.0
YDR016C	36.0	143.0
YDR017C	14.0	173.0
YDR018C	25.0	115.0
YDR019C	17.0	178.0
YDR020C	149.0	418.0
YDR021W	103.0	59.0
YDR022C	57.0	90.0
YDR023W	22.0	145.0
YDR025W	53.0	99.0
YDR026C	182.0	253.0
YDR027C	131.0	88.0
YDR028C	468.0	279.0
YDR029W		241.0
YDR030C	54.0	176.0
YDR031W	37.0	163.0
YDR032C	132.0	221.0
YDR033W	371.0	494.0
YDR034C	643.0	77.0
YDR034C-C		810.0
YDR034C-D		351.0
YDR034W-B	17.0	231.0
YDR035W	497.0	152.0
YDR036C	10.0	138.0
YDR037W	455.0	83.0
YDR038C	101.0	208.0
YDR039C	150.0	347.0
YDR040C	147.0	129.0
YDR041W	201.0	145.0
YDR042C	185.0	91.0
YDR043C	202.0	126.0
YDR044W	246.0	154.0
YDR045C	155.0	282.0
YDR046C	94.0	67.0
YDR047W	423.0	80.0
YDR049W	86.0	110.0
YDR050C	77.0	98.0
YDR051C	46.0	62.0
YDR052C	334.0	243.0
YDR054C	189.0	486.0
YDR055W	79.0	164.0
YDR056C	70.0	105.0
YDR057W	109.0	137.0
YDR058C	66.0	183.0
YDR059C	71.0	140.0
YDR060W	96.0	91.0
YDR061W	55.0	135.0
YDR062W	405.0	146.0
YDR063W	128.0	71.0
YDR064W	98.0	81.0
YDR065W	45.0	1434.0
YDR066C	141.0	359.0
YDR067C	45.0	34.0
YDR068W	63.0	170.0
YDR069C	47.0	309.0
YDR070C	84.0	169.0
YDR071C	142.0	89.0
YDR072C	126.0	152.0
YDR073W	261.0	268.0
YDR074W	245.0	258.0
YDR075W	195.0	161.0
YDR076W	64.0	2433.0
YDR077W	65.0	329.0
YDR078C	51.0	161.0
YDR079C-A	75.0	215.0
YDR079W	38.0	3633.0
YDR080W	1187.0	192.0
YDR081C	97.0	240.0
YDR082W	106.0	156.0
YDR083W	22.0	88.0
YDR084C	70.0	138.0
YDR085C	59.0	87.0
YDR086C	109.0	195.0
YDR087C	37.0	88.0
YDR088C	163.0	171.0
YDR089W	177.0	93.0
YDR090C	114.0	355.0
YDR091C	72.0	342.0
YDR092W	116.0	99.0
YDR093W	266.0	61.0
YDR096W	664.0	258.0
YDR097C	102.0	66.0
YDR098C	44.0	51.0
YDR098C-A		4189.0
YDR098C-B		321.0
YDR099W	83.0	240.0
YDR100W	20.0	129.0
YDR101C	27.0	133.0
YDR103W	586.0	36.0
YDR104C	52.0	147.0
YDR105C	59.0	131.0
YDR106W	22.0	148.0
YDR107C	30.0	350.0
YDR108W	80.0	85.0
YDR109C	110.0	153.0
YDR110W	52.0	204.0
YDR111C	8.0	233.0
YDR113C	89.0	88.0
YDR114C	497.0	
YDR115W	56.0	96.0
YDR116C	35.0	128.0
