gene	n_isoforms	n_reads	mtif_support	iqr5	iqr3	utr5_max	utr3_max	utr5_p95	utr3_p95	utr5_p99	utr3_p99	f5_within_20	f3_within_20	f5_within_50	f3_within_50	f5_within_100	f3_within_100
YAL021C	106	397.0	42	16.5	5.0	103.0	316.0	73.0	258.1999999999998	73.0	310.0	0.9748110831234257	0.7153652392947103	0.9899244332493703	0.8564231738035264	1.0	0.9017632241813602
YAL022C	416	6232.0	1417	4.820895522381761	5.0	73.0	2734.0	41.0	107.0	44.0	146.0	0.9115853658536586	0.8494865211810013	0.9998395378690629	0.9165596919127086	1.0	0.9709563543003851
YAL023C	650	4010.0	225	12.0	17.666666666671517	1909.0	195.0	120.0	142.0	138.0	151.0	0.8925187032418953	0.7790523690773067	0.9897755610972568	0.9364089775561097	0.9995012468827931	1.0
YAL025C	167	854.0	142	2.0	16.0	95.0	286.0	36.0	203.0	76.0	253.48000000000002	0.9578454332552693	0.7833723653395784	0.9812646370023419	0.9871194379391101	1.0	0.9976580796252927
YAL026C	4	8.0	4	3.1999999999970896	8.0	86.0	148.0	86.0	148.0	86.0	148.0	1.0	1.0	1.0	1.0	1.0	1.0
YAL027W	12	11.0	4	0.0	5.0	104.0	111.0	92.0	111.0	101.36000000000001	111.0	0.8181818181818182	0.9090909090909091	1.0	1.0	1.0	1.0
YAL028W	71	134.0	10	18.0	32.0	512.0	91.0	494.59999999999997	82.0	512.0	89.77599999999998	0.6716417910447762	0.6492537313432836	0.8507462686567164	1.0	0.8507462686567164	1.0
YAL029C	8	10.0	3	49.0	38.0	253.0	163.0	253.0	163.0	253.0	163.0	0.5	0.7	0.8	0.8	0.8	0.9
YAL030W	219	859.0	161	0.0	31.75	66.0	309.0	33.0	176.32499999999993	36.0	247.0	0.9848661233993015	0.6728754365541327	1.0	0.919674039580908	1.0	0.9732246798603027
YAL031C	25	41.0	4	18.0	81.39999999999418	478.0	178.0	210.77999999999926	165.0	478.0	178.0	0.8048780487804879	0.34146341463414637	0.975609756097561	0.43902439024390244	0.975609756097561	1.0
YAL031W-A	4	2.0	1	168.0	827.0	728.0	2097.0	653.1999999999999	2097.0	713.04	2097.0	0.5	0.5	0.5	0.5	0.5	0.5
YAL032C	94	220.0	29	8.5	13.5	1892.0	145.0	309.0	143.0	889.2000000000004	143.0	0.8909090909090909	1.0	0.9318181818181818	1.0	0.9454545454545454	1.0
YAL033W	260	1209.0	193	13.0	3.0	44.0	270.0	26.0	116.0	39.0	168.0	0.9470636889991728	0.8866832092638545	1.0	0.9660876757650951	1.0	0.9950372208436724
YAL034C	368	1471.0	67	15.0	41.0	1177.0	470.0	656.0	147.0	689.7199999999999	161.0	0.7369136641740313	0.6532970768184908	0.8905506458191706	0.95581237253569	0.9048266485384092	0.9993201903467029
YAL034C-B	2	2.0	1	60.0	103.0	91.0	146.0	91.0	146.0	91.0	146.0	0.5	0.5	0.5	0.5	1.0	0.5
YAL034W-A	44	102.0	14	11.0	5.0	67.0	161.0	44.0	157.0	51.36000000000006	161.0	0.9411764705882353	0.7941176470588235	1.0	0.8137254901960784	1.0	1.0
YAL035W	169	2935.0	1336	0.0	5.935526315792231	92.0	300.0	41.0	127.0	56.0	136.0	0.9482112436115844	0.8565587734241908	0.9976149914821124	0.9993185689948892	1.0	0.9993185689948892
YAL036C	272	1064.0	141	15.0	173.0	72.0	1123.0	55.39999999999999	265.0	69.77599999999984	781.18	0.8956766917293233	0.4426691729323308	1.0	0.5075187969924813	1.0	0.5112781954887218
YAL037C-A	3	4.0	3	43.5	0.0	192.0	55.0	192.0	55.0	192.0	55.0	0.75	1.0	0.75	1.0	1.0	1.0
YAL037W	38	38.0	3	441.0	1476.0	2269.0	1892.0	2262.8	1880.0	2269.0	1892.0	0.3157894736842105	0.2631578947368421	0.34210526315789475	0.2631578947368421	0.34210526315789475	0.2631578947368421
YAL038W	1245	49968.0	9845	0.0	26.0	317.0	3427.0	35.0	179.0	60.0	180.0	0.9624959974383606	0.6888608709574128	0.9960574767851424	0.9249719820685238	0.9985991034261927	0.9964377201408902
YAL039C	375	3305.0	355	8.0	6.0	780.0	807.0	75.0	73.0	98.0	87.0	0.8956127080181543	0.9948562783661119	0.9906202723146748	0.9984871406959153	0.9993948562783661	0.9984871406959153
YAL040C	107	293.0	32	7.0	31.0	365.0	430.0	330.525	403.0	365.0	416.65333333333325	0.9146757679180887	0.5597269624573379	0.9522184300341296	0.8191126279863481	0.9522184300341296	0.8532423208191127
YAL041W	48	96.0	10	29.0	9.0	78.0	277.0	75.0	145.39999999999955	77.07999999999998	269.17999999999984	0.6979166666666666	0.7916666666666666	0.9895833333333334	0.9479166666666666	1.0	0.9583333333333334
YAL042W	193	1285.0	218	18.0	0.0	57.0	140.0	49.0	117.0	55.0	124.0	0.7945525291828793	0.8964980544747082	1.0	1.0	1.0	1.0
YAL043C	186	918.0	71	17.66666666666424	4.0	44.0	831.0	41.0	196.0	42.05818181818181	208.1599999999997	0.8529411764705882	0.9335511982570807	1.0	0.9368191721132898	1.0	0.9400871459694989
YAL044C	335	7285.0	1488	7.0	2.0	2621.0	1028.0	21.0	96.0	29.074999999999818	110.22499999999945	0.9916266300617708	0.9876458476321208	0.9935483870967742	0.9914893617021276	0.9936856554564173	0.9993136582017845
YAL044W-A	522	6659.0	1456	11.0	3.0	563.0	892.0	37.0	154.0	43.0	177.20499999999993	0.8241477699354257	0.8185913800871002	0.9944436101516744	0.9526955999399309	0.9951944736446914	0.999249136506983
YAL045C	1	1.0	1	0.0	0.0	680.0	566.0	680.0	566.0	680.0	566.0	1.0	1.0	1.0	1.0	1.0	1.0
YAL046C	198	937.0	126	25.0	6.0	1091.0	178.0	38.0	130.64999999999998	95.0	150.0	0.6905016008537886	0.9754535752401281	0.9829242262540021	1.0	0.9957310565635006	1.0
YAL047C	70	430.0	141	8.0	0.0	55.0	73.0	29.0	57.666666666666664	44.67999999999997	71.39999999999998	0.8953488372093024	1.0	1.0	1.0	1.0	1.0
YAL047W-A	15	9.0	3	61.66666666666424	29.5	375.0	158.0	375.0	156.5	375.0	157.7	0.3333333333333333	0.5555555555555556	0.5555555555555556	0.8888888888888888	0.7777777777777778	1.0
YAL048C	22	37.0	6	9.0	19.25	18.0	1111.0	13.466666666666658	1096.8333333333333	18.0	1111.0	1.0	0.6756756756756757	1.0	0.8918918918918919	1.0	0.8918918918918919
YAL049C	531	2619.0	330	8.0	17.0	2212.0	244.0	176.79305555555555	140.0	2195.0	165.0	0.7976326842306224	0.8690339824360442	0.9224894998090875	0.9683085147002672	0.9247804505536464	0.9992363497518136
YAL051W	11	13.0	2	8.0	70.0	41.0	190.0	40.25	185.2	41.0	190.0	1.0	0.5384615384615384	1.0	0.5384615384615384	1.0	0.9230769230769231
YAL053W	128	280.0	22	16.0	10.0	227.0	115.0	163.5	76.71428571428571	208.39999999999986	115.0	0.7535714285714286	0.9535714285714286	0.8428571428571429	1.0	0.9071428571428571	1.0
YAL054C	4	5.0	2	13.0	4.25	77.0	168.0	77.0	168.0	77.0	168.0	0.8	1.0	1.0	1.0	1.0	1.0
YAL055W	86	149.0	17	3.8333333333357587	41.0	78.0	165.0	22.0	127.22499999999992	43.0	164.01	0.959731543624161	0.4429530201342282	1.0	0.9865771812080537	1.0	1.0
YAL056W	96	241.0	17	29.0	36.0	493.0	152.0	59.0	139.0	70.18	146.09	0.6390041493775933	0.7634854771784232	0.966804979253112	0.995850622406639	1.0	1.0
YAL058W	180	492.0	60	19.0	149.0	171.0	261.0	104.0	194.0	107.0	249.0	0.7398373983739838	0.483739837398374	0.9471544715447154	0.5386178861788617	0.9979674796747967	0.6036585365853658
YAL059W	11	21.0	6	22.0	9.0	46.0	197.0	46.0	197.0	46.0	197.0	0.8095238095238095	0.9047619047619048	1.0	1.0	1.0	1.0
YAL060W	163	769.0	182	7.0	28.0	1419.0	152.0	59.162499999999966	119.0	114.24999999999864	133.0	0.9271781534460338	0.48634590377113135	0.9895968790637191	0.9921976592977894	0.9908972691807543	1.0
YAL061W	89	211.0	24	14.0	54.227272727272066	654.0	468.0	267.0	412.0	331.9899999999981	412.0	0.8578199052132701	0.35545023696682465	0.8909952606635071	0.6872037914691943	0.933649289099526	0.8341232227488151
YAL062W	55	92.0	9	10.0	13.0	379.0	362.0	101.0	183.5499999999996	317.6799999999997	362.0	0.9130434782608695	0.8913043478260869	0.9239130434782609	0.9456521739130435	0.967391304347826	0.9456521739130435
YAL063C-A	15	16.0	3	414.0	312.0	958.0	470.0	955.0	438.49999999999994	958.0	470.0	0.625	0.5625	0.625	0.5625	0.625	0.5625
YAL064C-A	2	1.0	1	245.5	1.5	947.0	412.0	947.0	412.0	947.0	412.0	1.0	1.0	1.0	1.0	1.0	1.0
YAL064W-B	19	41.0	8	15.725000000000364	0.0	985.0	3219.0	879.4749999999996	2725.0	985.0	3219.0	0.6585365853658537	0.8292682926829268	0.8048780487804879	0.8292682926829268	0.8536585365853658	0.8292682926829268
YAL066W	1	1.0	1	0.0	0.0	284.0	61.0	284.0	61.0	284.0	61.0	1.0	1.0	1.0	1.0	1.0	1.0
YAL067C	11	12.0	2	111.16666666666606	6.0	211.0	256.0	207.39999999999995	253.69999999999996	211.0	256.0	0.5833333333333334	0.75	0.5833333333333334	0.9166666666666666	0.75	1.0
YAR002C-A	490	3071.0	378	11.0	39.0	90.0	338.0	43.0	152.0	74.0	233.0	0.9029632041680234	0.6629762292412895	0.9654835558450017	0.7886681862585477	1.0	0.9609247802018887
YAR002W	144	601.0	141	2.0	11.0	461.0	275.0	53.0	209.0	93.32666666666667	210.49	0.9633943427620633	0.7920133111480865	0.9883527454242929	0.826955074875208	1.0	0.9068219633943427
YAR003W	208	634.0	65	31.0	26.0	134.0	700.0	93.0	578.0	121.0	619.0	0.5331230283911672	0.6624605678233438	0.9826498422712934	0.7570977917981072	1.0	0.9416403785488959
YAR007C	127	1088.0	155	26.862385321088368	1.0	96.0	82.0	79.0	73.0	83.47999999999956	82.0	0.8308823529411765	0.9761029411764706	0.9981617647058824	1.0	1.0	1.0
YAR008W	134	295.0	18	22.28125	19.25	134.0	179.0	119.0	123.0	123.96000000000004	146.0	0.7220338983050848	0.6474576271186441	0.9932203389830508	0.9932203389830508	1.0	1.0
YAR014C	60	159.0	29	2.0	4.0	183.0	371.0	175.0	179.0	176.0	298.2333333333329	0.7547169811320755	0.89937106918239	0.9371069182389937	0.9559748427672956	0.9811320754716981	0.9874213836477987
YAR015W	686	6332.0	482	72.0	19.0	168.0	1713.0	139.0	150.0	145.0	184.0	0.3952937460518004	0.7686355022109918	0.8499684144030322	0.9459886291850916	1.0	0.9906822488945041
YAR018C	178	370.0	30	20.0	69.0	237.0	355.0	56.0	216.0	237.0	232.80000000000018	0.754054054054054	0.4891891891891892	0.9513513513513514	0.5567567567567567	0.9567567567567568	0.8891891891891892
YAR019C	12	14.0	2	18.0	30.666666666656965	51.0	153.0	49.8	140.79999999999993	51.0	153.0	0.7857142857142857	0.42857142857142855	1.0	0.9285714285714286	1.0	1.0
YAR023C	20	24.0	4	682.666666666657	222.0	1193.0	2261.0	1087.9999999999995	2251.2	1193.0	2261.0	0.375	0.3333333333333333	0.4583333333333333	0.4166666666666667	0.5	0.4166666666666667
YAR027W	97	406.0	73	17.0	101.03571428571013	120.0	329.0	102.0	188.14117647058822	102.0	207.504	0.9187192118226601	0.5172413793103449	0.9211822660098522	0.5640394088669951	1.0	0.7438423645320197
YAR028W	192	631.0	51	27.0	2.0	951.0	2274.0	71.0	1203.0249999999994	95.0	1231.5699999999997	0.6608557844690967	0.8256735340729001	0.9841521394611727	0.8256735340729001	0.9984152139461173	0.8272583201267829
YAR029W	98	131.0	7	173.83333333334303	55.0	1501.0	1325.0	1500.0	295.2249999999999	1500.19	517.4299999999978	0.4580152671755725	0.5419847328244275	0.7099236641221374	0.8778625954198473	0.7099236641221374	0.9847328244274809
YAR030C	6	6.0	1	401.0	195.0	1058.0	1947.0	1058.0	1947.0	1058.0	1947.0	0.3333333333333333	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
YAR031W	2	2.0	1	1965.0	0.0	2016.0	138.0	2016.0	138.0	2016.0	138.0	0.5	1.0	0.5	1.0	0.5	1.0
YAR033W	138	665.0	52	10.0	8.0	1133.0	447.0	75.0	115.76086956521739	170.27500000000185	123.55000000000007	0.8796992481203008	0.9157894736842105	0.9834586466165414	0.9924812030075187	0.9894736842105263	0.9939849624060151
YAR035W	7	8.0	2	8.666666666656965	5.0	44.0	111.0	44.0	111.0	44.0	111.0	1.0	1.0	1.0	1.0	1.0	1.0
YAR042W	26	36.0	5	13.5	35.0	60.0	327.0	58.09999999999999	275.0	60.0	327.0	0.9166666666666666	0.3055555555555556	1.0	0.8611111111111112	1.0	0.8611111111111112
YAR053W	7	2.0	1	0.0	934.0	183.0	969.0	181.2	969.0	182.64	969.0	1.0	0.5	1.0	0.5	1.0	0.5
YBL001C	1188	13819.0	3949	34.0	12.0	340.0	1954.0	74.0	158.54999999999927	106.0	248.0	0.6566321730950141	0.8874014038642449	0.8410883566104639	0.9138866777625009	0.9939937766842752	0.9596208119256097
YBL002W	1774	60885.0	16563	11.0	0.0	703.0	970.0	106.0	255.0	128.0	289.0	0.8457091237579042	0.8099203416276587	0.8672250964933892	0.8433440091976677	0.9784019052311735	0.9881744271988174
YBL003C	1229	18379.0	2949	8.0	21.83962264150614	1759.0	2167.0	64.0	201.0	67.0	281.0	0.8200663801077317	0.6537352413080146	0.9979868327983024	0.9747537950922248	0.999183851134447	0.9824255944284237
YBL005W	12	19.0	6	4.625	0.0	116.0	633.0	103.40000000000002	479.55000000000024	116.0	633.0	0.7894736842105263	0.8421052631578947	0.8947368421052632	0.8421052631578947	1.0	0.8421052631578947
YBL006C	444	3591.0	316	13.0	24.0	315.0	310.0	31.0	206.0	34.0	229.59000000000015	0.9092174881648566	0.7273739905318852	0.999443052074631	0.9757727652464494	0.999443052074631	0.9908103592314118
YBL006W-A	5	3.0	1	118.5	46.5	152.0	618.0	152.0	618.0	152.0	618.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0
YBL007C	179	1156.0	96	5.909090909088263	101.0	99.0	182.0	70.0	165.0	84.88000000000011	165.6342857142857	0.972318339100346	0.5821799307958477	1.0	0.6660899653979239	1.0	0.6937716262975778
YBL008W	96	177.0	16	22.0	24.0	295.0	258.0	125.30000000000001	162.80000000000018	269.16999999999973	255.5699999999999	0.6497175141242938	0.6045197740112994	0.903954802259887	0.8813559322033898	0.9830508474576272	0.9548022598870056
YBL008W-A	3	3.0	1	35.25	0.75	51.0	2608.0	51.0	2608.0	51.0	2608.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0
YBL009W	129	521.0	92	8.0	2.1499999999941792	94.0	211.0	51.73999999999999	129.60434782608695	83.15999999999985	147.28999999999996	0.980806142034549	0.9309021113243762	0.9904030710172744	0.963531669865643	1.0	1.0
YBL010C	94	137.0	10	27.0	19.70000000001164	84.0	325.0	52.53333333333334	304.0	74.71999999999996	311.0799999999999	0.48175182481751827	0.6204379562043796	0.9927007299270073	0.781021897810219	1.0	0.9781021897810219
YBL011W	189	648.0	133	11.0	79.0	1548.0	261.0	212.4000000000001	247.8000000000001	1364.146666666664	252.0	0.7546296296296297	0.595679012345679	0.9058641975308642	0.6682098765432098	0.9444444444444444	0.9722222222222222
YBL013W	8	9.0	2	0.0	1564.166666666657	66.0	2761.0	66.0	2761.0	66.0	2761.0	0.8888888888888888	0.3333333333333333	1.0	0.3333333333333333	1.0	0.6666666666666666
YBL014C	82	173.0	18	6.0	31.0	1021.0	246.0	39.9	152.0	511.87000000000035	242.85000000000005	0.8901734104046243	0.4277456647398844	0.9653179190751445	0.8786127167630058	0.9710982658959537	0.9884393063583815
YBL015W	364	2439.0	147	12.0	27.0	229.0	323.0	103.0	282.0	169.0	284.40666666666675	0.8876588765887659	0.39114391143911437	0.956949569495695	0.8413284132841329	0.998359983599836	0.8675686756867569
YBL016W	116	18.0	4	484.0	0.0	539.0	178.0	539.0	138.0	539.0	138.0	0.3333333333333333	0.8888888888888888	0.3333333333333333	0.9444444444444444	0.4444444444444444	0.9444444444444444
YBL017C	5	5.0	1	14.0	2.0	182.0	73.0	182.0	73.0	182.0	73.0	0.8	1.0	1.0	1.0	1.0	1.0
YBL018C	399	1416.0	122	10.0	29.0	196.0	745.0	55.0	121.0	77.0	330.0	0.9209039548022598	0.3707627118644068	0.998587570621469	0.8721751412429378	0.998587570621469	0.9837570621468926
YBL019W	43	109.0	13	49.0	4.0	215.0	271.0	62.749999999999986	116.36666666666666	144.7899999999996	270.40999999999997	0.3119266055045872	0.963302752293578	0.6330275229357798	0.9724770642201835	0.9908256880733946	0.981651376146789
YBL020W	78	273.0	44	27.0	9.161290322575951	267.0	105.0	82.0	96.77499999999995	116.0	102.0	0.6666666666666666	0.9560439560439561	0.9926739926739927	1.0	0.9963369963369964	1.0
YBL021C	244	813.0	113	17.0	1.5	1021.0	214.0	50.23333333333327	181.8499999999999	211.02000000000157	199.548	0.8954489544895449	0.8314883148831488	0.984009840098401	0.998769987699877	0.990159901599016	0.998769987699877
YBL022C	38	124.0	25	12.0	5.0	141.0	97.0	133.0	82.0	139.30857142857144	90.34000000000005	0.8306451612903226	0.9838709677419355	0.9758064516129032	1.0	0.9838709677419355	1.0
YBL023C	103	247.0	40	30.0	33.0	143.0	528.0	117.0	188.0	130.3	189.35333333333332	0.5748987854251012	0.4817813765182186	0.9109311740890689	0.9959514170040485	1.0	0.9959514170040485
YBL024W	200	576.0	85	3.0	149.0	635.0	534.0	56.49999999999966	286.0	84.96000000000004	286.0	0.875	0.5034722222222222	0.9861111111111112	0.5763888888888888	0.9982638888888888	0.6163194444444444
YBL025W	93	160.0	26	15.0	2.0	2020.0	592.0	114.5	568.0	1887.9000000000065	585.0	0.79375	0.875	0.9125	0.925	0.9625	0.94375
YBL026W	235	515.0	49	26.0	10.0	1162.0	1472.0	104.0	263.0	280.4000000000001	492.0	0.5300970873786408	0.7766990291262136	0.9106796116504854	0.829126213592233	0.9825242718446602	0.8485436893203884
YBL027W	789	41229.0	8809	12.0	12.0	285.0	606.0	31.0	106.0	62.0	158.0	0.9824637997526013	0.9210264619563899	0.9993451211525868	0.9863688180649542	0.9999029809114943	0.9994421402410925
YBL028C	262	492.0	39	11.0	176.0	594.0	306.0	55.0	274.0	63.15999999999997	284.0	0.8800813008130082	0.2784552845528455	0.9939024390243902	0.2804878048780488	0.9979674796747967	0.2865853658536585
YBL029C-A	543	1502.0	61	32.35483870966709	26.375	1287.0	385.0	119.39999999999986	144.75999999999993	1048.6933333333336	159.92000000000007	0.05326231691078562	0.4773635153129161	0.14713715046604528	0.9494007989347537	0.7696404793608522	0.996005326231691
YBL030C	1079	9628.0	759	21.416666666656965	91.0	583.0	380.0	148.0	304.0	153.0	323.0	0.8165766514333195	0.5121520565018696	0.9380972164520149	0.6942251765683424	0.968321562110511	0.9221022019110926
YBL031W	68	160.0	35	4.0	19.0	388.0	172.0	41.0	167.8	248.30000000000072	171.86666666666667	0.96875	0.80625	0.975	0.81875	0.975	0.98125
YBL032W	146	670.0	177	2.0	20.0	344.0	249.0	98.0	208.0	129.19999999999982	215.66666666666652	0.8223880597014925	0.7716417910447761	0.9641791044776119	0.991044776119403	0.9940298507462687	0.9985074626865672
YBL033C	89	283.0	80	2.0	10.0	1658.0	173.0	28.0	119.0	35.680000000000064	173.0	0.9646643109540636	0.8798586572438163	0.9929328621908127	0.9399293286219081	0.9929328621908127	0.9787985865724381
YBL035C	128	423.0	67	3.0	20.0	135.0	1192.0	101.34999999999997	80.2333333333333	135.0	129.0	0.8794326241134752	0.7683215130023641	0.9787234042553191	0.9787234042553191	1.0	0.9929078014184397
YBL036C	288	947.0	137	8.0	4.0	2483.0	254.0	73.78	168.0	783.3333333333325	172.012	0.8426610348468849	0.8405491024287223	0.9292502639915523	0.9535374868004224	0.9725448785638859	0.989440337909187
YBL037W	7	10.0	3	5.5	24.0	109.0	154.0	109.0	154.0	109.0	154.0	0.9	0.6	0.9	1.0	1.0	1.0
YBL038W	314	3257.0	495	4.0	4.98897058822331	102.0	618.0	74.0	95.45999999999985	86.0	122.97999999999995	0.9843414184832668	0.8698188517040221	0.999385937979736	0.9692968989867977	1.0	0.9953945348480197
YBL039C	620	4538.0	485	25.0	81.0	133.0	397.0	90.0	260.0	104.0	263.0	0.5486998677831644	0.501322168356104	0.9947113265755839	0.5171881886293521	1.0	0.9878801234023799
YBL039C-A	766	4798.0	485	25.0	81.0	830.0	1389.0	787.0	1219.0	801.0	1222.0	0.519591496456857	0.4893705710712797	0.9424760316798666	0.5050020842017507	0.9666527719883284	0.9858274280950396
YBL039W-B	162	395.0	23	183.0	16.0	338.0	235.0	307.0	147.0	311.0	170.03333333333342	0.28860759493670884	0.9392405063291139	0.369620253164557	0.9873417721518988	0.45569620253164556	0.9974683544303797
YBL040C	838	18768.0	7537	9.0	5.0	936.0	1790.0	50.66468085106382	110.0	66.0	159.0	0.9721867007672634	0.8171355498721228	0.9945652173913043	0.9638213981244672	0.9946184995737425	0.9987212276214834
YBL041W	561	2274.0	285	10.0	67.0	323.0	221.0	165.0	149.0	219.0	155.0	0.7897977132805629	0.534740545294635	0.9485488126649076	0.6059806508355321	0.9489885664028144	0.9212840809146877
YBL042C	296	3449.0	1267	20.0	0.0	125.0	358.0	89.0	180.04999999999973	108.0	280.0	0.7436938242968977	0.8976514931864309	0.9805740794433169	0.9104088141490287	1.0	0.9220063786604813
YBL043W	14	29.0	8	1.7999999999883585	22.055555555562023	193.0	198.0	135.99999999999983	197.4	193.0	198.0	0.9655172413793104	0.7931034482758621	0.9655172413793104	1.0	1.0	1.0
YBL045C	398	1904.0	242	20.0	18.0	275.0	333.0	217.0	216.0	232.0	298.0	0.7085084033613446	0.717436974789916	0.7914915966386554	0.9574579831932774	0.9747899159663865	0.9842436974789915
YBL046W	18	13.0	2	11.5	71.75	18.0	188.0	16.499999999999996	188.0	18.0	188.0	1.0	0.6923076923076923	1.0	0.6923076923076923	1.0	1.0
YBL047C	20	27.0	3	10.75	69.0	185.0	245.0	179.89999999999998	245.0	185.0	245.0	0.8148148148148148	0.5185185185185185	1.0	0.5185185185185185	1.0	0.9259259259259259
YBL048W	7	5.0	1	18.75	54.75	798.0	194.0	708.0	194.0	780.0	194.0	0.8	0.2	1.0	0.6	1.0	0.8
YBL049W	18	15.0	2	71.0	222.25	327.0	560.0	222.0	553.5	277.29999999999995	560.0	0.2	0.6	0.3333333333333333	0.6	0.8666666666666667	0.6666666666666666
YBL050W	137	1464.0	199	17.0	1.0	100.0	165.0	83.0	71.5333333333333	94.0	106.6822857142857	0.8012295081967213	0.9726775956284153	0.9952185792349727	0.9993169398907104	1.0	1.0
YBL051C	80	164.0	14	4.333333333328483	18.19999999999709	85.0	465.0	75.0	452.0	84.3466666666666	452.0	0.9390243902439024	0.7560975609756098	1.0	0.7560975609756098	1.0	0.7621951219512195
YBL052C	46	59.0	4	39.375	8.0	269.0	191.0	267.0	98.0	269.0	182.62999999999968	0.4067796610169492	0.847457627118644	0.8305084745762712	0.9830508474576272	0.9661016949152542	0.9830508474576272
YBL054W	292	659.0	30	23.0	41.0	774.0	258.0	177.0	218.0	217.03333333333322	227.7599999999999	0.8285280728376327	0.26100151745068284	0.9028831562974203	0.6251896813353566	0.9893778452200304	0.9590288315629742
YBL055C	100	153.0	6	322.25	17.25	1962.0	426.0	395.0	255.0	422.7	380.88	0.3333333333333333	0.2679738562091503	0.4117647058823529	0.9084967320261438	0.47058823529411764	0.9150326797385621
